publication_vintage_date,reference_date,characteristic_category_id,sex_id,principal_offence_id,court_level_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_sex,raw_principal_offence,raw_court_level
2022-06-30,2022-06-30,CHAR_30_34_YEARS,MALE,ANZSOC2011_14,HIGHER_COURTS,defendant-count,person,13,observed,13,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 3,R50C15,sha256:f8a5402131fd6a5a45b821e36d5d1b103a400cf2b21d93ba0111dd8bee870f98,criminal-courts-australia,sha256:358e599a2f8c0573efdec5759e8e37d6a00299f3ffcad97b40ca77a39ae1dd96,tidy.table-family-acceptance/v1,sha256:3692ada28e82ad0bd4a73176ad501ee359bdf313ec18f8f3b99b518af47c5b50,sha256:03fae4add37defaea01fc4b2f84d792a64b35048a90588ce825d61e34ca16bb1,sha256:34414f2d58154a5a8d6fe9fa0b50fdba2790514b34d06830ee0b922897aac47f,human-authored/deterministic-map-v1,replay:sha256:fc93f10f5c15a3cc2f97a7b14c6994907cbb381fb006dfc2ba1f33983b7a2287,30–34 years,Males,14 Traffic and vehicle regulatory offences,Higher Courts
2022-06-30,2022-06-30,CHAR_30_34_YEARS,MALE,ANZSOC2011_14,MAGISTRATES_COURTS,defendant-count,person,16406,observed,16406,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 3,R89C15,sha256:f8a5402131fd6a5a45b821e36d5d1b103a400cf2b21d93ba0111dd8bee870f98,criminal-courts-australia,sha256:358e599a2f8c0573efdec5759e8e37d6a00299f3ffcad97b40ca77a39ae1dd96,tidy.table-family-acceptance/v1,sha256:3692ada28e82ad0bd4a73176ad501ee359bdf313ec18f8f3b99b518af47c5b50,sha256:03fae4add37defaea01fc4b2f84d792a64b35048a90588ce825d61e34ca16bb1,sha256:34414f2d58154a5a8d6fe9fa0b50fdba2790514b34d06830ee0b922897aac47f,human-authored/deterministic-map-v1,replay:sha256:fc93f10f5c15a3cc2f97a7b14c6994907cbb381fb006dfc2ba1f33983b7a2287,30–34 years,Males,14 Traffic and vehicle regulatory offences,Magistrates' Courts
2022-06-30,2022-06-30,CHAR_30_34_YEARS,MALE,ANZSOC2011_15,ALL_COURTS,defendant-count,person,5663,observed,5663,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 3,R11C16,sha256:f8a5402131fd6a5a45b821e36d5d1b103a400cf2b21d93ba0111dd8bee870f98,criminal-courts-australia,sha256:358e599a2f8c0573efdec5759e8e37d6a00299f3ffcad97b40ca77a39ae1dd96,tidy.table-family-acceptance/v1,sha256:3692ada28e82ad0bd4a73176ad501ee359bdf313ec18f8f3b99b518af47c5b50,sha256:03fae4add37defaea01fc4b2f84d792a64b35048a90588ce825d61e34ca16bb1,sha256:34414f2d58154a5a8d6fe9fa0b50fdba2790514b34d06830ee0b922897aac47f,human-authored/deterministic-map-v1,replay:sha256:fc93f10f5c15a3cc2f97a7b14c6994907cbb381fb006dfc2ba1f33983b7a2287,30–34 years,Males,15 Offences against justice,All Courts
2022-06-30,2022-06-30,CHAR_30_34_YEARS,MALE,ANZSOC2011_15,HIGHER_COURTS,defendant-count,person,71,observed,71,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 3,R50C16,sha256:f8a5402131fd6a5a45b821e36d5d1b103a400cf2b21d93ba0111dd8bee870f98,criminal-courts-australia,sha256:358e599a2f8c0573efdec5759e8e37d6a00299f3ffcad97b40ca77a39ae1dd96,tidy.table-family-acceptance/v1,sha256:3692ada28e82ad0bd4a73176ad501ee359bdf313ec18f8f3b99b518af47c5b50,sha256:03fae4add37defaea01fc4b2f84d792a64b35048a90588ce825d61e34ca16bb1,sha256:34414f2d58154a5a8d6fe9fa0b50fdba2790514b34d06830ee0b922897aac47f,human-authored/deterministic-map-v1,replay:sha256:fc93f10f5c15a3cc2f97a7b14c6994907cbb381fb006dfc2ba1f33983b7a2287,30–34 years,Males,15 Offences against justice,Higher Courts
2022-06-30,2022-06-30,CHAR_30_34_YEARS,MALE,ANZSOC2011_15,MAGISTRATES_COURTS,defendant-count,person,5593,observed,5593,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 3,R89C16,sha256:f8a5402131fd6a5a45b821e36d5d1b103a400cf2b21d93ba0111dd8bee870f98,criminal-courts-australia,sha256:358e599a2f8c0573efdec5759e8e37d6a00299f3ffcad97b40ca77a39ae1dd96,tidy.table-family-acceptance/v1,sha256:3692ada28e82ad0bd4a73176ad501ee359bdf313ec18f8f3b99b518af47c5b50,sha256:03fae4add37defaea01fc4b2f84d792a64b35048a90588ce825d61e34ca16bb1,sha256:34414f2d58154a5a8d6fe9fa0b50fdba2790514b34d06830ee0b922897aac47f,human-authored/deterministic-map-v1,replay:sha256:fc93f10f5c15a3cc2f97a7b14c6994907cbb381fb006dfc2ba1f33983b7a2287,30–34 years,Males,15 Offences against justice,Magistrates' Courts
2022-06-30,2022-06-30,CHAR_30_34_YEARS,MALE,ANZSOC2011_16,ALL_COURTS,defendant-count,person,976,observed,976,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 3,R11C17,sha256:f8a5402131fd6a5a45b821e36d5d1b103a400cf2b21d93ba0111dd8bee870f98,criminal-courts-australia,sha256:358e599a2f8c0573efdec5759e8e37d6a00299f3ffcad97b40ca77a39ae1dd96,tidy.table-family-acceptance/v1,sha256:3692ada28e82ad0bd4a73176ad501ee359bdf313ec18f8f3b99b518af47c5b50,sha256:03fae4add37defaea01fc4b2f84d792a64b35048a90588ce825d61e34ca16bb1,sha256:34414f2d58154a5a8d6fe9fa0b50fdba2790514b34d06830ee0b922897aac47f,human-authored/deterministic-map-v1,replay:sha256:fc93f10f5c15a3cc2f97a7b14c6994907cbb381fb006dfc2ba1f33983b7a2287,30–34 years,Males,16 Miscellaneous offences,All Courts
2022-06-30,2022-06-30,CHAR_30_34_YEARS,MALE,ANZSOC2011_16,HIGHER_COURTS,defendant-count,person,12,observed,12,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 3,R50C17,sha256:f8a5402131fd6a5a45b821e36d5d1b103a400cf2b21d93ba0111dd8bee870f98,criminal-courts-australia,sha256:358e599a2f8c0573efdec5759e8e37d6a00299f3ffcad97b40ca77a39ae1dd96,tidy.table-family-acceptance/v1,sha256:3692ada28e82ad0bd4a73176ad501ee359bdf313ec18f8f3b99b518af47c5b50,sha256:03fae4add37defaea01fc4b2f84d792a64b35048a90588ce825d61e34ca16bb1,sha256:34414f2d58154a5a8d6fe9fa0b50fdba2790514b34d06830ee0b922897aac47f,human-authored/deterministic-map-v1,replay:sha256:fc93f10f5c15a3cc2f97a7b14c6994907cbb381fb006dfc2ba1f33983b7a2287,30–34 years,Males,16 Miscellaneous offences,Higher Courts
2022-06-30,2022-06-30,CHAR_30_34_YEARS,MALE,ANZSOC2011_16,MAGISTRATES_COURTS,defendant-count,person,963,observed,963,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 3,R89C17,sha256:f8a5402131fd6a5a45b821e36d5d1b103a400cf2b21d93ba0111dd8bee870f98,criminal-courts-australia,sha256:358e599a2f8c0573efdec5759e8e37d6a00299f3ffcad97b40ca77a39ae1dd96,tidy.table-family-acceptance/v1,sha256:3692ada28e82ad0bd4a73176ad501ee359bdf313ec18f8f3b99b518af47c5b50,sha256:03fae4add37defaea01fc4b2f84d792a64b35048a90588ce825d61e34ca16bb1,sha256:34414f2d58154a5a8d6fe9fa0b50fdba2790514b34d06830ee0b922897aac47f,human-authored/deterministic-map-v1,replay:sha256:fc93f10f5c15a3cc2f97a7b14c6994907cbb381fb006dfc2ba1f33983b7a2287,30–34 years,Males,16 Miscellaneous offences,Magistrates' Courts
2022-06-30,2022-06-30,CHAR_30_34_YEARS,MALE,ANZSOC2011_TOTAL,ALL_COURTS,defendant-count,person,50714,observed,50714,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 3,R11C18,sha256:f8a5402131fd6a5a45b821e36d5d1b103a400cf2b21d93ba0111dd8bee870f98,criminal-courts-australia,sha256:358e599a2f8c0573efdec5759e8e37d6a00299f3ffcad97b40ca77a39ae1dd96,tidy.table-family-acceptance/v1,sha256:3692ada28e82ad0bd4a73176ad501ee359bdf313ec18f8f3b99b518af47c5b50,sha256:03fae4add37defaea01fc4b2f84d792a64b35048a90588ce825d61e34ca16bb1,sha256:34414f2d58154a5a8d6fe9fa0b50fdba2790514b34d06830ee0b922897aac47f,human-authored/deterministic-map-v1,replay:sha256:fc93f10f5c15a3cc2f97a7b14c6994907cbb381fb006dfc2ba1f33983b7a2287,30–34 years,Males,Total,All Courts
2022-06-30,2022-06-30,CHAR_30_34_YEARS,MALE,ANZSOC2011_TOTAL,HIGHER_COURTS,defendant-count,person,2384,observed,2384,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 3,R50C18,sha256:f8a5402131fd6a5a45b821e36d5d1b103a400cf2b21d93ba0111dd8bee870f98,criminal-courts-australia,sha256:358e599a2f8c0573efdec5759e8e37d6a00299f3ffcad97b40ca77a39ae1dd96,tidy.table-family-acceptance/v1,sha256:3692ada28e82ad0bd4a73176ad501ee359bdf313ec18f8f3b99b518af47c5b50,sha256:03fae4add37defaea01fc4b2f84d792a64b35048a90588ce825d61e34ca16bb1,sha256:34414f2d58154a5a8d6fe9fa0b50fdba2790514b34d06830ee0b922897aac47f,human-authored/deterministic-map-v1,replay:sha256:fc93f10f5c15a3cc2f97a7b14c6994907cbb381fb006dfc2ba1f33983b7a2287,30–34 years,Males,Total,Higher Courts
2022-06-30,2022-06-30,CHAR_30_34_YEARS,MALE,ANZSOC2011_TOTAL,MAGISTRATES_COURTS,defendant-count,person,48317,observed,48317,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 3,R89C18,sha256:f8a5402131fd6a5a45b821e36d5d1b103a400cf2b21d93ba0111dd8bee870f98,criminal-courts-australia,sha256:358e599a2f8c0573efdec5759e8e37d6a00299f3ffcad97b40ca77a39ae1dd96,tidy.table-family-acceptance/v1,sha256:3692ada28e82ad0bd4a73176ad501ee359bdf313ec18f8f3b99b518af47c5b50,sha256:03fae4add37defaea01fc4b2f84d792a64b35048a90588ce825d61e34ca16bb1,sha256:34414f2d58154a5a8d6fe9fa0b50fdba2790514b34d06830ee0b922897aac47f,human-authored/deterministic-map-v1,replay:sha256:fc93f10f5c15a3cc2f97a7b14c6994907cbb381fb006dfc2ba1f33983b7a2287,30–34 years,Males,Total,Magistrates' Courts
