reference_date,jurisdiction_id,most_serious_offence_or_charge_id,indigenous_status_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_jurisdiction,raw_most_serious_offence_or_charge,raw_indigenous_status
2021-06-30,ACT,ANZSOC_04,NON_INDIGENOUS,prisoner-count,person,3,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_16,R29C9,sha256:f5804b5d105a3005b2b93acaaba709d5bc359c2e846e978031e82af1d0c8850d,prisoners-in-australia,sha256:a6d72fc2e31fd4138e08bf5bc7f323c39cc2c6c1ae8dafe6c88a5982e6257d05,tidy.table-family-acceptance/v1,sha256:f4c7ec95e2753f570568f9047402a96ed09fbd6b11749b8f0384912512099cc6,sha256:2064427cc8a0033aca011e6c0a25d4e6b1fc5a7524e24ae2221f41ede8c9bd1d,sha256:bd742a4d036e263d5242e10d92eea4181ada26a107031ea05d3abe4d96e31026,openai-codex/gpt-5.6-sol,replay:sha256:6131b44d1b7506bcaf5d770b9c7172f78ef2afead6926e2fead07b6ee91b8e50,ACT,04 Dangerous/negligent acts,NON-INDIGENOUS
2021-06-30,ACT,ANZSOC_04,TOTAL,prisoner-count,person,5,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_16,R48C9,sha256:f5804b5d105a3005b2b93acaaba709d5bc359c2e846e978031e82af1d0c8850d,prisoners-in-australia,sha256:a6d72fc2e31fd4138e08bf5bc7f323c39cc2c6c1ae8dafe6c88a5982e6257d05,tidy.table-family-acceptance/v1,sha256:f4c7ec95e2753f570568f9047402a96ed09fbd6b11749b8f0384912512099cc6,sha256:2064427cc8a0033aca011e6c0a25d4e6b1fc5a7524e24ae2221f41ede8c9bd1d,sha256:bd742a4d036e263d5242e10d92eea4181ada26a107031ea05d3abe4d96e31026,openai-codex/gpt-5.6-sol,replay:sha256:6131b44d1b7506bcaf5d770b9c7172f78ef2afead6926e2fead07b6ee91b8e50,ACT,04 Dangerous/negligent acts,TOTAL
2021-06-30,ACT,ANZSOC_05,INDIGENOUS,prisoner-count,person,5,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_16,R11C9,sha256:f5804b5d105a3005b2b93acaaba709d5bc359c2e846e978031e82af1d0c8850d,prisoners-in-australia,sha256:a6d72fc2e31fd4138e08bf5bc7f323c39cc2c6c1ae8dafe6c88a5982e6257d05,tidy.table-family-acceptance/v1,sha256:f4c7ec95e2753f570568f9047402a96ed09fbd6b11749b8f0384912512099cc6,sha256:2064427cc8a0033aca011e6c0a25d4e6b1fc5a7524e24ae2221f41ede8c9bd1d,sha256:bd742a4d036e263d5242e10d92eea4181ada26a107031ea05d3abe4d96e31026,openai-codex/gpt-5.6-sol,replay:sha256:6131b44d1b7506bcaf5d770b9c7172f78ef2afead6926e2fead07b6ee91b8e50,ACT,05 Abduction/harassment,ABORIGINAL AND TORRES STRAIT ISLANDER
2021-06-30,ACT,ANZSOC_05,NON_INDIGENOUS,prisoner-count,person,7,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_16,R30C9,sha256:f5804b5d105a3005b2b93acaaba709d5bc359c2e846e978031e82af1d0c8850d,prisoners-in-australia,sha256:a6d72fc2e31fd4138e08bf5bc7f323c39cc2c6c1ae8dafe6c88a5982e6257d05,tidy.table-family-acceptance/v1,sha256:f4c7ec95e2753f570568f9047402a96ed09fbd6b11749b8f0384912512099cc6,sha256:2064427cc8a0033aca011e6c0a25d4e6b1fc5a7524e24ae2221f41ede8c9bd1d,sha256:bd742a4d036e263d5242e10d92eea4181ada26a107031ea05d3abe4d96e31026,openai-codex/gpt-5.6-sol,replay:sha256:6131b44d1b7506bcaf5d770b9c7172f78ef2afead6926e2fead07b6ee91b8e50,ACT,05 Abduction/harassment,NON-INDIGENOUS
2021-06-30,ACT,ANZSOC_05,TOTAL,prisoner-count,person,16,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_16,R49C9,sha256:f5804b5d105a3005b2b93acaaba709d5bc359c2e846e978031e82af1d0c8850d,prisoners-in-australia,sha256:a6d72fc2e31fd4138e08bf5bc7f323c39cc2c6c1ae8dafe6c88a5982e6257d05,tidy.table-family-acceptance/v1,sha256:f4c7ec95e2753f570568f9047402a96ed09fbd6b11749b8f0384912512099cc6,sha256:2064427cc8a0033aca011e6c0a25d4e6b1fc5a7524e24ae2221f41ede8c9bd1d,sha256:bd742a4d036e263d5242e10d92eea4181ada26a107031ea05d3abe4d96e31026,openai-codex/gpt-5.6-sol,replay:sha256:6131b44d1b7506bcaf5d770b9c7172f78ef2afead6926e2fead07b6ee91b8e50,ACT,05 Abduction/harassment,TOTAL
2021-06-30,ACT,ANZSOC_06,INDIGENOUS,prisoner-count,person,14,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_16,R12C9,sha256:f5804b5d105a3005b2b93acaaba709d5bc359c2e846e978031e82af1d0c8850d,prisoners-in-australia,sha256:a6d72fc2e31fd4138e08bf5bc7f323c39cc2c6c1ae8dafe6c88a5982e6257d05,tidy.table-family-acceptance/v1,sha256:f4c7ec95e2753f570568f9047402a96ed09fbd6b11749b8f0384912512099cc6,sha256:2064427cc8a0033aca011e6c0a25d4e6b1fc5a7524e24ae2221f41ede8c9bd1d,sha256:bd742a4d036e263d5242e10d92eea4181ada26a107031ea05d3abe4d96e31026,openai-codex/gpt-5.6-sol,replay:sha256:6131b44d1b7506bcaf5d770b9c7172f78ef2afead6926e2fead07b6ee91b8e50,ACT,06 Robbery/extortion,ABORIGINAL AND TORRES STRAIT ISLANDER
2021-06-30,ACT,ANZSOC_06,NON_INDIGENOUS,prisoner-count,person,12,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_16,R31C9,sha256:f5804b5d105a3005b2b93acaaba709d5bc359c2e846e978031e82af1d0c8850d,prisoners-in-australia,sha256:a6d72fc2e31fd4138e08bf5bc7f323c39cc2c6c1ae8dafe6c88a5982e6257d05,tidy.table-family-acceptance/v1,sha256:f4c7ec95e2753f570568f9047402a96ed09fbd6b11749b8f0384912512099cc6,sha256:2064427cc8a0033aca011e6c0a25d4e6b1fc5a7524e24ae2221f41ede8c9bd1d,sha256:bd742a4d036e263d5242e10d92eea4181ada26a107031ea05d3abe4d96e31026,openai-codex/gpt-5.6-sol,replay:sha256:6131b44d1b7506bcaf5d770b9c7172f78ef2afead6926e2fead07b6ee91b8e50,ACT,06 Robbery/extortion,NON-INDIGENOUS
2021-06-30,ACT,ANZSOC_06,TOTAL,prisoner-count,person,24,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_16,R50C9,sha256:f5804b5d105a3005b2b93acaaba709d5bc359c2e846e978031e82af1d0c8850d,prisoners-in-australia,sha256:a6d72fc2e31fd4138e08bf5bc7f323c39cc2c6c1ae8dafe6c88a5982e6257d05,tidy.table-family-acceptance/v1,sha256:f4c7ec95e2753f570568f9047402a96ed09fbd6b11749b8f0384912512099cc6,sha256:2064427cc8a0033aca011e6c0a25d4e6b1fc5a7524e24ae2221f41ede8c9bd1d,sha256:bd742a4d036e263d5242e10d92eea4181ada26a107031ea05d3abe4d96e31026,openai-codex/gpt-5.6-sol,replay:sha256:6131b44d1b7506bcaf5d770b9c7172f78ef2afead6926e2fead07b6ee91b8e50,ACT,06 Robbery/extortion,TOTAL
2021-06-30,ACT,ANZSOC_07,INDIGENOUS,prisoner-count,person,3,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_16,R13C9,sha256:f5804b5d105a3005b2b93acaaba709d5bc359c2e846e978031e82af1d0c8850d,prisoners-in-australia,sha256:a6d72fc2e31fd4138e08bf5bc7f323c39cc2c6c1ae8dafe6c88a5982e6257d05,tidy.table-family-acceptance/v1,sha256:f4c7ec95e2753f570568f9047402a96ed09fbd6b11749b8f0384912512099cc6,sha256:2064427cc8a0033aca011e6c0a25d4e6b1fc5a7524e24ae2221f41ede8c9bd1d,sha256:bd742a4d036e263d5242e10d92eea4181ada26a107031ea05d3abe4d96e31026,openai-codex/gpt-5.6-sol,replay:sha256:6131b44d1b7506bcaf5d770b9c7172f78ef2afead6926e2fead07b6ee91b8e50,ACT,07 Unlawful entry with intent,ABORIGINAL AND TORRES STRAIT ISLANDER
2021-06-30,ACT,ANZSOC_07,NON_INDIGENOUS,prisoner-count,person,5,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_16,R32C9,sha256:f5804b5d105a3005b2b93acaaba709d5bc359c2e846e978031e82af1d0c8850d,prisoners-in-australia,sha256:a6d72fc2e31fd4138e08bf5bc7f323c39cc2c6c1ae8dafe6c88a5982e6257d05,tidy.table-family-acceptance/v1,sha256:f4c7ec95e2753f570568f9047402a96ed09fbd6b11749b8f0384912512099cc6,sha256:2064427cc8a0033aca011e6c0a25d4e6b1fc5a7524e24ae2221f41ede8c9bd1d,sha256:bd742a4d036e263d5242e10d92eea4181ada26a107031ea05d3abe4d96e31026,openai-codex/gpt-5.6-sol,replay:sha256:6131b44d1b7506bcaf5d770b9c7172f78ef2afead6926e2fead07b6ee91b8e50,ACT,07 Unlawful entry with intent,NON-INDIGENOUS
