publication_vintage_date,reference_date,principal_offence_id,observation_period_id,statistic_basis_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,recipe_protocol,replay_map_digest,c3_row_trace_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_observation_period,raw_statistic_basis
2022-06-30,2022-06-30,011_MURDER_2011d70f,2008_09_f695681e,NUMBER_a081e07b,published-value,published-unit,26,observed,26,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 18,R8C2,sha256:de24412c68aa9b46d2101580eebfdef425991b745e894f3fa006b90fb42129e7,RecipeV01,sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,sha256:03aa81535a7d9246ef790f18a5f342c24720a4c6dfc0e29d87edc5736a6a2d9f,recorded-crime-offenders,sha256:06822e34a2d58727ed066e883296e5186c6d0bb8f3abdd249eff9eddda6976e1,tidy.table-family-acceptance/v2,sha256:0e62a44a81b5897da07c8f2b25f4a7da6f8506656c68c8777d183ae5d39d7327,sha256:35eaa8ecbd31ea1b8a2882c386995f874ed1f19091707b763348f3b34804bf49,sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,provider-free/offenders-remaining-c4-v1/semantic-map-v1-recipe-v01,replay:sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,011 Murder,2008–09,Number
2022-06-30,2022-06-30,011_MURDER_2011d70f,2008_09_f695681e,OFFENDER_RATE_bf190e83,published-value,published-unit,1.2,observed,1.2,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 18,R8C16,sha256:de24412c68aa9b46d2101580eebfdef425991b745e894f3fa006b90fb42129e7,RecipeV01,sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,sha256:03aa81535a7d9246ef790f18a5f342c24720a4c6dfc0e29d87edc5736a6a2d9f,recorded-crime-offenders,sha256:06822e34a2d58727ed066e883296e5186c6d0bb8f3abdd249eff9eddda6976e1,tidy.table-family-acceptance/v2,sha256:0e62a44a81b5897da07c8f2b25f4a7da6f8506656c68c8777d183ae5d39d7327,sha256:35eaa8ecbd31ea1b8a2882c386995f874ed1f19091707b763348f3b34804bf49,sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,provider-free/offenders-remaining-c4-v1/semantic-map-v1-recipe-v01,replay:sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,011 Murder,2008–09,Offender rate(a)
2022-06-30,2022-06-30,011_MURDER_2011d70f,2009_10_d4eb8e50,NUMBER_a081e07b,published-value,published-unit,17,observed,17,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 18,R8C3,sha256:de24412c68aa9b46d2101580eebfdef425991b745e894f3fa006b90fb42129e7,RecipeV01,sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,sha256:03aa81535a7d9246ef790f18a5f342c24720a4c6dfc0e29d87edc5736a6a2d9f,recorded-crime-offenders,sha256:06822e34a2d58727ed066e883296e5186c6d0bb8f3abdd249eff9eddda6976e1,tidy.table-family-acceptance/v2,sha256:0e62a44a81b5897da07c8f2b25f4a7da6f8506656c68c8777d183ae5d39d7327,sha256:35eaa8ecbd31ea1b8a2882c386995f874ed1f19091707b763348f3b34804bf49,sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,provider-free/offenders-remaining-c4-v1/semantic-map-v1-recipe-v01,replay:sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,011 Murder,2009–10,Number
2022-06-30,2022-06-30,011_MURDER_2011d70f,2009_10_d4eb8e50,OFFENDER_RATE_bf190e83,published-value,published-unit,0.8,observed,0.8,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 18,R8C17,sha256:de24412c68aa9b46d2101580eebfdef425991b745e894f3fa006b90fb42129e7,RecipeV01,sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,sha256:03aa81535a7d9246ef790f18a5f342c24720a4c6dfc0e29d87edc5736a6a2d9f,recorded-crime-offenders,sha256:06822e34a2d58727ed066e883296e5186c6d0bb8f3abdd249eff9eddda6976e1,tidy.table-family-acceptance/v2,sha256:0e62a44a81b5897da07c8f2b25f4a7da6f8506656c68c8777d183ae5d39d7327,sha256:35eaa8ecbd31ea1b8a2882c386995f874ed1f19091707b763348f3b34804bf49,sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,provider-free/offenders-remaining-c4-v1/semantic-map-v1-recipe-v01,replay:sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,011 Murder,2009–10,Offender rate(a)
2022-06-30,2022-06-30,011_MURDER_2011d70f,2010_11_bcb455ae,NUMBER_a081e07b,published-value,published-unit,12,observed,12,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 18,R8C4,sha256:de24412c68aa9b46d2101580eebfdef425991b745e894f3fa006b90fb42129e7,RecipeV01,sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,sha256:03aa81535a7d9246ef790f18a5f342c24720a4c6dfc0e29d87edc5736a6a2d9f,recorded-crime-offenders,sha256:06822e34a2d58727ed066e883296e5186c6d0bb8f3abdd249eff9eddda6976e1,tidy.table-family-acceptance/v2,sha256:0e62a44a81b5897da07c8f2b25f4a7da6f8506656c68c8777d183ae5d39d7327,sha256:35eaa8ecbd31ea1b8a2882c386995f874ed1f19091707b763348f3b34804bf49,sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,provider-free/offenders-remaining-c4-v1/semantic-map-v1-recipe-v01,replay:sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,011 Murder,2010–11,Number
2022-06-30,2022-06-30,011_MURDER_2011d70f,2010_11_bcb455ae,OFFENDER_RATE_bf190e83,published-value,published-unit,0.5,observed,0.5,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 18,R8C18,sha256:de24412c68aa9b46d2101580eebfdef425991b745e894f3fa006b90fb42129e7,RecipeV01,sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,sha256:03aa81535a7d9246ef790f18a5f342c24720a4c6dfc0e29d87edc5736a6a2d9f,recorded-crime-offenders,sha256:06822e34a2d58727ed066e883296e5186c6d0bb8f3abdd249eff9eddda6976e1,tidy.table-family-acceptance/v2,sha256:0e62a44a81b5897da07c8f2b25f4a7da6f8506656c68c8777d183ae5d39d7327,sha256:35eaa8ecbd31ea1b8a2882c386995f874ed1f19091707b763348f3b34804bf49,sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,provider-free/offenders-remaining-c4-v1/semantic-map-v1-recipe-v01,replay:sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,011 Murder,2010–11,Offender rate(a)
2022-06-30,2022-06-30,011_MURDER_2011d70f,2011_12_dd65d86c,NUMBER_a081e07b,published-value,published-unit,16,observed,16,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 18,R8C5,sha256:de24412c68aa9b46d2101580eebfdef425991b745e894f3fa006b90fb42129e7,RecipeV01,sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,sha256:03aa81535a7d9246ef790f18a5f342c24720a4c6dfc0e29d87edc5736a6a2d9f,recorded-crime-offenders,sha256:06822e34a2d58727ed066e883296e5186c6d0bb8f3abdd249eff9eddda6976e1,tidy.table-family-acceptance/v2,sha256:0e62a44a81b5897da07c8f2b25f4a7da6f8506656c68c8777d183ae5d39d7327,sha256:35eaa8ecbd31ea1b8a2882c386995f874ed1f19091707b763348f3b34804bf49,sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,provider-free/offenders-remaining-c4-v1/semantic-map-v1-recipe-v01,replay:sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,011 Murder,2011–12,Number
2022-06-30,2022-06-30,011_MURDER_2011d70f,2011_12_dd65d86c,OFFENDER_RATE_bf190e83,published-value,published-unit,0.7,observed,0.7,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 18,R8C19,sha256:de24412c68aa9b46d2101580eebfdef425991b745e894f3fa006b90fb42129e7,RecipeV01,sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,sha256:03aa81535a7d9246ef790f18a5f342c24720a4c6dfc0e29d87edc5736a6a2d9f,recorded-crime-offenders,sha256:06822e34a2d58727ed066e883296e5186c6d0bb8f3abdd249eff9eddda6976e1,tidy.table-family-acceptance/v2,sha256:0e62a44a81b5897da07c8f2b25f4a7da6f8506656c68c8777d183ae5d39d7327,sha256:35eaa8ecbd31ea1b8a2882c386995f874ed1f19091707b763348f3b34804bf49,sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,provider-free/offenders-remaining-c4-v1/semantic-map-v1-recipe-v01,replay:sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,011 Murder,2011–12,Offender rate(a)
2022-06-30,2022-06-30,011_MURDER_2011d70f,2012_13_94552411,NUMBER_a081e07b,published-value,published-unit,19,observed,19,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 18,R8C6,sha256:de24412c68aa9b46d2101580eebfdef425991b745e894f3fa006b90fb42129e7,RecipeV01,sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,sha256:03aa81535a7d9246ef790f18a5f342c24720a4c6dfc0e29d87edc5736a6a2d9f,recorded-crime-offenders,sha256:06822e34a2d58727ed066e883296e5186c6d0bb8f3abdd249eff9eddda6976e1,tidy.table-family-acceptance/v2,sha256:0e62a44a81b5897da07c8f2b25f4a7da6f8506656c68c8777d183ae5d39d7327,sha256:35eaa8ecbd31ea1b8a2882c386995f874ed1f19091707b763348f3b34804bf49,sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,provider-free/offenders-remaining-c4-v1/semantic-map-v1-recipe-v01,replay:sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,011 Murder,2012–13,Number
2022-06-30,2022-06-30,011_MURDER_2011d70f,2012_13_94552411,OFFENDER_RATE_bf190e83,published-value,published-unit,0.8,observed,0.8,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 18,R8C20,sha256:de24412c68aa9b46d2101580eebfdef425991b745e894f3fa006b90fb42129e7,RecipeV01,sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,sha256:03aa81535a7d9246ef790f18a5f342c24720a4c6dfc0e29d87edc5736a6a2d9f,recorded-crime-offenders,sha256:06822e34a2d58727ed066e883296e5186c6d0bb8f3abdd249eff9eddda6976e1,tidy.table-family-acceptance/v2,sha256:0e62a44a81b5897da07c8f2b25f4a7da6f8506656c68c8777d183ae5d39d7327,sha256:35eaa8ecbd31ea1b8a2882c386995f874ed1f19091707b763348f3b34804bf49,sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,provider-free/offenders-remaining-c4-v1/semantic-map-v1-recipe-v01,replay:sha256:adb1527c6723e676091405ec74f1ed807fda385ff1810c13aae9e5a03e0edc27,011 Murder,2012–13,Offender rate(a)
