reference_date,jurisdiction_id,most_serious_charge_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_jurisdiction,raw_most_serious_charge
2021-06-30,ACT,ANZSOC_04,prisoner-count,person,0,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R19C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,04 Dangerous or negligent acts endangering persons
2021-06-30,ACT,ANZSOC_041,prisoner-count,person,0,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R20C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,041 Dangerous or negligent operation of a vehicle
2021-06-30,ACT,ANZSOC_049,prisoner-count,person,0,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R21C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,049 Other dangerous or negligent acts endangering persons
2021-06-30,ACT,ANZSOC_05,prisoner-count,person,6,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R23C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,"05 Abduction, harassment and other offences against the person"
2021-06-30,ACT,ANZSOC_051,prisoner-count,person,3,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R24C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,051 Abduction and kidnapping
2021-06-30,ACT,ANZSOC_052,prisoner-count,person,0,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R25C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,052 Deprivation of liberty/false imprisonment
2021-06-30,ACT,ANZSOC_053,prisoner-count,person,4,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R26C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,053 Harassment and threatening behaviour
2021-06-30,ACT,ANZSOC_06,prisoner-count,person,6,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R28C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,"06 Robbery, extortion and related offences"
2021-06-30,ACT,ANZSOC_061,prisoner-count,person,6,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R29C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,061 Robbery
2021-06-30,ACT,ANZSOC_07,prisoner-count,person,3,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R31C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,"07 Unlawful entry with intent/burglary, break and enter"
