reference_date,jurisdiction_id,indigenous_status_id,sex_id,legal_status_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,raw_jurisdiction,raw_indigenous_status,raw_sex,raw_legal_status
2023-06-30,ACT,NON_INDIGENOUS,PERSONS,UNSENTENCED,prisoner-count,person,122,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R30C9,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,ACT,NON-INDIGENOUS,Persons,Unsentenced
2023-06-30,ACT,TOTAL,FEMALE,SENTENCED,prisoner-count,person,7,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R38C9,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,ACT,TOTAL,Females,Sentenced
2023-06-30,ACT,TOTAL,FEMALE,TOTAL,prisoner-count,person,24,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R40C9,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,ACT,TOTAL,Females,Total
2023-06-30,ACT,TOTAL,FEMALE,UNSENTENCED,prisoner-count,person,16,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R39C9,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,ACT,TOTAL,Females,Unsentenced
2023-06-30,ACT,TOTAL,MALE,SENTENCED,prisoner-count,person,194,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R34C9,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,ACT,TOTAL,Males,Sentenced
2023-06-30,ACT,TOTAL,MALE,TOTAL,prisoner-count,person,351,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R36C9,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,ACT,TOTAL,Males,Total
2023-06-30,ACT,TOTAL,MALE,UNSENTENCED,prisoner-count,person,157,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R35C9,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,ACT,TOTAL,Males,Unsentenced
2023-06-30,ACT,TOTAL,PERSONS,SENTENCED,prisoner-count,person,204,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R42C9,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,ACT,TOTAL,Persons,Sentenced
2023-06-30,ACT,TOTAL,PERSONS,TOTAL,prisoner-count,person,375,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R44C9,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,ACT,TOTAL,Persons,Total
2023-06-30,ACT,TOTAL,PERSONS,UNSENTENCED,prisoner-count,person,174,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R43C9,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,ACT,TOTAL,Persons,Unsentenced
2023-06-30,AUS,INDIGENOUS,FEMALE,SENTENCED,prisoner-count,person,680,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R12C10,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,Aust.,ABORIGINAL AND TORRES STRAIT ISLANDER,Females,Sentenced
2023-06-30,AUS,INDIGENOUS,FEMALE,TOTAL,prisoner-count,person,1309,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R14C10,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,Aust.,ABORIGINAL AND TORRES STRAIT ISLANDER,Females,Total
2023-06-30,AUS,INDIGENOUS,FEMALE,UNSENTENCED,prisoner-count,person,628,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R13C10,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,Aust.,ABORIGINAL AND TORRES STRAIT ISLANDER,Females,Unsentenced
2023-06-30,AUS,INDIGENOUS,MALE,SENTENCED,prisoner-count,person,7473,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R8C10,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,Aust.,ABORIGINAL AND TORRES STRAIT ISLANDER,Males,Sentenced
2023-06-30,AUS,INDIGENOUS,MALE,TOTAL,prisoner-count,person,12540,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R10C10,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,Aust.,ABORIGINAL AND TORRES STRAIT ISLANDER,Males,Total
2023-06-30,AUS,INDIGENOUS,MALE,UNSENTENCED,prisoner-count,person,5034,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R9C10,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,Aust.,ABORIGINAL AND TORRES STRAIT ISLANDER,Males,Unsentenced
