publication_vintage_date,reference_date,principal_offence_id,sex_id,age_group_id,statistic_basis_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,recipe_protocol,replay_map_digest,c3_row_trace_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_sex,raw_age_group,raw_statistic_basis
2023-06-30,2023-06-30,03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES_ca5a55bd,PERSONS_4d6dccab,MEAN_AGE_YEARS_54827fe2,NUMBER_a081e07b,published-value,published-unit,38.3,observed,38.3,sha256:7d8841f4bf6fd62436867bbd7ab8bd2b34388e347587ff9ebb8bec5aaa303268,Table 39,R28C18,sha256:837c12cf40883ebd6f8312bb8abfc5c2cffb568a3b47cab15d9420031846a7d5,RecipeV01,sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,sha256:0f0b0b827d91a3ce1ec6ce382f95948996d8448e1e175ea2582931b7cfd1ac59,recorded-crime-offenders,sha256:c320bbe5bfec24c4d0e78be1347d67f788c2ee8defb0a96aeb432fd095fbe92b,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:82cd89e67431f4bfba4733b87eea740b2a15ba6d0cd0c739461a149eb49cfe6c,sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,03 Sexual assault and related offences,Persons(d),Mean age (years),Number
2023-06-30,2023-06-30,03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES_ca5a55bd,PERSONS_4d6dccab,MEAN_AGE_YEARS_54827fe2,OFFENDER_RATE_bf190e83,published-value,published-unit,,not_available,na,sha256:7d8841f4bf6fd62436867bbd7ab8bd2b34388e347587ff9ebb8bec5aaa303268,Table 39,R53C18,sha256:837c12cf40883ebd6f8312bb8abfc5c2cffb568a3b47cab15d9420031846a7d5,RecipeV01,sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,sha256:0f0b0b827d91a3ce1ec6ce382f95948996d8448e1e175ea2582931b7cfd1ac59,recorded-crime-offenders,sha256:c320bbe5bfec24c4d0e78be1347d67f788c2ee8defb0a96aeb432fd095fbe92b,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:82cd89e67431f4bfba4733b87eea740b2a15ba6d0cd0c739461a149eb49cfe6c,sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,03 Sexual assault and related offences,Persons(d),Mean age (years),Offender rate(e)
2023-06-30,2023-06-30,03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES_ca5a55bd,PERSONS_4d6dccab,MEDIAN_AGE_YEARS_ada3abad,NUMBER_a081e07b,published-value,published-unit,36,observed,36,sha256:7d8841f4bf6fd62436867bbd7ab8bd2b34388e347587ff9ebb8bec5aaa303268,Table 39,R28C19,sha256:837c12cf40883ebd6f8312bb8abfc5c2cffb568a3b47cab15d9420031846a7d5,RecipeV01,sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,sha256:0f0b0b827d91a3ce1ec6ce382f95948996d8448e1e175ea2582931b7cfd1ac59,recorded-crime-offenders,sha256:c320bbe5bfec24c4d0e78be1347d67f788c2ee8defb0a96aeb432fd095fbe92b,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:82cd89e67431f4bfba4733b87eea740b2a15ba6d0cd0c739461a149eb49cfe6c,sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,03 Sexual assault and related offences,Persons(d),Median age (years),Number
2023-06-30,2023-06-30,03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES_ca5a55bd,PERSONS_4d6dccab,MEDIAN_AGE_YEARS_ada3abad,OFFENDER_RATE_bf190e83,published-value,published-unit,,not_available,na,sha256:7d8841f4bf6fd62436867bbd7ab8bd2b34388e347587ff9ebb8bec5aaa303268,Table 39,R53C19,sha256:837c12cf40883ebd6f8312bb8abfc5c2cffb568a3b47cab15d9420031846a7d5,RecipeV01,sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,sha256:0f0b0b827d91a3ce1ec6ce382f95948996d8448e1e175ea2582931b7cfd1ac59,recorded-crime-offenders,sha256:c320bbe5bfec24c4d0e78be1347d67f788c2ee8defb0a96aeb432fd095fbe92b,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:82cd89e67431f4bfba4733b87eea740b2a15ba6d0cd0c739461a149eb49cfe6c,sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,03 Sexual assault and related offences,Persons(d),Median age (years),Offender rate(e)
2023-06-30,2023-06-30,03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES_ca5a55bd,PERSONS_4d6dccab,TOTAL_10_17_YEARS_8c31c950,NUMBER_a081e07b,published-value,published-unit,264,observed,264,sha256:7d8841f4bf6fd62436867bbd7ab8bd2b34388e347587ff9ebb8bec5aaa303268,Table 39,R28C4,sha256:837c12cf40883ebd6f8312bb8abfc5c2cffb568a3b47cab15d9420031846a7d5,RecipeV01,sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,sha256:0f0b0b827d91a3ce1ec6ce382f95948996d8448e1e175ea2582931b7cfd1ac59,recorded-crime-offenders,sha256:c320bbe5bfec24c4d0e78be1347d67f788c2ee8defb0a96aeb432fd095fbe92b,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:82cd89e67431f4bfba4733b87eea740b2a15ba6d0cd0c739461a149eb49cfe6c,sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,03 Sexual assault and related offences,Persons(d),Total 10–17 years,Number
2023-06-30,2023-06-30,03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES_ca5a55bd,PERSONS_4d6dccab,TOTAL_10_17_YEARS_8c31c950,OFFENDER_RATE_bf190e83,published-value,published-unit,10.2,observed,10.2,sha256:7d8841f4bf6fd62436867bbd7ab8bd2b34388e347587ff9ebb8bec5aaa303268,Table 39,R53C4,sha256:837c12cf40883ebd6f8312bb8abfc5c2cffb568a3b47cab15d9420031846a7d5,RecipeV01,sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,sha256:0f0b0b827d91a3ce1ec6ce382f95948996d8448e1e175ea2582931b7cfd1ac59,recorded-crime-offenders,sha256:c320bbe5bfec24c4d0e78be1347d67f788c2ee8defb0a96aeb432fd095fbe92b,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:82cd89e67431f4bfba4733b87eea740b2a15ba6d0cd0c739461a149eb49cfe6c,sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,03 Sexual assault and related offences,Persons(d),Total 10–17 years,Offender rate(e)
2023-06-30,2023-06-30,03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES_ca5a55bd,PERSONS_4d6dccab,TOTAL_18_YEARS_AND_OVER_6054f36a,NUMBER_a081e07b,published-value,published-unit,2731,observed,2731,sha256:7d8841f4bf6fd62436867bbd7ab8bd2b34388e347587ff9ebb8bec5aaa303268,Table 39,R28C16,sha256:837c12cf40883ebd6f8312bb8abfc5c2cffb568a3b47cab15d9420031846a7d5,RecipeV01,sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,sha256:0f0b0b827d91a3ce1ec6ce382f95948996d8448e1e175ea2582931b7cfd1ac59,recorded-crime-offenders,sha256:c320bbe5bfec24c4d0e78be1347d67f788c2ee8defb0a96aeb432fd095fbe92b,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:82cd89e67431f4bfba4733b87eea740b2a15ba6d0cd0c739461a149eb49cfe6c,sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,03 Sexual assault and related offences,Persons(d),Total 18 years and over,Number
2023-06-30,2023-06-30,03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES_ca5a55bd,PERSONS_4d6dccab,TOTAL_18_YEARS_AND_OVER_6054f36a,OFFENDER_RATE_bf190e83,published-value,published-unit,13.3,observed,13.3,sha256:7d8841f4bf6fd62436867bbd7ab8bd2b34388e347587ff9ebb8bec5aaa303268,Table 39,R53C16,sha256:837c12cf40883ebd6f8312bb8abfc5c2cffb568a3b47cab15d9420031846a7d5,RecipeV01,sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,sha256:0f0b0b827d91a3ce1ec6ce382f95948996d8448e1e175ea2582931b7cfd1ac59,recorded-crime-offenders,sha256:c320bbe5bfec24c4d0e78be1347d67f788c2ee8defb0a96aeb432fd095fbe92b,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:82cd89e67431f4bfba4733b87eea740b2a15ba6d0cd0c739461a149eb49cfe6c,sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,03 Sexual assault and related offences,Persons(d),Total 18 years and over,Offender rate(e)
2023-06-30,2023-06-30,03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES_ca5a55bd,PERSONS_4d6dccab,TOTAL_ab2882c8,NUMBER_a081e07b,published-value,published-unit,2998,observed,2998,sha256:7d8841f4bf6fd62436867bbd7ab8bd2b34388e347587ff9ebb8bec5aaa303268,Table 39,R28C17,sha256:837c12cf40883ebd6f8312bb8abfc5c2cffb568a3b47cab15d9420031846a7d5,RecipeV01,sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,sha256:0f0b0b827d91a3ce1ec6ce382f95948996d8448e1e175ea2582931b7cfd1ac59,recorded-crime-offenders,sha256:c320bbe5bfec24c4d0e78be1347d67f788c2ee8defb0a96aeb432fd095fbe92b,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:82cd89e67431f4bfba4733b87eea740b2a15ba6d0cd0c739461a149eb49cfe6c,sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,03 Sexual assault and related offences,Persons(d),Total(c),Number
2023-06-30,2023-06-30,03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES_ca5a55bd,PERSONS_4d6dccab,TOTAL_ab2882c8,OFFENDER_RATE_bf190e83,published-value,published-unit,12.9,observed,12.9,sha256:7d8841f4bf6fd62436867bbd7ab8bd2b34388e347587ff9ebb8bec5aaa303268,Table 39,R53C17,sha256:837c12cf40883ebd6f8312bb8abfc5c2cffb568a3b47cab15d9420031846a7d5,RecipeV01,sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,sha256:0f0b0b827d91a3ce1ec6ce382f95948996d8448e1e175ea2582931b7cfd1ac59,recorded-crime-offenders,sha256:c320bbe5bfec24c4d0e78be1347d67f788c2ee8defb0a96aeb432fd095fbe92b,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:82cd89e67431f4bfba4733b87eea740b2a15ba6d0cd0c739461a149eb49cfe6c,sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:52c9df4da4dfd0cba23b180925a1f9371b0904a1126eadca470b133afbff82fd,03 Sexual assault and related offences,Persons(d),Total(c),Offender rate(e)
