publication_vintage_date,reference_date,characteristic_category_id,sex_id,principal_offence_id,court_level_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_sex,raw_principal_offence,raw_court_level
2025-06-30,2025-06-30,CHAR_10_14_YEARS,FEMALE,ANZSOC2023_01,CHILDRENS_COURTS,defendant-count,person,0,observed,0,sha256:086e5b5e79ad778632db673578aeede249cf8c2563c0c43b7338d09687e8a684,Table 3,R152C2,sha256:50aa5eed0262c983256576c330a9f651d356e44f0f22a04ffe34c8f759643c43,criminal-courts-australia,sha256:276cba4d03d331d4825f260faa4cd7c4235273bf7132bf9e94b0493c39a3ae07,tidy.table-family-acceptance/v1,sha256:dad26fa882feb3980ad8125c022809aaf963ed9b0383ddf7a6a86a04aae34f42,sha256:dd66549b327ac75cf05f6beb6b6f05f0382c463d930fb80d582e6bee594ec58b,sha256:44d591e251da623ac098cff3824a82ac7ef80536952478e82a3218aebc386a7b,human-authored/deterministic-map-v1,replay:sha256:6d7b3119677e597c6bd7645cfeca81cc40674770a9c9c5e6b6c6a44f1a506fca,10–14 years,Females,01 Homicide(a),Children's Courts
2025-06-30,2025-06-30,CHAR_10_14_YEARS,FEMALE,ANZSOC2023_02,CHILDRENS_COURTS,defendant-count,person,606,observed,606,sha256:086e5b5e79ad778632db673578aeede249cf8c2563c0c43b7338d09687e8a684,Table 3,R152C3,sha256:50aa5eed0262c983256576c330a9f651d356e44f0f22a04ffe34c8f759643c43,criminal-courts-australia,sha256:276cba4d03d331d4825f260faa4cd7c4235273bf7132bf9e94b0493c39a3ae07,tidy.table-family-acceptance/v1,sha256:dad26fa882feb3980ad8125c022809aaf963ed9b0383ddf7a6a86a04aae34f42,sha256:dd66549b327ac75cf05f6beb6b6f05f0382c463d930fb80d582e6bee594ec58b,sha256:44d591e251da623ac098cff3824a82ac7ef80536952478e82a3218aebc386a7b,human-authored/deterministic-map-v1,replay:sha256:6d7b3119677e597c6bd7645cfeca81cc40674770a9c9c5e6b6c6a44f1a506fca,10–14 years,Females,02 Assault,Children's Courts
2025-06-30,2025-06-30,CHAR_10_14_YEARS,FEMALE,ANZSOC2023_03,CHILDRENS_COURTS,defendant-count,person,0,observed,0,sha256:086e5b5e79ad778632db673578aeede249cf8c2563c0c43b7338d09687e8a684,Table 3,R152C4,sha256:50aa5eed0262c983256576c330a9f651d356e44f0f22a04ffe34c8f759643c43,criminal-courts-australia,sha256:276cba4d03d331d4825f260faa4cd7c4235273bf7132bf9e94b0493c39a3ae07,tidy.table-family-acceptance/v1,sha256:dad26fa882feb3980ad8125c022809aaf963ed9b0383ddf7a6a86a04aae34f42,sha256:dd66549b327ac75cf05f6beb6b6f05f0382c463d930fb80d582e6bee594ec58b,sha256:44d591e251da623ac098cff3824a82ac7ef80536952478e82a3218aebc386a7b,human-authored/deterministic-map-v1,replay:sha256:6d7b3119677e597c6bd7645cfeca81cc40674770a9c9c5e6b6c6a44f1a506fca,10–14 years,Females,03 Sexual offences,Children's Courts
2025-06-30,2025-06-30,CHAR_10_14_YEARS,FEMALE,ANZSOC2023_04,CHILDRENS_COURTS,defendant-count,person,57,observed,57,sha256:086e5b5e79ad778632db673578aeede249cf8c2563c0c43b7338d09687e8a684,Table 3,R152C5,sha256:50aa5eed0262c983256576c330a9f651d356e44f0f22a04ffe34c8f759643c43,criminal-courts-australia,sha256:276cba4d03d331d4825f260faa4cd7c4235273bf7132bf9e94b0493c39a3ae07,tidy.table-family-acceptance/v1,sha256:dad26fa882feb3980ad8125c022809aaf963ed9b0383ddf7a6a86a04aae34f42,sha256:dd66549b327ac75cf05f6beb6b6f05f0382c463d930fb80d582e6bee594ec58b,sha256:44d591e251da623ac098cff3824a82ac7ef80536952478e82a3218aebc386a7b,human-authored/deterministic-map-v1,replay:sha256:6d7b3119677e597c6bd7645cfeca81cc40674770a9c9c5e6b6c6a44f1a506fca,10–14 years,Females,04 Harm or endanger persons(b),Children's Courts
2025-06-30,2025-06-30,CHAR_10_14_YEARS,FEMALE,ANZSOC2023_05,CHILDRENS_COURTS,defendant-count,person,109,observed,109,sha256:086e5b5e79ad778632db673578aeede249cf8c2563c0c43b7338d09687e8a684,Table 3,R152C6,sha256:50aa5eed0262c983256576c330a9f651d356e44f0f22a04ffe34c8f759643c43,criminal-courts-australia,sha256:276cba4d03d331d4825f260faa4cd7c4235273bf7132bf9e94b0493c39a3ae07,tidy.table-family-acceptance/v1,sha256:dad26fa882feb3980ad8125c022809aaf963ed9b0383ddf7a6a86a04aae34f42,sha256:dd66549b327ac75cf05f6beb6b6f05f0382c463d930fb80d582e6bee594ec58b,sha256:44d591e251da623ac098cff3824a82ac7ef80536952478e82a3218aebc386a7b,human-authored/deterministic-map-v1,replay:sha256:6d7b3119677e597c6bd7645cfeca81cc40674770a9c9c5e6b6c6a44f1a506fca,10–14 years,Females,"05 Robbery, blackmail, and extortion",Children's Courts
2025-06-30,2025-06-30,CHAR_10_14_YEARS,FEMALE,ANZSOC2023_06,CHILDRENS_COURTS,defendant-count,person,136,observed,136,sha256:086e5b5e79ad778632db673578aeede249cf8c2563c0c43b7338d09687e8a684,Table 3,R152C7,sha256:50aa5eed0262c983256576c330a9f651d356e44f0f22a04ffe34c8f759643c43,criminal-courts-australia,sha256:276cba4d03d331d4825f260faa4cd7c4235273bf7132bf9e94b0493c39a3ae07,tidy.table-family-acceptance/v1,sha256:dad26fa882feb3980ad8125c022809aaf963ed9b0383ddf7a6a86a04aae34f42,sha256:dd66549b327ac75cf05f6beb6b6f05f0382c463d930fb80d582e6bee594ec58b,sha256:44d591e251da623ac098cff3824a82ac7ef80536952478e82a3218aebc386a7b,human-authored/deterministic-map-v1,replay:sha256:6d7b3119677e597c6bd7645cfeca81cc40674770a9c9c5e6b6c6a44f1a506fca,10–14 years,Females,06 Burglary,Children's Courts
2025-06-30,2025-06-30,CHAR_10_14_YEARS,FEMALE,ANZSOC2023_07,CHILDRENS_COURTS,defendant-count,person,447,observed,447,sha256:086e5b5e79ad778632db673578aeede249cf8c2563c0c43b7338d09687e8a684,Table 3,R152C8,sha256:50aa5eed0262c983256576c330a9f651d356e44f0f22a04ffe34c8f759643c43,criminal-courts-australia,sha256:276cba4d03d331d4825f260faa4cd7c4235273bf7132bf9e94b0493c39a3ae07,tidy.table-family-acceptance/v1,sha256:dad26fa882feb3980ad8125c022809aaf963ed9b0383ddf7a6a86a04aae34f42,sha256:dd66549b327ac75cf05f6beb6b6f05f0382c463d930fb80d582e6bee594ec58b,sha256:44d591e251da623ac098cff3824a82ac7ef80536952478e82a3218aebc386a7b,human-authored/deterministic-map-v1,replay:sha256:6d7b3119677e597c6bd7645cfeca81cc40674770a9c9c5e6b6c6a44f1a506fca,10–14 years,Females,07 Theft,Children's Courts
2025-06-30,2025-06-30,CHAR_10_14_YEARS,FEMALE,ANZSOC2023_08,CHILDRENS_COURTS,defendant-count,person,11,observed,11,sha256:086e5b5e79ad778632db673578aeede249cf8c2563c0c43b7338d09687e8a684,Table 3,R152C9,sha256:50aa5eed0262c983256576c330a9f651d356e44f0f22a04ffe34c8f759643c43,criminal-courts-australia,sha256:276cba4d03d331d4825f260faa4cd7c4235273bf7132bf9e94b0493c39a3ae07,tidy.table-family-acceptance/v1,sha256:dad26fa882feb3980ad8125c022809aaf963ed9b0383ddf7a6a86a04aae34f42,sha256:dd66549b327ac75cf05f6beb6b6f05f0382c463d930fb80d582e6bee594ec58b,sha256:44d591e251da623ac098cff3824a82ac7ef80536952478e82a3218aebc386a7b,human-authored/deterministic-map-v1,replay:sha256:6d7b3119677e597c6bd7645cfeca81cc40674770a9c9c5e6b6c6a44f1a506fca,10–14 years,Females,08 Fraud and related offences,Children's Courts
2025-06-30,2025-06-30,CHAR_10_14_YEARS,FEMALE,ANZSOC2023_09,CHILDRENS_COURTS,defendant-count,person,8,observed,8,sha256:086e5b5e79ad778632db673578aeede249cf8c2563c0c43b7338d09687e8a684,Table 3,R152C10,sha256:50aa5eed0262c983256576c330a9f651d356e44f0f22a04ffe34c8f759643c43,criminal-courts-australia,sha256:276cba4d03d331d4825f260faa4cd7c4235273bf7132bf9e94b0493c39a3ae07,tidy.table-family-acceptance/v1,sha256:dad26fa882feb3980ad8125c022809aaf963ed9b0383ddf7a6a86a04aae34f42,sha256:dd66549b327ac75cf05f6beb6b6f05f0382c463d930fb80d582e6bee594ec58b,sha256:44d591e251da623ac098cff3824a82ac7ef80536952478e82a3218aebc386a7b,human-authored/deterministic-map-v1,replay:sha256:6d7b3119677e597c6bd7645cfeca81cc40674770a9c9c5e6b6c6a44f1a506fca,10–14 years,Females,09 Drug offences,Children's Courts
2025-06-30,2025-06-30,CHAR_10_14_YEARS,FEMALE,ANZSOC2023_10,CHILDRENS_COURTS,defendant-count,person,15,observed,15,sha256:086e5b5e79ad778632db673578aeede249cf8c2563c0c43b7338d09687e8a684,Table 3,R152C11,sha256:50aa5eed0262c983256576c330a9f651d356e44f0f22a04ffe34c8f759643c43,criminal-courts-australia,sha256:276cba4d03d331d4825f260faa4cd7c4235273bf7132bf9e94b0493c39a3ae07,tidy.table-family-acceptance/v1,sha256:dad26fa882feb3980ad8125c022809aaf963ed9b0383ddf7a6a86a04aae34f42,sha256:dd66549b327ac75cf05f6beb6b6f05f0382c463d930fb80d582e6bee594ec58b,sha256:44d591e251da623ac098cff3824a82ac7ef80536952478e82a3218aebc386a7b,human-authored/deterministic-map-v1,replay:sha256:6d7b3119677e597c6bd7645cfeca81cc40674770a9c9c5e6b6c6a44f1a506fca,10–14 years,Females,10 Weapons and explosives offences,Children's Courts
