publication_vintage_date,reference_date,principal_offence_id,observation_period_id,statistic_basis_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_observation_period,raw_statistic_basis
2022-06-30,2009-06-30,ANZSOC_021,2009-06-30,COUNT,offender-count,person,69218,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 1,R13C2,sha256:06ef3920b268f01d3b5b0028f470118e97abe0f05761efd7054ddeaa6e9ddf9f,recorded-crime-offenders,sha256:8dfe883c39f227b3d3344dc9a14a99679d92242d4c269c9a62815ce5d8b907b7,tidy.table-family-acceptance/v1,sha256:d0853d81a71333c49fc634e09e807fca11f12cd93fc50d365e19dffa7f4b54e3,sha256:91a3130ebe3aa5f4b28bb1be4ffc2758567090a03a7e9b7b5b335596b3c62028,sha256:dea9b6e66c745dc87b5549722a065d66f454f3681325821df0de601c36c6e39b,human-authored/deterministic-map-v1,replay:sha256:f6b08d0e0fdc2a0b8263f8b28a39ebba470d6fe08f65fbdd3892f11da28d89e8,021 Assault,2008–09,Number
2022-06-30,2009-06-30,ANZSOC_021,2009-06-30,RATE,offender-rate,per-100000-persons-aged-10-plus,369.6,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 1,R13C16,sha256:06ef3920b268f01d3b5b0028f470118e97abe0f05761efd7054ddeaa6e9ddf9f,recorded-crime-offenders,sha256:8dfe883c39f227b3d3344dc9a14a99679d92242d4c269c9a62815ce5d8b907b7,tidy.table-family-acceptance/v1,sha256:d0853d81a71333c49fc634e09e807fca11f12cd93fc50d365e19dffa7f4b54e3,sha256:91a3130ebe3aa5f4b28bb1be4ffc2758567090a03a7e9b7b5b335596b3c62028,sha256:dea9b6e66c745dc87b5549722a065d66f454f3681325821df0de601c36c6e39b,human-authored/deterministic-map-v1,replay:sha256:f6b08d0e0fdc2a0b8263f8b28a39ebba470d6fe08f65fbdd3892f11da28d89e8,021 Assault,2008–09,Offender rate(a)
2022-06-30,2009-06-30,ANZSOC_029,2009-06-30,COUNT,offender-count,person,2728,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 1,R14C2,sha256:06ef3920b268f01d3b5b0028f470118e97abe0f05761efd7054ddeaa6e9ddf9f,recorded-crime-offenders,sha256:8dfe883c39f227b3d3344dc9a14a99679d92242d4c269c9a62815ce5d8b907b7,tidy.table-family-acceptance/v1,sha256:d0853d81a71333c49fc634e09e807fca11f12cd93fc50d365e19dffa7f4b54e3,sha256:91a3130ebe3aa5f4b28bb1be4ffc2758567090a03a7e9b7b5b335596b3c62028,sha256:dea9b6e66c745dc87b5549722a065d66f454f3681325821df0de601c36c6e39b,human-authored/deterministic-map-v1,replay:sha256:f6b08d0e0fdc2a0b8263f8b28a39ebba470d6fe08f65fbdd3892f11da28d89e8,029 Other acts intended to cause injury,2008–09,Number
2022-06-30,2009-06-30,ANZSOC_029,2009-06-30,RATE,offender-rate,per-100000-persons-aged-10-plus,14.6,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 1,R14C16,sha256:06ef3920b268f01d3b5b0028f470118e97abe0f05761efd7054ddeaa6e9ddf9f,recorded-crime-offenders,sha256:8dfe883c39f227b3d3344dc9a14a99679d92242d4c269c9a62815ce5d8b907b7,tidy.table-family-acceptance/v1,sha256:d0853d81a71333c49fc634e09e807fca11f12cd93fc50d365e19dffa7f4b54e3,sha256:91a3130ebe3aa5f4b28bb1be4ffc2758567090a03a7e9b7b5b335596b3c62028,sha256:dea9b6e66c745dc87b5549722a065d66f454f3681325821df0de601c36c6e39b,human-authored/deterministic-map-v1,replay:sha256:f6b08d0e0fdc2a0b8263f8b28a39ebba470d6fe08f65fbdd3892f11da28d89e8,029 Other acts intended to cause injury,2008–09,Offender rate(a)
2022-06-30,2009-06-30,ANZSOC_03,2009-06-30,COUNT,offender-count,person,6340,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 1,R16C2,sha256:06ef3920b268f01d3b5b0028f470118e97abe0f05761efd7054ddeaa6e9ddf9f,recorded-crime-offenders,sha256:8dfe883c39f227b3d3344dc9a14a99679d92242d4c269c9a62815ce5d8b907b7,tidy.table-family-acceptance/v1,sha256:d0853d81a71333c49fc634e09e807fca11f12cd93fc50d365e19dffa7f4b54e3,sha256:91a3130ebe3aa5f4b28bb1be4ffc2758567090a03a7e9b7b5b335596b3c62028,sha256:dea9b6e66c745dc87b5549722a065d66f454f3681325821df0de601c36c6e39b,human-authored/deterministic-map-v1,replay:sha256:f6b08d0e0fdc2a0b8263f8b28a39ebba470d6fe08f65fbdd3892f11da28d89e8,03 Sexual assault and related offences(f),2008–09,Number
2022-06-30,2009-06-30,ANZSOC_03,2009-06-30,RATE,offender-rate,per-100000-persons-aged-10-plus,33.9,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 1,R16C16,sha256:06ef3920b268f01d3b5b0028f470118e97abe0f05761efd7054ddeaa6e9ddf9f,recorded-crime-offenders,sha256:8dfe883c39f227b3d3344dc9a14a99679d92242d4c269c9a62815ce5d8b907b7,tidy.table-family-acceptance/v1,sha256:d0853d81a71333c49fc634e09e807fca11f12cd93fc50d365e19dffa7f4b54e3,sha256:91a3130ebe3aa5f4b28bb1be4ffc2758567090a03a7e9b7b5b335596b3c62028,sha256:dea9b6e66c745dc87b5549722a065d66f454f3681325821df0de601c36c6e39b,human-authored/deterministic-map-v1,replay:sha256:f6b08d0e0fdc2a0b8263f8b28a39ebba470d6fe08f65fbdd3892f11da28d89e8,03 Sexual assault and related offences(f),2008–09,Offender rate(a)
2022-06-30,2009-06-30,ANZSOC_031,2009-06-30,COUNT,offender-count,person,4979,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 1,R17C2,sha256:06ef3920b268f01d3b5b0028f470118e97abe0f05761efd7054ddeaa6e9ddf9f,recorded-crime-offenders,sha256:8dfe883c39f227b3d3344dc9a14a99679d92242d4c269c9a62815ce5d8b907b7,tidy.table-family-acceptance/v1,sha256:d0853d81a71333c49fc634e09e807fca11f12cd93fc50d365e19dffa7f4b54e3,sha256:91a3130ebe3aa5f4b28bb1be4ffc2758567090a03a7e9b7b5b335596b3c62028,sha256:dea9b6e66c745dc87b5549722a065d66f454f3681325821df0de601c36c6e39b,human-authored/deterministic-map-v1,replay:sha256:f6b08d0e0fdc2a0b8263f8b28a39ebba470d6fe08f65fbdd3892f11da28d89e8,031 Sexual assault,2008–09,Number
2022-06-30,2009-06-30,ANZSOC_031,2009-06-30,RATE,offender-rate,per-100000-persons-aged-10-plus,26.6,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 1,R17C16,sha256:06ef3920b268f01d3b5b0028f470118e97abe0f05761efd7054ddeaa6e9ddf9f,recorded-crime-offenders,sha256:8dfe883c39f227b3d3344dc9a14a99679d92242d4c269c9a62815ce5d8b907b7,tidy.table-family-acceptance/v1,sha256:d0853d81a71333c49fc634e09e807fca11f12cd93fc50d365e19dffa7f4b54e3,sha256:91a3130ebe3aa5f4b28bb1be4ffc2758567090a03a7e9b7b5b335596b3c62028,sha256:dea9b6e66c745dc87b5549722a065d66f454f3681325821df0de601c36c6e39b,human-authored/deterministic-map-v1,replay:sha256:f6b08d0e0fdc2a0b8263f8b28a39ebba470d6fe08f65fbdd3892f11da28d89e8,031 Sexual assault,2008–09,Offender rate(a)
2022-06-30,2009-06-30,ANZSOC_032,2009-06-30,COUNT,offender-count,person,1363,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 1,R18C2,sha256:06ef3920b268f01d3b5b0028f470118e97abe0f05761efd7054ddeaa6e9ddf9f,recorded-crime-offenders,sha256:8dfe883c39f227b3d3344dc9a14a99679d92242d4c269c9a62815ce5d8b907b7,tidy.table-family-acceptance/v1,sha256:d0853d81a71333c49fc634e09e807fca11f12cd93fc50d365e19dffa7f4b54e3,sha256:91a3130ebe3aa5f4b28bb1be4ffc2758567090a03a7e9b7b5b335596b3c62028,sha256:dea9b6e66c745dc87b5549722a065d66f454f3681325821df0de601c36c6e39b,human-authored/deterministic-map-v1,replay:sha256:f6b08d0e0fdc2a0b8263f8b28a39ebba470d6fe08f65fbdd3892f11da28d89e8,032 Non–assaultive sexual offences,2008–09,Number
2022-06-30,2009-06-30,ANZSOC_032,2009-06-30,RATE,offender-rate,per-100000-persons-aged-10-plus,7.3,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 1,R18C16,sha256:06ef3920b268f01d3b5b0028f470118e97abe0f05761efd7054ddeaa6e9ddf9f,recorded-crime-offenders,sha256:8dfe883c39f227b3d3344dc9a14a99679d92242d4c269c9a62815ce5d8b907b7,tidy.table-family-acceptance/v1,sha256:d0853d81a71333c49fc634e09e807fca11f12cd93fc50d365e19dffa7f4b54e3,sha256:91a3130ebe3aa5f4b28bb1be4ffc2758567090a03a7e9b7b5b335596b3c62028,sha256:dea9b6e66c745dc87b5549722a065d66f454f3681325821df0de601c36c6e39b,human-authored/deterministic-map-v1,replay:sha256:f6b08d0e0fdc2a0b8263f8b28a39ebba470d6fe08f65fbdd3892f11da28d89e8,032 Non–assaultive sexual offences,2008–09,Offender rate(a)
2022-06-30,2009-06-30,ANZSOC_04,2009-06-30,COUNT,offender-count,person,1680,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 1,R20C2,sha256:06ef3920b268f01d3b5b0028f470118e97abe0f05761efd7054ddeaa6e9ddf9f,recorded-crime-offenders,sha256:8dfe883c39f227b3d3344dc9a14a99679d92242d4c269c9a62815ce5d8b907b7,tidy.table-family-acceptance/v1,sha256:d0853d81a71333c49fc634e09e807fca11f12cd93fc50d365e19dffa7f4b54e3,sha256:91a3130ebe3aa5f4b28bb1be4ffc2758567090a03a7e9b7b5b335596b3c62028,sha256:dea9b6e66c745dc87b5549722a065d66f454f3681325821df0de601c36c6e39b,human-authored/deterministic-map-v1,replay:sha256:f6b08d0e0fdc2a0b8263f8b28a39ebba470d6fe08f65fbdd3892f11da28d89e8,04 Dangerous/negligent acts(g),2008–09,Number
2022-06-30,2009-06-30,ANZSOC_04,2009-06-30,RATE,offender-rate,per-100000-persons-aged-10-plus,9,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 1,R20C16,sha256:06ef3920b268f01d3b5b0028f470118e97abe0f05761efd7054ddeaa6e9ddf9f,recorded-crime-offenders,sha256:8dfe883c39f227b3d3344dc9a14a99679d92242d4c269c9a62815ce5d8b907b7,tidy.table-family-acceptance/v1,sha256:d0853d81a71333c49fc634e09e807fca11f12cd93fc50d365e19dffa7f4b54e3,sha256:91a3130ebe3aa5f4b28bb1be4ffc2758567090a03a7e9b7b5b335596b3c62028,sha256:dea9b6e66c745dc87b5549722a065d66f454f3681325821df0de601c36c6e39b,human-authored/deterministic-map-v1,replay:sha256:f6b08d0e0fdc2a0b8263f8b28a39ebba470d6fe08f65fbdd3892f11da28d89e8,04 Dangerous/negligent acts(g),2008–09,Offender rate(a)
2022-06-30,2009-06-30,ANZSOC_05,2009-06-30,COUNT,offender-count,person,3598,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 1,R22C2,sha256:06ef3920b268f01d3b5b0028f470118e97abe0f05761efd7054ddeaa6e9ddf9f,recorded-crime-offenders,sha256:8dfe883c39f227b3d3344dc9a14a99679d92242d4c269c9a62815ce5d8b907b7,tidy.table-family-acceptance/v1,sha256:d0853d81a71333c49fc634e09e807fca11f12cd93fc50d365e19dffa7f4b54e3,sha256:91a3130ebe3aa5f4b28bb1be4ffc2758567090a03a7e9b7b5b335596b3c62028,sha256:dea9b6e66c745dc87b5549722a065d66f454f3681325821df0de601c36c6e39b,human-authored/deterministic-map-v1,replay:sha256:f6b08d0e0fdc2a0b8263f8b28a39ebba470d6fe08f65fbdd3892f11da28d89e8,05 Abduction/harassment,2008–09,Number
2022-06-30,2009-06-30,ANZSOC_05,2009-06-30,RATE,offender-rate,per-100000-persons-aged-10-plus,19.2,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 1,R22C16,sha256:06ef3920b268f01d3b5b0028f470118e97abe0f05761efd7054ddeaa6e9ddf9f,recorded-crime-offenders,sha256:8dfe883c39f227b3d3344dc9a14a99679d92242d4c269c9a62815ce5d8b907b7,tidy.table-family-acceptance/v1,sha256:d0853d81a71333c49fc634e09e807fca11f12cd93fc50d365e19dffa7f4b54e3,sha256:91a3130ebe3aa5f4b28bb1be4ffc2758567090a03a7e9b7b5b335596b3c62028,sha256:dea9b6e66c745dc87b5549722a065d66f454f3681325821df0de601c36c6e39b,human-authored/deterministic-map-v1,replay:sha256:f6b08d0e0fdc2a0b8263f8b28a39ebba470d6fe08f65fbdd3892f11da28d89e8,05 Abduction/harassment,2008–09,Offender rate(a)
2022-06-30,2009-06-30,ANZSOC_06,2009-06-30,COUNT,offender-count,person,3911,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 1,R24C2,sha256:06ef3920b268f01d3b5b0028f470118e97abe0f05761efd7054ddeaa6e9ddf9f,recorded-crime-offenders,sha256:8dfe883c39f227b3d3344dc9a14a99679d92242d4c269c9a62815ce5d8b907b7,tidy.table-family-acceptance/v1,sha256:d0853d81a71333c49fc634e09e807fca11f12cd93fc50d365e19dffa7f4b54e3,sha256:91a3130ebe3aa5f4b28bb1be4ffc2758567090a03a7e9b7b5b335596b3c62028,sha256:dea9b6e66c745dc87b5549722a065d66f454f3681325821df0de601c36c6e39b,human-authored/deterministic-map-v1,replay:sha256:f6b08d0e0fdc2a0b8263f8b28a39ebba470d6fe08f65fbdd3892f11da28d89e8,06 Robbery/extortion,2008–09,Number
2022-06-30,2009-06-30,ANZSOC_06,2009-06-30,RATE,offender-rate,per-100000-persons-aged-10-plus,20.9,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 1,R24C16,sha256:06ef3920b268f01d3b5b0028f470118e97abe0f05761efd7054ddeaa6e9ddf9f,recorded-crime-offenders,sha256:8dfe883c39f227b3d3344dc9a14a99679d92242d4c269c9a62815ce5d8b907b7,tidy.table-family-acceptance/v1,sha256:d0853d81a71333c49fc634e09e807fca11f12cd93fc50d365e19dffa7f4b54e3,sha256:91a3130ebe3aa5f4b28bb1be4ffc2758567090a03a7e9b7b5b335596b3c62028,sha256:dea9b6e66c745dc87b5549722a065d66f454f3681325821df0de601c36c6e39b,human-authored/deterministic-map-v1,replay:sha256:f6b08d0e0fdc2a0b8263f8b28a39ebba470d6fe08f65fbdd3892f11da28d89e8,06 Robbery/extortion,2008–09,Offender rate(a)
2022-06-30,2009-06-30,ANZSOC_07,2009-06-30,COUNT,offender-count,person,15887,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 1,R26C2,sha256:06ef3920b268f01d3b5b0028f470118e97abe0f05761efd7054ddeaa6e9ddf9f,recorded-crime-offenders,sha256:8dfe883c39f227b3d3344dc9a14a99679d92242d4c269c9a62815ce5d8b907b7,tidy.table-family-acceptance/v1,sha256:d0853d81a71333c49fc634e09e807fca11f12cd93fc50d365e19dffa7f4b54e3,sha256:91a3130ebe3aa5f4b28bb1be4ffc2758567090a03a7e9b7b5b335596b3c62028,sha256:dea9b6e66c745dc87b5549722a065d66f454f3681325821df0de601c36c6e39b,human-authored/deterministic-map-v1,replay:sha256:f6b08d0e0fdc2a0b8263f8b28a39ebba470d6fe08f65fbdd3892f11da28d89e8,07 Unlawful entry with intent,2008–09,Number
2022-06-30,2009-06-30,ANZSOC_07,2009-06-30,RATE,offender-rate,per-100000-persons-aged-10-plus,84.8,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 1,R26C16,sha256:06ef3920b268f01d3b5b0028f470118e97abe0f05761efd7054ddeaa6e9ddf9f,recorded-crime-offenders,sha256:8dfe883c39f227b3d3344dc9a14a99679d92242d4c269c9a62815ce5d8b907b7,tidy.table-family-acceptance/v1,sha256:d0853d81a71333c49fc634e09e807fca11f12cd93fc50d365e19dffa7f4b54e3,sha256:91a3130ebe3aa5f4b28bb1be4ffc2758567090a03a7e9b7b5b335596b3c62028,sha256:dea9b6e66c745dc87b5549722a065d66f454f3681325821df0de601c36c6e39b,human-authored/deterministic-map-v1,replay:sha256:f6b08d0e0fdc2a0b8263f8b28a39ebba470d6fe08f65fbdd3892f11da28d89e8,07 Unlawful entry with intent,2008–09,Offender rate(a)
2022-06-30,2009-06-30,ANZSOC_08,2009-06-30,COUNT,offender-count,person,58941,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 1,R28C2,sha256:06ef3920b268f01d3b5b0028f470118e97abe0f05761efd7054ddeaa6e9ddf9f,recorded-crime-offenders,sha256:8dfe883c39f227b3d3344dc9a14a99679d92242d4c269c9a62815ce5d8b907b7,tidy.table-family-acceptance/v1,sha256:d0853d81a71333c49fc634e09e807fca11f12cd93fc50d365e19dffa7f4b54e3,sha256:91a3130ebe3aa5f4b28bb1be4ffc2758567090a03a7e9b7b5b335596b3c62028,sha256:dea9b6e66c745dc87b5549722a065d66f454f3681325821df0de601c36c6e39b,human-authored/deterministic-map-v1,replay:sha256:f6b08d0e0fdc2a0b8263f8b28a39ebba470d6fe08f65fbdd3892f11da28d89e8,08 Theft(h)(i),2008–09,Number
