publication_vintage_date,reference_date,principal_offence_id,observation_period_id,statistic_basis_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_observation_period,raw_statistic_basis
2022-06-30,2009-06-30,ANZSOC_01,2009-06-30,COUNT,offender-count,person,816,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 1,R7C2,sha256:06ef3920b268f01d3b5b0028f470118e97abe0f05761efd7054ddeaa6e9ddf9f,recorded-crime-offenders,sha256:8dfe883c39f227b3d3344dc9a14a99679d92242d4c269c9a62815ce5d8b907b7,tidy.table-family-acceptance/v1,sha256:d0853d81a71333c49fc634e09e807fca11f12cd93fc50d365e19dffa7f4b54e3,sha256:91a3130ebe3aa5f4b28bb1be4ffc2758567090a03a7e9b7b5b335596b3c62028,sha256:dea9b6e66c745dc87b5549722a065d66f454f3681325821df0de601c36c6e39b,human-authored/deterministic-map-v1,replay:sha256:f6b08d0e0fdc2a0b8263f8b28a39ebba470d6fe08f65fbdd3892f11da28d89e8,01 Homicide and related offences(d),2008–09,Number
2022-06-30,2009-06-30,ANZSOC_01,2009-06-30,RATE,offender-rate,per-100000-persons-aged-10-plus,4.4,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 1,R7C16,sha256:06ef3920b268f01d3b5b0028f470118e97abe0f05761efd7054ddeaa6e9ddf9f,recorded-crime-offenders,sha256:8dfe883c39f227b3d3344dc9a14a99679d92242d4c269c9a62815ce5d8b907b7,tidy.table-family-acceptance/v1,sha256:d0853d81a71333c49fc634e09e807fca11f12cd93fc50d365e19dffa7f4b54e3,sha256:91a3130ebe3aa5f4b28bb1be4ffc2758567090a03a7e9b7b5b335596b3c62028,sha256:dea9b6e66c745dc87b5549722a065d66f454f3681325821df0de601c36c6e39b,human-authored/deterministic-map-v1,replay:sha256:f6b08d0e0fdc2a0b8263f8b28a39ebba470d6fe08f65fbdd3892f11da28d89e8,01 Homicide and related offences(d),2008–09,Offender rate(a)
2022-06-30,2009-06-30,ANZSOC_011,2009-06-30,COUNT,offender-count,person,318,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 1,R8C2,sha256:06ef3920b268f01d3b5b0028f470118e97abe0f05761efd7054ddeaa6e9ddf9f,recorded-crime-offenders,sha256:8dfe883c39f227b3d3344dc9a14a99679d92242d4c269c9a62815ce5d8b907b7,tidy.table-family-acceptance/v1,sha256:d0853d81a71333c49fc634e09e807fca11f12cd93fc50d365e19dffa7f4b54e3,sha256:91a3130ebe3aa5f4b28bb1be4ffc2758567090a03a7e9b7b5b335596b3c62028,sha256:dea9b6e66c745dc87b5549722a065d66f454f3681325821df0de601c36c6e39b,human-authored/deterministic-map-v1,replay:sha256:f6b08d0e0fdc2a0b8263f8b28a39ebba470d6fe08f65fbdd3892f11da28d89e8,011 Murder,2008–09,Number
2022-06-30,2009-06-30,ANZSOC_011,2009-06-30,RATE,offender-rate,per-100000-persons-aged-10-plus,1.7,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 1,R8C16,sha256:06ef3920b268f01d3b5b0028f470118e97abe0f05761efd7054ddeaa6e9ddf9f,recorded-crime-offenders,sha256:8dfe883c39f227b3d3344dc9a14a99679d92242d4c269c9a62815ce5d8b907b7,tidy.table-family-acceptance/v1,sha256:d0853d81a71333c49fc634e09e807fca11f12cd93fc50d365e19dffa7f4b54e3,sha256:91a3130ebe3aa5f4b28bb1be4ffc2758567090a03a7e9b7b5b335596b3c62028,sha256:dea9b6e66c745dc87b5549722a065d66f454f3681325821df0de601c36c6e39b,human-authored/deterministic-map-v1,replay:sha256:f6b08d0e0fdc2a0b8263f8b28a39ebba470d6fe08f65fbdd3892f11da28d89e8,011 Murder,2008–09,Offender rate(a)
2022-06-30,2009-06-30,ANZSOC_012,2009-06-30,COUNT,offender-count,person,232,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 1,R9C2,sha256:06ef3920b268f01d3b5b0028f470118e97abe0f05761efd7054ddeaa6e9ddf9f,recorded-crime-offenders,sha256:8dfe883c39f227b3d3344dc9a14a99679d92242d4c269c9a62815ce5d8b907b7,tidy.table-family-acceptance/v1,sha256:d0853d81a71333c49fc634e09e807fca11f12cd93fc50d365e19dffa7f4b54e3,sha256:91a3130ebe3aa5f4b28bb1be4ffc2758567090a03a7e9b7b5b335596b3c62028,sha256:dea9b6e66c745dc87b5549722a065d66f454f3681325821df0de601c36c6e39b,human-authored/deterministic-map-v1,replay:sha256:f6b08d0e0fdc2a0b8263f8b28a39ebba470d6fe08f65fbdd3892f11da28d89e8,012 Attempted Murder,2008–09,Number
2022-06-30,2009-06-30,ANZSOC_012,2009-06-30,RATE,offender-rate,per-100000-persons-aged-10-plus,1.2,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 1,R9C16,sha256:06ef3920b268f01d3b5b0028f470118e97abe0f05761efd7054ddeaa6e9ddf9f,recorded-crime-offenders,sha256:8dfe883c39f227b3d3344dc9a14a99679d92242d4c269c9a62815ce5d8b907b7,tidy.table-family-acceptance/v1,sha256:d0853d81a71333c49fc634e09e807fca11f12cd93fc50d365e19dffa7f4b54e3,sha256:91a3130ebe3aa5f4b28bb1be4ffc2758567090a03a7e9b7b5b335596b3c62028,sha256:dea9b6e66c745dc87b5549722a065d66f454f3681325821df0de601c36c6e39b,human-authored/deterministic-map-v1,replay:sha256:f6b08d0e0fdc2a0b8263f8b28a39ebba470d6fe08f65fbdd3892f11da28d89e8,012 Attempted Murder,2008–09,Offender rate(a)
2022-06-30,2009-06-30,ANZSOC_013,2009-06-30,COUNT,offender-count,person,260,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 1,R10C2,sha256:06ef3920b268f01d3b5b0028f470118e97abe0f05761efd7054ddeaa6e9ddf9f,recorded-crime-offenders,sha256:8dfe883c39f227b3d3344dc9a14a99679d92242d4c269c9a62815ce5d8b907b7,tidy.table-family-acceptance/v1,sha256:d0853d81a71333c49fc634e09e807fca11f12cd93fc50d365e19dffa7f4b54e3,sha256:91a3130ebe3aa5f4b28bb1be4ffc2758567090a03a7e9b7b5b335596b3c62028,sha256:dea9b6e66c745dc87b5549722a065d66f454f3681325821df0de601c36c6e39b,human-authored/deterministic-map-v1,replay:sha256:f6b08d0e0fdc2a0b8263f8b28a39ebba470d6fe08f65fbdd3892f11da28d89e8,013 Manslaughter and driving causing death,2008–09,Number
2022-06-30,2009-06-30,ANZSOC_013,2009-06-30,RATE,offender-rate,per-100000-persons-aged-10-plus,1.4,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 1,R10C16,sha256:06ef3920b268f01d3b5b0028f470118e97abe0f05761efd7054ddeaa6e9ddf9f,recorded-crime-offenders,sha256:8dfe883c39f227b3d3344dc9a14a99679d92242d4c269c9a62815ce5d8b907b7,tidy.table-family-acceptance/v1,sha256:d0853d81a71333c49fc634e09e807fca11f12cd93fc50d365e19dffa7f4b54e3,sha256:91a3130ebe3aa5f4b28bb1be4ffc2758567090a03a7e9b7b5b335596b3c62028,sha256:dea9b6e66c745dc87b5549722a065d66f454f3681325821df0de601c36c6e39b,human-authored/deterministic-map-v1,replay:sha256:f6b08d0e0fdc2a0b8263f8b28a39ebba470d6fe08f65fbdd3892f11da28d89e8,013 Manslaughter and driving causing death,2008–09,Offender rate(a)
2022-06-30,2009-06-30,ANZSOC_02,2009-06-30,COUNT,offender-count,person,72069,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 1,R12C2,sha256:06ef3920b268f01d3b5b0028f470118e97abe0f05761efd7054ddeaa6e9ddf9f,recorded-crime-offenders,sha256:8dfe883c39f227b3d3344dc9a14a99679d92242d4c269c9a62815ce5d8b907b7,tidy.table-family-acceptance/v1,sha256:d0853d81a71333c49fc634e09e807fca11f12cd93fc50d365e19dffa7f4b54e3,sha256:91a3130ebe3aa5f4b28bb1be4ffc2758567090a03a7e9b7b5b335596b3c62028,sha256:dea9b6e66c745dc87b5549722a065d66f454f3681325821df0de601c36c6e39b,human-authored/deterministic-map-v1,replay:sha256:f6b08d0e0fdc2a0b8263f8b28a39ebba470d6fe08f65fbdd3892f11da28d89e8,02 Acts intended to cause injury(e),2008–09,Number
2022-06-30,2009-06-30,ANZSOC_02,2009-06-30,RATE,offender-rate,per-100000-persons-aged-10-plus,384.9,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 1,R12C16,sha256:06ef3920b268f01d3b5b0028f470118e97abe0f05761efd7054ddeaa6e9ddf9f,recorded-crime-offenders,sha256:8dfe883c39f227b3d3344dc9a14a99679d92242d4c269c9a62815ce5d8b907b7,tidy.table-family-acceptance/v1,sha256:d0853d81a71333c49fc634e09e807fca11f12cd93fc50d365e19dffa7f4b54e3,sha256:91a3130ebe3aa5f4b28bb1be4ffc2758567090a03a7e9b7b5b335596b3c62028,sha256:dea9b6e66c745dc87b5549722a065d66f454f3681325821df0de601c36c6e39b,human-authored/deterministic-map-v1,replay:sha256:f6b08d0e0fdc2a0b8263f8b28a39ebba470d6fe08f65fbdd3892f11da28d89e8,02 Acts intended to cause injury(e),2008–09,Offender rate(a)
