publication_vintage_date,reference_date,principal_offence_id,characteristic_category_id,sex_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_characteristic_category,raw_sex
2023-06-30,2023-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,CHAR_10_11_YEARS,FEMALES,defendant-count,person,0,observed,0,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 79,R7C10,sha256:169b7eb2be81062fa674a746c9f6c35e1217ad14ee95c5e20b00a2277bdf0c53,criminal-courts-australia,sha256:4bd3b86f0240cf364e63b7c0b2d935d1f5a037b2da2c90eb91dc326e1a6fa5df,tidy.table-family-acceptance/v1,sha256:32c28b57d78d6e59ed6203e791f0c963574d10cfd4b8ef25c4d3bb5584f9bd03,sha256:7e8e13ecbffcda5a680ee573174188dd1e1dc136ccdc109b1dc67706208cf77a,sha256:89309ebe67bef64cefd2e46e86d4773feaa5ef22ac36a7fdffd844f99c146cc9,human-authored/deterministic-map-v1,replay:sha256:6b6e9f1518d16ff1fe33bcfd8a8f3034d8b2bdd13972603774f2f297644963d7,01 Homicide and related offences,10–11 years,Females
2023-06-30,2023-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,CHAR_10_11_YEARS,MALES,defendant-count,person,0,observed,0,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 79,R7C2,sha256:169b7eb2be81062fa674a746c9f6c35e1217ad14ee95c5e20b00a2277bdf0c53,criminal-courts-australia,sha256:4bd3b86f0240cf364e63b7c0b2d935d1f5a037b2da2c90eb91dc326e1a6fa5df,tidy.table-family-acceptance/v1,sha256:32c28b57d78d6e59ed6203e791f0c963574d10cfd4b8ef25c4d3bb5584f9bd03,sha256:7e8e13ecbffcda5a680ee573174188dd1e1dc136ccdc109b1dc67706208cf77a,sha256:89309ebe67bef64cefd2e46e86d4773feaa5ef22ac36a7fdffd844f99c146cc9,human-authored/deterministic-map-v1,replay:sha256:6b6e9f1518d16ff1fe33bcfd8a8f3034d8b2bdd13972603774f2f297644963d7,01 Homicide and related offences,10–11 years,Males
2023-06-30,2023-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,CHAR_10_11_YEARS,PERSONS,defendant-count,person,0,observed,0,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 79,R7C18,sha256:169b7eb2be81062fa674a746c9f6c35e1217ad14ee95c5e20b00a2277bdf0c53,criminal-courts-australia,sha256:4bd3b86f0240cf364e63b7c0b2d935d1f5a037b2da2c90eb91dc326e1a6fa5df,tidy.table-family-acceptance/v1,sha256:32c28b57d78d6e59ed6203e791f0c963574d10cfd4b8ef25c4d3bb5584f9bd03,sha256:7e8e13ecbffcda5a680ee573174188dd1e1dc136ccdc109b1dc67706208cf77a,sha256:89309ebe67bef64cefd2e46e86d4773feaa5ef22ac36a7fdffd844f99c146cc9,human-authored/deterministic-map-v1,replay:sha256:6b6e9f1518d16ff1fe33bcfd8a8f3034d8b2bdd13972603774f2f297644963d7,01 Homicide and related offences,10–11 years,Persons
2023-06-30,2023-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,CHAR_12_YEARS,FEMALES,defendant-count,person,0,observed,0,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 79,R7C11,sha256:169b7eb2be81062fa674a746c9f6c35e1217ad14ee95c5e20b00a2277bdf0c53,criminal-courts-australia,sha256:4bd3b86f0240cf364e63b7c0b2d935d1f5a037b2da2c90eb91dc326e1a6fa5df,tidy.table-family-acceptance/v1,sha256:32c28b57d78d6e59ed6203e791f0c963574d10cfd4b8ef25c4d3bb5584f9bd03,sha256:7e8e13ecbffcda5a680ee573174188dd1e1dc136ccdc109b1dc67706208cf77a,sha256:89309ebe67bef64cefd2e46e86d4773feaa5ef22ac36a7fdffd844f99c146cc9,human-authored/deterministic-map-v1,replay:sha256:6b6e9f1518d16ff1fe33bcfd8a8f3034d8b2bdd13972603774f2f297644963d7,01 Homicide and related offences,12 years,Females
2023-06-30,2023-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,CHAR_12_YEARS,MALES,defendant-count,person,0,observed,0,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 79,R7C3,sha256:169b7eb2be81062fa674a746c9f6c35e1217ad14ee95c5e20b00a2277bdf0c53,criminal-courts-australia,sha256:4bd3b86f0240cf364e63b7c0b2d935d1f5a037b2da2c90eb91dc326e1a6fa5df,tidy.table-family-acceptance/v1,sha256:32c28b57d78d6e59ed6203e791f0c963574d10cfd4b8ef25c4d3bb5584f9bd03,sha256:7e8e13ecbffcda5a680ee573174188dd1e1dc136ccdc109b1dc67706208cf77a,sha256:89309ebe67bef64cefd2e46e86d4773feaa5ef22ac36a7fdffd844f99c146cc9,human-authored/deterministic-map-v1,replay:sha256:6b6e9f1518d16ff1fe33bcfd8a8f3034d8b2bdd13972603774f2f297644963d7,01 Homicide and related offences,12 years,Males
2023-06-30,2023-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,CHAR_12_YEARS,PERSONS,defendant-count,person,0,observed,0,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 79,R7C19,sha256:169b7eb2be81062fa674a746c9f6c35e1217ad14ee95c5e20b00a2277bdf0c53,criminal-courts-australia,sha256:4bd3b86f0240cf364e63b7c0b2d935d1f5a037b2da2c90eb91dc326e1a6fa5df,tidy.table-family-acceptance/v1,sha256:32c28b57d78d6e59ed6203e791f0c963574d10cfd4b8ef25c4d3bb5584f9bd03,sha256:7e8e13ecbffcda5a680ee573174188dd1e1dc136ccdc109b1dc67706208cf77a,sha256:89309ebe67bef64cefd2e46e86d4773feaa5ef22ac36a7fdffd844f99c146cc9,human-authored/deterministic-map-v1,replay:sha256:6b6e9f1518d16ff1fe33bcfd8a8f3034d8b2bdd13972603774f2f297644963d7,01 Homicide and related offences,12 years,Persons
2023-06-30,2023-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,CHAR_13_YEARS,FEMALES,defendant-count,person,0,observed,0,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 79,R7C12,sha256:169b7eb2be81062fa674a746c9f6c35e1217ad14ee95c5e20b00a2277bdf0c53,criminal-courts-australia,sha256:4bd3b86f0240cf364e63b7c0b2d935d1f5a037b2da2c90eb91dc326e1a6fa5df,tidy.table-family-acceptance/v1,sha256:32c28b57d78d6e59ed6203e791f0c963574d10cfd4b8ef25c4d3bb5584f9bd03,sha256:7e8e13ecbffcda5a680ee573174188dd1e1dc136ccdc109b1dc67706208cf77a,sha256:89309ebe67bef64cefd2e46e86d4773feaa5ef22ac36a7fdffd844f99c146cc9,human-authored/deterministic-map-v1,replay:sha256:6b6e9f1518d16ff1fe33bcfd8a8f3034d8b2bdd13972603774f2f297644963d7,01 Homicide and related offences,13 years,Females
2023-06-30,2023-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,CHAR_13_YEARS,MALES,defendant-count,person,0,observed,0,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 79,R7C4,sha256:169b7eb2be81062fa674a746c9f6c35e1217ad14ee95c5e20b00a2277bdf0c53,criminal-courts-australia,sha256:4bd3b86f0240cf364e63b7c0b2d935d1f5a037b2da2c90eb91dc326e1a6fa5df,tidy.table-family-acceptance/v1,sha256:32c28b57d78d6e59ed6203e791f0c963574d10cfd4b8ef25c4d3bb5584f9bd03,sha256:7e8e13ecbffcda5a680ee573174188dd1e1dc136ccdc109b1dc67706208cf77a,sha256:89309ebe67bef64cefd2e46e86d4773feaa5ef22ac36a7fdffd844f99c146cc9,human-authored/deterministic-map-v1,replay:sha256:6b6e9f1518d16ff1fe33bcfd8a8f3034d8b2bdd13972603774f2f297644963d7,01 Homicide and related offences,13 years,Males
2023-06-30,2023-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,CHAR_13_YEARS,PERSONS,defendant-count,person,0,observed,0,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 79,R7C20,sha256:169b7eb2be81062fa674a746c9f6c35e1217ad14ee95c5e20b00a2277bdf0c53,criminal-courts-australia,sha256:4bd3b86f0240cf364e63b7c0b2d935d1f5a037b2da2c90eb91dc326e1a6fa5df,tidy.table-family-acceptance/v1,sha256:32c28b57d78d6e59ed6203e791f0c963574d10cfd4b8ef25c4d3bb5584f9bd03,sha256:7e8e13ecbffcda5a680ee573174188dd1e1dc136ccdc109b1dc67706208cf77a,sha256:89309ebe67bef64cefd2e46e86d4773feaa5ef22ac36a7fdffd844f99c146cc9,human-authored/deterministic-map-v1,replay:sha256:6b6e9f1518d16ff1fe33bcfd8a8f3034d8b2bdd13972603774f2f297644963d7,01 Homicide and related offences,13 years,Persons
2023-06-30,2023-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,CHAR_14_YEARS,FEMALES,defendant-count,person,0,observed,0,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 79,R7C13,sha256:169b7eb2be81062fa674a746c9f6c35e1217ad14ee95c5e20b00a2277bdf0c53,criminal-courts-australia,sha256:4bd3b86f0240cf364e63b7c0b2d935d1f5a037b2da2c90eb91dc326e1a6fa5df,tidy.table-family-acceptance/v1,sha256:32c28b57d78d6e59ed6203e791f0c963574d10cfd4b8ef25c4d3bb5584f9bd03,sha256:7e8e13ecbffcda5a680ee573174188dd1e1dc136ccdc109b1dc67706208cf77a,sha256:89309ebe67bef64cefd2e46e86d4773feaa5ef22ac36a7fdffd844f99c146cc9,human-authored/deterministic-map-v1,replay:sha256:6b6e9f1518d16ff1fe33bcfd8a8f3034d8b2bdd13972603774f2f297644963d7,01 Homicide and related offences,14 years,Females
