publication_vintage_date,reference_date,times_proceeded_id,sex_id,jurisdiction_id,statistic_basis_id,observation_period_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,recipe_protocol,replay_map_digest,c3_row_trace_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_times_proceeded,raw_sex,raw_jurisdiction,raw_statistic_basis,raw_observation_period
2025-06-30,2025-06-30,MEAN_ded31581,MALES_66d5f994,QLD_cfd8a309,PROPORTION_13745b70,2023_24_275b6c33,published-value,published-unit,,not_available,na,sha256:b945e14a3266f51d5496b8fe3d559c7b8c48a5933706760052f51a2cebcac64e,Table 16,R40C11,sha256:43572199246834fd12b7921ae9f9fec601eade2c437632c646ef6f06272ee2cf,RecipeV01,sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,sha256:f9af67443e23b0b74a93da5e15d06b6e3929e2d67cfb72de5b51c86cb2649767,recorded-crime-offenders,sha256:3cfdc2b04014180f5b33e9cbf34e09a8443bdec9330ed3233ab8187bf3f11a25,tidy.table-family-acceptance/v2,sha256:6ed740b3237f70861fb8a9345d3cbeb0bb66b210dccfaa1eee6ce47584d6ca73,sha256:b0c5e7ae71b79d57fe5e8ac3b2f84abc5150b81eed2032f3569ccacb261b6cd6,sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,Mean,Males,Qld,Proportion (%),2023–24(c)(d)
2025-06-30,2025-06-30,MEAN_ded31581,MALES_66d5f994,QLD_cfd8a309,PROPORTION_13745b70,2024_25_a2e07178,published-value,published-unit,,not_available,na,sha256:b945e14a3266f51d5496b8fe3d559c7b8c48a5933706760052f51a2cebcac64e,Table 16,R15C11,sha256:43572199246834fd12b7921ae9f9fec601eade2c437632c646ef6f06272ee2cf,RecipeV01,sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,sha256:f9af67443e23b0b74a93da5e15d06b6e3929e2d67cfb72de5b51c86cb2649767,recorded-crime-offenders,sha256:3cfdc2b04014180f5b33e9cbf34e09a8443bdec9330ed3233ab8187bf3f11a25,tidy.table-family-acceptance/v2,sha256:6ed740b3237f70861fb8a9345d3cbeb0bb66b210dccfaa1eee6ce47584d6ca73,sha256:b0c5e7ae71b79d57fe5e8ac3b2f84abc5150b81eed2032f3569ccacb261b6cd6,sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,Mean,Males,Qld,Proportion (%),2024–25
2025-06-30,2025-06-30,MEAN_ded31581,MALES_66d5f994,SA_360bf3a8,NUMBER_a081e07b,2023_24_275b6c33,published-value,published-unit,1.5,observed,1.5,sha256:b945e14a3266f51d5496b8fe3d559c7b8c48a5933706760052f51a2cebcac64e,Table 16,R40C5,sha256:43572199246834fd12b7921ae9f9fec601eade2c437632c646ef6f06272ee2cf,RecipeV01,sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,sha256:f9af67443e23b0b74a93da5e15d06b6e3929e2d67cfb72de5b51c86cb2649767,recorded-crime-offenders,sha256:3cfdc2b04014180f5b33e9cbf34e09a8443bdec9330ed3233ab8187bf3f11a25,tidy.table-family-acceptance/v2,sha256:6ed740b3237f70861fb8a9345d3cbeb0bb66b210dccfaa1eee6ce47584d6ca73,sha256:b0c5e7ae71b79d57fe5e8ac3b2f84abc5150b81eed2032f3569ccacb261b6cd6,sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,Mean,Males,SA,Number,2023–24(c)(d)
2025-06-30,2025-06-30,MEAN_ded31581,MALES_66d5f994,SA_360bf3a8,NUMBER_a081e07b,2024_25_a2e07178,published-value,published-unit,1.6,observed,1.6,sha256:b945e14a3266f51d5496b8fe3d559c7b8c48a5933706760052f51a2cebcac64e,Table 16,R15C5,sha256:43572199246834fd12b7921ae9f9fec601eade2c437632c646ef6f06272ee2cf,RecipeV01,sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,sha256:f9af67443e23b0b74a93da5e15d06b6e3929e2d67cfb72de5b51c86cb2649767,recorded-crime-offenders,sha256:3cfdc2b04014180f5b33e9cbf34e09a8443bdec9330ed3233ab8187bf3f11a25,tidy.table-family-acceptance/v2,sha256:6ed740b3237f70861fb8a9345d3cbeb0bb66b210dccfaa1eee6ce47584d6ca73,sha256:b0c5e7ae71b79d57fe5e8ac3b2f84abc5150b81eed2032f3569ccacb261b6cd6,sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,Mean,Males,SA,Number,2024–25
2025-06-30,2025-06-30,MEAN_ded31581,MALES_66d5f994,SA_360bf3a8,PROPORTION_13745b70,2023_24_275b6c33,published-value,published-unit,,not_available,na,sha256:b945e14a3266f51d5496b8fe3d559c7b8c48a5933706760052f51a2cebcac64e,Table 16,R40C12,sha256:43572199246834fd12b7921ae9f9fec601eade2c437632c646ef6f06272ee2cf,RecipeV01,sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,sha256:f9af67443e23b0b74a93da5e15d06b6e3929e2d67cfb72de5b51c86cb2649767,recorded-crime-offenders,sha256:3cfdc2b04014180f5b33e9cbf34e09a8443bdec9330ed3233ab8187bf3f11a25,tidy.table-family-acceptance/v2,sha256:6ed740b3237f70861fb8a9345d3cbeb0bb66b210dccfaa1eee6ce47584d6ca73,sha256:b0c5e7ae71b79d57fe5e8ac3b2f84abc5150b81eed2032f3569ccacb261b6cd6,sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,Mean,Males,SA,Proportion (%),2023–24(c)(d)
2025-06-30,2025-06-30,MEAN_ded31581,MALES_66d5f994,SA_360bf3a8,PROPORTION_13745b70,2024_25_a2e07178,published-value,published-unit,,not_available,na,sha256:b945e14a3266f51d5496b8fe3d559c7b8c48a5933706760052f51a2cebcac64e,Table 16,R15C12,sha256:43572199246834fd12b7921ae9f9fec601eade2c437632c646ef6f06272ee2cf,RecipeV01,sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,sha256:f9af67443e23b0b74a93da5e15d06b6e3929e2d67cfb72de5b51c86cb2649767,recorded-crime-offenders,sha256:3cfdc2b04014180f5b33e9cbf34e09a8443bdec9330ed3233ab8187bf3f11a25,tidy.table-family-acceptance/v2,sha256:6ed740b3237f70861fb8a9345d3cbeb0bb66b210dccfaa1eee6ce47584d6ca73,sha256:b0c5e7ae71b79d57fe5e8ac3b2f84abc5150b81eed2032f3569ccacb261b6cd6,sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,Mean,Males,SA,Proportion (%),2024–25
2025-06-30,2025-06-30,MEAN_ded31581,MALES_66d5f994,TAS_71b7c8af,NUMBER_a081e07b,2023_24_275b6c33,published-value,published-unit,1.8,observed,1.8,sha256:b945e14a3266f51d5496b8fe3d559c7b8c48a5933706760052f51a2cebcac64e,Table 16,R40C6,sha256:43572199246834fd12b7921ae9f9fec601eade2c437632c646ef6f06272ee2cf,RecipeV01,sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,sha256:f9af67443e23b0b74a93da5e15d06b6e3929e2d67cfb72de5b51c86cb2649767,recorded-crime-offenders,sha256:3cfdc2b04014180f5b33e9cbf34e09a8443bdec9330ed3233ab8187bf3f11a25,tidy.table-family-acceptance/v2,sha256:6ed740b3237f70861fb8a9345d3cbeb0bb66b210dccfaa1eee6ce47584d6ca73,sha256:b0c5e7ae71b79d57fe5e8ac3b2f84abc5150b81eed2032f3569ccacb261b6cd6,sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,Mean,Males,Tas.,Number,2023–24(c)(d)
2025-06-30,2025-06-30,MEAN_ded31581,MALES_66d5f994,TAS_71b7c8af,NUMBER_a081e07b,2024_25_a2e07178,published-value,published-unit,1.9,observed,1.9,sha256:b945e14a3266f51d5496b8fe3d559c7b8c48a5933706760052f51a2cebcac64e,Table 16,R15C6,sha256:43572199246834fd12b7921ae9f9fec601eade2c437632c646ef6f06272ee2cf,RecipeV01,sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,sha256:f9af67443e23b0b74a93da5e15d06b6e3929e2d67cfb72de5b51c86cb2649767,recorded-crime-offenders,sha256:3cfdc2b04014180f5b33e9cbf34e09a8443bdec9330ed3233ab8187bf3f11a25,tidy.table-family-acceptance/v2,sha256:6ed740b3237f70861fb8a9345d3cbeb0bb66b210dccfaa1eee6ce47584d6ca73,sha256:b0c5e7ae71b79d57fe5e8ac3b2f84abc5150b81eed2032f3569ccacb261b6cd6,sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,Mean,Males,Tas.,Number,2024–25
2025-06-30,2025-06-30,MEAN_ded31581,MALES_66d5f994,TAS_71b7c8af,PROPORTION_13745b70,2023_24_275b6c33,published-value,published-unit,,not_available,na,sha256:b945e14a3266f51d5496b8fe3d559c7b8c48a5933706760052f51a2cebcac64e,Table 16,R40C13,sha256:43572199246834fd12b7921ae9f9fec601eade2c437632c646ef6f06272ee2cf,RecipeV01,sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,sha256:f9af67443e23b0b74a93da5e15d06b6e3929e2d67cfb72de5b51c86cb2649767,recorded-crime-offenders,sha256:3cfdc2b04014180f5b33e9cbf34e09a8443bdec9330ed3233ab8187bf3f11a25,tidy.table-family-acceptance/v2,sha256:6ed740b3237f70861fb8a9345d3cbeb0bb66b210dccfaa1eee6ce47584d6ca73,sha256:b0c5e7ae71b79d57fe5e8ac3b2f84abc5150b81eed2032f3569ccacb261b6cd6,sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,Mean,Males,Tas.,Proportion (%),2023–24(c)(d)
2025-06-30,2025-06-30,MEAN_ded31581,MALES_66d5f994,TAS_71b7c8af,PROPORTION_13745b70,2024_25_a2e07178,published-value,published-unit,,not_available,na,sha256:b945e14a3266f51d5496b8fe3d559c7b8c48a5933706760052f51a2cebcac64e,Table 16,R15C13,sha256:43572199246834fd12b7921ae9f9fec601eade2c437632c646ef6f06272ee2cf,RecipeV01,sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,sha256:f9af67443e23b0b74a93da5e15d06b6e3929e2d67cfb72de5b51c86cb2649767,recorded-crime-offenders,sha256:3cfdc2b04014180f5b33e9cbf34e09a8443bdec9330ed3233ab8187bf3f11a25,tidy.table-family-acceptance/v2,sha256:6ed740b3237f70861fb8a9345d3cbeb0bb66b210dccfaa1eee6ce47584d6ca73,sha256:b0c5e7ae71b79d57fe5e8ac3b2f84abc5150b81eed2032f3569ccacb261b6cd6,sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:7e1d728470e1db7657cdcb2d1d3bafd50f2e10152a9387cd1f56e4649a699c9f,Mean,Males,Tas.,Proportion (%),2024–25
