publication_vintage_date,reference_date,principal_offence_id,aggregate_sentence_length_id,observation_period_id,court_level_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_aggregate_sentence_length,raw_observation_period,raw_court_level
2022-06-30,2021-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_39_TO_UNDER_52_WEEKS,2021-06-30,HIGHER_COURTS,defendant-count,person,38,observed,38,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 11,R26C5,sha256:9eb18836eb03d9ce899ed264d74278aa3a9e40a9a15e4199170e26794fe32cb2,criminal-courts-australia,sha256:5d544a7045d9d9c4d9654744f2074b709c68a84ba30c0b93cbeca8ecdfb13cf5,tidy.table-family-acceptance/v1,sha256:3b9c03ad06c7f9dc03456f131d0fdd5e8cd64b63897f5a13bd2d149c729be2b0,sha256:723b29d301971375913e0afe23b2d87533c8a8866711f9b06854bf42147225fc,sha256:38b8ab7f2cf4c47ed4073c95729a17c55940af333bd2f6e640b8d8412cbd3a80,human-authored/deterministic-map-v1,replay:sha256:c1991a9c88cbf0c102b5946b53a975f3c52b788235a9e0d72732d3f66554f5c3,01 Homicide and related offences,39 to under 52 weeks,2020–21,Higher Courts
2022-06-30,2021-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_39_TO_UNDER_52_WEEKS,2021-06-30,MAGISTRATES_COURTS,defendant-count,person,6,observed,6,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 11,R44C5,sha256:9eb18836eb03d9ce899ed264d74278aa3a9e40a9a15e4199170e26794fe32cb2,criminal-courts-australia,sha256:5d544a7045d9d9c4d9654744f2074b709c68a84ba30c0b93cbeca8ecdfb13cf5,tidy.table-family-acceptance/v1,sha256:3b9c03ad06c7f9dc03456f131d0fdd5e8cd64b63897f5a13bd2d149c729be2b0,sha256:723b29d301971375913e0afe23b2d87533c8a8866711f9b06854bf42147225fc,sha256:38b8ab7f2cf4c47ed4073c95729a17c55940af333bd2f6e640b8d8412cbd3a80,human-authored/deterministic-map-v1,replay:sha256:c1991a9c88cbf0c102b5946b53a975f3c52b788235a9e0d72732d3f66554f5c3,01 Homicide and related offences,39 to under 52 weeks,2020–21,Magistrates' Courts
2022-06-30,2021-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_52_WEEKS_AND_OVER,2021-06-30,ALL_COURTS,defendant-count,person,135,observed,135,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 11,R8C6,sha256:9eb18836eb03d9ce899ed264d74278aa3a9e40a9a15e4199170e26794fe32cb2,criminal-courts-australia,sha256:5d544a7045d9d9c4d9654744f2074b709c68a84ba30c0b93cbeca8ecdfb13cf5,tidy.table-family-acceptance/v1,sha256:3b9c03ad06c7f9dc03456f131d0fdd5e8cd64b63897f5a13bd2d149c729be2b0,sha256:723b29d301971375913e0afe23b2d87533c8a8866711f9b06854bf42147225fc,sha256:38b8ab7f2cf4c47ed4073c95729a17c55940af333bd2f6e640b8d8412cbd3a80,human-authored/deterministic-map-v1,replay:sha256:c1991a9c88cbf0c102b5946b53a975f3c52b788235a9e0d72732d3f66554f5c3,01 Homicide and related offences,52 weeks & over,2020–21,All Courts
2022-06-30,2021-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_52_WEEKS_AND_OVER,2021-06-30,CHILDRENS_COURTS,defendant-count,person,3,observed,3,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 11,R62C6,sha256:9eb18836eb03d9ce899ed264d74278aa3a9e40a9a15e4199170e26794fe32cb2,criminal-courts-australia,sha256:5d544a7045d9d9c4d9654744f2074b709c68a84ba30c0b93cbeca8ecdfb13cf5,tidy.table-family-acceptance/v1,sha256:3b9c03ad06c7f9dc03456f131d0fdd5e8cd64b63897f5a13bd2d149c729be2b0,sha256:723b29d301971375913e0afe23b2d87533c8a8866711f9b06854bf42147225fc,sha256:38b8ab7f2cf4c47ed4073c95729a17c55940af333bd2f6e640b8d8412cbd3a80,human-authored/deterministic-map-v1,replay:sha256:c1991a9c88cbf0c102b5946b53a975f3c52b788235a9e0d72732d3f66554f5c3,01 Homicide and related offences,52 weeks & over,2020–21,Children's Courts
2022-06-30,2021-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_52_WEEKS_AND_OVER,2021-06-30,HIGHER_COURTS,defendant-count,person,122,observed,122,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 11,R26C6,sha256:9eb18836eb03d9ce899ed264d74278aa3a9e40a9a15e4199170e26794fe32cb2,criminal-courts-australia,sha256:5d544a7045d9d9c4d9654744f2074b709c68a84ba30c0b93cbeca8ecdfb13cf5,tidy.table-family-acceptance/v1,sha256:3b9c03ad06c7f9dc03456f131d0fdd5e8cd64b63897f5a13bd2d149c729be2b0,sha256:723b29d301971375913e0afe23b2d87533c8a8866711f9b06854bf42147225fc,sha256:38b8ab7f2cf4c47ed4073c95729a17c55940af333bd2f6e640b8d8412cbd3a80,human-authored/deterministic-map-v1,replay:sha256:c1991a9c88cbf0c102b5946b53a975f3c52b788235a9e0d72732d3f66554f5c3,01 Homicide and related offences,52 weeks & over,2020–21,Higher Courts
2022-06-30,2021-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_52_WEEKS_AND_OVER,2021-06-30,MAGISTRATES_COURTS,defendant-count,person,12,observed,12,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 11,R44C6,sha256:9eb18836eb03d9ce899ed264d74278aa3a9e40a9a15e4199170e26794fe32cb2,criminal-courts-australia,sha256:5d544a7045d9d9c4d9654744f2074b709c68a84ba30c0b93cbeca8ecdfb13cf5,tidy.table-family-acceptance/v1,sha256:3b9c03ad06c7f9dc03456f131d0fdd5e8cd64b63897f5a13bd2d149c729be2b0,sha256:723b29d301971375913e0afe23b2d87533c8a8866711f9b06854bf42147225fc,sha256:38b8ab7f2cf4c47ed4073c95729a17c55940af333bd2f6e640b8d8412cbd3a80,human-authored/deterministic-map-v1,replay:sha256:c1991a9c88cbf0c102b5946b53a975f3c52b788235a9e0d72732d3f66554f5c3,01 Homicide and related offences,52 weeks & over,2020–21,Magistrates' Courts
2022-06-30,2021-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_MEAN_WEEKS,2021-06-30,ALL_COURTS,sentence-mean-duration,week,54.2,observed,54.2,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 11,R8C8,sha256:9eb18836eb03d9ce899ed264d74278aa3a9e40a9a15e4199170e26794fe32cb2,criminal-courts-australia,sha256:5d544a7045d9d9c4d9654744f2074b709c68a84ba30c0b93cbeca8ecdfb13cf5,tidy.table-family-acceptance/v1,sha256:3b9c03ad06c7f9dc03456f131d0fdd5e8cd64b63897f5a13bd2d149c729be2b0,sha256:723b29d301971375913e0afe23b2d87533c8a8866711f9b06854bf42147225fc,sha256:38b8ab7f2cf4c47ed4073c95729a17c55940af333bd2f6e640b8d8412cbd3a80,human-authored/deterministic-map-v1,replay:sha256:c1991a9c88cbf0c102b5946b53a975f3c52b788235a9e0d72732d3f66554f5c3,01 Homicide and related offences,Mean (weeks),2020–21,All Courts
2022-06-30,2021-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_MEAN_WEEKS,2021-06-30,CHILDRENS_COURTS,sentence-mean-duration,week,33.8,observed,33.8,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 11,R62C8,sha256:9eb18836eb03d9ce899ed264d74278aa3a9e40a9a15e4199170e26794fe32cb2,criminal-courts-australia,sha256:5d544a7045d9d9c4d9654744f2074b709c68a84ba30c0b93cbeca8ecdfb13cf5,tidy.table-family-acceptance/v1,sha256:3b9c03ad06c7f9dc03456f131d0fdd5e8cd64b63897f5a13bd2d149c729be2b0,sha256:723b29d301971375913e0afe23b2d87533c8a8866711f9b06854bf42147225fc,sha256:38b8ab7f2cf4c47ed4073c95729a17c55940af333bd2f6e640b8d8412cbd3a80,human-authored/deterministic-map-v1,replay:sha256:c1991a9c88cbf0c102b5946b53a975f3c52b788235a9e0d72732d3f66554f5c3,01 Homicide and related offences,Mean (weeks),2020–21,Children's Courts
2022-06-30,2021-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_MEAN_WEEKS,2021-06-30,HIGHER_COURTS,sentence-mean-duration,week,54.1,observed,54.1,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 11,R26C8,sha256:9eb18836eb03d9ce899ed264d74278aa3a9e40a9a15e4199170e26794fe32cb2,criminal-courts-australia,sha256:5d544a7045d9d9c4d9654744f2074b709c68a84ba30c0b93cbeca8ecdfb13cf5,tidy.table-family-acceptance/v1,sha256:3b9c03ad06c7f9dc03456f131d0fdd5e8cd64b63897f5a13bd2d149c729be2b0,sha256:723b29d301971375913e0afe23b2d87533c8a8866711f9b06854bf42147225fc,sha256:38b8ab7f2cf4c47ed4073c95729a17c55940af333bd2f6e640b8d8412cbd3a80,human-authored/deterministic-map-v1,replay:sha256:c1991a9c88cbf0c102b5946b53a975f3c52b788235a9e0d72732d3f66554f5c3,01 Homicide and related offences,Mean (weeks),2020–21,Higher Courts
2022-06-30,2021-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_MEAN_WEEKS,2021-06-30,MAGISTRATES_COURTS,sentence-mean-duration,week,60.2,observed,60.2,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 11,R44C8,sha256:9eb18836eb03d9ce899ed264d74278aa3a9e40a9a15e4199170e26794fe32cb2,criminal-courts-australia,sha256:5d544a7045d9d9c4d9654744f2074b709c68a84ba30c0b93cbeca8ecdfb13cf5,tidy.table-family-acceptance/v1,sha256:3b9c03ad06c7f9dc03456f131d0fdd5e8cd64b63897f5a13bd2d149c729be2b0,sha256:723b29d301971375913e0afe23b2d87533c8a8866711f9b06854bf42147225fc,sha256:38b8ab7f2cf4c47ed4073c95729a17c55940af333bd2f6e640b8d8412cbd3a80,human-authored/deterministic-map-v1,replay:sha256:c1991a9c88cbf0c102b5946b53a975f3c52b788235a9e0d72732d3f66554f5c3,01 Homicide and related offences,Mean (weeks),2020–21,Magistrates' Courts
2022-06-30,2021-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_MEDIAN_WEEKS,2021-06-30,ALL_COURTS,sentence-median-duration,week,43,observed,43,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 11,R8C9,sha256:9eb18836eb03d9ce899ed264d74278aa3a9e40a9a15e4199170e26794fe32cb2,criminal-courts-australia,sha256:5d544a7045d9d9c4d9654744f2074b709c68a84ba30c0b93cbeca8ecdfb13cf5,tidy.table-family-acceptance/v1,sha256:3b9c03ad06c7f9dc03456f131d0fdd5e8cd64b63897f5a13bd2d149c729be2b0,sha256:723b29d301971375913e0afe23b2d87533c8a8866711f9b06854bf42147225fc,sha256:38b8ab7f2cf4c47ed4073c95729a17c55940af333bd2f6e640b8d8412cbd3a80,human-authored/deterministic-map-v1,replay:sha256:c1991a9c88cbf0c102b5946b53a975f3c52b788235a9e0d72732d3f66554f5c3,01 Homicide and related offences,Median (weeks),2020–21,All Courts
2022-06-30,2021-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_MEDIAN_WEEKS,2021-06-30,CHILDRENS_COURTS,sentence-median-duration,week,29.1,observed,29.1,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 11,R62C9,sha256:9eb18836eb03d9ce899ed264d74278aa3a9e40a9a15e4199170e26794fe32cb2,criminal-courts-australia,sha256:5d544a7045d9d9c4d9654744f2074b709c68a84ba30c0b93cbeca8ecdfb13cf5,tidy.table-family-acceptance/v1,sha256:3b9c03ad06c7f9dc03456f131d0fdd5e8cd64b63897f5a13bd2d149c729be2b0,sha256:723b29d301971375913e0afe23b2d87533c8a8866711f9b06854bf42147225fc,sha256:38b8ab7f2cf4c47ed4073c95729a17c55940af333bd2f6e640b8d8412cbd3a80,human-authored/deterministic-map-v1,replay:sha256:c1991a9c88cbf0c102b5946b53a975f3c52b788235a9e0d72732d3f66554f5c3,01 Homicide and related offences,Median (weeks),2020–21,Children's Courts
2022-06-30,2021-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_MEDIAN_WEEKS,2021-06-30,HIGHER_COURTS,sentence-median-duration,week,46.3,observed,46.3,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 11,R26C9,sha256:9eb18836eb03d9ce899ed264d74278aa3a9e40a9a15e4199170e26794fe32cb2,criminal-courts-australia,sha256:5d544a7045d9d9c4d9654744f2074b709c68a84ba30c0b93cbeca8ecdfb13cf5,tidy.table-family-acceptance/v1,sha256:3b9c03ad06c7f9dc03456f131d0fdd5e8cd64b63897f5a13bd2d149c729be2b0,sha256:723b29d301971375913e0afe23b2d87533c8a8866711f9b06854bf42147225fc,sha256:38b8ab7f2cf4c47ed4073c95729a17c55940af333bd2f6e640b8d8412cbd3a80,human-authored/deterministic-map-v1,replay:sha256:c1991a9c88cbf0c102b5946b53a975f3c52b788235a9e0d72732d3f66554f5c3,01 Homicide and related offences,Median (weeks),2020–21,Higher Courts
2022-06-30,2021-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_MEDIAN_WEEKS,2021-06-30,MAGISTRATES_COURTS,sentence-median-duration,week,36,observed,36,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 11,R44C9,sha256:9eb18836eb03d9ce899ed264d74278aa3a9e40a9a15e4199170e26794fe32cb2,criminal-courts-australia,sha256:5d544a7045d9d9c4d9654744f2074b709c68a84ba30c0b93cbeca8ecdfb13cf5,tidy.table-family-acceptance/v1,sha256:3b9c03ad06c7f9dc03456f131d0fdd5e8cd64b63897f5a13bd2d149c729be2b0,sha256:723b29d301971375913e0afe23b2d87533c8a8866711f9b06854bf42147225fc,sha256:38b8ab7f2cf4c47ed4073c95729a17c55940af333bd2f6e640b8d8412cbd3a80,human-authored/deterministic-map-v1,replay:sha256:c1991a9c88cbf0c102b5946b53a975f3c52b788235a9e0d72732d3f66554f5c3,01 Homicide and related offences,Median (weeks),2020–21,Magistrates' Courts
2022-06-30,2021-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_TOTAL,2021-06-30,ALL_COURTS,defendant-count,person,331,observed,331,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 11,R8C7,sha256:9eb18836eb03d9ce899ed264d74278aa3a9e40a9a15e4199170e26794fe32cb2,criminal-courts-australia,sha256:5d544a7045d9d9c4d9654744f2074b709c68a84ba30c0b93cbeca8ecdfb13cf5,tidy.table-family-acceptance/v1,sha256:3b9c03ad06c7f9dc03456f131d0fdd5e8cd64b63897f5a13bd2d149c729be2b0,sha256:723b29d301971375913e0afe23b2d87533c8a8866711f9b06854bf42147225fc,sha256:38b8ab7f2cf4c47ed4073c95729a17c55940af333bd2f6e640b8d8412cbd3a80,human-authored/deterministic-map-v1,replay:sha256:c1991a9c88cbf0c102b5946b53a975f3c52b788235a9e0d72732d3f66554f5c3,01 Homicide and related offences,Total,2020–21,All Courts
