publication_vintage_date,reference_date,principal_offence_id,observation_period_id,sex_id,statistic_basis_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,recipe_protocol,replay_map_digest,c3_row_trace_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_observation_period,raw_sex,raw_statistic_basis
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2008_09_f695681e,FEMALES_29864773,NUMBER_a081e07b,published-value,published-unit,3,observed,3,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 19,R26C2,sha256:60f174e45d85d81daf05e01a8ce378794d52cd0759d186883d187cb9aa0ef3a9,RecipeV01,sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,sha256:b5bd5e8d1d83ae3da2ecd58d7a816c930d4073f5cf01ef9a2561196b4928ea35,recorded-crime-offenders,sha256:d20659a286c65203117fb756771e96515cc680dbf3f9355385bf3b876ef06b6e,tidy.table-family-acceptance/v2,sha256:f033e29eb440570c54c7652386cc4044b85269d92f130fd0ab3a7bcea0e3e15f,sha256:ff91fe825a28ea283af1652fbb0c66461b51f692305d134b29f1f063f6daa34a,sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,01 Homicide and related offences,2008–09,Females,Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2008_09_f695681e,FEMALES_29864773,OFFENDER_RATE_bf190e83,published-value,published-unit,0.3,observed,0.3,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 19,R26C16,sha256:60f174e45d85d81daf05e01a8ce378794d52cd0759d186883d187cb9aa0ef3a9,RecipeV01,sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,sha256:b5bd5e8d1d83ae3da2ecd58d7a816c930d4073f5cf01ef9a2561196b4928ea35,recorded-crime-offenders,sha256:d20659a286c65203117fb756771e96515cc680dbf3f9355385bf3b876ef06b6e,tidy.table-family-acceptance/v2,sha256:f033e29eb440570c54c7652386cc4044b85269d92f130fd0ab3a7bcea0e3e15f,sha256:ff91fe825a28ea283af1652fbb0c66461b51f692305d134b29f1f063f6daa34a,sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,01 Homicide and related offences,2008–09,Females,Offender rate(a)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2008_09_f695681e,MALES_66d5f994,NUMBER_a081e07b,published-value,published-unit,67,observed,67,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 19,R8C2,sha256:60f174e45d85d81daf05e01a8ce378794d52cd0759d186883d187cb9aa0ef3a9,RecipeV01,sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,sha256:b5bd5e8d1d83ae3da2ecd58d7a816c930d4073f5cf01ef9a2561196b4928ea35,recorded-crime-offenders,sha256:d20659a286c65203117fb756771e96515cc680dbf3f9355385bf3b876ef06b6e,tidy.table-family-acceptance/v2,sha256:f033e29eb440570c54c7652386cc4044b85269d92f130fd0ab3a7bcea0e3e15f,sha256:ff91fe825a28ea283af1652fbb0c66461b51f692305d134b29f1f063f6daa34a,sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,01 Homicide and related offences,2008–09,Males,Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2008_09_f695681e,MALES_66d5f994,OFFENDER_RATE_bf190e83,published-value,published-unit,5.8,observed,5.8,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 19,R8C16,sha256:60f174e45d85d81daf05e01a8ce378794d52cd0759d186883d187cb9aa0ef3a9,RecipeV01,sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,sha256:b5bd5e8d1d83ae3da2ecd58d7a816c930d4073f5cf01ef9a2561196b4928ea35,recorded-crime-offenders,sha256:d20659a286c65203117fb756771e96515cc680dbf3f9355385bf3b876ef06b6e,tidy.table-family-acceptance/v2,sha256:f033e29eb440570c54c7652386cc4044b85269d92f130fd0ab3a7bcea0e3e15f,sha256:ff91fe825a28ea283af1652fbb0c66461b51f692305d134b29f1f063f6daa34a,sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,01 Homicide and related offences,2008–09,Males,Offender rate(a)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2008_09_f695681e,PERSONS_4d6dccab,NUMBER_a081e07b,published-value,published-unit,73,observed,73,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 19,R44C2,sha256:60f174e45d85d81daf05e01a8ce378794d52cd0759d186883d187cb9aa0ef3a9,RecipeV01,sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,sha256:b5bd5e8d1d83ae3da2ecd58d7a816c930d4073f5cf01ef9a2561196b4928ea35,recorded-crime-offenders,sha256:d20659a286c65203117fb756771e96515cc680dbf3f9355385bf3b876ef06b6e,tidy.table-family-acceptance/v2,sha256:f033e29eb440570c54c7652386cc4044b85269d92f130fd0ab3a7bcea0e3e15f,sha256:ff91fe825a28ea283af1652fbb0c66461b51f692305d134b29f1f063f6daa34a,sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,01 Homicide and related offences,2008–09,Persons(h),Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2008_09_f695681e,PERSONS_4d6dccab,OFFENDER_RATE_bf190e83,published-value,published-unit,3.3,observed,3.3,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 19,R44C16,sha256:60f174e45d85d81daf05e01a8ce378794d52cd0759d186883d187cb9aa0ef3a9,RecipeV01,sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,sha256:b5bd5e8d1d83ae3da2ecd58d7a816c930d4073f5cf01ef9a2561196b4928ea35,recorded-crime-offenders,sha256:d20659a286c65203117fb756771e96515cc680dbf3f9355385bf3b876ef06b6e,tidy.table-family-acceptance/v2,sha256:f033e29eb440570c54c7652386cc4044b85269d92f130fd0ab3a7bcea0e3e15f,sha256:ff91fe825a28ea283af1652fbb0c66461b51f692305d134b29f1f063f6daa34a,sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,01 Homicide and related offences,2008–09,Persons(h),Offender rate(a)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2009_10_d4eb8e50,FEMALES_29864773,NUMBER_a081e07b,published-value,published-unit,7,observed,7,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 19,R26C3,sha256:60f174e45d85d81daf05e01a8ce378794d52cd0759d186883d187cb9aa0ef3a9,RecipeV01,sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,sha256:b5bd5e8d1d83ae3da2ecd58d7a816c930d4073f5cf01ef9a2561196b4928ea35,recorded-crime-offenders,sha256:d20659a286c65203117fb756771e96515cc680dbf3f9355385bf3b876ef06b6e,tidy.table-family-acceptance/v2,sha256:f033e29eb440570c54c7652386cc4044b85269d92f130fd0ab3a7bcea0e3e15f,sha256:ff91fe825a28ea283af1652fbb0c66461b51f692305d134b29f1f063f6daa34a,sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,01 Homicide and related offences,2009–10,Females,Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2009_10_d4eb8e50,FEMALES_29864773,OFFENDER_RATE_bf190e83,published-value,published-unit,0.6,observed,0.6,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 19,R26C17,sha256:60f174e45d85d81daf05e01a8ce378794d52cd0759d186883d187cb9aa0ef3a9,RecipeV01,sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,sha256:b5bd5e8d1d83ae3da2ecd58d7a816c930d4073f5cf01ef9a2561196b4928ea35,recorded-crime-offenders,sha256:d20659a286c65203117fb756771e96515cc680dbf3f9355385bf3b876ef06b6e,tidy.table-family-acceptance/v2,sha256:f033e29eb440570c54c7652386cc4044b85269d92f130fd0ab3a7bcea0e3e15f,sha256:ff91fe825a28ea283af1652fbb0c66461b51f692305d134b29f1f063f6daa34a,sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,01 Homicide and related offences,2009–10,Females,Offender rate(a)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2009_10_d4eb8e50,MALES_66d5f994,NUMBER_a081e07b,published-value,published-unit,46,observed,46,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 19,R8C3,sha256:60f174e45d85d81daf05e01a8ce378794d52cd0759d186883d187cb9aa0ef3a9,RecipeV01,sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,sha256:b5bd5e8d1d83ae3da2ecd58d7a816c930d4073f5cf01ef9a2561196b4928ea35,recorded-crime-offenders,sha256:d20659a286c65203117fb756771e96515cc680dbf3f9355385bf3b876ef06b6e,tidy.table-family-acceptance/v2,sha256:f033e29eb440570c54c7652386cc4044b85269d92f130fd0ab3a7bcea0e3e15f,sha256:ff91fe825a28ea283af1652fbb0c66461b51f692305d134b29f1f063f6daa34a,sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,01 Homicide and related offences,2009–10,Males,Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2009_10_d4eb8e50,MALES_66d5f994,OFFENDER_RATE_bf190e83,published-value,published-unit,4,observed,4,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 19,R8C17,sha256:60f174e45d85d81daf05e01a8ce378794d52cd0759d186883d187cb9aa0ef3a9,RecipeV01,sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,sha256:b5bd5e8d1d83ae3da2ecd58d7a816c930d4073f5cf01ef9a2561196b4928ea35,recorded-crime-offenders,sha256:d20659a286c65203117fb756771e96515cc680dbf3f9355385bf3b876ef06b6e,tidy.table-family-acceptance/v2,sha256:f033e29eb440570c54c7652386cc4044b85269d92f130fd0ab3a7bcea0e3e15f,sha256:ff91fe825a28ea283af1652fbb0c66461b51f692305d134b29f1f063f6daa34a,sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:f5fdd15569bae639f4e754e9f7b19cc9e4defc2ebddc7778b914d23c6c1a1d7c,01 Homicide and related offences,2009–10,Males,Offender rate(a)
