publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,court_level_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_court_level
2023-06-30,2019-06-30,CHAR_25_29_YEARS,GROUP_AGE,2019-06-30,ALL_COURTS,defendant-count,person,86997,observed,86997,sha256:9a9a18151fc6ccb58fa831a0628f13cd867486873b206ae32e4ab327bd903eba,Table 1,R15C9,sha256:7997de1ee08201e83a6ec8145cccd0d4bc2b08ba859a88279acdc430b2f30773,criminal-courts-australia,sha256:fd9e8e6a7033b9093da0e144d690574282c9fad0ccad8c9904632644e522d50a,tidy.table-family-acceptance/v1,sha256:157f597ab43814ffd4c1745a928138b9a755483536af2ef1d0dad14c2f5da4a4,sha256:a6b35fd7e396c0ea3dafea1bead5727fc82244d36e42910ba41d08c66ebd3741,sha256:22f00765b7edb35adf774e8a0ca9000141d726771f1f82ca4a12ac3db2462938,human-authored/deterministic-map-v1,replay:sha256:a471f96866ae46e1f8d8fd4aa39623f928e90b0425911a4125e958992ba059fc,25–29 years,Age,2017–18,All Courts
2023-06-30,2019-06-30,CHAR_25_29_YEARS,GROUP_AGE,2019-06-30,HIGHER_COURTS,defendant-count,person,3406,observed,3406,sha256:9a9a18151fc6ccb58fa831a0628f13cd867486873b206ae32e4ab327bd903eba,Table 1,R96C9,sha256:7997de1ee08201e83a6ec8145cccd0d4bc2b08ba859a88279acdc430b2f30773,criminal-courts-australia,sha256:fd9e8e6a7033b9093da0e144d690574282c9fad0ccad8c9904632644e522d50a,tidy.table-family-acceptance/v1,sha256:157f597ab43814ffd4c1745a928138b9a755483536af2ef1d0dad14c2f5da4a4,sha256:a6b35fd7e396c0ea3dafea1bead5727fc82244d36e42910ba41d08c66ebd3741,sha256:22f00765b7edb35adf774e8a0ca9000141d726771f1f82ca4a12ac3db2462938,human-authored/deterministic-map-v1,replay:sha256:a471f96866ae46e1f8d8fd4aa39623f928e90b0425911a4125e958992ba059fc,25–29 years,Age,2017–18,Higher Courts
2023-06-30,2019-06-30,CHAR_25_29_YEARS,GROUP_AGE,2019-06-30,MAGISTRATES_COURTS,defendant-count,person,83544,observed,83544,sha256:9a9a18151fc6ccb58fa831a0628f13cd867486873b206ae32e4ab327bd903eba,Table 1,R177C9,sha256:7997de1ee08201e83a6ec8145cccd0d4bc2b08ba859a88279acdc430b2f30773,criminal-courts-australia,sha256:fd9e8e6a7033b9093da0e144d690574282c9fad0ccad8c9904632644e522d50a,tidy.table-family-acceptance/v1,sha256:157f597ab43814ffd4c1745a928138b9a755483536af2ef1d0dad14c2f5da4a4,sha256:a6b35fd7e396c0ea3dafea1bead5727fc82244d36e42910ba41d08c66ebd3741,sha256:22f00765b7edb35adf774e8a0ca9000141d726771f1f82ca4a12ac3db2462938,human-authored/deterministic-map-v1,replay:sha256:a471f96866ae46e1f8d8fd4aa39623f928e90b0425911a4125e958992ba059fc,25–29 years,Age,2017–18,Magistrates' Courts
2023-06-30,2019-06-30,CHAR_25_YEARS_AND_OVER,GROUP_AGE,2019-06-30,CHILDRENS_COURTS,defendant-count,person,93,observed,93,sha256:9a9a18151fc6ccb58fa831a0628f13cd867486873b206ae32e4ab327bd903eba,Table 1,R266C9,sha256:7997de1ee08201e83a6ec8145cccd0d4bc2b08ba859a88279acdc430b2f30773,criminal-courts-australia,sha256:fd9e8e6a7033b9093da0e144d690574282c9fad0ccad8c9904632644e522d50a,tidy.table-family-acceptance/v1,sha256:157f597ab43814ffd4c1745a928138b9a755483536af2ef1d0dad14c2f5da4a4,sha256:a6b35fd7e396c0ea3dafea1bead5727fc82244d36e42910ba41d08c66ebd3741,sha256:22f00765b7edb35adf774e8a0ca9000141d726771f1f82ca4a12ac3db2462938,human-authored/deterministic-map-v1,replay:sha256:a471f96866ae46e1f8d8fd4aa39623f928e90b0425911a4125e958992ba059fc,25 years and over,Age,2017–18,Children's Courts
2023-06-30,2019-06-30,CHAR_30_34_YEARS,GROUP_AGE,2019-06-30,ALL_COURTS,defendant-count,person,79368,observed,79368,sha256:9a9a18151fc6ccb58fa831a0628f13cd867486873b206ae32e4ab327bd903eba,Table 1,R16C9,sha256:7997de1ee08201e83a6ec8145cccd0d4bc2b08ba859a88279acdc430b2f30773,criminal-courts-australia,sha256:fd9e8e6a7033b9093da0e144d690574282c9fad0ccad8c9904632644e522d50a,tidy.table-family-acceptance/v1,sha256:157f597ab43814ffd4c1745a928138b9a755483536af2ef1d0dad14c2f5da4a4,sha256:a6b35fd7e396c0ea3dafea1bead5727fc82244d36e42910ba41d08c66ebd3741,sha256:22f00765b7edb35adf774e8a0ca9000141d726771f1f82ca4a12ac3db2462938,human-authored/deterministic-map-v1,replay:sha256:a471f96866ae46e1f8d8fd4aa39623f928e90b0425911a4125e958992ba059fc,30–34 years,Age,2017–18,All Courts
2023-06-30,2019-06-30,CHAR_30_34_YEARS,GROUP_AGE,2019-06-30,HIGHER_COURTS,defendant-count,person,2979,observed,2979,sha256:9a9a18151fc6ccb58fa831a0628f13cd867486873b206ae32e4ab327bd903eba,Table 1,R97C9,sha256:7997de1ee08201e83a6ec8145cccd0d4bc2b08ba859a88279acdc430b2f30773,criminal-courts-australia,sha256:fd9e8e6a7033b9093da0e144d690574282c9fad0ccad8c9904632644e522d50a,tidy.table-family-acceptance/v1,sha256:157f597ab43814ffd4c1745a928138b9a755483536af2ef1d0dad14c2f5da4a4,sha256:a6b35fd7e396c0ea3dafea1bead5727fc82244d36e42910ba41d08c66ebd3741,sha256:22f00765b7edb35adf774e8a0ca9000141d726771f1f82ca4a12ac3db2462938,human-authored/deterministic-map-v1,replay:sha256:a471f96866ae46e1f8d8fd4aa39623f928e90b0425911a4125e958992ba059fc,30–34 years,Age,2017–18,Higher Courts
2023-06-30,2019-06-30,CHAR_30_34_YEARS,GROUP_AGE,2019-06-30,MAGISTRATES_COURTS,defendant-count,person,76362,observed,76362,sha256:9a9a18151fc6ccb58fa831a0628f13cd867486873b206ae32e4ab327bd903eba,Table 1,R178C9,sha256:7997de1ee08201e83a6ec8145cccd0d4bc2b08ba859a88279acdc430b2f30773,criminal-courts-australia,sha256:fd9e8e6a7033b9093da0e144d690574282c9fad0ccad8c9904632644e522d50a,tidy.table-family-acceptance/v1,sha256:157f597ab43814ffd4c1745a928138b9a755483536af2ef1d0dad14c2f5da4a4,sha256:a6b35fd7e396c0ea3dafea1bead5727fc82244d36e42910ba41d08c66ebd3741,sha256:22f00765b7edb35adf774e8a0ca9000141d726771f1f82ca4a12ac3db2462938,human-authored/deterministic-map-v1,replay:sha256:a471f96866ae46e1f8d8fd4aa39623f928e90b0425911a4125e958992ba059fc,30–34 years,Age,2017–18,Magistrates' Courts
2023-06-30,2019-06-30,CHAR_35_39_YEARS,GROUP_AGE,2019-06-30,ALL_COURTS,defendant-count,person,69607,observed,69607,sha256:9a9a18151fc6ccb58fa831a0628f13cd867486873b206ae32e4ab327bd903eba,Table 1,R17C9,sha256:7997de1ee08201e83a6ec8145cccd0d4bc2b08ba859a88279acdc430b2f30773,criminal-courts-australia,sha256:fd9e8e6a7033b9093da0e144d690574282c9fad0ccad8c9904632644e522d50a,tidy.table-family-acceptance/v1,sha256:157f597ab43814ffd4c1745a928138b9a755483536af2ef1d0dad14c2f5da4a4,sha256:a6b35fd7e396c0ea3dafea1bead5727fc82244d36e42910ba41d08c66ebd3741,sha256:22f00765b7edb35adf774e8a0ca9000141d726771f1f82ca4a12ac3db2462938,human-authored/deterministic-map-v1,replay:sha256:a471f96866ae46e1f8d8fd4aa39623f928e90b0425911a4125e958992ba059fc,35–39 years,Age,2017–18,All Courts
2023-06-30,2019-06-30,CHAR_35_39_YEARS,GROUP_AGE,2019-06-30,HIGHER_COURTS,defendant-count,person,2427,observed,2427,sha256:9a9a18151fc6ccb58fa831a0628f13cd867486873b206ae32e4ab327bd903eba,Table 1,R98C9,sha256:7997de1ee08201e83a6ec8145cccd0d4bc2b08ba859a88279acdc430b2f30773,criminal-courts-australia,sha256:fd9e8e6a7033b9093da0e144d690574282c9fad0ccad8c9904632644e522d50a,tidy.table-family-acceptance/v1,sha256:157f597ab43814ffd4c1745a928138b9a755483536af2ef1d0dad14c2f5da4a4,sha256:a6b35fd7e396c0ea3dafea1bead5727fc82244d36e42910ba41d08c66ebd3741,sha256:22f00765b7edb35adf774e8a0ca9000141d726771f1f82ca4a12ac3db2462938,human-authored/deterministic-map-v1,replay:sha256:a471f96866ae46e1f8d8fd4aa39623f928e90b0425911a4125e958992ba059fc,35–39 years,Age,2017–18,Higher Courts
2023-06-30,2019-06-30,CHAR_35_39_YEARS,GROUP_AGE,2019-06-30,MAGISTRATES_COURTS,defendant-count,person,67166,observed,67166,sha256:9a9a18151fc6ccb58fa831a0628f13cd867486873b206ae32e4ab327bd903eba,Table 1,R179C9,sha256:7997de1ee08201e83a6ec8145cccd0d4bc2b08ba859a88279acdc430b2f30773,criminal-courts-australia,sha256:fd9e8e6a7033b9093da0e144d690574282c9fad0ccad8c9904632644e522d50a,tidy.table-family-acceptance/v1,sha256:157f597ab43814ffd4c1745a928138b9a755483536af2ef1d0dad14c2f5da4a4,sha256:a6b35fd7e396c0ea3dafea1bead5727fc82244d36e42910ba41d08c66ebd3741,sha256:22f00765b7edb35adf774e8a0ca9000141d726771f1f82ca4a12ac3db2462938,human-authored/deterministic-map-v1,replay:sha256:a471f96866ae46e1f8d8fd4aa39623f928e90b0425911a4125e958992ba059fc,35–39 years,Age,2017–18,Magistrates' Courts
