reference_date,jurisdiction_id,statistic_basis_id,characteristic_group_id,characteristic_category_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_jurisdiction,raw_statistic_basis,raw_characteristic_group,raw_characteristic_category
2021-06-30,ACT,NUMBER,MEDIAN_AGE,PERSONS,median-age,year,34.2,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_14,R27C9,sha256:bdc7d65e784700103139beca08c80f71b36e25c3dc12531d88b324ec6ed7decd,prisoners-in-australia,sha256:c79496f3b6fc4fb4bed44a1ac764d198ce6c95c78dcc2b8e705fb107404ab14e,tidy.table-family-acceptance/v1,sha256:73cab5d9b03496c29e7a7c64a44e76ab827dc081c403cf2f0b3d3fad894dffe9,sha256:0748f174d0101d77d138cdc6df8e6e43d630a0f5b49f7beea04d17179a4fc8d4,sha256:03bd1b3a0c805d26f7205f47395f8c8ed7d0071889e49f119ded995f124976f5,openai-codex/gpt-5.6-sol,replay:sha256:15ce00fc18dd91fbc1e129e842016d06bc90a4f44afac7a9250283e2bbf985ed,ACT,NUMBER,Median age (years),Persons
2021-06-30,ACT,NUMBER,PRIOR_IMPRISONMENT_STATUS,NO_PRIOR_IMPRISONMENT,prisoner-count,person,80,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_14,R21C9,sha256:bdc7d65e784700103139beca08c80f71b36e25c3dc12531d88b324ec6ed7decd,prisoners-in-australia,sha256:c79496f3b6fc4fb4bed44a1ac764d198ce6c95c78dcc2b8e705fb107404ab14e,tidy.table-family-acceptance/v1,sha256:73cab5d9b03496c29e7a7c64a44e76ab827dc081c403cf2f0b3d3fad894dffe9,sha256:0748f174d0101d77d138cdc6df8e6e43d630a0f5b49f7beea04d17179a4fc8d4,sha256:03bd1b3a0c805d26f7205f47395f8c8ed7d0071889e49f119ded995f124976f5,openai-codex/gpt-5.6-sol,replay:sha256:15ce00fc18dd91fbc1e129e842016d06bc90a4f44afac7a9250283e2bbf985ed,ACT,NUMBER,Prior imprisonment status,No prior imprisonment
2021-06-30,ACT,NUMBER,PRIOR_IMPRISONMENT_STATUS,PRIOR_IMPRISONMENT,prisoner-count,person,294,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_14,R20C9,sha256:bdc7d65e784700103139beca08c80f71b36e25c3dc12531d88b324ec6ed7decd,prisoners-in-australia,sha256:c79496f3b6fc4fb4bed44a1ac764d198ce6c95c78dcc2b8e705fb107404ab14e,tidy.table-family-acceptance/v1,sha256:73cab5d9b03496c29e7a7c64a44e76ab827dc081c403cf2f0b3d3fad894dffe9,sha256:0748f174d0101d77d138cdc6df8e6e43d630a0f5b49f7beea04d17179a4fc8d4,sha256:03bd1b3a0c805d26f7205f47395f8c8ed7d0071889e49f119ded995f124976f5,openai-codex/gpt-5.6-sol,replay:sha256:15ce00fc18dd91fbc1e129e842016d06bc90a4f44afac7a9250283e2bbf985ed,ACT,NUMBER,Prior imprisonment status,Prior imprisonment
2021-06-30,ACT,NUMBER,SEX,FEMALE,prisoner-count,person,21,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_14,R10C9,sha256:bdc7d65e784700103139beca08c80f71b36e25c3dc12531d88b324ec6ed7decd,prisoners-in-australia,sha256:c79496f3b6fc4fb4bed44a1ac764d198ce6c95c78dcc2b8e705fb107404ab14e,tidy.table-family-acceptance/v1,sha256:73cab5d9b03496c29e7a7c64a44e76ab827dc081c403cf2f0b3d3fad894dffe9,sha256:0748f174d0101d77d138cdc6df8e6e43d630a0f5b49f7beea04d17179a4fc8d4,sha256:03bd1b3a0c805d26f7205f47395f8c8ed7d0071889e49f119ded995f124976f5,openai-codex/gpt-5.6-sol,replay:sha256:15ce00fc18dd91fbc1e129e842016d06bc90a4f44afac7a9250283e2bbf985ed,ACT,NUMBER,Sex,Females
2021-06-30,ACT,NUMBER,SEX,MALE,prisoner-count,person,354,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_14,R9C9,sha256:bdc7d65e784700103139beca08c80f71b36e25c3dc12531d88b324ec6ed7decd,prisoners-in-australia,sha256:c79496f3b6fc4fb4bed44a1ac764d198ce6c95c78dcc2b8e705fb107404ab14e,tidy.table-family-acceptance/v1,sha256:73cab5d9b03496c29e7a7c64a44e76ab827dc081c403cf2f0b3d3fad894dffe9,sha256:0748f174d0101d77d138cdc6df8e6e43d630a0f5b49f7beea04d17179a4fc8d4,sha256:03bd1b3a0c805d26f7205f47395f8c8ed7d0071889e49f119ded995f124976f5,openai-codex/gpt-5.6-sol,replay:sha256:15ce00fc18dd91fbc1e129e842016d06bc90a4f44afac7a9250283e2bbf985ed,ACT,NUMBER,Sex,Males
2021-06-30,ACT,NUMBER,TOTAL,TOTAL_PRISONERS,prisoner-count,person,379,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_14,R7C9,sha256:bdc7d65e784700103139beca08c80f71b36e25c3dc12531d88b324ec6ed7decd,prisoners-in-australia,sha256:c79496f3b6fc4fb4bed44a1ac764d198ce6c95c78dcc2b8e705fb107404ab14e,tidy.table-family-acceptance/v1,sha256:73cab5d9b03496c29e7a7c64a44e76ab827dc081c403cf2f0b3d3fad894dffe9,sha256:0748f174d0101d77d138cdc6df8e6e43d630a0f5b49f7beea04d17179a4fc8d4,sha256:03bd1b3a0c805d26f7205f47395f8c8ed7d0071889e49f119ded995f124976f5,openai-codex/gpt-5.6-sol,replay:sha256:15ce00fc18dd91fbc1e129e842016d06bc90a4f44afac7a9250283e2bbf985ed,ACT,NUMBER,Total prisoners,Total prisoners
2021-06-30,ACT,PROPORTION,INDIGENOUS_STATUS,INDIGENOUS,prisoner-proportion,percent,25.9,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_14,R33C9,sha256:bdc7d65e784700103139beca08c80f71b36e25c3dc12531d88b324ec6ed7decd,prisoners-in-australia,sha256:c79496f3b6fc4fb4bed44a1ac764d198ce6c95c78dcc2b8e705fb107404ab14e,tidy.table-family-acceptance/v1,sha256:73cab5d9b03496c29e7a7c64a44e76ab827dc081c403cf2f0b3d3fad894dffe9,sha256:0748f174d0101d77d138cdc6df8e6e43d630a0f5b49f7beea04d17179a4fc8d4,sha256:03bd1b3a0c805d26f7205f47395f8c8ed7d0071889e49f119ded995f124976f5,openai-codex/gpt-5.6-sol,replay:sha256:15ce00fc18dd91fbc1e129e842016d06bc90a4f44afac7a9250283e2bbf985ed,ACT,PROPORTION (%),Indigenous status,Aboriginal and Torres Strait Islander
2021-06-30,ACT,PROPORTION,INDIGENOUS_STATUS,NON_INDIGENOUS,prisoner-proportion,percent,72,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_14,R34C9,sha256:bdc7d65e784700103139beca08c80f71b36e25c3dc12531d88b324ec6ed7decd,prisoners-in-australia,sha256:c79496f3b6fc4fb4bed44a1ac764d198ce6c95c78dcc2b8e705fb107404ab14e,tidy.table-family-acceptance/v1,sha256:73cab5d9b03496c29e7a7c64a44e76ab827dc081c403cf2f0b3d3fad894dffe9,sha256:0748f174d0101d77d138cdc6df8e6e43d630a0f5b49f7beea04d17179a4fc8d4,sha256:03bd1b3a0c805d26f7205f47395f8c8ed7d0071889e49f119ded995f124976f5,openai-codex/gpt-5.6-sol,replay:sha256:15ce00fc18dd91fbc1e129e842016d06bc90a4f44afac7a9250283e2bbf985ed,ACT,PROPORTION (%),Indigenous status,Non-Indigenous
2021-06-30,ACT,PROPORTION,INDIGENOUS_STATUS,UNKNOWN,prisoner-proportion,percent,0,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_14,R35C9,sha256:bdc7d65e784700103139beca08c80f71b36e25c3dc12531d88b324ec6ed7decd,prisoners-in-australia,sha256:c79496f3b6fc4fb4bed44a1ac764d198ce6c95c78dcc2b8e705fb107404ab14e,tidy.table-family-acceptance/v1,sha256:73cab5d9b03496c29e7a7c64a44e76ab827dc081c403cf2f0b3d3fad894dffe9,sha256:0748f174d0101d77d138cdc6df8e6e43d630a0f5b49f7beea04d17179a4fc8d4,sha256:03bd1b3a0c805d26f7205f47395f8c8ed7d0071889e49f119ded995f124976f5,openai-codex/gpt-5.6-sol,replay:sha256:15ce00fc18dd91fbc1e129e842016d06bc90a4f44afac7a9250283e2bbf985ed,ACT,PROPORTION (%),Indigenous status,Unknown
2021-06-30,ACT,PROPORTION,LEGAL_STATUS,POST_SENTENCE,prisoner-proportion,percent,0,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_14,R39C9,sha256:bdc7d65e784700103139beca08c80f71b36e25c3dc12531d88b324ec6ed7decd,prisoners-in-australia,sha256:c79496f3b6fc4fb4bed44a1ac764d198ce6c95c78dcc2b8e705fb107404ab14e,tidy.table-family-acceptance/v1,sha256:73cab5d9b03496c29e7a7c64a44e76ab827dc081c403cf2f0b3d3fad894dffe9,sha256:0748f174d0101d77d138cdc6df8e6e43d630a0f5b49f7beea04d17179a4fc8d4,sha256:03bd1b3a0c805d26f7205f47395f8c8ed7d0071889e49f119ded995f124976f5,openai-codex/gpt-5.6-sol,replay:sha256:15ce00fc18dd91fbc1e129e842016d06bc90a4f44afac7a9250283e2bbf985ed,ACT,PROPORTION (%),Legal status,Post-sentence
