reference_date,principal_offence_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_jurisdiction,raw_classification_context
2025-06-30,02_ASSAULT_294c4580,QLD_cfd8a309,PRELIMINARY_ANZSOC_2023_MOST_SERIOUS_OFFENCE_eab06f2c,published-value,published-unit,1446,observed,sha256:73d729ea81b95e9d8e09f3c26fa980b120bcf033cfae5831e3cf2f50f8ae29dc,ANZSOC 2023 Table 2,R7C3,sha256:0b8c02e3c164c30eb9f489b43c33c3b42a97499dfc93a5f6f1dbdaafd95acd08,prisoners-in-australia,sha256:c66c23ba0b6aac0409253d79718ee515cb625e640fc3308fffaabb109cc23e62,tidy.table-family-acceptance/v2,sha256:808aaccabb93dcf4cc5634a6249a553b6717f9277caf440f1f02a0d9001d564b,sha256:0da909b47f430bbee93ecb10fc72b6ad6e5f7df2a3309d63f19f58a23de1ba68,sha256:87cd77d3d800998a6a01203431a63aa925f8d18827d6977fe871be29158f4dc2,human-authored/deterministic-geometry-v1,replay:sha256:ca28e68e2e2f6a41c39925a33a825dc549e5270c717520d2a6b65f20ffa65a46,02 Assault,Qld,Preliminary ANZSOC 2023 most serious offence
2025-06-30,02_ASSAULT_294c4580,SA_360bf3a8,PRELIMINARY_ANZSOC_2023_MOST_SERIOUS_OFFENCE_eab06f2c,published-value,published-unit,198,observed,sha256:73d729ea81b95e9d8e09f3c26fa980b120bcf033cfae5831e3cf2f50f8ae29dc,ANZSOC 2023 Table 2,R7C4,sha256:0b8c02e3c164c30eb9f489b43c33c3b42a97499dfc93a5f6f1dbdaafd95acd08,prisoners-in-australia,sha256:c66c23ba0b6aac0409253d79718ee515cb625e640fc3308fffaabb109cc23e62,tidy.table-family-acceptance/v2,sha256:808aaccabb93dcf4cc5634a6249a553b6717f9277caf440f1f02a0d9001d564b,sha256:0da909b47f430bbee93ecb10fc72b6ad6e5f7df2a3309d63f19f58a23de1ba68,sha256:87cd77d3d800998a6a01203431a63aa925f8d18827d6977fe871be29158f4dc2,human-authored/deterministic-geometry-v1,replay:sha256:ca28e68e2e2f6a41c39925a33a825dc549e5270c717520d2a6b65f20ffa65a46,02 Assault,SA,Preliminary ANZSOC 2023 most serious offence
2025-06-30,02_ASSAULT_294c4580,TAS_71b7c8af,PRELIMINARY_ANZSOC_2023_MOST_SERIOUS_OFFENCE_eab06f2c,published-value,published-unit,134,observed,sha256:73d729ea81b95e9d8e09f3c26fa980b120bcf033cfae5831e3cf2f50f8ae29dc,ANZSOC 2023 Table 2,R7C6,sha256:0b8c02e3c164c30eb9f489b43c33c3b42a97499dfc93a5f6f1dbdaafd95acd08,prisoners-in-australia,sha256:c66c23ba0b6aac0409253d79718ee515cb625e640fc3308fffaabb109cc23e62,tidy.table-family-acceptance/v2,sha256:808aaccabb93dcf4cc5634a6249a553b6717f9277caf440f1f02a0d9001d564b,sha256:0da909b47f430bbee93ecb10fc72b6ad6e5f7df2a3309d63f19f58a23de1ba68,sha256:87cd77d3d800998a6a01203431a63aa925f8d18827d6977fe871be29158f4dc2,human-authored/deterministic-geometry-v1,replay:sha256:ca28e68e2e2f6a41c39925a33a825dc549e5270c717520d2a6b65f20ffa65a46,02 Assault,Tas.,Preliminary ANZSOC 2023 most serious offence
2025-06-30,02_ASSAULT_294c4580,WA_d8689b62,PRELIMINARY_ANZSOC_2023_MOST_SERIOUS_OFFENCE_eab06f2c,published-value,published-unit,888,observed,sha256:73d729ea81b95e9d8e09f3c26fa980b120bcf033cfae5831e3cf2f50f8ae29dc,ANZSOC 2023 Table 2,R7C5,sha256:0b8c02e3c164c30eb9f489b43c33c3b42a97499dfc93a5f6f1dbdaafd95acd08,prisoners-in-australia,sha256:c66c23ba0b6aac0409253d79718ee515cb625e640fc3308fffaabb109cc23e62,tidy.table-family-acceptance/v2,sha256:808aaccabb93dcf4cc5634a6249a553b6717f9277caf440f1f02a0d9001d564b,sha256:0da909b47f430bbee93ecb10fc72b6ad6e5f7df2a3309d63f19f58a23de1ba68,sha256:87cd77d3d800998a6a01203431a63aa925f8d18827d6977fe871be29158f4dc2,human-authored/deterministic-geometry-v1,replay:sha256:ca28e68e2e2f6a41c39925a33a825dc549e5270c717520d2a6b65f20ffa65a46,02 Assault,WA,Preliminary ANZSOC 2023 most serious offence
2025-06-30,03_SEXUAL_OFFENCES_6fb153ef,ACT_ee71241e,PRELIMINARY_ANZSOC_2023_MOST_SERIOUS_OFFENCE_eab06f2c,published-value,published-unit,63,observed,sha256:73d729ea81b95e9d8e09f3c26fa980b120bcf033cfae5831e3cf2f50f8ae29dc,ANZSOC 2023 Table 2,R8C8,sha256:0b8c02e3c164c30eb9f489b43c33c3b42a97499dfc93a5f6f1dbdaafd95acd08,prisoners-in-australia,sha256:c66c23ba0b6aac0409253d79718ee515cb625e640fc3308fffaabb109cc23e62,tidy.table-family-acceptance/v2,sha256:808aaccabb93dcf4cc5634a6249a553b6717f9277caf440f1f02a0d9001d564b,sha256:0da909b47f430bbee93ecb10fc72b6ad6e5f7df2a3309d63f19f58a23de1ba68,sha256:87cd77d3d800998a6a01203431a63aa925f8d18827d6977fe871be29158f4dc2,human-authored/deterministic-geometry-v1,replay:sha256:ca28e68e2e2f6a41c39925a33a825dc549e5270c717520d2a6b65f20ffa65a46,03 Sexual offences,ACT,Preliminary ANZSOC 2023 most serious offence
2025-06-30,03_SEXUAL_OFFENCES_6fb153ef,NSW_647faf01,PRELIMINARY_ANZSOC_2023_MOST_SERIOUS_OFFENCE_eab06f2c,published-value,published-unit,1619,observed,sha256:73d729ea81b95e9d8e09f3c26fa980b120bcf033cfae5831e3cf2f50f8ae29dc,ANZSOC 2023 Table 2,R8C2,sha256:0b8c02e3c164c30eb9f489b43c33c3b42a97499dfc93a5f6f1dbdaafd95acd08,prisoners-in-australia,sha256:c66c23ba0b6aac0409253d79718ee515cb625e640fc3308fffaabb109cc23e62,tidy.table-family-acceptance/v2,sha256:808aaccabb93dcf4cc5634a6249a553b6717f9277caf440f1f02a0d9001d564b,sha256:0da909b47f430bbee93ecb10fc72b6ad6e5f7df2a3309d63f19f58a23de1ba68,sha256:87cd77d3d800998a6a01203431a63aa925f8d18827d6977fe871be29158f4dc2,human-authored/deterministic-geometry-v1,replay:sha256:ca28e68e2e2f6a41c39925a33a825dc549e5270c717520d2a6b65f20ffa65a46,03 Sexual offences,NSW,Preliminary ANZSOC 2023 most serious offence
2025-06-30,03_SEXUAL_OFFENCES_6fb153ef,NT_ff9ec9f7,PRELIMINARY_ANZSOC_2023_MOST_SERIOUS_OFFENCE_eab06f2c,published-value,published-unit,167,observed,sha256:73d729ea81b95e9d8e09f3c26fa980b120bcf033cfae5831e3cf2f50f8ae29dc,ANZSOC 2023 Table 2,R8C7,sha256:0b8c02e3c164c30eb9f489b43c33c3b42a97499dfc93a5f6f1dbdaafd95acd08,prisoners-in-australia,sha256:c66c23ba0b6aac0409253d79718ee515cb625e640fc3308fffaabb109cc23e62,tidy.table-family-acceptance/v2,sha256:808aaccabb93dcf4cc5634a6249a553b6717f9277caf440f1f02a0d9001d564b,sha256:0da909b47f430bbee93ecb10fc72b6ad6e5f7df2a3309d63f19f58a23de1ba68,sha256:87cd77d3d800998a6a01203431a63aa925f8d18827d6977fe871be29158f4dc2,human-authored/deterministic-geometry-v1,replay:sha256:ca28e68e2e2f6a41c39925a33a825dc549e5270c717520d2a6b65f20ffa65a46,03 Sexual offences,NT,Preliminary ANZSOC 2023 most serious offence
2025-06-30,03_SEXUAL_OFFENCES_6fb153ef,QLD_cfd8a309,PRELIMINARY_ANZSOC_2023_MOST_SERIOUS_OFFENCE_eab06f2c,published-value,published-unit,1064,observed,sha256:73d729ea81b95e9d8e09f3c26fa980b120bcf033cfae5831e3cf2f50f8ae29dc,ANZSOC 2023 Table 2,R8C3,sha256:0b8c02e3c164c30eb9f489b43c33c3b42a97499dfc93a5f6f1dbdaafd95acd08,prisoners-in-australia,sha256:c66c23ba0b6aac0409253d79718ee515cb625e640fc3308fffaabb109cc23e62,tidy.table-family-acceptance/v2,sha256:808aaccabb93dcf4cc5634a6249a553b6717f9277caf440f1f02a0d9001d564b,sha256:0da909b47f430bbee93ecb10fc72b6ad6e5f7df2a3309d63f19f58a23de1ba68,sha256:87cd77d3d800998a6a01203431a63aa925f8d18827d6977fe871be29158f4dc2,human-authored/deterministic-geometry-v1,replay:sha256:ca28e68e2e2f6a41c39925a33a825dc549e5270c717520d2a6b65f20ffa65a46,03 Sexual offences,Qld,Preliminary ANZSOC 2023 most serious offence
2025-06-30,03_SEXUAL_OFFENCES_6fb153ef,SA_360bf3a8,PRELIMINARY_ANZSOC_2023_MOST_SERIOUS_OFFENCE_eab06f2c,published-value,published-unit,547,observed,sha256:73d729ea81b95e9d8e09f3c26fa980b120bcf033cfae5831e3cf2f50f8ae29dc,ANZSOC 2023 Table 2,R8C4,sha256:0b8c02e3c164c30eb9f489b43c33c3b42a97499dfc93a5f6f1dbdaafd95acd08,prisoners-in-australia,sha256:c66c23ba0b6aac0409253d79718ee515cb625e640fc3308fffaabb109cc23e62,tidy.table-family-acceptance/v2,sha256:808aaccabb93dcf4cc5634a6249a553b6717f9277caf440f1f02a0d9001d564b,sha256:0da909b47f430bbee93ecb10fc72b6ad6e5f7df2a3309d63f19f58a23de1ba68,sha256:87cd77d3d800998a6a01203431a63aa925f8d18827d6977fe871be29158f4dc2,human-authored/deterministic-geometry-v1,replay:sha256:ca28e68e2e2f6a41c39925a33a825dc549e5270c717520d2a6b65f20ffa65a46,03 Sexual offences,SA,Preliminary ANZSOC 2023 most serious offence
2025-06-30,03_SEXUAL_OFFENCES_6fb153ef,TAS_71b7c8af,PRELIMINARY_ANZSOC_2023_MOST_SERIOUS_OFFENCE_eab06f2c,published-value,published-unit,124,observed,sha256:73d729ea81b95e9d8e09f3c26fa980b120bcf033cfae5831e3cf2f50f8ae29dc,ANZSOC 2023 Table 2,R8C6,sha256:0b8c02e3c164c30eb9f489b43c33c3b42a97499dfc93a5f6f1dbdaafd95acd08,prisoners-in-australia,sha256:c66c23ba0b6aac0409253d79718ee515cb625e640fc3308fffaabb109cc23e62,tidy.table-family-acceptance/v2,sha256:808aaccabb93dcf4cc5634a6249a553b6717f9277caf440f1f02a0d9001d564b,sha256:0da909b47f430bbee93ecb10fc72b6ad6e5f7df2a3309d63f19f58a23de1ba68,sha256:87cd77d3d800998a6a01203431a63aa925f8d18827d6977fe871be29158f4dc2,human-authored/deterministic-geometry-v1,replay:sha256:ca28e68e2e2f6a41c39925a33a825dc549e5270c717520d2a6b65f20ffa65a46,03 Sexual offences,Tas.,Preliminary ANZSOC 2023 most serious offence
2025-06-30,03_SEXUAL_OFFENCES_6fb153ef,WA_d8689b62,PRELIMINARY_ANZSOC_2023_MOST_SERIOUS_OFFENCE_eab06f2c,published-value,published-unit,879,observed,sha256:73d729ea81b95e9d8e09f3c26fa980b120bcf033cfae5831e3cf2f50f8ae29dc,ANZSOC 2023 Table 2,R8C5,sha256:0b8c02e3c164c30eb9f489b43c33c3b42a97499dfc93a5f6f1dbdaafd95acd08,prisoners-in-australia,sha256:c66c23ba0b6aac0409253d79718ee515cb625e640fc3308fffaabb109cc23e62,tidy.table-family-acceptance/v2,sha256:808aaccabb93dcf4cc5634a6249a553b6717f9277caf440f1f02a0d9001d564b,sha256:0da909b47f430bbee93ecb10fc72b6ad6e5f7df2a3309d63f19f58a23de1ba68,sha256:87cd77d3d800998a6a01203431a63aa925f8d18827d6977fe871be29158f4dc2,human-authored/deterministic-geometry-v1,replay:sha256:ca28e68e2e2f6a41c39925a33a825dc549e5270c717520d2a6b65f20ffa65a46,03 Sexual offences,WA,Preliminary ANZSOC 2023 most serious offence
2025-06-30,04_HARM_OR_ENDANGER_PERSONS_0c955db8,ACT_ee71241e,PRELIMINARY_ANZSOC_2023_MOST_SERIOUS_OFFENCE_eab06f2c,published-value,published-unit,26,observed,sha256:73d729ea81b95e9d8e09f3c26fa980b120bcf033cfae5831e3cf2f50f8ae29dc,ANZSOC 2023 Table 2,R9C8,sha256:0b8c02e3c164c30eb9f489b43c33c3b42a97499dfc93a5f6f1dbdaafd95acd08,prisoners-in-australia,sha256:c66c23ba0b6aac0409253d79718ee515cb625e640fc3308fffaabb109cc23e62,tidy.table-family-acceptance/v2,sha256:808aaccabb93dcf4cc5634a6249a553b6717f9277caf440f1f02a0d9001d564b,sha256:0da909b47f430bbee93ecb10fc72b6ad6e5f7df2a3309d63f19f58a23de1ba68,sha256:87cd77d3d800998a6a01203431a63aa925f8d18827d6977fe871be29158f4dc2,human-authored/deterministic-geometry-v1,replay:sha256:ca28e68e2e2f6a41c39925a33a825dc549e5270c717520d2a6b65f20ffa65a46,04 Harm or endanger persons,ACT,Preliminary ANZSOC 2023 most serious offence
2025-06-30,04_HARM_OR_ENDANGER_PERSONS_0c955db8,NSW_647faf01,PRELIMINARY_ANZSOC_2023_MOST_SERIOUS_OFFENCE_eab06f2c,published-value,published-unit,409,observed,sha256:73d729ea81b95e9d8e09f3c26fa980b120bcf033cfae5831e3cf2f50f8ae29dc,ANZSOC 2023 Table 2,R9C2,sha256:0b8c02e3c164c30eb9f489b43c33c3b42a97499dfc93a5f6f1dbdaafd95acd08,prisoners-in-australia,sha256:c66c23ba0b6aac0409253d79718ee515cb625e640fc3308fffaabb109cc23e62,tidy.table-family-acceptance/v2,sha256:808aaccabb93dcf4cc5634a6249a553b6717f9277caf440f1f02a0d9001d564b,sha256:0da909b47f430bbee93ecb10fc72b6ad6e5f7df2a3309d63f19f58a23de1ba68,sha256:87cd77d3d800998a6a01203431a63aa925f8d18827d6977fe871be29158f4dc2,human-authored/deterministic-geometry-v1,replay:sha256:ca28e68e2e2f6a41c39925a33a825dc549e5270c717520d2a6b65f20ffa65a46,04 Harm or endanger persons,NSW,Preliminary ANZSOC 2023 most serious offence
2025-06-30,04_HARM_OR_ENDANGER_PERSONS_0c955db8,NT_ff9ec9f7,PRELIMINARY_ANZSOC_2023_MOST_SERIOUS_OFFENCE_eab06f2c,published-value,published-unit,75,observed,sha256:73d729ea81b95e9d8e09f3c26fa980b120bcf033cfae5831e3cf2f50f8ae29dc,ANZSOC 2023 Table 2,R9C7,sha256:0b8c02e3c164c30eb9f489b43c33c3b42a97499dfc93a5f6f1dbdaafd95acd08,prisoners-in-australia,sha256:c66c23ba0b6aac0409253d79718ee515cb625e640fc3308fffaabb109cc23e62,tidy.table-family-acceptance/v2,sha256:808aaccabb93dcf4cc5634a6249a553b6717f9277caf440f1f02a0d9001d564b,sha256:0da909b47f430bbee93ecb10fc72b6ad6e5f7df2a3309d63f19f58a23de1ba68,sha256:87cd77d3d800998a6a01203431a63aa925f8d18827d6977fe871be29158f4dc2,human-authored/deterministic-geometry-v1,replay:sha256:ca28e68e2e2f6a41c39925a33a825dc549e5270c717520d2a6b65f20ffa65a46,04 Harm or endanger persons,NT,Preliminary ANZSOC 2023 most serious offence
2025-06-30,04_HARM_OR_ENDANGER_PERSONS_0c955db8,QLD_cfd8a309,PRELIMINARY_ANZSOC_2023_MOST_SERIOUS_OFFENCE_eab06f2c,published-value,published-unit,153,observed,sha256:73d729ea81b95e9d8e09f3c26fa980b120bcf033cfae5831e3cf2f50f8ae29dc,ANZSOC 2023 Table 2,R9C3,sha256:0b8c02e3c164c30eb9f489b43c33c3b42a97499dfc93a5f6f1dbdaafd95acd08,prisoners-in-australia,sha256:c66c23ba0b6aac0409253d79718ee515cb625e640fc3308fffaabb109cc23e62,tidy.table-family-acceptance/v2,sha256:808aaccabb93dcf4cc5634a6249a553b6717f9277caf440f1f02a0d9001d564b,sha256:0da909b47f430bbee93ecb10fc72b6ad6e5f7df2a3309d63f19f58a23de1ba68,sha256:87cd77d3d800998a6a01203431a63aa925f8d18827d6977fe871be29158f4dc2,human-authored/deterministic-geometry-v1,replay:sha256:ca28e68e2e2f6a41c39925a33a825dc549e5270c717520d2a6b65f20ffa65a46,04 Harm or endanger persons,Qld,Preliminary ANZSOC 2023 most serious offence
