publication_vintage_date,reference_date,principal_offence_id,sex_id,method_of_finalisation_id,court_level_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_sex,raw_method_of_finalisation,raw_court_level
2025-06-30,2025-06-30,ANZSOC2023_01,FEMALE,METHOD_TOTAL,HIGHER_COURTS,defendant-count,person,66,observed,66,sha256:086e5b5e79ad778632db673578aeede249cf8c2563c0c43b7338d09687e8a684,Table 5,R243C7,sha256:a04cbe017af64ed96d5a6c470d5cef2b0e33227977b2e0efff50784f37a8c0b0,criminal-courts-australia,sha256:d651ddc14d7d99514418196070a626577339205b0aa61d56bbf92332cae4cb48,tidy.table-family-acceptance/v1,sha256:14f4ec586a0743b19a8fc4c2fb742e95ae64690e99ef31b26826a954a2369d97,sha256:e90cabc97994b4e5ff81cd90f9501f0b2e64c6f592c429f20511d746cb931be1,sha256:3c763ac56e067ef03c563821cca3bb27cf0d49b041f923c26ad189adb0618334,human-authored/deterministic-map-v1,replay:sha256:27bcc3cc0dd1c3d8cb572ce0a83f126b31646ec814635913bd5faebee64ed2a1,01 Homicide,Females,Total(b),Higher Courts
2025-06-30,2025-06-30,ANZSOC2023_01,FEMALE,METHOD_TOTAL,MAGISTRATES_COURTS,defendant-count,person,70,observed,70,sha256:086e5b5e79ad778632db673578aeede249cf8c2563c0c43b7338d09687e8a684,Table 5,R420C7,sha256:a04cbe017af64ed96d5a6c470d5cef2b0e33227977b2e0efff50784f37a8c0b0,criminal-courts-australia,sha256:d651ddc14d7d99514418196070a626577339205b0aa61d56bbf92332cae4cb48,tidy.table-family-acceptance/v1,sha256:14f4ec586a0743b19a8fc4c2fb742e95ae64690e99ef31b26826a954a2369d97,sha256:e90cabc97994b4e5ff81cd90f9501f0b2e64c6f592c429f20511d746cb931be1,sha256:3c763ac56e067ef03c563821cca3bb27cf0d49b041f923c26ad189adb0618334,human-authored/deterministic-map-v1,replay:sha256:27bcc3cc0dd1c3d8cb572ce0a83f126b31646ec814635913bd5faebee64ed2a1,01 Homicide,Females,Total(b),Magistrates' Courts
2025-06-30,2025-06-30,ANZSOC2023_01,FEMALE,METHOD_TOTAL_ADJUDICATED,ALL_COURTS,defendant-count,person,77,observed,77,sha256:086e5b5e79ad778632db673578aeede249cf8c2563c0c43b7338d09687e8a684,Table 5,R66C4,sha256:a04cbe017af64ed96d5a6c470d5cef2b0e33227977b2e0efff50784f37a8c0b0,criminal-courts-australia,sha256:d651ddc14d7d99514418196070a626577339205b0aa61d56bbf92332cae4cb48,tidy.table-family-acceptance/v1,sha256:14f4ec586a0743b19a8fc4c2fb742e95ae64690e99ef31b26826a954a2369d97,sha256:e90cabc97994b4e5ff81cd90f9501f0b2e64c6f592c429f20511d746cb931be1,sha256:3c763ac56e067ef03c563821cca3bb27cf0d49b041f923c26ad189adb0618334,human-authored/deterministic-map-v1,replay:sha256:27bcc3cc0dd1c3d8cb572ce0a83f126b31646ec814635913bd5faebee64ed2a1,01 Homicide,Females,Total adjudicated(a)(i),All Courts
2025-06-30,2025-06-30,ANZSOC2023_01,FEMALE,METHOD_TOTAL_ADJUDICATED,CHILDRENS_COURTS,defendant-count,person,3,observed,3,sha256:086e5b5e79ad778632db673578aeede249cf8c2563c0c43b7338d09687e8a684,Table 5,R597C4,sha256:a04cbe017af64ed96d5a6c470d5cef2b0e33227977b2e0efff50784f37a8c0b0,criminal-courts-australia,sha256:d651ddc14d7d99514418196070a626577339205b0aa61d56bbf92332cae4cb48,tidy.table-family-acceptance/v1,sha256:14f4ec586a0743b19a8fc4c2fb742e95ae64690e99ef31b26826a954a2369d97,sha256:e90cabc97994b4e5ff81cd90f9501f0b2e64c6f592c429f20511d746cb931be1,sha256:3c763ac56e067ef03c563821cca3bb27cf0d49b041f923c26ad189adb0618334,human-authored/deterministic-map-v1,replay:sha256:27bcc3cc0dd1c3d8cb572ce0a83f126b31646ec814635913bd5faebee64ed2a1,01 Homicide,Females,Total adjudicated(a)(i),Children's Courts
2025-06-30,2025-06-30,ANZSOC2023_01,FEMALE,METHOD_TOTAL_ADJUDICATED,HIGHER_COURTS,defendant-count,person,55,observed,55,sha256:086e5b5e79ad778632db673578aeede249cf8c2563c0c43b7338d09687e8a684,Table 5,R243C4,sha256:a04cbe017af64ed96d5a6c470d5cef2b0e33227977b2e0efff50784f37a8c0b0,criminal-courts-australia,sha256:d651ddc14d7d99514418196070a626577339205b0aa61d56bbf92332cae4cb48,tidy.table-family-acceptance/v1,sha256:14f4ec586a0743b19a8fc4c2fb742e95ae64690e99ef31b26826a954a2369d97,sha256:e90cabc97994b4e5ff81cd90f9501f0b2e64c6f592c429f20511d746cb931be1,sha256:3c763ac56e067ef03c563821cca3bb27cf0d49b041f923c26ad189adb0618334,human-authored/deterministic-map-v1,replay:sha256:27bcc3cc0dd1c3d8cb572ce0a83f126b31646ec814635913bd5faebee64ed2a1,01 Homicide,Females,Total adjudicated(a)(i),Higher Courts
2025-06-30,2025-06-30,ANZSOC2023_01,FEMALE,METHOD_TOTAL_ADJUDICATED,MAGISTRATES_COURTS,defendant-count,person,23,observed,23,sha256:086e5b5e79ad778632db673578aeede249cf8c2563c0c43b7338d09687e8a684,Table 5,R420C4,sha256:a04cbe017af64ed96d5a6c470d5cef2b0e33227977b2e0efff50784f37a8c0b0,criminal-courts-australia,sha256:d651ddc14d7d99514418196070a626577339205b0aa61d56bbf92332cae4cb48,tidy.table-family-acceptance/v1,sha256:14f4ec586a0743b19a8fc4c2fb742e95ae64690e99ef31b26826a954a2369d97,sha256:e90cabc97994b4e5ff81cd90f9501f0b2e64c6f592c429f20511d746cb931be1,sha256:3c763ac56e067ef03c563821cca3bb27cf0d49b041f923c26ad189adb0618334,human-authored/deterministic-map-v1,replay:sha256:27bcc3cc0dd1c3d8cb572ce0a83f126b31646ec814635913bd5faebee64ed2a1,01 Homicide,Females,Total adjudicated(a)(i),Magistrates' Courts
2025-06-30,2025-06-30,ANZSOC2023_01,FEMALE,METHOD_TRANSFER_TO_OTHER_COURT_LEVELS,ALL_COURTS,defendant-count,person,44,observed,44,sha256:086e5b5e79ad778632db673578aeede249cf8c2563c0c43b7338d09687e8a684,Table 5,R66C5,sha256:a04cbe017af64ed96d5a6c470d5cef2b0e33227977b2e0efff50784f37a8c0b0,criminal-courts-australia,sha256:d651ddc14d7d99514418196070a626577339205b0aa61d56bbf92332cae4cb48,tidy.table-family-acceptance/v1,sha256:14f4ec586a0743b19a8fc4c2fb742e95ae64690e99ef31b26826a954a2369d97,sha256:e90cabc97994b4e5ff81cd90f9501f0b2e64c6f592c429f20511d746cb931be1,sha256:3c763ac56e067ef03c563821cca3bb27cf0d49b041f923c26ad189adb0618334,human-authored/deterministic-map-v1,replay:sha256:27bcc3cc0dd1c3d8cb572ce0a83f126b31646ec814635913bd5faebee64ed2a1,01 Homicide,Females,Transfer to other court levels,All Courts
2025-06-30,2025-06-30,ANZSOC2023_01,FEMALE,METHOD_TRANSFER_TO_OTHER_COURT_LEVELS,CHILDRENS_COURTS,defendant-count,person,3,observed,3,sha256:086e5b5e79ad778632db673578aeede249cf8c2563c0c43b7338d09687e8a684,Table 5,R597C5,sha256:a04cbe017af64ed96d5a6c470d5cef2b0e33227977b2e0efff50784f37a8c0b0,criminal-courts-australia,sha256:d651ddc14d7d99514418196070a626577339205b0aa61d56bbf92332cae4cb48,tidy.table-family-acceptance/v1,sha256:14f4ec586a0743b19a8fc4c2fb742e95ae64690e99ef31b26826a954a2369d97,sha256:e90cabc97994b4e5ff81cd90f9501f0b2e64c6f592c429f20511d746cb931be1,sha256:3c763ac56e067ef03c563821cca3bb27cf0d49b041f923c26ad189adb0618334,human-authored/deterministic-map-v1,replay:sha256:27bcc3cc0dd1c3d8cb572ce0a83f126b31646ec814635913bd5faebee64ed2a1,01 Homicide,Females,Transfer to other court levels,Children's Courts
2025-06-30,2025-06-30,ANZSOC2023_01,FEMALE,METHOD_TRANSFER_TO_OTHER_COURT_LEVELS,HIGHER_COURTS,defendant-count,person,0,observed,0,sha256:086e5b5e79ad778632db673578aeede249cf8c2563c0c43b7338d09687e8a684,Table 5,R243C5,sha256:a04cbe017af64ed96d5a6c470d5cef2b0e33227977b2e0efff50784f37a8c0b0,criminal-courts-australia,sha256:d651ddc14d7d99514418196070a626577339205b0aa61d56bbf92332cae4cb48,tidy.table-family-acceptance/v1,sha256:14f4ec586a0743b19a8fc4c2fb742e95ae64690e99ef31b26826a954a2369d97,sha256:e90cabc97994b4e5ff81cd90f9501f0b2e64c6f592c429f20511d746cb931be1,sha256:3c763ac56e067ef03c563821cca3bb27cf0d49b041f923c26ad189adb0618334,human-authored/deterministic-map-v1,replay:sha256:27bcc3cc0dd1c3d8cb572ce0a83f126b31646ec814635913bd5faebee64ed2a1,01 Homicide,Females,Transfer to other court levels,Higher Courts
2025-06-30,2025-06-30,ANZSOC2023_01,FEMALE,METHOD_TRANSFER_TO_OTHER_COURT_LEVELS,MAGISTRATES_COURTS,defendant-count,person,43,observed,43,sha256:086e5b5e79ad778632db673578aeede249cf8c2563c0c43b7338d09687e8a684,Table 5,R420C5,sha256:a04cbe017af64ed96d5a6c470d5cef2b0e33227977b2e0efff50784f37a8c0b0,criminal-courts-australia,sha256:d651ddc14d7d99514418196070a626577339205b0aa61d56bbf92332cae4cb48,tidy.table-family-acceptance/v1,sha256:14f4ec586a0743b19a8fc4c2fb742e95ae64690e99ef31b26826a954a2369d97,sha256:e90cabc97994b4e5ff81cd90f9501f0b2e64c6f592c429f20511d746cb931be1,sha256:3c763ac56e067ef03c563821cca3bb27cf0d49b041f923c26ad189adb0618334,human-authored/deterministic-map-v1,replay:sha256:27bcc3cc0dd1c3d8cb572ce0a83f126b31646ec814635913bd5faebee64ed2a1,01 Homicide,Females,Transfer to other court levels,Magistrates' Courts
