publication_vintage_date,reference_date,principal_offence_id,principal_offence_anzsoc_2011_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_principal_offence_anzsoc_2011
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,ANZSOC_2011_11_WEAPONS_EXPLOSIVES,defendant-count,person,0,observed,0,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 6,R5C12,sha256:0fa5b2dec1333da62b169e74f570d3afc159012f07faf945b6e8990fee850f67,criminal-courts-australia,sha256:037383e3069a585f6c17055e640f22a6ab3f70042311d2e11b163bdfdfbd4caa,tidy.table-family-acceptance/v1,sha256:99b4898b72db8cbc4a8bf54962e8abe8a577713978036787d4b7ac7c5929bd52,sha256:228569f2c4db85c6179a6657895de574505e059e4d8be098d1f52f4560cd3f59,sha256:852366ca42eccceed879448cd17f9ae0f5426ad5b8e733ce28ed567131538a2f,human-authored/deterministic-map-v1,replay:sha256:8b6f8031c18d23f1838a70dceb64a7ec71ba72e6224ad0f99e02637768f83005,01 Homicide,11 Weapons/ explosives
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,ANZSOC_2011_12_PROPERTY_DAMAGE_AND_ENVIRONMENTAL_POLLUTION,defendant-count,person,0,observed,0,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 6,R5C13,sha256:0fa5b2dec1333da62b169e74f570d3afc159012f07faf945b6e8990fee850f67,criminal-courts-australia,sha256:037383e3069a585f6c17055e640f22a6ab3f70042311d2e11b163bdfdfbd4caa,tidy.table-family-acceptance/v1,sha256:99b4898b72db8cbc4a8bf54962e8abe8a577713978036787d4b7ac7c5929bd52,sha256:228569f2c4db85c6179a6657895de574505e059e4d8be098d1f52f4560cd3f59,sha256:852366ca42eccceed879448cd17f9ae0f5426ad5b8e733ce28ed567131538a2f,human-authored/deterministic-map-v1,replay:sha256:8b6f8031c18d23f1838a70dceb64a7ec71ba72e6224ad0f99e02637768f83005,01 Homicide,12 Property damage & environmental pollution
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,ANZSOC_2011_13_PUBLIC_ORDER_OFFENCES,defendant-count,person,0,observed,0,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 6,R5C14,sha256:0fa5b2dec1333da62b169e74f570d3afc159012f07faf945b6e8990fee850f67,criminal-courts-australia,sha256:037383e3069a585f6c17055e640f22a6ab3f70042311d2e11b163bdfdfbd4caa,tidy.table-family-acceptance/v1,sha256:99b4898b72db8cbc4a8bf54962e8abe8a577713978036787d4b7ac7c5929bd52,sha256:228569f2c4db85c6179a6657895de574505e059e4d8be098d1f52f4560cd3f59,sha256:852366ca42eccceed879448cd17f9ae0f5426ad5b8e733ce28ed567131538a2f,human-authored/deterministic-map-v1,replay:sha256:8b6f8031c18d23f1838a70dceb64a7ec71ba72e6224ad0f99e02637768f83005,01 Homicide,13 Public order offences
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,ANZSOC_2011_14_TRAFFIC_AND_VEHICLE_REGULATORY_OFFENCES,defendant-count,person,0,observed,0,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 6,R5C15,sha256:0fa5b2dec1333da62b169e74f570d3afc159012f07faf945b6e8990fee850f67,criminal-courts-australia,sha256:037383e3069a585f6c17055e640f22a6ab3f70042311d2e11b163bdfdfbd4caa,tidy.table-family-acceptance/v1,sha256:99b4898b72db8cbc4a8bf54962e8abe8a577713978036787d4b7ac7c5929bd52,sha256:228569f2c4db85c6179a6657895de574505e059e4d8be098d1f52f4560cd3f59,sha256:852366ca42eccceed879448cd17f9ae0f5426ad5b8e733ce28ed567131538a2f,human-authored/deterministic-map-v1,replay:sha256:8b6f8031c18d23f1838a70dceb64a7ec71ba72e6224ad0f99e02637768f83005,01 Homicide,14 Traffic & vehicle regulatory offences
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,ANZSOC_2011_15_OFFENCES_AGAINST_JUSTICE,defendant-count,person,3,observed,3,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 6,R5C16,sha256:0fa5b2dec1333da62b169e74f570d3afc159012f07faf945b6e8990fee850f67,criminal-courts-australia,sha256:037383e3069a585f6c17055e640f22a6ab3f70042311d2e11b163bdfdfbd4caa,tidy.table-family-acceptance/v1,sha256:99b4898b72db8cbc4a8bf54962e8abe8a577713978036787d4b7ac7c5929bd52,sha256:228569f2c4db85c6179a6657895de574505e059e4d8be098d1f52f4560cd3f59,sha256:852366ca42eccceed879448cd17f9ae0f5426ad5b8e733ce28ed567131538a2f,human-authored/deterministic-map-v1,replay:sha256:8b6f8031c18d23f1838a70dceb64a7ec71ba72e6224ad0f99e02637768f83005,01 Homicide,15 Offences against justice(c)
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,ANZSOC_2011_16_MISCELLANEOUS_OFFENCES,defendant-count,person,0,observed,0,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 6,R5C17,sha256:0fa5b2dec1333da62b169e74f570d3afc159012f07faf945b6e8990fee850f67,criminal-courts-australia,sha256:037383e3069a585f6c17055e640f22a6ab3f70042311d2e11b163bdfdfbd4caa,tidy.table-family-acceptance/v1,sha256:99b4898b72db8cbc4a8bf54962e8abe8a577713978036787d4b7ac7c5929bd52,sha256:228569f2c4db85c6179a6657895de574505e059e4d8be098d1f52f4560cd3f59,sha256:852366ca42eccceed879448cd17f9ae0f5426ad5b8e733ce28ed567131538a2f,human-authored/deterministic-map-v1,replay:sha256:8b6f8031c18d23f1838a70dceb64a7ec71ba72e6224ad0f99e02637768f83005,01 Homicide,16 Miscellaneous offences
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,ANZSOC_2011_TOTAL,defendant-count,person,581,observed,581,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 6,R5C18,sha256:0fa5b2dec1333da62b169e74f570d3afc159012f07faf945b6e8990fee850f67,criminal-courts-australia,sha256:037383e3069a585f6c17055e640f22a6ab3f70042311d2e11b163bdfdfbd4caa,tidy.table-family-acceptance/v1,sha256:99b4898b72db8cbc4a8bf54962e8abe8a577713978036787d4b7ac7c5929bd52,sha256:228569f2c4db85c6179a6657895de574505e059e4d8be098d1f52f4560cd3f59,sha256:852366ca42eccceed879448cd17f9ae0f5426ad5b8e733ce28ed567131538a2f,human-authored/deterministic-map-v1,replay:sha256:8b6f8031c18d23f1838a70dceb64a7ec71ba72e6224ad0f99e02637768f83005,01 Homicide,Total(d)
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_02_ASSAULT,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,defendant-count,person,0,observed,0,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 6,R6C2,sha256:0fa5b2dec1333da62b169e74f570d3afc159012f07faf945b6e8990fee850f67,criminal-courts-australia,sha256:037383e3069a585f6c17055e640f22a6ab3f70042311d2e11b163bdfdfbd4caa,tidy.table-family-acceptance/v1,sha256:99b4898b72db8cbc4a8bf54962e8abe8a577713978036787d4b7ac7c5929bd52,sha256:228569f2c4db85c6179a6657895de574505e059e4d8be098d1f52f4560cd3f59,sha256:852366ca42eccceed879448cd17f9ae0f5426ad5b8e733ce28ed567131538a2f,human-authored/deterministic-map-v1,replay:sha256:8b6f8031c18d23f1838a70dceb64a7ec71ba72e6224ad0f99e02637768f83005,02 Assault,"01 Homicide
 & related offences"
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_02_ASSAULT,ANZSOC_2011_02_ACTS_INTENDED_TO_CAUSE_INJURY,defendant-count,person,72582,observed,72582,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 6,R6C3,sha256:0fa5b2dec1333da62b169e74f570d3afc159012f07faf945b6e8990fee850f67,criminal-courts-australia,sha256:037383e3069a585f6c17055e640f22a6ab3f70042311d2e11b163bdfdfbd4caa,tidy.table-family-acceptance/v1,sha256:99b4898b72db8cbc4a8bf54962e8abe8a577713978036787d4b7ac7c5929bd52,sha256:228569f2c4db85c6179a6657895de574505e059e4d8be098d1f52f4560cd3f59,sha256:852366ca42eccceed879448cd17f9ae0f5426ad5b8e733ce28ed567131538a2f,human-authored/deterministic-map-v1,replay:sha256:8b6f8031c18d23f1838a70dceb64a7ec71ba72e6224ad0f99e02637768f83005,02 Assault,02 Acts intended to cause injury(a)
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_02_ASSAULT,ANZSOC_2011_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,defendant-count,person,39,observed,39,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 6,R6C4,sha256:0fa5b2dec1333da62b169e74f570d3afc159012f07faf945b6e8990fee850f67,criminal-courts-australia,sha256:037383e3069a585f6c17055e640f22a6ab3f70042311d2e11b163bdfdfbd4caa,tidy.table-family-acceptance/v1,sha256:99b4898b72db8cbc4a8bf54962e8abe8a577713978036787d4b7ac7c5929bd52,sha256:228569f2c4db85c6179a6657895de574505e059e4d8be098d1f52f4560cd3f59,sha256:852366ca42eccceed879448cd17f9ae0f5426ad5b8e733ce28ed567131538a2f,human-authored/deterministic-map-v1,replay:sha256:8b6f8031c18d23f1838a70dceb64a7ec71ba72e6224ad0f99e02637768f83005,02 Assault,03 Sexual assault & related offences
