reference_date,observation_period_id,jurisdiction_id,characteristic_category_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_observation_period,raw_jurisdiction,raw_characteristic_category
2021-06-30,2011_72d1b5da,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,published-value,published-unit,,not_applicable,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_38,R125C2,sha256:cddc0a6afb000714ad7e8e01bc2df2b57a5cf260559be4741a11cba514291de9,prisoners-in-australia,sha256:359eaf896667bdbc4ed047bbbe6cbc823f9d51cacebc1053d9189d5f4d74affd,tidy.table-family-acceptance/v2,sha256:02c942b0bc65ccc92a7b4b1922fa64757bd1f001642f4ec511208ca046fdda18,sha256:af2232f37794563579e0c86c933118304d05a89c5053b024cb48098b2eaa0010,sha256:bd9aa680af4ac2665a9acc5177f24ea4d1b1fae12da3e9a594c9fcc36a270a9c,human-authored/deterministic-geometry-v1,replay:sha256:e5323d598ad64f0156f645b8c64b33baae9eaa366f7789b162b2546a4b550d90,2011,AUSTRALIAN CAPITAL TERRITORY,Aboriginal and Torres Strait Islander
2021-06-30,2011_72d1b5da,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,FEMALE_cf112cb6,published-value,published-unit,,not_applicable,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_38,R118C2,sha256:cddc0a6afb000714ad7e8e01bc2df2b57a5cf260559be4741a11cba514291de9,prisoners-in-australia,sha256:359eaf896667bdbc4ed047bbbe6cbc823f9d51cacebc1053d9189d5f4d74affd,tidy.table-family-acceptance/v2,sha256:02c942b0bc65ccc92a7b4b1922fa64757bd1f001642f4ec511208ca046fdda18,sha256:af2232f37794563579e0c86c933118304d05a89c5053b024cb48098b2eaa0010,sha256:bd9aa680af4ac2665a9acc5177f24ea4d1b1fae12da3e9a594c9fcc36a270a9c,human-authored/deterministic-geometry-v1,replay:sha256:e5323d598ad64f0156f645b8c64b33baae9eaa366f7789b162b2546a4b550d90,2011,AUSTRALIAN CAPITAL TERRITORY,Female
2021-06-30,2011_72d1b5da,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,MALE_9050711d,published-value,published-unit,,not_applicable,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_38,R117C2,sha256:cddc0a6afb000714ad7e8e01bc2df2b57a5cf260559be4741a11cba514291de9,prisoners-in-australia,sha256:359eaf896667bdbc4ed047bbbe6cbc823f9d51cacebc1053d9189d5f4d74affd,tidy.table-family-acceptance/v2,sha256:02c942b0bc65ccc92a7b4b1922fa64757bd1f001642f4ec511208ca046fdda18,sha256:af2232f37794563579e0c86c933118304d05a89c5053b024cb48098b2eaa0010,sha256:bd9aa680af4ac2665a9acc5177f24ea4d1b1fae12da3e9a594c9fcc36a270a9c,human-authored/deterministic-geometry-v1,replay:sha256:e5323d598ad64f0156f645b8c64b33baae9eaa366f7789b162b2546a4b550d90,2011,AUSTRALIAN CAPITAL TERRITORY,Male
2021-06-30,2011_72d1b5da,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,MEAN_AGE_YEARS_54827fe2,published-value,published-unit,,not_applicable,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_38,R121C2,sha256:cddc0a6afb000714ad7e8e01bc2df2b57a5cf260559be4741a11cba514291de9,prisoners-in-australia,sha256:359eaf896667bdbc4ed047bbbe6cbc823f9d51cacebc1053d9189d5f4d74affd,tidy.table-family-acceptance/v2,sha256:02c942b0bc65ccc92a7b4b1922fa64757bd1f001642f4ec511208ca046fdda18,sha256:af2232f37794563579e0c86c933118304d05a89c5053b024cb48098b2eaa0010,sha256:bd9aa680af4ac2665a9acc5177f24ea4d1b1fae12da3e9a594c9fcc36a270a9c,human-authored/deterministic-geometry-v1,replay:sha256:e5323d598ad64f0156f645b8c64b33baae9eaa366f7789b162b2546a4b550d90,2011,AUSTRALIAN CAPITAL TERRITORY,Mean age (years)
2021-06-30,2011_72d1b5da,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,MEDIAN_AGE_YEARS_ada3abad,published-value,published-unit,,not_applicable,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_38,R122C2,sha256:cddc0a6afb000714ad7e8e01bc2df2b57a5cf260559be4741a11cba514291de9,prisoners-in-australia,sha256:359eaf896667bdbc4ed047bbbe6cbc823f9d51cacebc1053d9189d5f4d74affd,tidy.table-family-acceptance/v2,sha256:02c942b0bc65ccc92a7b4b1922fa64757bd1f001642f4ec511208ca046fdda18,sha256:af2232f37794563579e0c86c933118304d05a89c5053b024cb48098b2eaa0010,sha256:bd9aa680af4ac2665a9acc5177f24ea4d1b1fae12da3e9a594c9fcc36a270a9c,human-authored/deterministic-geometry-v1,replay:sha256:e5323d598ad64f0156f645b8c64b33baae9eaa366f7789b162b2546a4b550d90,2011,AUSTRALIAN CAPITAL TERRITORY,Median age (years)
2021-06-30,2011_72d1b5da,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,NON_INDIGENOUS_2f231fea,published-value,published-unit,,not_applicable,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_38,R126C2,sha256:cddc0a6afb000714ad7e8e01bc2df2b57a5cf260559be4741a11cba514291de9,prisoners-in-australia,sha256:359eaf896667bdbc4ed047bbbe6cbc823f9d51cacebc1053d9189d5f4d74affd,tidy.table-family-acceptance/v2,sha256:02c942b0bc65ccc92a7b4b1922fa64757bd1f001642f4ec511208ca046fdda18,sha256:af2232f37794563579e0c86c933118304d05a89c5053b024cb48098b2eaa0010,sha256:bd9aa680af4ac2665a9acc5177f24ea4d1b1fae12da3e9a594c9fcc36a270a9c,human-authored/deterministic-geometry-v1,replay:sha256:e5323d598ad64f0156f645b8c64b33baae9eaa366f7789b162b2546a4b550d90,2011,AUSTRALIAN CAPITAL TERRITORY,Non-Indigenous
2021-06-30,2011_72d1b5da,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,TOTAL_PRISONERS_718941a8,published-value,published-unit,,not_applicable,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_38,R114C2,sha256:cddc0a6afb000714ad7e8e01bc2df2b57a5cf260559be4741a11cba514291de9,prisoners-in-australia,sha256:359eaf896667bdbc4ed047bbbe6cbc823f9d51cacebc1053d9189d5f4d74affd,tidy.table-family-acceptance/v2,sha256:02c942b0bc65ccc92a7b4b1922fa64757bd1f001642f4ec511208ca046fdda18,sha256:af2232f37794563579e0c86c933118304d05a89c5053b024cb48098b2eaa0010,sha256:bd9aa680af4ac2665a9acc5177f24ea4d1b1fae12da3e9a594c9fcc36a270a9c,human-authored/deterministic-geometry-v1,replay:sha256:e5323d598ad64f0156f645b8c64b33baae9eaa366f7789b162b2546a4b550d90,2011,AUSTRALIAN CAPITAL TERRITORY,Total prisoners
2021-06-30,2011_72d1b5da,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,UNKNOWN_23759997,published-value,published-unit,,not_applicable,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_38,R127C2,sha256:cddc0a6afb000714ad7e8e01bc2df2b57a5cf260559be4741a11cba514291de9,prisoners-in-australia,sha256:359eaf896667bdbc4ed047bbbe6cbc823f9d51cacebc1053d9189d5f4d74affd,tidy.table-family-acceptance/v2,sha256:02c942b0bc65ccc92a7b4b1922fa64757bd1f001642f4ec511208ca046fdda18,sha256:af2232f37794563579e0c86c933118304d05a89c5053b024cb48098b2eaa0010,sha256:bd9aa680af4ac2665a9acc5177f24ea4d1b1fae12da3e9a594c9fcc36a270a9c,human-authored/deterministic-geometry-v1,replay:sha256:e5323d598ad64f0156f645b8c64b33baae9eaa366f7789b162b2546a4b550d90,2011,AUSTRALIAN CAPITAL TERRITORY,Unknown
2021-06-30,2011_72d1b5da,AUSTRALIA_80f94363,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,published-value,published-unit,,not_applicable,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_38,R140C2,sha256:cddc0a6afb000714ad7e8e01bc2df2b57a5cf260559be4741a11cba514291de9,prisoners-in-australia,sha256:359eaf896667bdbc4ed047bbbe6cbc823f9d51cacebc1053d9189d5f4d74affd,tidy.table-family-acceptance/v2,sha256:02c942b0bc65ccc92a7b4b1922fa64757bd1f001642f4ec511208ca046fdda18,sha256:af2232f37794563579e0c86c933118304d05a89c5053b024cb48098b2eaa0010,sha256:bd9aa680af4ac2665a9acc5177f24ea4d1b1fae12da3e9a594c9fcc36a270a9c,human-authored/deterministic-geometry-v1,replay:sha256:e5323d598ad64f0156f645b8c64b33baae9eaa366f7789b162b2546a4b550d90,2011,AUSTRALIA,Aboriginal and Torres Strait Islander
2021-06-30,2011_72d1b5da,AUSTRALIA_80f94363,FEMALE_cf112cb6,published-value,published-unit,,not_applicable,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_38,R133C2,sha256:cddc0a6afb000714ad7e8e01bc2df2b57a5cf260559be4741a11cba514291de9,prisoners-in-australia,sha256:359eaf896667bdbc4ed047bbbe6cbc823f9d51cacebc1053d9189d5f4d74affd,tidy.table-family-acceptance/v2,sha256:02c942b0bc65ccc92a7b4b1922fa64757bd1f001642f4ec511208ca046fdda18,sha256:af2232f37794563579e0c86c933118304d05a89c5053b024cb48098b2eaa0010,sha256:bd9aa680af4ac2665a9acc5177f24ea4d1b1fae12da3e9a594c9fcc36a270a9c,human-authored/deterministic-geometry-v1,replay:sha256:e5323d598ad64f0156f645b8c64b33baae9eaa366f7789b162b2546a4b550d90,2011,AUSTRALIA,Female
