reference_date,jurisdiction_id,time_on_remand_id,statistic_basis_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_jurisdiction,raw_time_on_remand,raw_statistic_basis
2021-06-30,ACT,UNDER_1_MONTH,PROPORTION,unsentenced-prisoner-proportion,percent,33.3,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_32,R18C9,sha256:f585f08abd316698fd1e07067998d7bd63554f1737b7ec4ff8c331f92e86cb3e,prisoners-in-australia,sha256:a65c94055faf33f7ca52b1507ebc52b87c361dab3499bef37cc847c80eded77e,tidy.table-family-acceptance/v1,sha256:79aee2134e055d767d83e66fdcd1963f40c055c0146d58f5052dbb768e41040e,sha256:ffd476f2957b416b1eb2add7e8eb93355c2efe57857de818030e107e6e286a17,sha256:231d723c813de00f86b9cb5247a1ef6447502924582967d4d51d9c34a1390b6c,openai-codex/gpt-5.6-sol,replay:sha256:b7c3bc99d1ac95f829422906ab32dc6eddd3161b46ccc704427ca77863476278,ACT,Under 1 month,PROPORTION (%)
2021-06-30,ACT,YEAR_1_PLUS,NUMBER,unsentenced-prisoner-count,person,8,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_32,R11C9,sha256:f585f08abd316698fd1e07067998d7bd63554f1737b7ec4ff8c331f92e86cb3e,prisoners-in-australia,sha256:a65c94055faf33f7ca52b1507ebc52b87c361dab3499bef37cc847c80eded77e,tidy.table-family-acceptance/v1,sha256:79aee2134e055d767d83e66fdcd1963f40c055c0146d58f5052dbb768e41040e,sha256:ffd476f2957b416b1eb2add7e8eb93355c2efe57857de818030e107e6e286a17,sha256:231d723c813de00f86b9cb5247a1ef6447502924582967d4d51d9c34a1390b6c,openai-codex/gpt-5.6-sol,replay:sha256:b7c3bc99d1ac95f829422906ab32dc6eddd3161b46ccc704427ca77863476278,ACT,1 year and over,NUMBER
2021-06-30,ACT,YEAR_1_PLUS,PROPORTION,unsentenced-prisoner-proportion,percent,6.2,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_32,R22C9,sha256:f585f08abd316698fd1e07067998d7bd63554f1737b7ec4ff8c331f92e86cb3e,prisoners-in-australia,sha256:a65c94055faf33f7ca52b1507ebc52b87c361dab3499bef37cc847c80eded77e,tidy.table-family-acceptance/v1,sha256:79aee2134e055d767d83e66fdcd1963f40c055c0146d58f5052dbb768e41040e,sha256:ffd476f2957b416b1eb2add7e8eb93355c2efe57857de818030e107e6e286a17,sha256:231d723c813de00f86b9cb5247a1ef6447502924582967d4d51d9c34a1390b6c,openai-codex/gpt-5.6-sol,replay:sha256:b7c3bc99d1ac95f829422906ab32dc6eddd3161b46ccc704427ca77863476278,ACT,1 year and over,PROPORTION (%)
2021-06-30,AUS,MEAN_MONTHS,NUMBER,mean-time-on-remand,month,6,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_32,R14C10,sha256:f585f08abd316698fd1e07067998d7bd63554f1737b7ec4ff8c331f92e86cb3e,prisoners-in-australia,sha256:a65c94055faf33f7ca52b1507ebc52b87c361dab3499bef37cc847c80eded77e,tidy.table-family-acceptance/v1,sha256:79aee2134e055d767d83e66fdcd1963f40c055c0146d58f5052dbb768e41040e,sha256:ffd476f2957b416b1eb2add7e8eb93355c2efe57857de818030e107e6e286a17,sha256:231d723c813de00f86b9cb5247a1ef6447502924582967d4d51d9c34a1390b6c,openai-codex/gpt-5.6-sol,replay:sha256:b7c3bc99d1ac95f829422906ab32dc6eddd3161b46ccc704427ca77863476278,Aust.,Mean (months),NUMBER
2021-06-30,AUS,MEDIAN_MONTHS,NUMBER,median-time-on-remand,month,3.4,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_32,R15C10,sha256:f585f08abd316698fd1e07067998d7bd63554f1737b7ec4ff8c331f92e86cb3e,prisoners-in-australia,sha256:a65c94055faf33f7ca52b1507ebc52b87c361dab3499bef37cc847c80eded77e,tidy.table-family-acceptance/v1,sha256:79aee2134e055d767d83e66fdcd1963f40c055c0146d58f5052dbb768e41040e,sha256:ffd476f2957b416b1eb2add7e8eb93355c2efe57857de818030e107e6e286a17,sha256:231d723c813de00f86b9cb5247a1ef6447502924582967d4d51d9c34a1390b6c,openai-codex/gpt-5.6-sol,replay:sha256:b7c3bc99d1ac95f829422906ab32dc6eddd3161b46ccc704427ca77863476278,Aust.,Median (months),NUMBER
2021-06-30,AUS,MONTHS_1_TO_UNDER_3,NUMBER,unsentenced-prisoner-count,person,3764,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_32,R8C10,sha256:f585f08abd316698fd1e07067998d7bd63554f1737b7ec4ff8c331f92e86cb3e,prisoners-in-australia,sha256:a65c94055faf33f7ca52b1507ebc52b87c361dab3499bef37cc847c80eded77e,tidy.table-family-acceptance/v1,sha256:79aee2134e055d767d83e66fdcd1963f40c055c0146d58f5052dbb768e41040e,sha256:ffd476f2957b416b1eb2add7e8eb93355c2efe57857de818030e107e6e286a17,sha256:231d723c813de00f86b9cb5247a1ef6447502924582967d4d51d9c34a1390b6c,openai-codex/gpt-5.6-sol,replay:sha256:b7c3bc99d1ac95f829422906ab32dc6eddd3161b46ccc704427ca77863476278,Aust.,1 and under 3 months,NUMBER
2021-06-30,AUS,MONTHS_1_TO_UNDER_3,PROPORTION,unsentenced-prisoner-proportion,percent,24.8,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_32,R19C10,sha256:f585f08abd316698fd1e07067998d7bd63554f1737b7ec4ff8c331f92e86cb3e,prisoners-in-australia,sha256:a65c94055faf33f7ca52b1507ebc52b87c361dab3499bef37cc847c80eded77e,tidy.table-family-acceptance/v1,sha256:79aee2134e055d767d83e66fdcd1963f40c055c0146d58f5052dbb768e41040e,sha256:ffd476f2957b416b1eb2add7e8eb93355c2efe57857de818030e107e6e286a17,sha256:231d723c813de00f86b9cb5247a1ef6447502924582967d4d51d9c34a1390b6c,openai-codex/gpt-5.6-sol,replay:sha256:b7c3bc99d1ac95f829422906ab32dc6eddd3161b46ccc704427ca77863476278,Aust.,1 and under 3 months,PROPORTION (%)
2021-06-30,AUS,MONTHS_3_TO_UNDER_6,NUMBER,unsentenced-prisoner-count,person,3198,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_32,R9C10,sha256:f585f08abd316698fd1e07067998d7bd63554f1737b7ec4ff8c331f92e86cb3e,prisoners-in-australia,sha256:a65c94055faf33f7ca52b1507ebc52b87c361dab3499bef37cc847c80eded77e,tidy.table-family-acceptance/v1,sha256:79aee2134e055d767d83e66fdcd1963f40c055c0146d58f5052dbb768e41040e,sha256:ffd476f2957b416b1eb2add7e8eb93355c2efe57857de818030e107e6e286a17,sha256:231d723c813de00f86b9cb5247a1ef6447502924582967d4d51d9c34a1390b6c,openai-codex/gpt-5.6-sol,replay:sha256:b7c3bc99d1ac95f829422906ab32dc6eddd3161b46ccc704427ca77863476278,Aust.,3 and under 6 months,NUMBER
2021-06-30,AUS,MONTHS_3_TO_UNDER_6,PROPORTION,unsentenced-prisoner-proportion,percent,21.1,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_32,R20C10,sha256:f585f08abd316698fd1e07067998d7bd63554f1737b7ec4ff8c331f92e86cb3e,prisoners-in-australia,sha256:a65c94055faf33f7ca52b1507ebc52b87c361dab3499bef37cc847c80eded77e,tidy.table-family-acceptance/v1,sha256:79aee2134e055d767d83e66fdcd1963f40c055c0146d58f5052dbb768e41040e,sha256:ffd476f2957b416b1eb2add7e8eb93355c2efe57857de818030e107e6e286a17,sha256:231d723c813de00f86b9cb5247a1ef6447502924582967d4d51d9c34a1390b6c,openai-codex/gpt-5.6-sol,replay:sha256:b7c3bc99d1ac95f829422906ab32dc6eddd3161b46ccc704427ca77863476278,Aust.,3 and under 6 months,PROPORTION (%)
2021-06-30,AUS,MONTHS_6_TO_UNDER_12,NUMBER,unsentenced-prisoner-count,person,2803,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_32,R10C10,sha256:f585f08abd316698fd1e07067998d7bd63554f1737b7ec4ff8c331f92e86cb3e,prisoners-in-australia,sha256:a65c94055faf33f7ca52b1507ebc52b87c361dab3499bef37cc847c80eded77e,tidy.table-family-acceptance/v1,sha256:79aee2134e055d767d83e66fdcd1963f40c055c0146d58f5052dbb768e41040e,sha256:ffd476f2957b416b1eb2add7e8eb93355c2efe57857de818030e107e6e286a17,sha256:231d723c813de00f86b9cb5247a1ef6447502924582967d4d51d9c34a1390b6c,openai-codex/gpt-5.6-sol,replay:sha256:b7c3bc99d1ac95f829422906ab32dc6eddd3161b46ccc704427ca77863476278,Aust.,6 and under 12 months,NUMBER
