publication_vintage_date,reference_date,principal_offence_id,fine_amount_id,court_level_id,jurisdiction_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_fine_amount,raw_court_level,raw_jurisdiction
2022-06-30,2022-06-30,ANZSOC_2011_021_ASSAULT,FINE_DOLLARS_1_000_AND_OVER,ALL_COURTS,AUS,defendant-count,person,3510,observed,3510,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 71,R10C5,sha256:54f4699f17c258dfd3fe74b20a07663840b041ba30bd7c1db5745c12adf832c7,criminal-courts-australia,sha256:e32093c5bb4f81627a83be47012ca370fa193d762389e8816b2e22a3ba0acf77,tidy.table-family-acceptance/v1,sha256:298b46518af0f62f67b0aefc5c53416a4872a6340ebd522094e460b9954dba49,sha256:1d933b815d2f0ef5dd28824df2d913f72625dc43f63af91b1f3f224c448185a6,sha256:7d576c6f6de1d5a39c6d6292009b50bb68d725bbfb5fa3786e78affa81134248,human-authored/deterministic-map-v1,replay:sha256:cc67e6e0d0a5bd45639fc1f2b8d57fbeee3f0d370e0105d80722150e6cd589d6,   021 Assault,"$1,000 & over",All Courts,Australia
2022-06-30,2022-06-30,ANZSOC_2011_021_ASSAULT,FINE_DOLLARS_250_TO_LESS_THAN_DOLLARS_500,ALL_COURTS,AUS,defendant-count,person,1116,observed,1116,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 71,R10C3,sha256:54f4699f17c258dfd3fe74b20a07663840b041ba30bd7c1db5745c12adf832c7,criminal-courts-australia,sha256:e32093c5bb4f81627a83be47012ca370fa193d762389e8816b2e22a3ba0acf77,tidy.table-family-acceptance/v1,sha256:298b46518af0f62f67b0aefc5c53416a4872a6340ebd522094e460b9954dba49,sha256:1d933b815d2f0ef5dd28824df2d913f72625dc43f63af91b1f3f224c448185a6,sha256:7d576c6f6de1d5a39c6d6292009b50bb68d725bbfb5fa3786e78affa81134248,human-authored/deterministic-map-v1,replay:sha256:cc67e6e0d0a5bd45639fc1f2b8d57fbeee3f0d370e0105d80722150e6cd589d6,   021 Assault,$250 to less than $500,All Courts,Australia
2022-06-30,2022-06-30,ANZSOC_2011_021_ASSAULT,FINE_DOLLARS_500_TO_LESS_THAN_DOLLARS_1_000,ALL_COURTS,AUS,defendant-count,person,3769,observed,3769,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 71,R10C4,sha256:54f4699f17c258dfd3fe74b20a07663840b041ba30bd7c1db5745c12adf832c7,criminal-courts-australia,sha256:e32093c5bb4f81627a83be47012ca370fa193d762389e8816b2e22a3ba0acf77,tidy.table-family-acceptance/v1,sha256:298b46518af0f62f67b0aefc5c53416a4872a6340ebd522094e460b9954dba49,sha256:1d933b815d2f0ef5dd28824df2d913f72625dc43f63af91b1f3f224c448185a6,sha256:7d576c6f6de1d5a39c6d6292009b50bb68d725bbfb5fa3786e78affa81134248,human-authored/deterministic-map-v1,replay:sha256:cc67e6e0d0a5bd45639fc1f2b8d57fbeee3f0d370e0105d80722150e6cd589d6,   021 Assault,"$500 to less than $1,000",All Courts,Australia
2022-06-30,2022-06-30,ANZSOC_2011_021_ASSAULT,FINE_LESS_THAN_DOLLARS_250,ALL_COURTS,AUS,defendant-count,person,307,observed,307,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 71,R10C2,sha256:54f4699f17c258dfd3fe74b20a07663840b041ba30bd7c1db5745c12adf832c7,criminal-courts-australia,sha256:e32093c5bb4f81627a83be47012ca370fa193d762389e8816b2e22a3ba0acf77,tidy.table-family-acceptance/v1,sha256:298b46518af0f62f67b0aefc5c53416a4872a6340ebd522094e460b9954dba49,sha256:1d933b815d2f0ef5dd28824df2d913f72625dc43f63af91b1f3f224c448185a6,sha256:7d576c6f6de1d5a39c6d6292009b50bb68d725bbfb5fa3786e78affa81134248,human-authored/deterministic-map-v1,replay:sha256:cc67e6e0d0a5bd45639fc1f2b8d57fbeee3f0d370e0105d80722150e6cd589d6,   021 Assault,Less than $250,All Courts,Australia
2022-06-30,2022-06-30,ANZSOC_2011_021_ASSAULT,FINE_MEAN,ALL_COURTS,AUS,fine-mean-amount,dollar,969.87,observed,969.87,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 71,R10C7,sha256:54f4699f17c258dfd3fe74b20a07663840b041ba30bd7c1db5745c12adf832c7,criminal-courts-australia,sha256:e32093c5bb4f81627a83be47012ca370fa193d762389e8816b2e22a3ba0acf77,tidy.table-family-acceptance/v1,sha256:298b46518af0f62f67b0aefc5c53416a4872a6340ebd522094e460b9954dba49,sha256:1d933b815d2f0ef5dd28824df2d913f72625dc43f63af91b1f3f224c448185a6,sha256:7d576c6f6de1d5a39c6d6292009b50bb68d725bbfb5fa3786e78affa81134248,human-authored/deterministic-map-v1,replay:sha256:cc67e6e0d0a5bd45639fc1f2b8d57fbeee3f0d370e0105d80722150e6cd589d6,   021 Assault,Mean,All Courts,Australia
2022-06-30,2022-06-30,ANZSOC_2011_021_ASSAULT,FINE_MEAN,CHILDRENS_COURTS,AUS,fine-mean-amount,dollar,407.03,observed,407.03,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 71,R10C13,sha256:54f4699f17c258dfd3fe74b20a07663840b041ba30bd7c1db5745c12adf832c7,criminal-courts-australia,sha256:e32093c5bb4f81627a83be47012ca370fa193d762389e8816b2e22a3ba0acf77,tidy.table-family-acceptance/v1,sha256:298b46518af0f62f67b0aefc5c53416a4872a6340ebd522094e460b9954dba49,sha256:1d933b815d2f0ef5dd28824df2d913f72625dc43f63af91b1f3f224c448185a6,sha256:7d576c6f6de1d5a39c6d6292009b50bb68d725bbfb5fa3786e78affa81134248,human-authored/deterministic-map-v1,replay:sha256:cc67e6e0d0a5bd45639fc1f2b8d57fbeee3f0d370e0105d80722150e6cd589d6,   021 Assault,Mean,Children's Courts,Australia
2022-06-30,2022-06-30,ANZSOC_2011_021_ASSAULT,FINE_MEAN,HIGHER_COURTS,AUS,fine-mean-amount,dollar,1485.89,observed,1485.89,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 71,R10C9,sha256:54f4699f17c258dfd3fe74b20a07663840b041ba30bd7c1db5745c12adf832c7,criminal-courts-australia,sha256:e32093c5bb4f81627a83be47012ca370fa193d762389e8816b2e22a3ba0acf77,tidy.table-family-acceptance/v1,sha256:298b46518af0f62f67b0aefc5c53416a4872a6340ebd522094e460b9954dba49,sha256:1d933b815d2f0ef5dd28824df2d913f72625dc43f63af91b1f3f224c448185a6,sha256:7d576c6f6de1d5a39c6d6292009b50bb68d725bbfb5fa3786e78affa81134248,human-authored/deterministic-map-v1,replay:sha256:cc67e6e0d0a5bd45639fc1f2b8d57fbeee3f0d370e0105d80722150e6cd589d6,   021 Assault,Mean,Higher Courts,Australia
2022-06-30,2022-06-30,ANZSOC_2011_021_ASSAULT,FINE_MEAN,MAGISTRATES_COURTS,AUS,fine-mean-amount,dollar,970.13,observed,970.13,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 71,R10C11,sha256:54f4699f17c258dfd3fe74b20a07663840b041ba30bd7c1db5745c12adf832c7,criminal-courts-australia,sha256:e32093c5bb4f81627a83be47012ca370fa193d762389e8816b2e22a3ba0acf77,tidy.table-family-acceptance/v1,sha256:298b46518af0f62f67b0aefc5c53416a4872a6340ebd522094e460b9954dba49,sha256:1d933b815d2f0ef5dd28824df2d913f72625dc43f63af91b1f3f224c448185a6,sha256:7d576c6f6de1d5a39c6d6292009b50bb68d725bbfb5fa3786e78affa81134248,human-authored/deterministic-map-v1,replay:sha256:cc67e6e0d0a5bd45639fc1f2b8d57fbeee3f0d370e0105d80722150e6cd589d6,   021 Assault,Mean,Magistrates' Courts,Australia
2022-06-30,2022-06-30,ANZSOC_2011_021_ASSAULT,FINE_MEDIAN,ALL_COURTS,AUS,fine-median-amount,dollar,800,observed,800,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 71,R10C8,sha256:54f4699f17c258dfd3fe74b20a07663840b041ba30bd7c1db5745c12adf832c7,criminal-courts-australia,sha256:e32093c5bb4f81627a83be47012ca370fa193d762389e8816b2e22a3ba0acf77,tidy.table-family-acceptance/v1,sha256:298b46518af0f62f67b0aefc5c53416a4872a6340ebd522094e460b9954dba49,sha256:1d933b815d2f0ef5dd28824df2d913f72625dc43f63af91b1f3f224c448185a6,sha256:7d576c6f6de1d5a39c6d6292009b50bb68d725bbfb5fa3786e78affa81134248,human-authored/deterministic-map-v1,replay:sha256:cc67e6e0d0a5bd45639fc1f2b8d57fbeee3f0d370e0105d80722150e6cd589d6,   021 Assault,Median,All Courts,Australia
2022-06-30,2022-06-30,ANZSOC_2011_021_ASSAULT,FINE_MEDIAN,CHILDRENS_COURTS,AUS,fine-median-amount,dollar,300,observed,300,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 71,R10C14,sha256:54f4699f17c258dfd3fe74b20a07663840b041ba30bd7c1db5745c12adf832c7,criminal-courts-australia,sha256:e32093c5bb4f81627a83be47012ca370fa193d762389e8816b2e22a3ba0acf77,tidy.table-family-acceptance/v1,sha256:298b46518af0f62f67b0aefc5c53416a4872a6340ebd522094e460b9954dba49,sha256:1d933b815d2f0ef5dd28824df2d913f72625dc43f63af91b1f3f224c448185a6,sha256:7d576c6f6de1d5a39c6d6292009b50bb68d725bbfb5fa3786e78affa81134248,human-authored/deterministic-map-v1,replay:sha256:cc67e6e0d0a5bd45639fc1f2b8d57fbeee3f0d370e0105d80722150e6cd589d6,   021 Assault,Median,Children's Courts,Australia
