publication_vintage_date,reference_date,indigenous_status_id,court_level_id,observation_period_id,jurisdiction_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_indigenous_status,raw_court_level,raw_observation_period,raw_jurisdiction
2025-06-30,2017-06-30,TOTAL,CHILDRENS_COURTS,2017-06-30,NSW,defendant-count,person,5506,observed,5506,sha256:a137daed5dc4f0a0d2b4b5d068937a462facebeb5db90919e83db21114b0e83c,Table 16,R29C8,sha256:61f442e1fff694fe32da2f6cc48d5d18a1b104c4b0123a049457e80a64d4e8ea,criminal-courts-australia,sha256:85c29454c9aefe873f5f055fcc4316a21f6bf667c0b77980682ad2ec47b61b15,tidy.table-family-acceptance/v1,sha256:a61fa6f66b8f3540088d6e7c50947a4aa0e229f483ea55b3e1b15221c9d3cc14,sha256:31ac8540db5e4a6aaebfd3109e51d58a954284601ad08a346b86b79496c6ad4f,sha256:08289f3196cf55be6f1a43b2d86831ca25ac0c87fa906f60eaf326f1d82bb93e,human-authored/deterministic-map-v1,replay:sha256:858aed09ea9455c3fc919286685b0093b8df178c1bca2095cafc437f3823edb7,Total,Children's Courts,2016–17,New South Wales(a)(b)
2025-06-30,2017-06-30,TOTAL,CHILDRENS_COURTS,2017-06-30,NT,defendant-count,person,745,observed,745,sha256:a137daed5dc4f0a0d2b4b5d068937a462facebeb5db90919e83db21114b0e83c,Table 16,R125C8,sha256:61f442e1fff694fe32da2f6cc48d5d18a1b104c4b0123a049457e80a64d4e8ea,criminal-courts-australia,sha256:85c29454c9aefe873f5f055fcc4316a21f6bf667c0b77980682ad2ec47b61b15,tidy.table-family-acceptance/v1,sha256:a61fa6f66b8f3540088d6e7c50947a4aa0e229f483ea55b3e1b15221c9d3cc14,sha256:31ac8540db5e4a6aaebfd3109e51d58a954284601ad08a346b86b79496c6ad4f,sha256:08289f3196cf55be6f1a43b2d86831ca25ac0c87fa906f60eaf326f1d82bb93e,human-authored/deterministic-map-v1,replay:sha256:858aed09ea9455c3fc919286685b0093b8df178c1bca2095cafc437f3823edb7,Total,Children's Courts,2016–17,Northern Territory(i)(j)
2025-06-30,2017-06-30,TOTAL,CHILDRENS_COURTS,2017-06-30,QLD,defendant-count,person,6865,observed,6865,sha256:a137daed5dc4f0a0d2b4b5d068937a462facebeb5db90919e83db21114b0e83c,Table 16,R53C8,sha256:61f442e1fff694fe32da2f6cc48d5d18a1b104c4b0123a049457e80a64d4e8ea,criminal-courts-australia,sha256:85c29454c9aefe873f5f055fcc4316a21f6bf667c0b77980682ad2ec47b61b15,tidy.table-family-acceptance/v1,sha256:a61fa6f66b8f3540088d6e7c50947a4aa0e229f483ea55b3e1b15221c9d3cc14,sha256:31ac8540db5e4a6aaebfd3109e51d58a954284601ad08a346b86b79496c6ad4f,sha256:08289f3196cf55be6f1a43b2d86831ca25ac0c87fa906f60eaf326f1d82bb93e,human-authored/deterministic-map-v1,replay:sha256:858aed09ea9455c3fc919286685b0093b8df178c1bca2095cafc437f3823edb7,Total,Children's Courts,2016–17,Queensland(c)
2025-06-30,2017-06-30,TOTAL,CHILDRENS_COURTS,2017-06-30,SA,defendant-count,person,1586,observed,1586,sha256:a137daed5dc4f0a0d2b4b5d068937a462facebeb5db90919e83db21114b0e83c,Table 16,R77C8,sha256:61f442e1fff694fe32da2f6cc48d5d18a1b104c4b0123a049457e80a64d4e8ea,criminal-courts-australia,sha256:85c29454c9aefe873f5f055fcc4316a21f6bf667c0b77980682ad2ec47b61b15,tidy.table-family-acceptance/v1,sha256:a61fa6f66b8f3540088d6e7c50947a4aa0e229f483ea55b3e1b15221c9d3cc14,sha256:31ac8540db5e4a6aaebfd3109e51d58a954284601ad08a346b86b79496c6ad4f,sha256:08289f3196cf55be6f1a43b2d86831ca25ac0c87fa906f60eaf326f1d82bb93e,human-authored/deterministic-map-v1,replay:sha256:858aed09ea9455c3fc919286685b0093b8df178c1bca2095cafc437f3823edb7,Total,Children's Courts,2016–17,South Australia(d)(e)(f)(g)
2025-06-30,2017-06-30,TOTAL,CHILDRENS_COURTS,2017-06-30,TAS,defendant-count,person,535,observed,535,sha256:a137daed5dc4f0a0d2b4b5d068937a462facebeb5db90919e83db21114b0e83c,Table 16,R101C8,sha256:61f442e1fff694fe32da2f6cc48d5d18a1b104c4b0123a049457e80a64d4e8ea,criminal-courts-australia,sha256:85c29454c9aefe873f5f055fcc4316a21f6bf667c0b77980682ad2ec47b61b15,tidy.table-family-acceptance/v1,sha256:a61fa6f66b8f3540088d6e7c50947a4aa0e229f483ea55b3e1b15221c9d3cc14,sha256:31ac8540db5e4a6aaebfd3109e51d58a954284601ad08a346b86b79496c6ad4f,sha256:08289f3196cf55be6f1a43b2d86831ca25ac0c87fa906f60eaf326f1d82bb93e,human-authored/deterministic-map-v1,replay:sha256:858aed09ea9455c3fc919286685b0093b8df178c1bca2095cafc437f3823edb7,Total,Children's Courts,2016–17,Tasmania(h)
2025-06-30,2017-06-30,TOTAL,HIGHER_COURTS,2017-06-30,ACT,defendant-count,person,214,observed,214,sha256:a137daed5dc4f0a0d2b4b5d068937a462facebeb5db90919e83db21114b0e83c,Table 16,R137C8,sha256:61f442e1fff694fe32da2f6cc48d5d18a1b104c4b0123a049457e80a64d4e8ea,criminal-courts-australia,sha256:85c29454c9aefe873f5f055fcc4316a21f6bf667c0b77980682ad2ec47b61b15,tidy.table-family-acceptance/v1,sha256:a61fa6f66b8f3540088d6e7c50947a4aa0e229f483ea55b3e1b15221c9d3cc14,sha256:31ac8540db5e4a6aaebfd3109e51d58a954284601ad08a346b86b79496c6ad4f,sha256:08289f3196cf55be6f1a43b2d86831ca25ac0c87fa906f60eaf326f1d82bb93e,human-authored/deterministic-map-v1,replay:sha256:858aed09ea9455c3fc919286685b0093b8df178c1bca2095cafc437f3823edb7,Total,Higher Courts,2016–17,Australian Capital Territory(k)(l)
2025-06-30,2017-06-30,TOTAL,HIGHER_COURTS,2017-06-30,NSW,defendant-count,person,4454,observed,4454,sha256:a137daed5dc4f0a0d2b4b5d068937a462facebeb5db90919e83db21114b0e83c,Table 16,R17C8,sha256:61f442e1fff694fe32da2f6cc48d5d18a1b104c4b0123a049457e80a64d4e8ea,criminal-courts-australia,sha256:85c29454c9aefe873f5f055fcc4316a21f6bf667c0b77980682ad2ec47b61b15,tidy.table-family-acceptance/v1,sha256:a61fa6f66b8f3540088d6e7c50947a4aa0e229f483ea55b3e1b15221c9d3cc14,sha256:31ac8540db5e4a6aaebfd3109e51d58a954284601ad08a346b86b79496c6ad4f,sha256:08289f3196cf55be6f1a43b2d86831ca25ac0c87fa906f60eaf326f1d82bb93e,human-authored/deterministic-map-v1,replay:sha256:858aed09ea9455c3fc919286685b0093b8df178c1bca2095cafc437f3823edb7,Total,Higher Courts,2016–17,New South Wales(a)(b)
2025-06-30,2017-06-30,TOTAL,HIGHER_COURTS,2017-06-30,NT,defendant-count,person,471,observed,471,sha256:a137daed5dc4f0a0d2b4b5d068937a462facebeb5db90919e83db21114b0e83c,Table 16,R113C8,sha256:61f442e1fff694fe32da2f6cc48d5d18a1b104c4b0123a049457e80a64d4e8ea,criminal-courts-australia,sha256:85c29454c9aefe873f5f055fcc4316a21f6bf667c0b77980682ad2ec47b61b15,tidy.table-family-acceptance/v1,sha256:a61fa6f66b8f3540088d6e7c50947a4aa0e229f483ea55b3e1b15221c9d3cc14,sha256:31ac8540db5e4a6aaebfd3109e51d58a954284601ad08a346b86b79496c6ad4f,sha256:08289f3196cf55be6f1a43b2d86831ca25ac0c87fa906f60eaf326f1d82bb93e,human-authored/deterministic-map-v1,replay:sha256:858aed09ea9455c3fc919286685b0093b8df178c1bca2095cafc437f3823edb7,Total,Higher Courts,2016–17,Northern Territory(i)(j)
2025-06-30,2017-06-30,TOTAL,HIGHER_COURTS,2017-06-30,QLD,defendant-count,person,5526,observed,5526,sha256:a137daed5dc4f0a0d2b4b5d068937a462facebeb5db90919e83db21114b0e83c,Table 16,R41C8,sha256:61f442e1fff694fe32da2f6cc48d5d18a1b104c4b0123a049457e80a64d4e8ea,criminal-courts-australia,sha256:85c29454c9aefe873f5f055fcc4316a21f6bf667c0b77980682ad2ec47b61b15,tidy.table-family-acceptance/v1,sha256:a61fa6f66b8f3540088d6e7c50947a4aa0e229f483ea55b3e1b15221c9d3cc14,sha256:31ac8540db5e4a6aaebfd3109e51d58a954284601ad08a346b86b79496c6ad4f,sha256:08289f3196cf55be6f1a43b2d86831ca25ac0c87fa906f60eaf326f1d82bb93e,human-authored/deterministic-map-v1,replay:sha256:858aed09ea9455c3fc919286685b0093b8df178c1bca2095cafc437f3823edb7,Total,Higher Courts,2016–17,Queensland(c)
2025-06-30,2017-06-30,TOTAL,HIGHER_COURTS,2017-06-30,SA,defendant-count,person,1638,observed,1638,sha256:a137daed5dc4f0a0d2b4b5d068937a462facebeb5db90919e83db21114b0e83c,Table 16,R65C8,sha256:61f442e1fff694fe32da2f6cc48d5d18a1b104c4b0123a049457e80a64d4e8ea,criminal-courts-australia,sha256:85c29454c9aefe873f5f055fcc4316a21f6bf667c0b77980682ad2ec47b61b15,tidy.table-family-acceptance/v1,sha256:a61fa6f66b8f3540088d6e7c50947a4aa0e229f483ea55b3e1b15221c9d3cc14,sha256:31ac8540db5e4a6aaebfd3109e51d58a954284601ad08a346b86b79496c6ad4f,sha256:08289f3196cf55be6f1a43b2d86831ca25ac0c87fa906f60eaf326f1d82bb93e,human-authored/deterministic-map-v1,replay:sha256:858aed09ea9455c3fc919286685b0093b8df178c1bca2095cafc437f3823edb7,Total,Higher Courts,2016–17,South Australia(d)(e)(f)(g)
