reference_date,country_of_birth_id,jurisdiction_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_country_of_birth,raw_jurisdiction
2021-06-30,CANADA_010885e4,NEW_SOUTH_WALES_92f089b8,published-value,published-unit,9,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_37,R18C2,sha256:56b10c9f7947f9ebf50aefe2074d7714ea1adeea230a2cc7b759fe33de100a80,prisoners-in-australia,sha256:85fe2f861e66ece7b220118d8a43ad89267822c9d43cd9bde060fafd28019bb0,tidy.table-family-acceptance/v2,sha256:24cb5d04ce6d1ff197094894b6a1c63bdb947fb43db3bed4b72fb9163b98145b,sha256:4c8f94b4d3b5738c1402971002b9abf4da34c9768675d5d0dad41b114bd285cc,sha256:f97d14477843e303c1052608fbe19455fd42d8cef075b510c61de3779b46c57d,human-authored/deterministic-geometry-v1,replay:sha256:eae23cf9fd1621bca2b2978c4852c5c5492525868799981114ee88355e9bcd83,Canada,NEW SOUTH WALES
2021-06-30,CHILE_17662617,NEW_SOUTH_WALES_92f089b8,published-value,published-unit,5,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_37,R24C2,sha256:56b10c9f7947f9ebf50aefe2074d7714ea1adeea230a2cc7b759fe33de100a80,prisoners-in-australia,sha256:85fe2f861e66ece7b220118d8a43ad89267822c9d43cd9bde060fafd28019bb0,tidy.table-family-acceptance/v2,sha256:24cb5d04ce6d1ff197094894b6a1c63bdb947fb43db3bed4b72fb9163b98145b,sha256:4c8f94b4d3b5738c1402971002b9abf4da34c9768675d5d0dad41b114bd285cc,sha256:f97d14477843e303c1052608fbe19455fd42d8cef075b510c61de3779b46c57d,human-authored/deterministic-geometry-v1,replay:sha256:eae23cf9fd1621bca2b2978c4852c5c5492525868799981114ee88355e9bcd83,Chile,NEW SOUTH WALES
2021-06-30,CHINA_0400e940,NEW_SOUTH_WALES_92f089b8,published-value,published-unit,43,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_37,R9C2,sha256:56b10c9f7947f9ebf50aefe2074d7714ea1adeea230a2cc7b759fe33de100a80,prisoners-in-australia,sha256:85fe2f861e66ece7b220118d8a43ad89267822c9d43cd9bde060fafd28019bb0,tidy.table-family-acceptance/v2,sha256:24cb5d04ce6d1ff197094894b6a1c63bdb947fb43db3bed4b72fb9163b98145b,sha256:4c8f94b4d3b5738c1402971002b9abf4da34c9768675d5d0dad41b114bd285cc,sha256:f97d14477843e303c1052608fbe19455fd42d8cef075b510c61de3779b46c57d,human-authored/deterministic-geometry-v1,replay:sha256:eae23cf9fd1621bca2b2978c4852c5c5492525868799981114ee88355e9bcd83,China,NEW SOUTH WALES
2021-06-30,CHINA_0400e940,VICTORIA_8abba993,published-value,published-unit,18,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_37,R30C2,sha256:56b10c9f7947f9ebf50aefe2074d7714ea1adeea230a2cc7b759fe33de100a80,prisoners-in-australia,sha256:85fe2f861e66ece7b220118d8a43ad89267822c9d43cd9bde060fafd28019bb0,tidy.table-family-acceptance/v2,sha256:24cb5d04ce6d1ff197094894b6a1c63bdb947fb43db3bed4b72fb9163b98145b,sha256:4c8f94b4d3b5738c1402971002b9abf4da34c9768675d5d0dad41b114bd285cc,sha256:f97d14477843e303c1052608fbe19455fd42d8cef075b510c61de3779b46c57d,human-authored/deterministic-geometry-v1,replay:sha256:eae23cf9fd1621bca2b2978c4852c5c5492525868799981114ee88355e9bcd83,China,VICTORIA
2021-06-30,CHINA_0400e940,WESTERN_AUSTRALIA_74f6e5af,published-value,published-unit,5,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_37,R52C2,sha256:56b10c9f7947f9ebf50aefe2074d7714ea1adeea230a2cc7b759fe33de100a80,prisoners-in-australia,sha256:85fe2f861e66ece7b220118d8a43ad89267822c9d43cd9bde060fafd28019bb0,tidy.table-family-acceptance/v2,sha256:24cb5d04ce6d1ff197094894b6a1c63bdb947fb43db3bed4b72fb9163b98145b,sha256:4c8f94b4d3b5738c1402971002b9abf4da34c9768675d5d0dad41b114bd285cc,sha256:f97d14477843e303c1052608fbe19455fd42d8cef075b510c61de3779b46c57d,human-authored/deterministic-geometry-v1,replay:sha256:eae23cf9fd1621bca2b2978c4852c5c5492525868799981114ee88355e9bcd83,China,WESTERN AUSTRALIA
2021-06-30,COLOMBIA_0ad5132b,VICTORIA_8abba993,published-value,published-unit,6,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_37,R33C2,sha256:56b10c9f7947f9ebf50aefe2074d7714ea1adeea230a2cc7b759fe33de100a80,prisoners-in-australia,sha256:85fe2f861e66ece7b220118d8a43ad89267822c9d43cd9bde060fafd28019bb0,tidy.table-family-acceptance/v2,sha256:24cb5d04ce6d1ff197094894b6a1c63bdb947fb43db3bed4b72fb9163b98145b,sha256:4c8f94b4d3b5738c1402971002b9abf4da34c9768675d5d0dad41b114bd285cc,sha256:f97d14477843e303c1052608fbe19455fd42d8cef075b510c61de3779b46c57d,human-authored/deterministic-geometry-v1,replay:sha256:eae23cf9fd1621bca2b2978c4852c5c5492525868799981114ee88355e9bcd83,Colombia,VICTORIA
2021-06-30,HONG_KONG_209e549b,NEW_SOUTH_WALES_92f089b8,published-value,published-unit,14,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_37,R14C2,sha256:56b10c9f7947f9ebf50aefe2074d7714ea1adeea230a2cc7b759fe33de100a80,prisoners-in-australia,sha256:85fe2f861e66ece7b220118d8a43ad89267822c9d43cd9bde060fafd28019bb0,tidy.table-family-acceptance/v2,sha256:24cb5d04ce6d1ff197094894b6a1c63bdb947fb43db3bed4b72fb9163b98145b,sha256:4c8f94b4d3b5738c1402971002b9abf4da34c9768675d5d0dad41b114bd285cc,sha256:f97d14477843e303c1052608fbe19455fd42d8cef075b510c61de3779b46c57d,human-authored/deterministic-geometry-v1,replay:sha256:eae23cf9fd1621bca2b2978c4852c5c5492525868799981114ee88355e9bcd83,Hong Kong,NEW SOUTH WALES
2021-06-30,HONG_KONG_209e549b,VICTORIA_8abba993,published-value,published-unit,14,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_37,R31C2,sha256:56b10c9f7947f9ebf50aefe2074d7714ea1adeea230a2cc7b759fe33de100a80,prisoners-in-australia,sha256:85fe2f861e66ece7b220118d8a43ad89267822c9d43cd9bde060fafd28019bb0,tidy.table-family-acceptance/v2,sha256:24cb5d04ce6d1ff197094894b6a1c63bdb947fb43db3bed4b72fb9163b98145b,sha256:4c8f94b4d3b5738c1402971002b9abf4da34c9768675d5d0dad41b114bd285cc,sha256:f97d14477843e303c1052608fbe19455fd42d8cef075b510c61de3779b46c57d,human-authored/deterministic-geometry-v1,replay:sha256:eae23cf9fd1621bca2b2978c4852c5c5492525868799981114ee88355e9bcd83,Hong Kong,VICTORIA
2021-06-30,HONG_KONG_209e549b,WESTERN_AUSTRALIA_74f6e5af,published-value,published-unit,9,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_37,R50C2,sha256:56b10c9f7947f9ebf50aefe2074d7714ea1adeea230a2cc7b759fe33de100a80,prisoners-in-australia,sha256:85fe2f861e66ece7b220118d8a43ad89267822c9d43cd9bde060fafd28019bb0,tidy.table-family-acceptance/v2,sha256:24cb5d04ce6d1ff197094894b6a1c63bdb947fb43db3bed4b72fb9163b98145b,sha256:4c8f94b4d3b5738c1402971002b9abf4da34c9768675d5d0dad41b114bd285cc,sha256:f97d14477843e303c1052608fbe19455fd42d8cef075b510c61de3779b46c57d,human-authored/deterministic-geometry-v1,replay:sha256:eae23cf9fd1621bca2b2978c4852c5c5492525868799981114ee88355e9bcd83,Hong Kong,WESTERN AUSTRALIA
2021-06-30,INDIA_f8929fed,VICTORIA_8abba993,published-value,published-unit,5,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_37,R34C2,sha256:56b10c9f7947f9ebf50aefe2074d7714ea1adeea230a2cc7b759fe33de100a80,prisoners-in-australia,sha256:85fe2f861e66ece7b220118d8a43ad89267822c9d43cd9bde060fafd28019bb0,tidy.table-family-acceptance/v2,sha256:24cb5d04ce6d1ff197094894b6a1c63bdb947fb43db3bed4b72fb9163b98145b,sha256:4c8f94b4d3b5738c1402971002b9abf4da34c9768675d5d0dad41b114bd285cc,sha256:f97d14477843e303c1052608fbe19455fd42d8cef075b510c61de3779b46c57d,human-authored/deterministic-geometry-v1,replay:sha256:eae23cf9fd1621bca2b2978c4852c5c5492525868799981114ee88355e9bcd83,India,VICTORIA
