publication_vintage_date,reference_date,characteristic_category_id,statistic_basis_id,jurisdiction_id,observation_period_id,characteristic_group_id,court_level_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_statistic_basis,raw_jurisdiction,raw_observation_period,raw_characteristic_group,raw_court_level,raw_classification_context
2025-06-30,2020-06-30,CHAR_01_HOMICIDE,COUNT,ACT,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE_ANZSOC_2023,ALL_COURTS,FDV_EXPERIMENTAL_MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,0,observed,0,sha256:058cdc00df31d87c3137d56b6320abb88b0172995ffb23b35238410c1d3dc028,FDV Table 5,R369C2,sha256:3dcb4cc8a5a2f711bc5e3cb59a63396b3d3a4d9fc54c0576f720552ee7a75f1e,criminal-courts-australia,sha256:fad77326861398de3b64ff8ccecad745b49dcd235ef4d4efca159de7e604ac44,tidy.table-family-acceptance/v2,sha256:862f5c498a36e125b5380d4cf11fcbf6e78623cc4a625daddcd39c4aa625ef31,sha256:65bf40a24b3c5fb81952c9652b62970ed8ffa5a57a7a926114952b199b569c92,sha256:8a1b7840f4c07662c8696c254a8e22f5b24729cd13816c3fc8f2259155aef49b,human-authored/deterministic-map-v1,replay:sha256:828a07ae0ff90f15589a3865cf17555d18e78839c852fb7b4ccf5cd69bfeefe0,01 Homicide,01 Homicide,Australian Capital Territory,2019–20(a)(b),Principal FDV offence (ANZSOC 2023),"FDV Table 5 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by state and territory – All Courts, 2019–20 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","FDV Table 5 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by state and territory – All Courts, 2019–20 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2020-06-30,CHAR_01_HOMICIDE,COUNT,AUSTRALIA,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE_ANZSOC_2023,ALL_COURTS,FDV_EXPERIMENTAL_MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,84,observed,84,sha256:058cdc00df31d87c3137d56b6320abb88b0172995ffb23b35238410c1d3dc028,FDV Table 5,R25C2,sha256:3dcb4cc8a5a2f711bc5e3cb59a63396b3d3a4d9fc54c0576f720552ee7a75f1e,criminal-courts-australia,sha256:fad77326861398de3b64ff8ccecad745b49dcd235ef4d4efca159de7e604ac44,tidy.table-family-acceptance/v2,sha256:862f5c498a36e125b5380d4cf11fcbf6e78623cc4a625daddcd39c4aa625ef31,sha256:65bf40a24b3c5fb81952c9652b62970ed8ffa5a57a7a926114952b199b569c92,sha256:8a1b7840f4c07662c8696c254a8e22f5b24729cd13816c3fc8f2259155aef49b,human-authored/deterministic-map-v1,replay:sha256:828a07ae0ff90f15589a3865cf17555d18e78839c852fb7b4ccf5cd69bfeefe0,01 Homicide,01 Homicide,Australia,2019–20(a)(b),Principal FDV offence (ANZSOC 2023),"FDV Table 5 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by state and territory – All Courts, 2019–20 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","FDV Table 5 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by state and territory – All Courts, 2019–20 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2020-06-30,CHAR_01_HOMICIDE,COUNT,NSW,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE_ANZSOC_2023,ALL_COURTS,FDV_EXPERIMENTAL_MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,36,observed,36,sha256:058cdc00df31d87c3137d56b6320abb88b0172995ffb23b35238410c1d3dc028,FDV Table 5,R68C2,sha256:3dcb4cc8a5a2f711bc5e3cb59a63396b3d3a4d9fc54c0576f720552ee7a75f1e,criminal-courts-australia,sha256:fad77326861398de3b64ff8ccecad745b49dcd235ef4d4efca159de7e604ac44,tidy.table-family-acceptance/v2,sha256:862f5c498a36e125b5380d4cf11fcbf6e78623cc4a625daddcd39c4aa625ef31,sha256:65bf40a24b3c5fb81952c9652b62970ed8ffa5a57a7a926114952b199b569c92,sha256:8a1b7840f4c07662c8696c254a8e22f5b24729cd13816c3fc8f2259155aef49b,human-authored/deterministic-map-v1,replay:sha256:828a07ae0ff90f15589a3865cf17555d18e78839c852fb7b4ccf5cd69bfeefe0,01 Homicide,01 Homicide,New South Wales,2019–20(a)(b),Principal FDV offence (ANZSOC 2023),"FDV Table 5 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by state and territory – All Courts, 2019–20 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","FDV Table 5 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by state and territory – All Courts, 2019–20 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2020-06-30,CHAR_01_HOMICIDE,COUNT,NT,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE_ANZSOC_2023,ALL_COURTS,FDV_EXPERIMENTAL_MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,8,observed,8,sha256:058cdc00df31d87c3137d56b6320abb88b0172995ffb23b35238410c1d3dc028,FDV Table 5,R326C2,sha256:3dcb4cc8a5a2f711bc5e3cb59a63396b3d3a4d9fc54c0576f720552ee7a75f1e,criminal-courts-australia,sha256:fad77326861398de3b64ff8ccecad745b49dcd235ef4d4efca159de7e604ac44,tidy.table-family-acceptance/v2,sha256:862f5c498a36e125b5380d4cf11fcbf6e78623cc4a625daddcd39c4aa625ef31,sha256:65bf40a24b3c5fb81952c9652b62970ed8ffa5a57a7a926114952b199b569c92,sha256:8a1b7840f4c07662c8696c254a8e22f5b24729cd13816c3fc8f2259155aef49b,human-authored/deterministic-map-v1,replay:sha256:828a07ae0ff90f15589a3865cf17555d18e78839c852fb7b4ccf5cd69bfeefe0,01 Homicide,01 Homicide,Northern Territory,2019–20(a)(b),Principal FDV offence (ANZSOC 2023),"FDV Table 5 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by state and territory – All Courts, 2019–20 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","FDV Table 5 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by state and territory – All Courts, 2019–20 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2020-06-30,CHAR_01_HOMICIDE,COUNT,QLD,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE_ANZSOC_2023,ALL_COURTS,FDV_EXPERIMENTAL_MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,26,observed,26,sha256:058cdc00df31d87c3137d56b6320abb88b0172995ffb23b35238410c1d3dc028,FDV Table 5,R154C2,sha256:3dcb4cc8a5a2f711bc5e3cb59a63396b3d3a4d9fc54c0576f720552ee7a75f1e,criminal-courts-australia,sha256:fad77326861398de3b64ff8ccecad745b49dcd235ef4d4efca159de7e604ac44,tidy.table-family-acceptance/v2,sha256:862f5c498a36e125b5380d4cf11fcbf6e78623cc4a625daddcd39c4aa625ef31,sha256:65bf40a24b3c5fb81952c9652b62970ed8ffa5a57a7a926114952b199b569c92,sha256:8a1b7840f4c07662c8696c254a8e22f5b24729cd13816c3fc8f2259155aef49b,human-authored/deterministic-map-v1,replay:sha256:828a07ae0ff90f15589a3865cf17555d18e78839c852fb7b4ccf5cd69bfeefe0,01 Homicide,01 Homicide,Queensland,2019–20(a)(b),Principal FDV offence (ANZSOC 2023),"FDV Table 5 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by state and territory – All Courts, 2019–20 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","FDV Table 5 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by state and territory – All Courts, 2019–20 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2020-06-30,CHAR_01_HOMICIDE,COUNT,SA,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE_ANZSOC_2023,ALL_COURTS,FDV_EXPERIMENTAL_MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,0,observed,0,sha256:058cdc00df31d87c3137d56b6320abb88b0172995ffb23b35238410c1d3dc028,FDV Table 5,R197C2,sha256:3dcb4cc8a5a2f711bc5e3cb59a63396b3d3a4d9fc54c0576f720552ee7a75f1e,criminal-courts-australia,sha256:fad77326861398de3b64ff8ccecad745b49dcd235ef4d4efca159de7e604ac44,tidy.table-family-acceptance/v2,sha256:862f5c498a36e125b5380d4cf11fcbf6e78623cc4a625daddcd39c4aa625ef31,sha256:65bf40a24b3c5fb81952c9652b62970ed8ffa5a57a7a926114952b199b569c92,sha256:8a1b7840f4c07662c8696c254a8e22f5b24729cd13816c3fc8f2259155aef49b,human-authored/deterministic-map-v1,replay:sha256:828a07ae0ff90f15589a3865cf17555d18e78839c852fb7b4ccf5cd69bfeefe0,01 Homicide,01 Homicide,South Australia(o)(q),2019–20(a)(b),Principal FDV offence (ANZSOC 2023),"FDV Table 5 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by state and territory – All Courts, 2019–20 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","FDV Table 5 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by state and territory – All Courts, 2019–20 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2020-06-30,CHAR_01_HOMICIDE,COUNT,TAS,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE_ANZSOC_2023,ALL_COURTS,FDV_EXPERIMENTAL_MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,0,observed,0,sha256:058cdc00df31d87c3137d56b6320abb88b0172995ffb23b35238410c1d3dc028,FDV Table 5,R283C2,sha256:3dcb4cc8a5a2f711bc5e3cb59a63396b3d3a4d9fc54c0576f720552ee7a75f1e,criminal-courts-australia,sha256:fad77326861398de3b64ff8ccecad745b49dcd235ef4d4efca159de7e604ac44,tidy.table-family-acceptance/v2,sha256:862f5c498a36e125b5380d4cf11fcbf6e78623cc4a625daddcd39c4aa625ef31,sha256:65bf40a24b3c5fb81952c9652b62970ed8ffa5a57a7a926114952b199b569c92,sha256:8a1b7840f4c07662c8696c254a8e22f5b24729cd13816c3fc8f2259155aef49b,human-authored/deterministic-map-v1,replay:sha256:828a07ae0ff90f15589a3865cf17555d18e78839c852fb7b4ccf5cd69bfeefe0,01 Homicide,01 Homicide,Tasmania(t)(u),2019–20(a)(b),Principal FDV offence (ANZSOC 2023),"FDV Table 5 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by state and territory – All Courts, 2019–20 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","FDV Table 5 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by state and territory – All Courts, 2019–20 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2020-06-30,CHAR_01_HOMICIDE,COUNT,VIC,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE_ANZSOC_2023,ALL_COURTS,FDV_EXPERIMENTAL_MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,14,observed,14,sha256:058cdc00df31d87c3137d56b6320abb88b0172995ffb23b35238410c1d3dc028,FDV Table 5,R111C2,sha256:3dcb4cc8a5a2f711bc5e3cb59a63396b3d3a4d9fc54c0576f720552ee7a75f1e,criminal-courts-australia,sha256:fad77326861398de3b64ff8ccecad745b49dcd235ef4d4efca159de7e604ac44,tidy.table-family-acceptance/v2,sha256:862f5c498a36e125b5380d4cf11fcbf6e78623cc4a625daddcd39c4aa625ef31,sha256:65bf40a24b3c5fb81952c9652b62970ed8ffa5a57a7a926114952b199b569c92,sha256:8a1b7840f4c07662c8696c254a8e22f5b24729cd13816c3fc8f2259155aef49b,human-authored/deterministic-map-v1,replay:sha256:828a07ae0ff90f15589a3865cf17555d18e78839c852fb7b4ccf5cd69bfeefe0,01 Homicide,01 Homicide,Victoria,2019–20(a)(b),Principal FDV offence (ANZSOC 2023),"FDV Table 5 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by state and territory – All Courts, 2019–20 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","FDV Table 5 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by state and territory – All Courts, 2019–20 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2020-06-30,CHAR_01_HOMICIDE,COUNT,WA,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE_ANZSOC_2023,ALL_COURTS,FDV_EXPERIMENTAL_MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,7,observed,7,sha256:058cdc00df31d87c3137d56b6320abb88b0172995ffb23b35238410c1d3dc028,FDV Table 5,R240C2,sha256:3dcb4cc8a5a2f711bc5e3cb59a63396b3d3a4d9fc54c0576f720552ee7a75f1e,criminal-courts-australia,sha256:fad77326861398de3b64ff8ccecad745b49dcd235ef4d4efca159de7e604ac44,tidy.table-family-acceptance/v2,sha256:862f5c498a36e125b5380d4cf11fcbf6e78623cc4a625daddcd39c4aa625ef31,sha256:65bf40a24b3c5fb81952c9652b62970ed8ffa5a57a7a926114952b199b569c92,sha256:8a1b7840f4c07662c8696c254a8e22f5b24729cd13816c3fc8f2259155aef49b,human-authored/deterministic-map-v1,replay:sha256:828a07ae0ff90f15589a3865cf17555d18e78839c852fb7b4ccf5cd69bfeefe0,01 Homicide,01 Homicide,Western Australia(s),2019–20(a)(b),Principal FDV offence (ANZSOC 2023),"FDV Table 5 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by state and territory – All Courts, 2019–20 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","FDV Table 5 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by state and territory – All Courts, 2019–20 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2020-06-30,CHAR_02_ASSAULT,COUNT,ACT,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE_ANZSOC_2023,ALL_COURTS,FDV_EXPERIMENTAL_MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,271,observed,271,sha256:058cdc00df31d87c3137d56b6320abb88b0172995ffb23b35238410c1d3dc028,FDV Table 5,R370C2,sha256:3dcb4cc8a5a2f711bc5e3cb59a63396b3d3a4d9fc54c0576f720552ee7a75f1e,criminal-courts-australia,sha256:fad77326861398de3b64ff8ccecad745b49dcd235ef4d4efca159de7e604ac44,tidy.table-family-acceptance/v2,sha256:862f5c498a36e125b5380d4cf11fcbf6e78623cc4a625daddcd39c4aa625ef31,sha256:65bf40a24b3c5fb81952c9652b62970ed8ffa5a57a7a926114952b199b569c92,sha256:8a1b7840f4c07662c8696c254a8e22f5b24729cd13816c3fc8f2259155aef49b,human-authored/deterministic-map-v1,replay:sha256:828a07ae0ff90f15589a3865cf17555d18e78839c852fb7b4ccf5cd69bfeefe0,02 Assault(c),02 Assault(c),Australian Capital Territory,2019–20(a)(b),Principal FDV offence (ANZSOC 2023),"FDV Table 5 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by state and territory – All Courts, 2019–20 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","FDV Table 5 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by state and territory – All Courts, 2019–20 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
