row,col,address,.value,measure_type,quarter,state,corrections_population
22,3,R22C3,763,AVERAGE DAILY NUMBER,Mar Qtr 21,Vic.,Aboriginal & Torres Strait Islander persons in full-time custody
22,4,R22C4,3369,AVERAGE DAILY NUMBER,Mar Qtr 21,Qld,Aboriginal & Torres Strait Islander persons in full-time custody
22,5,R22C5,758,AVERAGE DAILY NUMBER,Mar Qtr 21,SA,Aboriginal & Torres Strait Islander persons in full-time custody
22,6,R22C6,2678,AVERAGE DAILY NUMBER,Mar Qtr 21,WA,Aboriginal & Torres Strait Islander persons in full-time custody
22,7,R22C7,139,AVERAGE DAILY NUMBER,Mar Qtr 21,Tas.,Aboriginal & Torres Strait Islander persons in full-time custody
22,8,R22C8,1561,AVERAGE DAILY NUMBER,Mar Qtr 21,NT,Aboriginal & Torres Strait Islander persons in full-time custody
22,9,R22C9,102,AVERAGE DAILY NUMBER,Mar Qtr 21,ACT,Aboriginal & Torres Strait Islander persons in full-time custody
22,10,R22C10,12886,AVERAGE DAILY NUMBER,Mar Qtr 21,Aust.,Aboriginal & Torres Strait Islander persons in full-time custody
25,2,R25C2,4922,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,NSW,Unsentenced persons in full-time custody
25,3,R25C3,3134,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,Vic.,Unsentenced persons in full-time custody
25,4,R25C4,2913,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,Qld,Unsentenced persons in full-time custody
25,5,R25C5,1234,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,SA,Unsentenced persons in full-time custody
25,6,R25C6,2121,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,WA,Unsentenced persons in full-time custody
25,7,R25C7,191,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,Tas.,Unsentenced persons in full-time custody
25,8,R25C8,545,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,NT,Unsentenced persons in full-time custody
25,9,R25C9,178,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,ACT,Unsentenced persons in full-time custody
25,10,R25C10,15238,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,Aust.,Unsentenced persons in full-time custody
26,2,R26C2,4209,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,NSW,Unsentenced persons in full-time custody
26,3,R26C3,2676,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,Vic.,Unsentenced persons in full-time custody
26,4,R26C4,2804,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,Qld,Unsentenced persons in full-time custody
26,5,R26C5,1266,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,SA,Unsentenced persons in full-time custody
26,6,R26C6,1797,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,WA,Unsentenced persons in full-time custody
26,7,R26C7,162,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,Tas.,Unsentenced persons in full-time custody
26,8,R26C8,565,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,NT,Unsentenced persons in full-time custody
26,9,R26C9,155,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,ACT,Unsentenced persons in full-time custody
26,10,R26C10,13633,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,Aust.,Unsentenced persons in full-time custody
27,2,R27C2,4473,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,NSW,Unsentenced persons in full-time custody
27,3,R27C3,2914,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,Vic.,Unsentenced persons in full-time custody
27,4,R27C4,2910,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,Qld,Unsentenced persons in full-time custody
27,5,R27C5,1344,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,SA,Unsentenced persons in full-time custody
27,6,R27C6,1989,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,WA,Unsentenced persons in full-time custody
27,7,R27C7,156,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,Tas.,Unsentenced persons in full-time custody
27,8,R27C8,623,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,NT,Unsentenced persons in full-time custody
27,9,R27C9,150,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,ACT,Unsentenced persons in full-time custody
27,10,R27C10,14559,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,Aust.,Unsentenced persons in full-time custody
29,2,R29C2,9051,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,NSW,Sentenced persons in full-time custody
29,3,R29C3,5020,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,Vic.,Sentenced persons in full-time custody
29,4,R29C4,6042,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,Qld,Sentenced persons in full-time custody
29,5,R29C5,1647,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,SA,Sentenced persons in full-time custody
29,6,R29C6,4958,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,WA,Sentenced persons in full-time custody
29,7,R29C7,459,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,Tas.,Sentenced persons in full-time custody
29,8,R29C8,1226,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,NT,Sentenced persons in full-time custody
29,9,R29C9,256,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,ACT,Sentenced persons in full-time custody
29,10,R29C10,28659,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,Aust.,Sentenced persons in full-time custody
30,2,R30C2,8624,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,NSW,Sentenced persons in full-time custody
30,3,R30C3,4441,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,Vic.,Sentenced persons in full-time custody
30,4,R30C4,6446,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,Qld,Sentenced persons in full-time custody
30,5,R30C5,1728,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,SA,Sentenced persons in full-time custody
30,6,R30C6,4773,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,WA,Sentenced persons in full-time custody
30,7,R30C7,481,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,Tas.,Sentenced persons in full-time custody
30,8,R30C8,1145,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,NT,Sentenced persons in full-time custody
30,9,R30C9,275,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,ACT,Sentenced persons in full-time custody
30,10,R30C10,27913,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,Aust.,Sentenced persons in full-time custody
31,2,R31C2,8565,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,NSW,Sentenced persons in full-time custody
31,3,R31C3,4233,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,Vic.,Sentenced persons in full-time custody
31,4,R31C4,6640,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,Qld,Sentenced persons in full-time custody
31,5,R31C5,1718,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,SA,Sentenced persons in full-time custody
31,6,R31C6,4667,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,WA,Sentenced persons in full-time custody
31,7,R31C7,461,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,Tas.,Sentenced persons in full-time custody
31,8,R31C8,1170,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,NT,Sentenced persons in full-time custody
31,9,R31C9,256,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,ACT,Sentenced persons in full-time custody
31,10,R31C10,27709,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,Aust.,Sentenced persons in full-time custody
33,2,R33C2,2,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,NSW,Post sentenced persons in full-time custody
33,3,R33C3,4,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,Vic.,Post sentenced persons in full-time custody
33,4,R33C4,61,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,Qld,Post sentenced persons in full-time custody
33,5,R33C5,n.a.,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,SA,Post sentenced persons in full-time custody
33,6,R33C6,24,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,WA,Post sentenced persons in full-time custody
33,7,R33C7,5,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,Tas.,Post sentenced persons in full-time custody
33,8,R33C8,2,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,NT,Post sentenced persons in full-time custody
33,9,R33C9,n.a.,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,ACT,Post sentenced persons in full-time custody
33,10,R33C10,99,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,Aust.,Post sentenced persons in full-time custody
34,2,R34C2,2,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,NSW,Post sentenced persons in full-time custody
34,3,R34C3,3,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,Vic.,Post sentenced persons in full-time custody
34,4,R34C4,62,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,Qld,Post sentenced persons in full-time custody
34,5,R34C5,n.a.,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,SA,Post sentenced persons in full-time custody
34,6,R34C6,26,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,WA,Post sentenced persons in full-time custody
34,7,R34C7,5,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,Tas.,Post sentenced persons in full-time custody
34,8,R34C8,1,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,NT,Post sentenced persons in full-time custody
34,9,R34C9,n.a.,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,ACT,Post sentenced persons in full-time custody
34,10,R34C10,99,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,Aust.,Post sentenced persons in full-time custody
35,2,R35C2,1,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,NSW,Post sentenced persons in full-time custody
35,3,R35C3,3,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,Vic.,Post sentenced persons in full-time custody
35,4,R35C4,68,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,Qld,Post sentenced persons in full-time custody
35,5,R35C5,n.a.,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,SA,Post sentenced persons in full-time custody
35,6,R35C6,25,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,WA,Post sentenced persons in full-time custody
35,7,R35C7,5,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,Tas.,Post sentenced persons in full-time custody
35,8,R35C8,1,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,NT,Post sentenced persons in full-time custody
35,9,R35C9,n.a.,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,ACT,Post sentenced persons in full-time custody
35,10,R35C10,103,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,Aust.,Post sentenced persons in full-time custody
37,2,R37C2,13975,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,NSW,Persons in full-time custody
37,3,R37C3,8157,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,Vic.,Persons in full-time custody
37,4,R37C4,9016,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,Qld,Persons in full-time custody
37,5,R37C5,2881,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,SA,Persons in full-time custody
37,6,R37C6,7103,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,WA,Persons in full-time custody
37,7,R37C7,654,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,Tas.,Persons in full-time custody
37,8,R37C8,1774,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,NT,Persons in full-time custody
37,9,R37C9,434,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,ACT,Persons in full-time custody
37,10,R37C10,43995,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,Aust.,Persons in full-time custody
38,2,R38C2,12835,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,NSW,Persons in full-time custody
38,3,R38C3,7119,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,Vic.,Persons in full-time custody
38,4,R38C4,9313,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,Qld,Persons in full-time custody
38,5,R38C5,2994,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,SA,Persons in full-time custody
38,6,R38C6,6595,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,WA,Persons in full-time custody
38,7,R38C7,648,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,Tas.,Persons in full-time custody
38,8,R38C8,1711,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,NT,Persons in full-time custody
38,9,R38C9,430,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,ACT,Persons in full-time custody
38,10,R38C10,41645,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,Aust.,Persons in full-time custody
39,2,R39C2,13039,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,NSW,Persons in full-time custody
39,3,R39C3,7150,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,Vic.,Persons in full-time custody
39,4,R39C4,9618,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,Qld,Persons in full-time custody
39,5,R39C5,3062,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,SA,Persons in full-time custody
39,6,R39C6,6681,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,WA,Persons in full-time custody
39,7,R39C7,622,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,Tas.,Persons in full-time custody
39,8,R39C8,1794,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,NT,Persons in full-time custody
39,9,R39C9,406,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,ACT,Persons in full-time custody
39,10,R39C10,42372,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,Aust.,Persons in full-time custody
41,2,R41C2,28920,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,NSW,Males in community-based corrections
41,3,R41C3,10285,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,Vic.,Males in community-based corrections
41,4,R41C4,15427,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,Qld,Males in community-based corrections
41,5,R41C5,4200,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,SA,Males in community-based corrections
41,6,R41C6,4507,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,WA,Males in community-based corrections
41,7,R41C7,1596,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,Tas.,Males in community-based corrections
41,8,R41C8,1030,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,NT,Males in community-based corrections
41,9,R41C9,959,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,ACT,Males in community-based corrections
41,10,R41C10,66923,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,Aust.,Males in community-based corrections
42,2,R42C2,29329,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,NSW,Males in community-based corrections
42,3,R42C3,7499,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,Vic.,Males in community-based corrections
42,4,R42C4,13715,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,Qld,Males in community-based corrections
42,5,R42C5,4234,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,SA,Males in community-based corrections
