row,col,address,.value,measure_type,quarter,state,corrections_population
8,2,R8C2,12977,AVERAGE DAILY NUMBER,Mar Qtr 20,NSW,Males in full-time custody
8,3,R8C3,7644,AVERAGE DAILY NUMBER,Mar Qtr 20,Vic.,Males in full-time custody
8,4,R8C4,8233,AVERAGE DAILY NUMBER,Mar Qtr 20,Qld,Males in full-time custody
8,5,R8C5,2692,AVERAGE DAILY NUMBER,Mar Qtr 20,SA,Males in full-time custody
8,6,R8C6,6335,AVERAGE DAILY NUMBER,Mar Qtr 20,WA,Males in full-time custody
8,7,R8C7,609,AVERAGE DAILY NUMBER,Mar Qtr 20,Tas.,Males in full-time custody
8,8,R8C8,1679,AVERAGE DAILY NUMBER,Mar Qtr 20,NT,Males in full-time custody
8,9,R8C9,409,AVERAGE DAILY NUMBER,Mar Qtr 20,ACT,Males in full-time custody
8,10,R8C10,40579,AVERAGE DAILY NUMBER,Mar Qtr 20,Aust.,Males in full-time custody
9,2,R9C2,11982,AVERAGE DAILY NUMBER,Dec Qtr 20,NSW,Males in full-time custody
9,3,R9C3,6684,AVERAGE DAILY NUMBER,Dec Qtr 20,Vic.,Males in full-time custody
9,4,R9C4,8486,AVERAGE DAILY NUMBER,Dec Qtr 20,Qld,Males in full-time custody
9,5,R9C5,2777,AVERAGE DAILY NUMBER,Dec Qtr 20,SA,Males in full-time custody
9,6,R9C6,5925,AVERAGE DAILY NUMBER,Dec Qtr 20,WA,Males in full-time custody
9,7,R9C7,592,AVERAGE DAILY NUMBER,Dec Qtr 20,Tas.,Males in full-time custody
9,8,R9C8,1613,AVERAGE DAILY NUMBER,Dec Qtr 20,NT,Males in full-time custody
9,9,R9C9,396,AVERAGE DAILY NUMBER,Dec Qtr 20,ACT,Males in full-time custody
9,10,R9C10,38455,AVERAGE DAILY NUMBER,Dec Qtr 20,Aust.,Males in full-time custody
10,2,R10C2,12221,AVERAGE DAILY NUMBER,Mar Qtr 21,NSW,Males in full-time custody
10,3,R10C3,6756,AVERAGE DAILY NUMBER,Mar Qtr 21,Vic.,Males in full-time custody
10,4,R10C4,8807,AVERAGE DAILY NUMBER,Mar Qtr 21,Qld,Males in full-time custody
10,5,R10C5,2874,AVERAGE DAILY NUMBER,Mar Qtr 21,SA,Males in full-time custody
10,6,R10C6,6026,AVERAGE DAILY NUMBER,Mar Qtr 21,WA,Males in full-time custody
10,7,R10C7,574,AVERAGE DAILY NUMBER,Mar Qtr 21,Tas.,Males in full-time custody
10,8,R10C8,1710,AVERAGE DAILY NUMBER,Mar Qtr 21,NT,Males in full-time custody
10,9,R10C9,373,AVERAGE DAILY NUMBER,Mar Qtr 21,ACT,Males in full-time custody
10,10,R10C10,39342,AVERAGE DAILY NUMBER,Mar Qtr 21,Aust.,Males in full-time custody
12,2,R12C2,1014,AVERAGE DAILY NUMBER,Mar Qtr 20,NSW,Females in full-time custody
12,3,R12C3,518,AVERAGE DAILY NUMBER,Mar Qtr 20,Vic.,Females in full-time custody
12,4,R12C4,864,AVERAGE DAILY NUMBER,Mar Qtr 20,Qld,Females in full-time custody
12,5,R12C5,215,AVERAGE DAILY NUMBER,Mar Qtr 20,SA,Females in full-time custody
12,6,R12C6,776,AVERAGE DAILY NUMBER,Mar Qtr 20,WA,Females in full-time custody
12,7,R12C7,54,AVERAGE DAILY NUMBER,Mar Qtr 20,Tas.,Females in full-time custody
12,8,R12C8,106,AVERAGE DAILY NUMBER,Mar Qtr 20,NT,Females in full-time custody
12,9,R12C9,33,AVERAGE DAILY NUMBER,Mar Qtr 20,ACT,Females in full-time custody
12,10,R12C10,3580,AVERAGE DAILY NUMBER,Mar Qtr 20,Aust.,Females in full-time custody
13,2,R13C2,856,AVERAGE DAILY NUMBER,Dec Qtr 20,NSW,Females in full-time custody
13,3,R13C3,409,AVERAGE DAILY NUMBER,Dec Qtr 20,Vic.,Females in full-time custody
13,4,R13C4,869,AVERAGE DAILY NUMBER,Dec Qtr 20,Qld,Females in full-time custody
13,5,R13C5,223,AVERAGE DAILY NUMBER,Dec Qtr 20,SA,Females in full-time custody
13,6,R13C6,673,AVERAGE DAILY NUMBER,Dec Qtr 20,WA,Females in full-time custody
13,7,R13C7,52,AVERAGE DAILY NUMBER,Dec Qtr 20,Tas.,Females in full-time custody
13,8,R13C8,104,AVERAGE DAILY NUMBER,Dec Qtr 20,NT,Females in full-time custody
13,9,R13C9,28,AVERAGE DAILY NUMBER,Dec Qtr 20,ACT,Females in full-time custody
13,10,R13C10,3213,AVERAGE DAILY NUMBER,Dec Qtr 20,Aust.,Females in full-time custody
14,2,R14C2,896,AVERAGE DAILY NUMBER,Mar Qtr 21,NSW,Females in full-time custody
14,3,R14C3,419,AVERAGE DAILY NUMBER,Mar Qtr 21,Vic.,Females in full-time custody
14,4,R14C4,906,AVERAGE DAILY NUMBER,Mar Qtr 21,Qld,Females in full-time custody
14,5,R14C5,225,AVERAGE DAILY NUMBER,Mar Qtr 21,SA,Females in full-time custody
14,6,R14C6,656,AVERAGE DAILY NUMBER,Mar Qtr 21,WA,Females in full-time custody
14,7,R14C7,48,AVERAGE DAILY NUMBER,Mar Qtr 21,Tas.,Females in full-time custody
14,8,R14C8,112,AVERAGE DAILY NUMBER,Mar Qtr 21,NT,Females in full-time custody
14,9,R14C9,30,AVERAGE DAILY NUMBER,Mar Qtr 21,ACT,Females in full-time custody
14,10,R14C10,3291,AVERAGE DAILY NUMBER,Mar Qtr 21,Aust.,Females in full-time custody
16,2,R16C2,13991,AVERAGE DAILY NUMBER,Mar Qtr 20,NSW,Persons in full-time custody
16,3,R16C3,8163,AVERAGE DAILY NUMBER,Mar Qtr 20,Vic.,Persons in full-time custody
16,4,R16C4,9097,AVERAGE DAILY NUMBER,Mar Qtr 20,Qld,Persons in full-time custody
16,5,R16C5,2907,AVERAGE DAILY NUMBER,Mar Qtr 20,SA,Persons in full-time custody
16,6,R16C6,7111,AVERAGE DAILY NUMBER,Mar Qtr 20,WA,Persons in full-time custody
16,7,R16C7,663,AVERAGE DAILY NUMBER,Mar Qtr 20,Tas.,Persons in full-time custody
16,8,R16C8,1785,AVERAGE DAILY NUMBER,Mar Qtr 20,NT,Persons in full-time custody
16,9,R16C9,442,AVERAGE DAILY NUMBER,Mar Qtr 20,ACT,Persons in full-time custody
16,10,R16C10,44159,AVERAGE DAILY NUMBER,Mar Qtr 20,Aust.,Persons in full-time custody
17,2,R17C2,12838,AVERAGE DAILY NUMBER,Dec Qtr 20,NSW,Persons in full-time custody
17,3,R17C3,7093,AVERAGE DAILY NUMBER,Dec Qtr 20,Vic.,Persons in full-time custody
17,4,R17C4,9355,AVERAGE DAILY NUMBER,Dec Qtr 20,Qld,Persons in full-time custody
17,5,R17C5,3001,AVERAGE DAILY NUMBER,Dec Qtr 20,SA,Persons in full-time custody
17,6,R17C6,6597,AVERAGE DAILY NUMBER,Dec Qtr 20,WA,Persons in full-time custody
17,7,R17C7,644,AVERAGE DAILY NUMBER,Dec Qtr 20,Tas.,Persons in full-time custody
17,8,R17C8,1717,AVERAGE DAILY NUMBER,Dec Qtr 20,NT,Persons in full-time custody
17,9,R17C9,424,AVERAGE DAILY NUMBER,Dec Qtr 20,ACT,Persons in full-time custody
17,10,R17C10,41668,AVERAGE DAILY NUMBER,Dec Qtr 20,Aust.,Persons in full-time custody
18,2,R18C2,13118,AVERAGE DAILY NUMBER,Mar Qtr 21,NSW,Persons in full-time custody
18,3,R18C3,7174,AVERAGE DAILY NUMBER,Mar Qtr 21,Vic.,Persons in full-time custody
18,4,R18C4,9713,AVERAGE DAILY NUMBER,Mar Qtr 21,Qld,Persons in full-time custody
18,5,R18C5,3100,AVERAGE DAILY NUMBER,Mar Qtr 21,SA,Persons in full-time custody
18,6,R18C6,6682,AVERAGE DAILY NUMBER,Mar Qtr 21,WA,Persons in full-time custody
18,7,R18C7,622,AVERAGE DAILY NUMBER,Mar Qtr 21,Tas.,Persons in full-time custody
18,8,R18C8,1822,AVERAGE DAILY NUMBER,Mar Qtr 21,NT,Persons in full-time custody
18,9,R18C9,403,AVERAGE DAILY NUMBER,Mar Qtr 21,ACT,Persons in full-time custody
18,10,R18C10,42633,AVERAGE DAILY NUMBER,Mar Qtr 21,Aust.,Persons in full-time custody
20,2,R20C2,3683,AVERAGE DAILY NUMBER,Mar Qtr 20,NSW,Aboriginal & Torres Strait Islander persons in full-time custody
20,3,R20C3,876,AVERAGE DAILY NUMBER,Mar Qtr 20,Vic.,Aboriginal & Torres Strait Islander persons in full-time custody
20,4,R20C4,3142,AVERAGE DAILY NUMBER,Mar Qtr 20,Qld,Aboriginal & Torres Strait Islander persons in full-time custody
20,5,R20C5,706,AVERAGE DAILY NUMBER,Mar Qtr 20,SA,Aboriginal & Torres Strait Islander persons in full-time custody
20,6,R20C6,2766,AVERAGE DAILY NUMBER,Mar Qtr 20,WA,Aboriginal & Torres Strait Islander persons in full-time custody
20,7,R20C7,134,AVERAGE DAILY NUMBER,Mar Qtr 20,Tas.,Aboriginal & Torres Strait Islander persons in full-time custody
20,8,R20C8,1489,AVERAGE DAILY NUMBER,Mar Qtr 20,NT,Aboriginal & Torres Strait Islander persons in full-time custody
20,9,R20C9,107,AVERAGE DAILY NUMBER,Mar Qtr 20,ACT,Aboriginal & Torres Strait Islander persons in full-time custody
20,10,R20C10,12902,AVERAGE DAILY NUMBER,Mar Qtr 20,Aust.,Aboriginal & Torres Strait Islander persons in full-time custody
21,2,R21C2,3364,AVERAGE DAILY NUMBER,Dec Qtr 20,NSW,Aboriginal & Torres Strait Islander persons in full-time custody
21,3,R21C3,749,AVERAGE DAILY NUMBER,Dec Qtr 20,Vic.,Aboriginal & Torres Strait Islander persons in full-time custody
21,4,R21C4,3193,AVERAGE DAILY NUMBER,Dec Qtr 20,Qld,Aboriginal & Torres Strait Islander persons in full-time custody
21,5,R21C5,709,AVERAGE DAILY NUMBER,Dec Qtr 20,SA,Aboriginal & Torres Strait Islander persons in full-time custody
21,6,R21C6,2632,AVERAGE DAILY NUMBER,Dec Qtr 20,WA,Aboriginal & Torres Strait Islander persons in full-time custody
21,7,R21C7,142,AVERAGE DAILY NUMBER,Dec Qtr 20,Tas.,Aboriginal & Torres Strait Islander persons in full-time custody
21,8,R21C8,1459,AVERAGE DAILY NUMBER,Dec Qtr 20,NT,Aboriginal & Torres Strait Islander persons in full-time custody
21,9,R21C9,96,AVERAGE DAILY NUMBER,Dec Qtr 20,ACT,Aboriginal & Torres Strait Islander persons in full-time custody
21,10,R21C10,12344,AVERAGE DAILY NUMBER,Dec Qtr 20,Aust.,Aboriginal & Torres Strait Islander persons in full-time custody
22,2,R22C2,3518,AVERAGE DAILY NUMBER,Mar Qtr 21,NSW,Aboriginal & Torres Strait Islander persons in full-time custody
