row,col,address,.value,sex,sex_source,legal_status,legal_status_source,summary_label,summary_label_source,indigenous_status,indigenous_status_source,state,state_source
9,8,R9C8,477,Males,R7C1,Unsentenced ,R9C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,NT,R5C8
9,9,R9C9,33,Males,R7C1,Unsentenced ,R9C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,ACT,R5C9
9,10,R9C10,4182,Males,R7C1,Unsentenced ,R9C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,Aust.,R5C10
10,2,R10C2,3289,Males,R7C1,Total,R10C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,NSW,R5C2
10,3,R10C3,729,Males,R7C1,Total,R10C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,Vic.,R5C3
10,4,R10C4,3103,Males,R7C1,Total,R10C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,Qld,R5C4
10,5,R10C5,650,Males,R7C1,Total,R10C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,SA,R5C5
10,6,R10C6,2362,Males,R7C1,Total,R10C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,WA,R5C6
10,7,R10C7,127,Males,R7C1,Total,R10C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,Tas.,R5C7
10,8,R10C8,1429,Males,R7C1,Total,R10C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,NT,R5C8
10,9,R10C9,93,Males,R7C1,Total,R10C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,ACT,R5C9
10,10,R10C10,11781,Males,R7C1,Total,R10C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,Aust.,R5C10
12,2,R12C2,161,Females,R11C1,Sentenced ,R12C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,NSW,R5C2
12,3,R12C3,17,Females,R11C1,Sentenced ,R12C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,Vic.,R5C3
12,4,R12C4,240,Females,R11C1,Sentenced ,R12C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,Qld,R5C4
12,5,R12C5,31,Females,R11C1,Sentenced ,R12C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,SA,R5C5
12,6,R12C6,208,Females,R11C1,Sentenced ,R12C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,WA,R5C6
12,7,R12C7,10,Females,R11C1,Sentenced ,R12C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,Tas.,R5C7
12,8,R12C8,54,Females,R11C1,Sentenced ,R12C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,NT,R5C8
12,9,R12C9,10,Females,R11C1,Sentenced ,R12C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,ACT,R5C9
12,10,R12C10,721,Females,R11C1,Sentenced ,R12C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,Aust.,R5C10
13,2,R13C2,150,Females,R11C1,Unsentenced ,R13C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,NSW,R5C2
13,3,R13C3,24,Females,R11C1,Unsentenced ,R13C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,Vic.,R5C3
13,4,R13C4,141,Females,R11C1,Unsentenced ,R13C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,Qld,R5C4
13,5,R13C5,63,Females,R11C1,Unsentenced ,R13C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,SA,R5C5
13,6,R13C6,95,Females,R11C1,Unsentenced ,R13C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,WA,R5C6
