row,col,address,.value,drug_use_context,drug_use_context_source,treatment_type,treatment_type_source,financial_year,financial_year_source
23,9,R23C9,24074,Total,R22C3,Withdrawal management,R23C4,2018–19,R3C9
23,10,R23C10,21912,Total,R22C3,Withdrawal management,R23C4,2019–20,R3C10
23,11,R23C11,22331,Total,R22C3,Withdrawal management,R23C4,2020–21,R3C11
23,12,R23C12,20509,Total,R22C3,Withdrawal management,R23C4,2021–22,R3C12
23,13,R23C13,23250,Total,R22C3,Withdrawal management,R23C4,2022–23,R3C13
23,14,R23C14,21776,Total,R22C3,Withdrawal management,R23C4,2023–24,R3C14
24,5,R24C5,28709,Total,R22C3,Assessment only,R24C4,2014–15,R3C5
24,6,R24C6,33168,Total,R22C3,Assessment only,R24C4,2015–16,R3C6
24,7,R24C7,31232,Total,R22C3,Assessment only,R24C4,2016–17,R3C7
24,8,R24C8,32844,Total,R22C3,Assessment only,R24C4,2017–18,R3C8
24,9,R24C9,40687,Total,R22C3,Assessment only,R24C4,2018–19,R3C9
24,10,R24C10,44408,Total,R22C3,Assessment only,R24C4,2019–20,R3C10
24,11,R24C11,48258,Total,R22C3,Assessment only,R24C4,2020–21,R3C11
24,12,R24C12,47662,Total,R22C3,Assessment only,R24C4,2021–22,R3C12
24,13,R24C13,50876,Total,R22C3,Assessment only,R24C4,2022–23,R3C13
24,14,R24C14,51859,Total,R22C3,Assessment only,R24C4,2023–24,R3C14
25,5,R25C5,14524,Total,R22C3,Support and case management,R25C4,2014–15,R3C5
25,6,R25C6,27798,Total,R22C3,Support and case management,R25C4,2015–16,R3C6
25,7,R25C7,28229,Total,R22C3,Support and case management,R25C4,2016–17,R3C7
25,8,R25C8,30123,Total,R22C3,Support and case management,R25C4,2017–18,R3C8
25,9,R25C9,25905,Total,R22C3,Support and case management,R25C4,2018–19,R3C9
25,10,R25C10,38050,Total,R22C3,Support and case management,R25C4,2019–20,R3C10
25,11,R25C11,36550,Total,R22C3,Support and case management,R25C4,2020–21,R3C11
25,12,R25C12,35351,Total,R22C3,Support and case management,R25C4,2021–22,R3C12
25,13,R25C13,35712,Total,R22C3,Support and case management,R25C4,2022–23,R3C13
25,14,R25C14,38402,Total,R22C3,Support and case management,R25C4,2023–24,R3C14
26,5,R26C5,11047,Total,R22C3,Rehabilitation,R26C4,2014–15,R3C5
26,6,R26C6,11874,Total,R22C3,Rehabilitation,R26C4,2015–16,R3C6
26,7,R26C7,11188,Total,R22C3,Rehabilitation,R26C4,2016–17,R3C7
26,8,R26C8,12368,Total,R22C3,Rehabilitation,R26C4,2017–18,R3C8
26,9,R26C9,14235,Total,R22C3,Rehabilitation,R26C4,2018–19,R3C9
26,10,R26C10,14785,Total,R22C3,Rehabilitation,R26C4,2019–20,R3C10
26,11,R26C11,13913,Total,R22C3,Rehabilitation,R26C4,2020–21,R3C11
26,12,R26C12,13016,Total,R22C3,Rehabilitation,R26C4,2021–22,R3C12
26,13,R26C13,15689,Total,R22C3,Rehabilitation,R26C4,2022–23,R3C13
26,14,R26C14,16870,Total,R22C3,Rehabilitation,R26C4,2023–24,R3C14
27,5,R27C5,4030,Total,R22C3,Pharmacotherapy,R27C4,2014–15,R3C5
27,6,R27C6,5622,Total,R22C3,Pharmacotherapy,R27C4,2015–16,R3C6
27,7,R27C7,4432,Total,R22C3,Pharmacotherapy,R27C4,2016–17,R3C7
27,8,R27C8,4210,Total,R22C3,Pharmacotherapy,R27C4,2017–18,R3C8
27,9,R27C9,3505,Total,R22C3,Pharmacotherapy,R27C4,2018–19,R3C9
27,10,R27C10,3423,Total,R22C3,Pharmacotherapy,R27C4,2019–20,R3C10
27,11,R27C11,3863,Total,R22C3,Pharmacotherapy,R27C4,2020–21,R3C11
27,12,R27C12,3739,Total,R22C3,Pharmacotherapy,R27C4,2021–22,R3C12
27,13,R27C13,4074,Total,R22C3,Pharmacotherapy,R27C4,2022–23,R3C13
27,14,R27C14,4072,Total,R22C3,Pharmacotherapy,R27C4,2023–24,R3C14
28,5,R28C5,17588,Total,R22C3,Information and education,R28C4,2014–15,R3C5
28,6,R28C6,19303,Total,R22C3,Information and education,R28C4,2015–16,R3C6
28,7,R28C7,16941,Total,R22C3,Information and education,R28C4,2016–17,R3C7
28,8,R28C8,17412,Total,R22C3,Information and education,R28C4,2017–18,R3C8
28,9,R28C9,18039,Total,R22C3,Information and education,R28C4,2018–19,R3C9
28,10,R28C10,15927,Total,R22C3,Information and education,R28C4,2019–20,R3C10
28,11,R28C11,8737,Total,R22C3,Information and education,R28C4,2020–21,R3C11
28,12,R28C12,6321,Total,R22C3,Information and education,R28C4,2021–22,R3C12
28,13,R28C13,5681,Total,R22C3,Information and education,R28C4,2022–23,R3C13
28,14,R28C14,5748,Total,R22C3,Information and education,R28C4,2023–24,R3C14
29,5,R29C5,4436,Total,R22C3,Other,R29C4,2014–15,R3C5
29,6,R29C6,9593,Total,R22C3,Other,R29C4,2015–16,R3C6
29,7,R29C7,4495,Total,R22C3,Other,R29C4,2016–17,R3C7
29,8,R29C8,4831,Total,R22C3,Other,R29C4,2017–18,R3C8
29,9,R29C9,8379,Total,R22C3,Other,R29C4,2018–19,R3C9
29,10,R29C10,10780,Total,R22C3,Other,R29C4,2019–20,R3C10
