row,col,address,.value,indigenous_status,indigenous_status_source,variables,variables_source,statistic,statistic_source
37,3,R37C3,8,Family and domestic violence(i),R37C1,Selected problem type (Top 10)(f),R33C1,Proportion (%),R5C3
38,2,R38C2,2637,Acts intended to cause injury,R38C1,Selected problem type (Top 10)(f),R33C1,Number,R5C2
38,3,R38C3,6.1,Acts intended to cause injury,R38C1,Selected problem type (Top 10)(f),R33C1,Proportion (%),R5C3
39,2,R39C2,1690,Child protection,R39C1,Selected problem type (Top 10)(f),R33C1,Number,R5C2
39,3,R39C3,3.9,Child protection,R39C1,Selected problem type (Top 10)(f),R33C1,Proportion (%),R5C3
40,2,R40C2,1447,Consumer/finance(j),R40C1,Selected problem type (Top 10)(f),R33C1,Number,R5C2
40,3,R40C3,3.4,Consumer/finance(j),R40C1,Selected problem type (Top 10)(f),R33C1,Proportion (%),R5C3
41,2,R41C2,1440,Housing,R41C1,Selected problem type (Top 10)(f),R33C1,Number,R5C2
41,3,R41C3,3.4,Housing,R41C1,Selected problem type (Top 10)(f),R33C1,Proportion (%),R5C3
42,2,R42C2,1306,Theft,R42C1,Selected problem type (Top 10)(f),R33C1,Number,R5C2
42,3,R42C3,3,Theft,R42C1,Selected problem type (Top 10)(f),R33C1,Proportion (%),R5C3
43,2,R43C2,1133,Family law property,R43C1,Selected problem type (Top 10)(f),R33C1,Number,R5C2
43,3,R43C3,2.6,Family law property,R43C1,Selected problem type (Top 10)(f),R33C1,Proportion (%),R5C3
44,2,R44C2,42912,Total services(k),R44C1,Selected problem type (Top 10)(f),R33C1,Number,R5C2
44,3,R44C3,100,Total services(k),R44C1,Selected problem type (Top 10)(f),R33C1,Proportion (%),R5C3
