row,col,address,.value,sex,sex_source,indigenous_status,indigenous_status_source,rate_type,rate_type_source,state,state_source
15,10,R15C10,29,Females,R12C1,Total,R15C1,CRUDE RATE,R6C1,Aust.,R5C10
18,2,R18C2,1990.7,Persons,R17C1,Aboriginal and Torres Strait Islander,R18C1,CRUDE RATE,R6C1,NSW,R5C2
18,3,R18C3,1671.2,Persons,R17C1,Aboriginal and Torres Strait Islander,R18C1,CRUDE RATE,R6C1,Vic.,R5C3
18,4,R18C4,2236.1,Persons,R17C1,Aboriginal and Torres Strait Islander,R18C1,CRUDE RATE,R6C1,Qld,R5C4
18,5,R18C5,2559.7,Persons,R17C1,Aboriginal and Torres Strait Islander,R18C1,CRUDE RATE,R6C1,SA,R5C5
18,6,R18C6,3569.4,Persons,R17C1,Aboriginal and Torres Strait Islander,R18C1,CRUDE RATE,R6C1,WA,R5C6
18,7,R18C7,730.5,Persons,R17C1,Aboriginal and Torres Strait Islander,R18C1,CRUDE RATE,R6C1,Tas.,R5C7
18,8,R18C8,3142.1,Persons,R17C1,Aboriginal and Torres Strait Islander,R18C1,CRUDE RATE,R6C1,NT,R5C8
18,9,R18C9,1650.3,Persons,R17C1,Aboriginal and Torres Strait Islander,R18C1,CRUDE RATE,R6C1,ACT,R5C9
18,10,R18C10,2329.6,Persons,R17C1,Aboriginal and Torres Strait Islander,R18C1,CRUDE RATE,R6C1,Aust.,R5C10
19,2,R19C2,141.9,Persons,R17C1,Non-Indigenous,R19C1,CRUDE RATE,R6C1,NSW,R5C2
19,3,R19C3,111.1,Persons,R17C1,Non-Indigenous,R19C1,CRUDE RATE,R6C1,Vic.,R5C3
19,4,R19C4,151.2,Persons,R17C1,Non-Indigenous,R19C1,CRUDE RATE,R6C1,Qld,R5C4
19,5,R19C5,159.4,Persons,R17C1,Non-Indigenous,R19C1,CRUDE RATE,R6C1,SA,R5C5
19,6,R19C6,181.3,Persons,R17C1,Non-Indigenous,R19C1,CRUDE RATE,R6C1,WA,R5C6
19,7,R19C7,112,Persons,R17C1,Non-Indigenous,R19C1,CRUDE RATE,R6C1,Tas.,R5C7
19,8,R19C8,183.2,Persons,R17C1,Non-Indigenous,R19C1,CRUDE RATE,R6C1,NT,R5C8
19,9,R19C9,79.6,Persons,R17C1,Non-Indigenous,R19C1,CRUDE RATE,R6C1,ACT,R5C9
19,10,R19C10,139.7,Persons,R17C1,Non-Indigenous,R19C1,CRUDE RATE,R6C1,Aust.,R5C10
20,2,R20C2,194.9,Persons,R17C1,Total,R20C1,CRUDE RATE,R6C1,NSW,R5C2
20,3,R20C3,126.9,Persons,R17C1,Total,R20C1,CRUDE RATE,R6C1,Vic.,R5C3
20,4,R20C4,228.9,Persons,R17C1,Total,R20C1,CRUDE RATE,R6C1,Qld,R5C4
20,5,R20C5,211.5,Persons,R17C1,Total,R20C1,CRUDE RATE,R6C1,SA,R5C5
20,6,R20C6,293,Persons,R17C1,Total,R20C1,CRUDE RATE,R6C1,WA,R5C6
20,7,R20C7,138.1,Persons,R17C1,Total,R20C1,CRUDE RATE,R6C1,Tas.,R5C7
20,8,R20C8,1026.6,Persons,R17C1,Total,R20C1,CRUDE RATE,R6C1,NT,R5C8
20,9,R20C9,106.5,Persons,R17C1,Total,R20C1,CRUDE RATE,R6C1,ACT,R5C9
20,10,R20C10,200.9,Persons,R17C1,Total,R20C1,CRUDE RATE,R6C1,Aust.,R5C10
23,2,R23C2,3461.6,Males,R22C1,Aboriginal and Torres Strait Islander,R23C1,AGE STANDARDISED RATE ,R21C1,NSW,R5C2
23,3,R23C3,3048.9,Males,R22C1,Aboriginal and Torres Strait Islander,R23C1,AGE STANDARDISED RATE ,R21C1,Vic.,R5C3
23,4,R23C4,3730,Males,R22C1,Aboriginal and Torres Strait Islander,R23C1,AGE STANDARDISED RATE ,R21C1,Qld,R5C4
23,5,R23C5,4575,Males,R22C1,Aboriginal and Torres Strait Islander,R23C1,AGE STANDARDISED RATE ,R21C1,SA,R5C5
23,6,R23C6,5758.5,Males,R22C1,Aboriginal and Torres Strait Islander,R23C1,AGE STANDARDISED RATE ,R21C1,WA,R5C6
23,7,R23C7,1238.4,Males,R22C1,Aboriginal and Torres Strait Islander,R23C1,AGE STANDARDISED RATE ,R21C1,Tas.,R5C7
23,8,R23C8,5070.8,Males,R22C1,Aboriginal and Torres Strait Islander,R23C1,AGE STANDARDISED RATE ,R21C1,NT,R5C8
23,9,R23C9,2930.4,Males,R22C1,Aboriginal and Torres Strait Islander,R23C1,AGE STANDARDISED RATE ,R21C1,ACT,R5C9
23,10,R23C10,3942.6,Males,R22C1,Aboriginal and Torres Strait Islander,R23C1,AGE STANDARDISED RATE ,R21C1,Aust.,R5C10
24,2,R24C2,290.8,Males,R22C1,Non-Indigenous,R24C1,AGE STANDARDISED RATE ,R21C1,NSW,R5C2
24,3,R24C3,223.5,Males,R22C1,Non-Indigenous,R24C1,AGE STANDARDISED RATE ,R21C1,Vic.,R5C3
24,4,R24C4,310,Males,R22C1,Non-Indigenous,R24C1,AGE STANDARDISED RATE ,R21C1,Qld,R5C4
24,5,R24C5,342.1,Males,R22C1,Non-Indigenous,R24C1,AGE STANDARDISED RATE ,R21C1,SA,R5C5
24,6,R24C6,352.9,Males,R22C1,Non-Indigenous,R24C1,AGE STANDARDISED RATE ,R21C1,WA,R5C6
24,7,R24C7,247.6,Males,R22C1,Non-Indigenous,R24C1,AGE STANDARDISED RATE ,R21C1,Tas.,R5C7
24,8,R24C8,338.4,Males,R22C1,Non-Indigenous,R24C1,AGE STANDARDISED RATE ,R21C1,NT,R5C8
24,9,R24C9,150,Males,R22C1,Non-Indigenous,R24C1,AGE STANDARDISED RATE ,R21C1,ACT,R5C9
24,10,R24C10,283.3,Males,R22C1,Non-Indigenous,R24C1,AGE STANDARDISED RATE ,R21C1,Aust.,R5C10
27,2,R27C2,336.3,Females,R26C1,Aboriginal and Torres Strait Islander,R27C1,AGE STANDARDISED RATE ,R21C1,NSW,R5C2
27,3,R27C3,162.4,Females,R26C1,Aboriginal and Torres Strait Islander,R27C1,AGE STANDARDISED RATE ,R21C1,Vic.,R5C3
27,4,R27C4,421.6,Females,R26C1,Aboriginal and Torres Strait Islander,R27C1,AGE STANDARDISED RATE ,R21C1,Qld,R5C4
27,5,R27C5,484.1,Females,R26C1,Aboriginal and Torres Strait Islander,R27C1,AGE STANDARDISED RATE ,R21C1,SA,R5C5
27,6,R27C6,631.2,Females,R26C1,Aboriginal and Torres Strait Islander,R27C1,AGE STANDARDISED RATE ,R21C1,WA,R5C6
27,7,R27C7,n.p.,Females,R26C1,Aboriginal and Torres Strait Islander,R27C1,AGE STANDARDISED RATE ,R21C1,Tas.,R5C7
