row,col,address,.value,summary_label,summary_label_source,financial_year,financial_year_source,sentence_type,sentence_type_source,defendant_dimensions,defendant_dimensions_source
14,4,R14C4,2284,Summary characteristics,R5C1,2012–13,R5C4,Total finalised (excluding transfer to other court levels),R14C1,Age,R10C1
14,5,R14C5,2624,Summary characteristics,R5C1,2013–14,R5C5,Total finalised (excluding transfer to other court levels),R14C1,Age,R10C1
14,6,R14C6,3060,Summary characteristics,R5C1,2014–15,R5C6,Total finalised (excluding transfer to other court levels),R14C1,Age,R10C1
14,7,R14C7,3501,Summary characteristics,R5C1,2015–16,R5C7,Total finalised (excluding transfer to other court levels),R14C1,Age,R10C1
14,8,R14C8,3891,Summary characteristics,R5C1,2016–17,R5C8,Total finalised (excluding transfer to other court levels),R14C1,Age,R10C1
14,9,R14C9,3965,Summary characteristics,R5C1,2017–18,R5C9,Total finalised (excluding transfer to other court levels),R14C1,Age,R10C1
14,10,R14C10,3849,Summary characteristics,R5C1,2018–19,R5C10,Total finalised (excluding transfer to other court levels),R14C1,Age,R10C1
14,11,R14C11,3462,Summary characteristics,R5C1,2019–20,R5C11,Total finalised (excluding transfer to other court levels),R14C1,Age,R10C1
14,12,R14C12,3870,Summary characteristics,R5C1,2020–21,R5C12,Total finalised (excluding transfer to other court levels),R14C1,Age,R10C1
14,13,R14C13,4515,Summary characteristics,R5C1,2021–22,R5C13,Total finalised (excluding transfer to other court levels),R14C1,Age,R10C1
14,14,R14C14,5314,Summary characteristics,R5C1,2022–23,R5C14,Total finalised (excluding transfer to other court levels),R14C1,Age,R10C1
17,2,R17C2,23,Summary characteristics,R5C1,2010–11,R5C2,Higher Courts,R17C1,Court level,R16C1
17,3,R17C3,33,Summary characteristics,R5C1,2011–12,R5C3,Higher Courts,R17C1,Court level,R16C1
17,4,R17C4,30,Summary characteristics,R5C1,2012–13,R5C4,Higher Courts,R17C1,Court level,R16C1
17,5,R17C5,34,Summary characteristics,R5C1,2013–14,R5C5,Higher Courts,R17C1,Court level,R16C1
17,6,R17C6,32,Summary characteristics,R5C1,2014–15,R5C6,Higher Courts,R17C1,Court level,R16C1
17,7,R17C7,33,Summary characteristics,R5C1,2015–16,R5C7,Higher Courts,R17C1,Court level,R16C1
17,8,R17C8,54,Summary characteristics,R5C1,2016–17,R5C8,Higher Courts,R17C1,Court level,R16C1
17,9,R17C9,68,Summary characteristics,R5C1,2017–18,R5C9,Higher Courts,R17C1,Court level,R16C1
17,10,R17C10,65,Summary characteristics,R5C1,2018–19,R5C10,Higher Courts,R17C1,Court level,R16C1
17,11,R17C11,65,Summary characteristics,R5C1,2019–20,R5C11,Higher Courts,R17C1,Court level,R16C1
17,12,R17C12,55,Summary characteristics,R5C1,2020–21,R5C12,Higher Courts,R17C1,Court level,R16C1
17,13,R17C13,58,Summary characteristics,R5C1,2021–22,R5C13,Higher Courts,R17C1,Court level,R16C1
17,14,R17C14,70,Summary characteristics,R5C1,2022–23,R5C14,Higher Courts,R17C1,Court level,R16C1
18,2,R18C2,1651,Summary characteristics,R5C1,2010–11,R5C2,Magistrates' Courts,R18C1,Court level,R16C1
18,3,R18C3,1820,Summary characteristics,R5C1,2011–12,R5C3,Magistrates' Courts,R18C1,Court level,R16C1
18,4,R18C4,2173,Summary characteristics,R5C1,2012–13,R5C4,Magistrates' Courts,R18C1,Court level,R16C1
18,5,R18C5,2523,Summary characteristics,R5C1,2013–14,R5C5,Magistrates' Courts,R18C1,Court level,R16C1
18,6,R18C6,2958,Summary characteristics,R5C1,2014–15,R5C6,Magistrates' Courts,R18C1,Court level,R16C1
18,7,R18C7,3378,Summary characteristics,R5C1,2015–16,R5C7,Magistrates' Courts,R18C1,Court level,R16C1
18,8,R18C8,3761,Summary characteristics,R5C1,2016–17,R5C8,Magistrates' Courts,R18C1,Court level,R16C1
18,9,R18C9,3840,Summary characteristics,R5C1,2017–18,R5C9,Magistrates' Courts,R18C1,Court level,R16C1
18,10,R18C10,3652,Summary characteristics,R5C1,2018–19,R5C10,Magistrates' Courts,R18C1,Court level,R16C1
18,11,R18C11,3305,Summary characteristics,R5C1,2019–20,R5C11,Magistrates' Courts,R18C1,Court level,R16C1
18,12,R18C12,3705,Summary characteristics,R5C1,2020–21,R5C12,Magistrates' Courts,R18C1,Court level,R16C1
18,13,R18C13,4349,Summary characteristics,R5C1,2021–22,R5C13,Magistrates' Courts,R18C1,Court level,R16C1
18,14,R18C14,5100,Summary characteristics,R5C1,2022–23,R5C14,Magistrates' Courts,R18C1,Court level,R16C1
19,2,R19C2,65,Summary characteristics,R5C1,2010–11,R5C2,Children's Courts,R19C1,Court level,R16C1
19,3,R19C3,92,Summary characteristics,R5C1,2011–12,R5C3,Children's Courts,R19C1,Court level,R16C1
19,4,R19C4,117,Summary characteristics,R5C1,2012–13,R5C4,Children's Courts,R19C1,Court level,R16C1
19,5,R19C5,97,Summary characteristics,R5C1,2013–14,R5C5,Children's Courts,R19C1,Court level,R16C1
19,6,R19C6,108,Summary characteristics,R5C1,2014–15,R5C6,Children's Courts,R19C1,Court level,R16C1
19,7,R19C7,136,Summary characteristics,R5C1,2015–16,R5C7,Children's Courts,R19C1,Court level,R16C1
19,8,R19C8,139,Summary characteristics,R5C1,2016–17,R5C8,Children's Courts,R19C1,Court level,R16C1
19,9,R19C9,137,Summary characteristics,R5C1,2017–18,R5C9,Children's Courts,R19C1,Court level,R16C1
19,10,R19C10,195,Summary characteristics,R5C1,2018–19,R5C10,Children's Courts,R19C1,Court level,R16C1
19,11,R19C11,143,Summary characteristics,R5C1,2019–20,R5C11,Children's Courts,R19C1,Court level,R16C1
19,12,R19C12,159,Summary characteristics,R5C1,2020–21,R5C12,Children's Courts,R19C1,Court level,R16C1
19,13,R19C13,181,Summary characteristics,R5C1,2021–22,R5C13,Children's Courts,R19C1,Court level,R16C1
19,14,R19C14,212,Summary characteristics,R5C1,2022–23,R5C14,Children's Courts,R19C1,Court level,R16C1
22,2,R22C2,1329,Summary characteristics,R5C1,2010–11,R5C2,Adjudicated outcomes,R22C1,Method of finalisation,R21C1
22,3,R22C3,1452,Summary characteristics,R5C1,2011–12,R5C3,Adjudicated outcomes,R22C1,Method of finalisation,R21C1
22,4,R22C4,1676,Summary characteristics,R5C1,2012–13,R5C4,Adjudicated outcomes,R22C1,Method of finalisation,R21C1
22,5,R22C5,1933,Summary characteristics,R5C1,2013–14,R5C5,Adjudicated outcomes,R22C1,Method of finalisation,R21C1
22,6,R22C6,2259,Summary characteristics,R5C1,2014–15,R5C6,Adjudicated outcomes,R22C1,Method of finalisation,R21C1
22,7,R22C7,2638,Summary characteristics,R5C1,2015–16,R5C7,Adjudicated outcomes,R22C1,Method of finalisation,R21C1
22,8,R22C8,2829,Summary characteristics,R5C1,2016–17,R5C8,Adjudicated outcomes,R22C1,Method of finalisation,R21C1
22,9,R22C9,2899,Summary characteristics,R5C1,2017–18,R5C9,Adjudicated outcomes,R22C1,Method of finalisation,R21C1
22,10,R22C10,2867,Summary characteristics,R5C1,2018–19,R5C10,Adjudicated outcomes,R22C1,Method of finalisation,R21C1
22,11,R22C11,2565,Summary characteristics,R5C1,2019–20,R5C11,Adjudicated outcomes,R22C1,Method of finalisation,R21C1
22,12,R22C12,2952,Summary characteristics,R5C1,2020–21,R5C12,Adjudicated outcomes,R22C1,Method of finalisation,R21C1
22,13,R22C13,3287,Summary characteristics,R5C1,2021–22,R5C13,Adjudicated outcomes,R22C1,Method of finalisation,R21C1
22,14,R22C14,4011,Summary characteristics,R5C1,2022–23,R5C14,Adjudicated outcomes,R22C1,Method of finalisation,R21C1
23,2,R23C2,121,Summary characteristics,R5C1,2010–11,R5C2,Acquitted,R23C1,Method of finalisation,R21C1
23,3,R23C3,136,Summary characteristics,R5C1,2011–12,R5C3,Acquitted,R23C1,Method of finalisation,R21C1
23,4,R23C4,126,Summary characteristics,R5C1,2012–13,R5C4,Acquitted,R23C1,Method of finalisation,R21C1
23,5,R23C5,125,Summary characteristics,R5C1,2013–14,R5C5,Acquitted,R23C1,Method of finalisation,R21C1
23,6,R23C6,156,Summary characteristics,R5C1,2014–15,R5C6,Acquitted,R23C1,Method of finalisation,R21C1
23,7,R23C7,145,Summary characteristics,R5C1,2015–16,R5C7,Acquitted,R23C1,Method of finalisation,R21C1
23,8,R23C8,161,Summary characteristics,R5C1,2016–17,R5C8,Acquitted,R23C1,Method of finalisation,R21C1
23,9,R23C9,154,Summary characteristics,R5C1,2017–18,R5C9,Acquitted,R23C1,Method of finalisation,R21C1
23,10,R23C10,155,Summary characteristics,R5C1,2018–19,R5C10,Acquitted,R23C1,Method of finalisation,R21C1
23,11,R23C11,173,Summary characteristics,R5C1,2019–20,R5C11,Acquitted,R23C1,Method of finalisation,R21C1
23,12,R23C12,188,Summary characteristics,R5C1,2020–21,R5C12,Acquitted,R23C1,Method of finalisation,R21C1
23,13,R23C13,182,Summary characteristics,R5C1,2021–22,R5C13,Acquitted,R23C1,Method of finalisation,R21C1
23,14,R23C14,239,Summary characteristics,R5C1,2022–23,R5C14,Acquitted,R23C1,Method of finalisation,R21C1
24,2,R24C2,1202,Summary characteristics,R5C1,2010–11,R5C2,Guilty outcome,R24C1,Method of finalisation,R21C1
24,3,R24C3,1314,Summary characteristics,R5C1,2011–12,R5C3,Guilty outcome,R24C1,Method of finalisation,R21C1
