row,col,address,.value,summary_label,summary_label_source,financial_year,financial_year_source,sentence_type,sentence_type_source,defendant_dimensions,defendant_dimensions_source
34,3,R34C3,1940,Summary characteristics,R5C1,2011–12,R5C3,Total finalised,R34C1,Duration,R31C1
34,4,R34C4,2312,Summary characteristics,R5C1,2012–13,R5C4,Total finalised,R34C1,Duration,R31C1
34,5,R34C5,2652,Summary characteristics,R5C1,2013–14,R5C5,Total finalised,R34C1,Duration,R31C1
34,6,R34C6,3098,Summary characteristics,R5C1,2014–15,R5C6,Total finalised,R34C1,Duration,R31C1
34,7,R34C7,3545,Summary characteristics,R5C1,2015–16,R5C7,Total finalised,R34C1,Duration,R31C1
34,8,R34C8,3951,Summary characteristics,R5C1,2016–17,R5C8,Total finalised,R34C1,Duration,R31C1
34,9,R34C9,4043,Summary characteristics,R5C1,2017–18,R5C9,Total finalised,R34C1,Duration,R31C1
34,10,R34C10,3917,Summary characteristics,R5C1,2018–19,R5C10,Total finalised,R34C1,Duration,R31C1
34,11,R34C11,3508,Summary characteristics,R5C1,2019–20,R5C11,Total finalised,R34C1,Duration,R31C1
34,12,R34C12,3923,Summary characteristics,R5C1,2020–21,R5C12,Total finalised,R34C1,Duration,R31C1
34,13,R34C13,4584,Summary characteristics,R5C1,2021–22,R5C13,Total finalised,R34C1,Duration,R31C1
34,14,R34C14,5380,Summary characteristics,R5C1,2022–23,R5C14,Total finalised,R34C1,Duration,R31C1
37,2,R37C2,123,Summary characteristics,R5C1,2010–11,R5C2,Custody in a correctional institution,R37C1,Principal federal sentence,R36C1
37,3,R37C3,124,Summary characteristics,R5C1,2011–12,R5C3,Custody in a correctional institution,R37C1,Principal federal sentence,R36C1
