publication_vintage_date,reference_date,principal_offence_id,sex_id,sentence_statistic_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_sex,raw_sentence_statistic
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,MALES,SENTENCE_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,defendant-count,person,268,observed,268,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 4,R6C2,sha256:a6bc2d3a246d226c6de22080513b5a86b96d038b7f4cff93fc575a257c6f5e4b,criminal-courts-australia,sha256:1ec1072c4c0c4e3f0b8b84b24f61430f81816888da7433c98cdf298b283841ce,tidy.table-family-acceptance/v1,sha256:9bcc117e6b5a8a34e0c9d61e601a59e30488adcbd5a45f28c610814fd13a979d,sha256:f7a7bbc82ff3f1e5d76efa7632b721869e27ce4b76f67624b5370b99a425af83,sha256:a0057907773ef1fcc07d2eec5c45c0adc6508ac98b363baee7aa0b0ed8291aea,human-authored/deterministic-map-v1,replay:sha256:73e126ce82d8df44f8de5d3e6a78964276cd1052798cd81288a6e492aa3bad61,01 Homicide,Males,Custody in a correctional institution
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,MALES,SENTENCE_FINES,defendant-count,person,6,observed,6,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 4,R6C7,sha256:a6bc2d3a246d226c6de22080513b5a86b96d038b7f4cff93fc575a257c6f5e4b,criminal-courts-australia,sha256:1ec1072c4c0c4e3f0b8b84b24f61430f81816888da7433c98cdf298b283841ce,tidy.table-family-acceptance/v1,sha256:9bcc117e6b5a8a34e0c9d61e601a59e30488adcbd5a45f28c610814fd13a979d,sha256:f7a7bbc82ff3f1e5d76efa7632b721869e27ce4b76f67624b5370b99a425af83,sha256:a0057907773ef1fcc07d2eec5c45c0adc6508ac98b363baee7aa0b0ed8291aea,human-authored/deterministic-map-v1,replay:sha256:73e126ce82d8df44f8de5d3e6a78964276cd1052798cd81288a6e492aa3bad61,01 Homicide,Males,Fines
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,MALES,SENTENCE_FULLY_SUSPENDED_SENTENCE_OF_IMPRISONMENT,defendant-count,person,11,observed,11,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 4,R6C4,sha256:a6bc2d3a246d226c6de22080513b5a86b96d038b7f4cff93fc575a257c6f5e4b,criminal-courts-australia,sha256:1ec1072c4c0c4e3f0b8b84b24f61430f81816888da7433c98cdf298b283841ce,tidy.table-family-acceptance/v1,sha256:9bcc117e6b5a8a34e0c9d61e601a59e30488adcbd5a45f28c610814fd13a979d,sha256:f7a7bbc82ff3f1e5d76efa7632b721869e27ce4b76f67624b5370b99a425af83,sha256:a0057907773ef1fcc07d2eec5c45c0adc6508ac98b363baee7aa0b0ed8291aea,human-authored/deterministic-map-v1,replay:sha256:73e126ce82d8df44f8de5d3e6a78964276cd1052798cd81288a6e492aa3bad61,01 Homicide,Males,Fully suspended sentence of imprisonment
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,MALES,SENTENCE_GOOD_BEHAVIOUR_INCL_BONDS,defendant-count,person,3,observed,3,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 4,R6C8,sha256:a6bc2d3a246d226c6de22080513b5a86b96d038b7f4cff93fc575a257c6f5e4b,criminal-courts-australia,sha256:1ec1072c4c0c4e3f0b8b84b24f61430f81816888da7433c98cdf298b283841ce,tidy.table-family-acceptance/v1,sha256:9bcc117e6b5a8a34e0c9d61e601a59e30488adcbd5a45f28c610814fd13a979d,sha256:f7a7bbc82ff3f1e5d76efa7632b721869e27ce4b76f67624b5370b99a425af83,sha256:a0057907773ef1fcc07d2eec5c45c0adc6508ac98b363baee7aa0b0ed8291aea,human-authored/deterministic-map-v1,replay:sha256:73e126ce82d8df44f8de5d3e6a78964276cd1052798cd81288a6e492aa3bad61,01 Homicide,Males,Good behaviour (incl. bonds)
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,MALES,SENTENCE_INTENSIVE_PENALTY_IN_THE_COMMUNITY,defendant-count,person,21,observed,21,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 4,R6C3,sha256:a6bc2d3a246d226c6de22080513b5a86b96d038b7f4cff93fc575a257c6f5e4b,criminal-courts-australia,sha256:1ec1072c4c0c4e3f0b8b84b24f61430f81816888da7433c98cdf298b283841ce,tidy.table-family-acceptance/v1,sha256:9bcc117e6b5a8a34e0c9d61e601a59e30488adcbd5a45f28c610814fd13a979d,sha256:f7a7bbc82ff3f1e5d76efa7632b721869e27ce4b76f67624b5370b99a425af83,sha256:a0057907773ef1fcc07d2eec5c45c0adc6508ac98b363baee7aa0b0ed8291aea,human-authored/deterministic-map-v1,replay:sha256:73e126ce82d8df44f8de5d3e6a78964276cd1052798cd81288a6e492aa3bad61,01 Homicide,Males,Intensive penalty in the community
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,MALES,SENTENCE_MODERATE_PENALTY_IN_THE_COMMUNITY,defendant-count,person,6,observed,6,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 4,R6C6,sha256:a6bc2d3a246d226c6de22080513b5a86b96d038b7f4cff93fc575a257c6f5e4b,criminal-courts-australia,sha256:1ec1072c4c0c4e3f0b8b84b24f61430f81816888da7433c98cdf298b283841ce,tidy.table-family-acceptance/v1,sha256:9bcc117e6b5a8a34e0c9d61e601a59e30488adcbd5a45f28c610814fd13a979d,sha256:f7a7bbc82ff3f1e5d76efa7632b721869e27ce4b76f67624b5370b99a425af83,sha256:a0057907773ef1fcc07d2eec5c45c0adc6508ac98b363baee7aa0b0ed8291aea,human-authored/deterministic-map-v1,replay:sha256:73e126ce82d8df44f8de5d3e6a78964276cd1052798cd81288a6e492aa3bad61,01 Homicide,Males,Moderate penalty in the community
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,MALES,SENTENCE_NOMINAL_AND_OTHER_PENALTIES,defendant-count,person,3,observed,3,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 4,R6C9,sha256:a6bc2d3a246d226c6de22080513b5a86b96d038b7f4cff93fc575a257c6f5e4b,criminal-courts-australia,sha256:1ec1072c4c0c4e3f0b8b84b24f61430f81816888da7433c98cdf298b283841ce,tidy.table-family-acceptance/v1,sha256:9bcc117e6b5a8a34e0c9d61e601a59e30488adcbd5a45f28c610814fd13a979d,sha256:f7a7bbc82ff3f1e5d76efa7632b721869e27ce4b76f67624b5370b99a425af83,sha256:a0057907773ef1fcc07d2eec5c45c0adc6508ac98b363baee7aa0b0ed8291aea,human-authored/deterministic-map-v1,replay:sha256:73e126ce82d8df44f8de5d3e6a78964276cd1052798cd81288a6e492aa3bad61,01 Homicide,Males,Nominal and other penalties
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,MALES,SENTENCE_TOTAL,defendant-count,person,338,observed,338,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 4,R6C10,sha256:a6bc2d3a246d226c6de22080513b5a86b96d038b7f4cff93fc575a257c6f5e4b,criminal-courts-australia,sha256:1ec1072c4c0c4e3f0b8b84b24f61430f81816888da7433c98cdf298b283841ce,tidy.table-family-acceptance/v1,sha256:9bcc117e6b5a8a34e0c9d61e601a59e30488adcbd5a45f28c610814fd13a979d,sha256:f7a7bbc82ff3f1e5d76efa7632b721869e27ce4b76f67624b5370b99a425af83,sha256:a0057907773ef1fcc07d2eec5c45c0adc6508ac98b363baee7aa0b0ed8291aea,human-authored/deterministic-map-v1,replay:sha256:73e126ce82d8df44f8de5d3e6a78964276cd1052798cd81288a6e492aa3bad61,01 Homicide,Males,Total(a)
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,PERSONS,SENTENCE_COMMUNITY_SERVICE_WORK,defendant-count,person,16,observed,16,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 4,R46C5,sha256:a6bc2d3a246d226c6de22080513b5a86b96d038b7f4cff93fc575a257c6f5e4b,criminal-courts-australia,sha256:1ec1072c4c0c4e3f0b8b84b24f61430f81816888da7433c98cdf298b283841ce,tidy.table-family-acceptance/v1,sha256:9bcc117e6b5a8a34e0c9d61e601a59e30488adcbd5a45f28c610814fd13a979d,sha256:f7a7bbc82ff3f1e5d76efa7632b721869e27ce4b76f67624b5370b99a425af83,sha256:a0057907773ef1fcc07d2eec5c45c0adc6508ac98b363baee7aa0b0ed8291aea,human-authored/deterministic-map-v1,replay:sha256:73e126ce82d8df44f8de5d3e6a78964276cd1052798cd81288a6e492aa3bad61,01 Homicide,Persons(d),Community service / work
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,PERSONS,SENTENCE_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,defendant-count,person,301,observed,301,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 4,R46C2,sha256:a6bc2d3a246d226c6de22080513b5a86b96d038b7f4cff93fc575a257c6f5e4b,criminal-courts-australia,sha256:1ec1072c4c0c4e3f0b8b84b24f61430f81816888da7433c98cdf298b283841ce,tidy.table-family-acceptance/v1,sha256:9bcc117e6b5a8a34e0c9d61e601a59e30488adcbd5a45f28c610814fd13a979d,sha256:f7a7bbc82ff3f1e5d76efa7632b721869e27ce4b76f67624b5370b99a425af83,sha256:a0057907773ef1fcc07d2eec5c45c0adc6508ac98b363baee7aa0b0ed8291aea,human-authored/deterministic-map-v1,replay:sha256:73e126ce82d8df44f8de5d3e6a78964276cd1052798cd81288a6e492aa3bad61,01 Homicide,Persons(d),Custody in a correctional institution
