reference_date,country_of_birth_id,most_serious_offence_or_charge_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_country_of_birth,raw_most_serious_offence_or_charge
2021-06-30,CHINA,ANZSOC_04,prisoner-count,person,0,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_7,R11C5,sha256:5bf029bafe56c697a0e5184e89742a14e93639eff7ac6fe1afe3dd4e7da01bb1,prisoners-in-australia,sha256:0eabd6b1b4e545c25f5286f7d52e26ae4228cf5023633f185becb4c1d046da0e,tidy.table-family-acceptance/v1,sha256:54b21eb5d71deaa56e815453b11e86585d4a4e2bc7bc4cea308e1ee5e46e68e6,sha256:761743643ced326e919216927e9590685b03f4500eccc57213bb9ac21a5565d6,sha256:147b25cf2dbb6f39127334a0f851d049ceb0450f904a31f267dbb4dea3e2fe51,human-authored/deterministic-geometry-v1,replay:sha256:182338bae81a3cb317f34cb5f2da65eb4668ec41ec43484cb52a2a7075b965bd,China,04 Dangerous/ negligent acts
2021-06-30,CHINA,ANZSOC_05,prisoner-count,person,4,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_7,R11C6,sha256:5bf029bafe56c697a0e5184e89742a14e93639eff7ac6fe1afe3dd4e7da01bb1,prisoners-in-australia,sha256:0eabd6b1b4e545c25f5286f7d52e26ae4228cf5023633f185becb4c1d046da0e,tidy.table-family-acceptance/v1,sha256:54b21eb5d71deaa56e815453b11e86585d4a4e2bc7bc4cea308e1ee5e46e68e6,sha256:761743643ced326e919216927e9590685b03f4500eccc57213bb9ac21a5565d6,sha256:147b25cf2dbb6f39127334a0f851d049ceb0450f904a31f267dbb4dea3e2fe51,human-authored/deterministic-geometry-v1,replay:sha256:182338bae81a3cb317f34cb5f2da65eb4668ec41ec43484cb52a2a7075b965bd,China,05 Abduction/ harassment
2021-06-30,CHINA,ANZSOC_06,prisoner-count,person,3,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_7,R11C7,sha256:5bf029bafe56c697a0e5184e89742a14e93639eff7ac6fe1afe3dd4e7da01bb1,prisoners-in-australia,sha256:0eabd6b1b4e545c25f5286f7d52e26ae4228cf5023633f185becb4c1d046da0e,tidy.table-family-acceptance/v1,sha256:54b21eb5d71deaa56e815453b11e86585d4a4e2bc7bc4cea308e1ee5e46e68e6,sha256:761743643ced326e919216927e9590685b03f4500eccc57213bb9ac21a5565d6,sha256:147b25cf2dbb6f39127334a0f851d049ceb0450f904a31f267dbb4dea3e2fe51,human-authored/deterministic-geometry-v1,replay:sha256:182338bae81a3cb317f34cb5f2da65eb4668ec41ec43484cb52a2a7075b965bd,China,06 Robbery/ extortion
2021-06-30,CHINA,ANZSOC_07,prisoner-count,person,4,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_7,R11C8,sha256:5bf029bafe56c697a0e5184e89742a14e93639eff7ac6fe1afe3dd4e7da01bb1,prisoners-in-australia,sha256:0eabd6b1b4e545c25f5286f7d52e26ae4228cf5023633f185becb4c1d046da0e,tidy.table-family-acceptance/v1,sha256:54b21eb5d71deaa56e815453b11e86585d4a4e2bc7bc4cea308e1ee5e46e68e6,sha256:761743643ced326e919216927e9590685b03f4500eccc57213bb9ac21a5565d6,sha256:147b25cf2dbb6f39127334a0f851d049ceb0450f904a31f267dbb4dea3e2fe51,human-authored/deterministic-geometry-v1,replay:sha256:182338bae81a3cb317f34cb5f2da65eb4668ec41ec43484cb52a2a7075b965bd,China,07 Unlawful entry with intent
2021-06-30,CHINA,ANZSOC_08,prisoner-count,person,8,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_7,R11C9,sha256:5bf029bafe56c697a0e5184e89742a14e93639eff7ac6fe1afe3dd4e7da01bb1,prisoners-in-australia,sha256:0eabd6b1b4e545c25f5286f7d52e26ae4228cf5023633f185becb4c1d046da0e,tidy.table-family-acceptance/v1,sha256:54b21eb5d71deaa56e815453b11e86585d4a4e2bc7bc4cea308e1ee5e46e68e6,sha256:761743643ced326e919216927e9590685b03f4500eccc57213bb9ac21a5565d6,sha256:147b25cf2dbb6f39127334a0f851d049ceb0450f904a31f267dbb4dea3e2fe51,human-authored/deterministic-geometry-v1,replay:sha256:182338bae81a3cb317f34cb5f2da65eb4668ec41ec43484cb52a2a7075b965bd,China,08 Theft
2021-06-30,CHINA,ANZSOC_09,prisoner-count,person,3,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_7,R11C10,sha256:5bf029bafe56c697a0e5184e89742a14e93639eff7ac6fe1afe3dd4e7da01bb1,prisoners-in-australia,sha256:0eabd6b1b4e545c25f5286f7d52e26ae4228cf5023633f185becb4c1d046da0e,tidy.table-family-acceptance/v1,sha256:54b21eb5d71deaa56e815453b11e86585d4a4e2bc7bc4cea308e1ee5e46e68e6,sha256:761743643ced326e919216927e9590685b03f4500eccc57213bb9ac21a5565d6,sha256:147b25cf2dbb6f39127334a0f851d049ceb0450f904a31f267dbb4dea3e2fe51,human-authored/deterministic-geometry-v1,replay:sha256:182338bae81a3cb317f34cb5f2da65eb4668ec41ec43484cb52a2a7075b965bd,China,09 Fraud/ deception
2021-06-30,CHINA,ANZSOC_10,prisoner-count,person,162,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_7,R11C11,sha256:5bf029bafe56c697a0e5184e89742a14e93639eff7ac6fe1afe3dd4e7da01bb1,prisoners-in-australia,sha256:0eabd6b1b4e545c25f5286f7d52e26ae4228cf5023633f185becb4c1d046da0e,tidy.table-family-acceptance/v1,sha256:54b21eb5d71deaa56e815453b11e86585d4a4e2bc7bc4cea308e1ee5e46e68e6,sha256:761743643ced326e919216927e9590685b03f4500eccc57213bb9ac21a5565d6,sha256:147b25cf2dbb6f39127334a0f851d049ceb0450f904a31f267dbb4dea3e2fe51,human-authored/deterministic-geometry-v1,replay:sha256:182338bae81a3cb317f34cb5f2da65eb4668ec41ec43484cb52a2a7075b965bd,China,10 Illicit drug offences
2021-06-30,CHINA,ANZSOC_11,prisoner-count,person,3,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_7,R11C12,sha256:5bf029bafe56c697a0e5184e89742a14e93639eff7ac6fe1afe3dd4e7da01bb1,prisoners-in-australia,sha256:0eabd6b1b4e545c25f5286f7d52e26ae4228cf5023633f185becb4c1d046da0e,tidy.table-family-acceptance/v1,sha256:54b21eb5d71deaa56e815453b11e86585d4a4e2bc7bc4cea308e1ee5e46e68e6,sha256:761743643ced326e919216927e9590685b03f4500eccc57213bb9ac21a5565d6,sha256:147b25cf2dbb6f39127334a0f851d049ceb0450f904a31f267dbb4dea3e2fe51,human-authored/deterministic-geometry-v1,replay:sha256:182338bae81a3cb317f34cb5f2da65eb4668ec41ec43484cb52a2a7075b965bd,China,11 Weapons/ explosives
2021-06-30,CHINA,ANZSOC_12,prisoner-count,person,0,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_7,R11C13,sha256:5bf029bafe56c697a0e5184e89742a14e93639eff7ac6fe1afe3dd4e7da01bb1,prisoners-in-australia,sha256:0eabd6b1b4e545c25f5286f7d52e26ae4228cf5023633f185becb4c1d046da0e,tidy.table-family-acceptance/v1,sha256:54b21eb5d71deaa56e815453b11e86585d4a4e2bc7bc4cea308e1ee5e46e68e6,sha256:761743643ced326e919216927e9590685b03f4500eccc57213bb9ac21a5565d6,sha256:147b25cf2dbb6f39127334a0f851d049ceb0450f904a31f267dbb4dea3e2fe51,human-authored/deterministic-geometry-v1,replay:sha256:182338bae81a3cb317f34cb5f2da65eb4668ec41ec43484cb52a2a7075b965bd,China,12 Property damage and environmental pollution
2021-06-30,CHINA,ANZSOC_13,prisoner-count,person,0,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_7,R11C14,sha256:5bf029bafe56c697a0e5184e89742a14e93639eff7ac6fe1afe3dd4e7da01bb1,prisoners-in-australia,sha256:0eabd6b1b4e545c25f5286f7d52e26ae4228cf5023633f185becb4c1d046da0e,tidy.table-family-acceptance/v1,sha256:54b21eb5d71deaa56e815453b11e86585d4a4e2bc7bc4cea308e1ee5e46e68e6,sha256:761743643ced326e919216927e9590685b03f4500eccc57213bb9ac21a5565d6,sha256:147b25cf2dbb6f39127334a0f851d049ceb0450f904a31f267dbb4dea3e2fe51,human-authored/deterministic-geometry-v1,replay:sha256:182338bae81a3cb317f34cb5f2da65eb4668ec41ec43484cb52a2a7075b965bd,China,13 Public order offences
