publication_vintage_date,reference_date,characteristic_category_id,observation_period_id,jurisdiction_id,indigenous_status_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_observation_period,raw_jurisdiction,raw_indigenous_status
2024-06-30,2013-06-30,CHAR_10_13_YEARS,2013-06-30,NT,TOTAL,defendant-count,person,74,observed,74,sha256:6df72ba46542120e1c948d07b90dcacfe7ebd2d828271e9ff844a6cdb4334e01,Table 86,R87C2,sha256:5258f9c9c93b26edeea91ae0b363b95769ebeea0e970df77dba0e5d5620bff63,criminal-courts-australia,sha256:60e9011148c29626bd00dabf635a87aa3346d299c3e5ee962eeb2a8b2a1a891d,tidy.table-family-acceptance/v1,sha256:ae81f521c3dd4d38fa379e88bc5a5e51627ebf51de55df96457d8527606c9ce3,sha256:cd6c040689bbe7322a6bcc6a561a6851a7f29ef6ebf9e687b77c9260f30e0b17,sha256:a6af85f7437ab114d545fa1c6d002c7c46da144c0848ea840636fb72a477c72d,human-authored/deterministic-map-v1,replay:sha256:700c98bc169bfb53a7f4863f18aba3546b0a6cb6a70f222f798b50d253468a0d,Aged 10 to 13(h),2012–13,Northern Territory(e)(f),Total
2024-06-30,2013-06-30,CHAR_10_13_YEARS,2013-06-30,QLD,INDIGENOUS,defendant-count,person,582,observed,582,sha256:6df72ba46542120e1c948d07b90dcacfe7ebd2d828271e9ff844a6cdb4334e01,Table 86,R24C2,sha256:5258f9c9c93b26edeea91ae0b363b95769ebeea0e970df77dba0e5d5620bff63,criminal-courts-australia,sha256:60e9011148c29626bd00dabf635a87aa3346d299c3e5ee962eeb2a8b2a1a891d,tidy.table-family-acceptance/v1,sha256:ae81f521c3dd4d38fa379e88bc5a5e51627ebf51de55df96457d8527606c9ce3,sha256:cd6c040689bbe7322a6bcc6a561a6851a7f29ef6ebf9e687b77c9260f30e0b17,sha256:a6af85f7437ab114d545fa1c6d002c7c46da144c0848ea840636fb72a477c72d,human-authored/deterministic-map-v1,replay:sha256:700c98bc169bfb53a7f4863f18aba3546b0a6cb6a70f222f798b50d253468a0d,Aged 10 to 13,2012–13,Queensland,Aboriginal and Torres Strait Islander
2024-06-30,2013-06-30,CHAR_10_13_YEARS,2013-06-30,QLD,NON_INDIGENOUS,defendant-count,person,356,observed,356,sha256:6df72ba46542120e1c948d07b90dcacfe7ebd2d828271e9ff844a6cdb4334e01,Table 86,R28C2,sha256:5258f9c9c93b26edeea91ae0b363b95769ebeea0e970df77dba0e5d5620bff63,criminal-courts-australia,sha256:60e9011148c29626bd00dabf635a87aa3346d299c3e5ee962eeb2a8b2a1a891d,tidy.table-family-acceptance/v1,sha256:ae81f521c3dd4d38fa379e88bc5a5e51627ebf51de55df96457d8527606c9ce3,sha256:cd6c040689bbe7322a6bcc6a561a6851a7f29ef6ebf9e687b77c9260f30e0b17,sha256:a6af85f7437ab114d545fa1c6d002c7c46da144c0848ea840636fb72a477c72d,human-authored/deterministic-map-v1,replay:sha256:700c98bc169bfb53a7f4863f18aba3546b0a6cb6a70f222f798b50d253468a0d,Aged 10 to 13,2012–13,Queensland,Non-Indigenous
2024-06-30,2013-06-30,CHAR_10_13_YEARS,2013-06-30,QLD,NOT_STATED,defendant-count,person,17,observed,17,sha256:6df72ba46542120e1c948d07b90dcacfe7ebd2d828271e9ff844a6cdb4334e01,Table 86,R32C2,sha256:5258f9c9c93b26edeea91ae0b363b95769ebeea0e970df77dba0e5d5620bff63,criminal-courts-australia,sha256:60e9011148c29626bd00dabf635a87aa3346d299c3e5ee962eeb2a8b2a1a891d,tidy.table-family-acceptance/v1,sha256:ae81f521c3dd4d38fa379e88bc5a5e51627ebf51de55df96457d8527606c9ce3,sha256:cd6c040689bbe7322a6bcc6a561a6851a7f29ef6ebf9e687b77c9260f30e0b17,sha256:a6af85f7437ab114d545fa1c6d002c7c46da144c0848ea840636fb72a477c72d,human-authored/deterministic-map-v1,replay:sha256:700c98bc169bfb53a7f4863f18aba3546b0a6cb6a70f222f798b50d253468a0d,Aged 10 to 13,2012–13,Queensland,Not stated
2024-06-30,2013-06-30,CHAR_10_13_YEARS,2013-06-30,QLD,TOTAL,defendant-count,person,951,observed,951,sha256:6df72ba46542120e1c948d07b90dcacfe7ebd2d828271e9ff844a6cdb4334e01,Table 86,R36C2,sha256:5258f9c9c93b26edeea91ae0b363b95769ebeea0e970df77dba0e5d5620bff63,criminal-courts-australia,sha256:60e9011148c29626bd00dabf635a87aa3346d299c3e5ee962eeb2a8b2a1a891d,tidy.table-family-acceptance/v1,sha256:ae81f521c3dd4d38fa379e88bc5a5e51627ebf51de55df96457d8527606c9ce3,sha256:cd6c040689bbe7322a6bcc6a561a6851a7f29ef6ebf9e687b77c9260f30e0b17,sha256:a6af85f7437ab114d545fa1c6d002c7c46da144c0848ea840636fb72a477c72d,human-authored/deterministic-map-v1,replay:sha256:700c98bc169bfb53a7f4863f18aba3546b0a6cb6a70f222f798b50d253468a0d,Aged 10 to 13,2012–13,Queensland,Total
2024-06-30,2013-06-30,CHAR_10_13_YEARS,2013-06-30,SA,INDIGENOUS,defendant-count,person,96,observed,96,sha256:6df72ba46542120e1c948d07b90dcacfe7ebd2d828271e9ff844a6cdb4334e01,Table 86,R41C2,sha256:5258f9c9c93b26edeea91ae0b363b95769ebeea0e970df77dba0e5d5620bff63,criminal-courts-australia,sha256:60e9011148c29626bd00dabf635a87aa3346d299c3e5ee962eeb2a8b2a1a891d,tidy.table-family-acceptance/v1,sha256:ae81f521c3dd4d38fa379e88bc5a5e51627ebf51de55df96457d8527606c9ce3,sha256:cd6c040689bbe7322a6bcc6a561a6851a7f29ef6ebf9e687b77c9260f30e0b17,sha256:a6af85f7437ab114d545fa1c6d002c7c46da144c0848ea840636fb72a477c72d,human-authored/deterministic-map-v1,replay:sha256:700c98bc169bfb53a7f4863f18aba3546b0a6cb6a70f222f798b50d253468a0d,Aged 10 to 13,2012–13,South Australia(b)(c),Aboriginal and Torres Strait Islander
2024-06-30,2013-06-30,CHAR_10_13_YEARS,2013-06-30,SA,NON_INDIGENOUS,defendant-count,person,74,observed,74,sha256:6df72ba46542120e1c948d07b90dcacfe7ebd2d828271e9ff844a6cdb4334e01,Table 86,R45C2,sha256:5258f9c9c93b26edeea91ae0b363b95769ebeea0e970df77dba0e5d5620bff63,criminal-courts-australia,sha256:60e9011148c29626bd00dabf635a87aa3346d299c3e5ee962eeb2a8b2a1a891d,tidy.table-family-acceptance/v1,sha256:ae81f521c3dd4d38fa379e88bc5a5e51627ebf51de55df96457d8527606c9ce3,sha256:cd6c040689bbe7322a6bcc6a561a6851a7f29ef6ebf9e687b77c9260f30e0b17,sha256:a6af85f7437ab114d545fa1c6d002c7c46da144c0848ea840636fb72a477c72d,human-authored/deterministic-map-v1,replay:sha256:700c98bc169bfb53a7f4863f18aba3546b0a6cb6a70f222f798b50d253468a0d,Aged 10 to 13,2012–13,South Australia(b)(c),Non-Indigenous
2024-06-30,2013-06-30,CHAR_10_13_YEARS,2013-06-30,SA,NOT_STATED,defendant-count,person,12,observed,12,sha256:6df72ba46542120e1c948d07b90dcacfe7ebd2d828271e9ff844a6cdb4334e01,Table 86,R49C2,sha256:5258f9c9c93b26edeea91ae0b363b95769ebeea0e970df77dba0e5d5620bff63,criminal-courts-australia,sha256:60e9011148c29626bd00dabf635a87aa3346d299c3e5ee962eeb2a8b2a1a891d,tidy.table-family-acceptance/v1,sha256:ae81f521c3dd4d38fa379e88bc5a5e51627ebf51de55df96457d8527606c9ce3,sha256:cd6c040689bbe7322a6bcc6a561a6851a7f29ef6ebf9e687b77c9260f30e0b17,sha256:a6af85f7437ab114d545fa1c6d002c7c46da144c0848ea840636fb72a477c72d,human-authored/deterministic-map-v1,replay:sha256:700c98bc169bfb53a7f4863f18aba3546b0a6cb6a70f222f798b50d253468a0d,Aged 10 to 13,2012–13,South Australia(b)(c),Not stated
2024-06-30,2013-06-30,CHAR_10_13_YEARS,2013-06-30,SA,TOTAL,defendant-count,person,174,observed,174,sha256:6df72ba46542120e1c948d07b90dcacfe7ebd2d828271e9ff844a6cdb4334e01,Table 86,R53C2,sha256:5258f9c9c93b26edeea91ae0b363b95769ebeea0e970df77dba0e5d5620bff63,criminal-courts-australia,sha256:60e9011148c29626bd00dabf635a87aa3346d299c3e5ee962eeb2a8b2a1a891d,tidy.table-family-acceptance/v1,sha256:ae81f521c3dd4d38fa379e88bc5a5e51627ebf51de55df96457d8527606c9ce3,sha256:cd6c040689bbe7322a6bcc6a561a6851a7f29ef6ebf9e687b77c9260f30e0b17,sha256:a6af85f7437ab114d545fa1c6d002c7c46da144c0848ea840636fb72a477c72d,human-authored/deterministic-map-v1,replay:sha256:700c98bc169bfb53a7f4863f18aba3546b0a6cb6a70f222f798b50d253468a0d,Aged 10 to 13,2012–13,South Australia(b)(c),Total
2024-06-30,2013-06-30,CHAR_10_13_YEARS,2013-06-30,TAS,INDIGENOUS,defendant-count,person,,not_available,na,sha256:6df72ba46542120e1c948d07b90dcacfe7ebd2d828271e9ff844a6cdb4334e01,Table 86,R58C2,sha256:5258f9c9c93b26edeea91ae0b363b95769ebeea0e970df77dba0e5d5620bff63,criminal-courts-australia,sha256:60e9011148c29626bd00dabf635a87aa3346d299c3e5ee962eeb2a8b2a1a891d,tidy.table-family-acceptance/v1,sha256:ae81f521c3dd4d38fa379e88bc5a5e51627ebf51de55df96457d8527606c9ce3,sha256:cd6c040689bbe7322a6bcc6a561a6851a7f29ef6ebf9e687b77c9260f30e0b17,sha256:a6af85f7437ab114d545fa1c6d002c7c46da144c0848ea840636fb72a477c72d,human-authored/deterministic-map-v1,replay:sha256:700c98bc169bfb53a7f4863f18aba3546b0a6cb6a70f222f798b50d253468a0d,Aged 10 to 13,2012–13,Tasmania(d),Aboriginal and Torres Strait Islander
