reference_date,observation_period_id,most_serious_offence_or_charge_id,statistic_basis_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_observation_period,raw_most_serious_offence_or_charge,raw_statistic_basis
2021-06-30,2011_72d1b5da,06_ROBBERY_EXTORTION_4b18f837,NUMBER_a081e07b,published-value,published-unit,2797,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_3,R12C2,sha256:51860c312c97e48f25b57ae0c31c30b955b2f2b935bf196a387c9a8dd14830cd,prisoners-in-australia,sha256:d40e7dfc17fd5bb1c2b80c5f2ca31f0aecb859ab2e599b3702df8ce9e2af3761,tidy.table-family-acceptance/v2,sha256:254a5e4a1dc3bb73d0f1902b616ef7f48f541e15d8f35a2180fdf9524ff8e61c,sha256:bfac9baf110bc9f0d0642fd7dcf0ec037e9df4f7a2d55f36e69bb48d6d8e37ef,sha256:92f60af4883d0136b37864fea20964fd5f7b0a78ee92e5320cf8c45177d2c6bd,human-authored/deterministic-geometry-v1,replay:sha256:b9a2c781f46f8fa919a3d5a375b528fce06232dd5f9384e98a3c78c2e84df6ec,2011,06 Robbery/extortion,NUMBER
2021-06-30,2011_72d1b5da,06_ROBBERY_EXTORTION_4b18f837,PROPORTION_13745b70,published-value,published-unit,9.6,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_3,R30C2,sha256:51860c312c97e48f25b57ae0c31c30b955b2f2b935bf196a387c9a8dd14830cd,prisoners-in-australia,sha256:d40e7dfc17fd5bb1c2b80c5f2ca31f0aecb859ab2e599b3702df8ce9e2af3761,tidy.table-family-acceptance/v2,sha256:254a5e4a1dc3bb73d0f1902b616ef7f48f541e15d8f35a2180fdf9524ff8e61c,sha256:bfac9baf110bc9f0d0642fd7dcf0ec037e9df4f7a2d55f36e69bb48d6d8e37ef,sha256:92f60af4883d0136b37864fea20964fd5f7b0a78ee92e5320cf8c45177d2c6bd,human-authored/deterministic-geometry-v1,replay:sha256:b9a2c781f46f8fa919a3d5a375b528fce06232dd5f9384e98a3c78c2e84df6ec,2011,06 Robbery/extortion,PROPORTION (%)
2021-06-30,2011_72d1b5da,07_UNLAWFUL_ENTRY_WITH_INTENT_1d22d901,NUMBER_a081e07b,published-value,published-unit,3244,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_3,R13C2,sha256:51860c312c97e48f25b57ae0c31c30b955b2f2b935bf196a387c9a8dd14830cd,prisoners-in-australia,sha256:d40e7dfc17fd5bb1c2b80c5f2ca31f0aecb859ab2e599b3702df8ce9e2af3761,tidy.table-family-acceptance/v2,sha256:254a5e4a1dc3bb73d0f1902b616ef7f48f541e15d8f35a2180fdf9524ff8e61c,sha256:bfac9baf110bc9f0d0642fd7dcf0ec037e9df4f7a2d55f36e69bb48d6d8e37ef,sha256:92f60af4883d0136b37864fea20964fd5f7b0a78ee92e5320cf8c45177d2c6bd,human-authored/deterministic-geometry-v1,replay:sha256:b9a2c781f46f8fa919a3d5a375b528fce06232dd5f9384e98a3c78c2e84df6ec,2011,07 Unlawful entry with intent,NUMBER
2021-06-30,2011_72d1b5da,07_UNLAWFUL_ENTRY_WITH_INTENT_1d22d901,PROPORTION_13745b70,published-value,published-unit,11.1,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_3,R31C2,sha256:51860c312c97e48f25b57ae0c31c30b955b2f2b935bf196a387c9a8dd14830cd,prisoners-in-australia,sha256:d40e7dfc17fd5bb1c2b80c5f2ca31f0aecb859ab2e599b3702df8ce9e2af3761,tidy.table-family-acceptance/v2,sha256:254a5e4a1dc3bb73d0f1902b616ef7f48f541e15d8f35a2180fdf9524ff8e61c,sha256:bfac9baf110bc9f0d0642fd7dcf0ec037e9df4f7a2d55f36e69bb48d6d8e37ef,sha256:92f60af4883d0136b37864fea20964fd5f7b0a78ee92e5320cf8c45177d2c6bd,human-authored/deterministic-geometry-v1,replay:sha256:b9a2c781f46f8fa919a3d5a375b528fce06232dd5f9384e98a3c78c2e84df6ec,2011,07 Unlawful entry with intent,PROPORTION (%)
2021-06-30,2011_72d1b5da,08_THEFT_eba67dd5,NUMBER_a081e07b,published-value,published-unit,1120,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_3,R14C2,sha256:51860c312c97e48f25b57ae0c31c30b955b2f2b935bf196a387c9a8dd14830cd,prisoners-in-australia,sha256:d40e7dfc17fd5bb1c2b80c5f2ca31f0aecb859ab2e599b3702df8ce9e2af3761,tidy.table-family-acceptance/v2,sha256:254a5e4a1dc3bb73d0f1902b616ef7f48f541e15d8f35a2180fdf9524ff8e61c,sha256:bfac9baf110bc9f0d0642fd7dcf0ec037e9df4f7a2d55f36e69bb48d6d8e37ef,sha256:92f60af4883d0136b37864fea20964fd5f7b0a78ee92e5320cf8c45177d2c6bd,human-authored/deterministic-geometry-v1,replay:sha256:b9a2c781f46f8fa919a3d5a375b528fce06232dd5f9384e98a3c78c2e84df6ec,2011,08 Theft,NUMBER
2021-06-30,2011_72d1b5da,08_THEFT_eba67dd5,PROPORTION_13745b70,published-value,published-unit,3.8,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_3,R32C2,sha256:51860c312c97e48f25b57ae0c31c30b955b2f2b935bf196a387c9a8dd14830cd,prisoners-in-australia,sha256:d40e7dfc17fd5bb1c2b80c5f2ca31f0aecb859ab2e599b3702df8ce9e2af3761,tidy.table-family-acceptance/v2,sha256:254a5e4a1dc3bb73d0f1902b616ef7f48f541e15d8f35a2180fdf9524ff8e61c,sha256:bfac9baf110bc9f0d0642fd7dcf0ec037e9df4f7a2d55f36e69bb48d6d8e37ef,sha256:92f60af4883d0136b37864fea20964fd5f7b0a78ee92e5320cf8c45177d2c6bd,human-authored/deterministic-geometry-v1,replay:sha256:b9a2c781f46f8fa919a3d5a375b528fce06232dd5f9384e98a3c78c2e84df6ec,2011,08 Theft,PROPORTION (%)
2021-06-30,2011_72d1b5da,09_FRAUD_DECEPTION_82cf4169,NUMBER_a081e07b,published-value,published-unit,747,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_3,R15C2,sha256:51860c312c97e48f25b57ae0c31c30b955b2f2b935bf196a387c9a8dd14830cd,prisoners-in-australia,sha256:d40e7dfc17fd5bb1c2b80c5f2ca31f0aecb859ab2e599b3702df8ce9e2af3761,tidy.table-family-acceptance/v2,sha256:254a5e4a1dc3bb73d0f1902b616ef7f48f541e15d8f35a2180fdf9524ff8e61c,sha256:bfac9baf110bc9f0d0642fd7dcf0ec037e9df4f7a2d55f36e69bb48d6d8e37ef,sha256:92f60af4883d0136b37864fea20964fd5f7b0a78ee92e5320cf8c45177d2c6bd,human-authored/deterministic-geometry-v1,replay:sha256:b9a2c781f46f8fa919a3d5a375b528fce06232dd5f9384e98a3c78c2e84df6ec,2011,09 Fraud/deception,NUMBER
2021-06-30,2011_72d1b5da,09_FRAUD_DECEPTION_82cf4169,PROPORTION_13745b70,published-value,published-unit,2.6,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_3,R33C2,sha256:51860c312c97e48f25b57ae0c31c30b955b2f2b935bf196a387c9a8dd14830cd,prisoners-in-australia,sha256:d40e7dfc17fd5bb1c2b80c5f2ca31f0aecb859ab2e599b3702df8ce9e2af3761,tidy.table-family-acceptance/v2,sha256:254a5e4a1dc3bb73d0f1902b616ef7f48f541e15d8f35a2180fdf9524ff8e61c,sha256:bfac9baf110bc9f0d0642fd7dcf0ec037e9df4f7a2d55f36e69bb48d6d8e37ef,sha256:92f60af4883d0136b37864fea20964fd5f7b0a78ee92e5320cf8c45177d2c6bd,human-authored/deterministic-geometry-v1,replay:sha256:b9a2c781f46f8fa919a3d5a375b528fce06232dd5f9384e98a3c78c2e84df6ec,2011,09 Fraud/deception,PROPORTION (%)
2021-06-30,2011_72d1b5da,10_ILLICIT_DRUG_OFFENCES_5c8ebb12,NUMBER_a081e07b,published-value,published-unit,3294,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_3,R16C2,sha256:51860c312c97e48f25b57ae0c31c30b955b2f2b935bf196a387c9a8dd14830cd,prisoners-in-australia,sha256:d40e7dfc17fd5bb1c2b80c5f2ca31f0aecb859ab2e599b3702df8ce9e2af3761,tidy.table-family-acceptance/v2,sha256:254a5e4a1dc3bb73d0f1902b616ef7f48f541e15d8f35a2180fdf9524ff8e61c,sha256:bfac9baf110bc9f0d0642fd7dcf0ec037e9df4f7a2d55f36e69bb48d6d8e37ef,sha256:92f60af4883d0136b37864fea20964fd5f7b0a78ee92e5320cf8c45177d2c6bd,human-authored/deterministic-geometry-v1,replay:sha256:b9a2c781f46f8fa919a3d5a375b528fce06232dd5f9384e98a3c78c2e84df6ec,2011,10 Illicit drug offences,NUMBER
2021-06-30,2011_72d1b5da,10_ILLICIT_DRUG_OFFENCES_5c8ebb12,PROPORTION_13745b70,published-value,published-unit,11.3,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_3,R34C2,sha256:51860c312c97e48f25b57ae0c31c30b955b2f2b935bf196a387c9a8dd14830cd,prisoners-in-australia,sha256:d40e7dfc17fd5bb1c2b80c5f2ca31f0aecb859ab2e599b3702df8ce9e2af3761,tidy.table-family-acceptance/v2,sha256:254a5e4a1dc3bb73d0f1902b616ef7f48f541e15d8f35a2180fdf9524ff8e61c,sha256:bfac9baf110bc9f0d0642fd7dcf0ec037e9df4f7a2d55f36e69bb48d6d8e37ef,sha256:92f60af4883d0136b37864fea20964fd5f7b0a78ee92e5320cf8c45177d2c6bd,human-authored/deterministic-geometry-v1,replay:sha256:b9a2c781f46f8fa919a3d5a375b528fce06232dd5f9384e98a3c78c2e84df6ec,2011,10 Illicit drug offences,PROPORTION (%)
