reference_date,sex_id,age_group_id,statistic_basis_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_sex,raw_age_group,raw_statistic_basis
2021-06-30,FEMALE,AGE_30_34,NUMBER,prisoner-count,person,659,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_4,R11C5,sha256:a4ed5e27e729e06de90147afae6b681e04403fddb34d5f45d562467e47d5d324,prisoners-in-australia,sha256:b2b2be883a0b4b47f62409ae4d93454ba15c528c22fd8aede6c18b0735a5c830,tidy.table-family-acceptance/v1,sha256:1b293c89ad3e0c39f0179d05895d42663270b80c7235cff2ba33280e94257d29,sha256:b2c096cac5dc301af278104ce1c8214caefecfa28f2296c882dae84f20303d81,sha256:109259366160c64698a44c5b70fac950083327a3d724f3aa8280f322758123a1,human-authored/deterministic-geometry-v1,replay:sha256:876aab2dcb65ed81b25f508234c3f207a75822cf66944cfd756568965465298c,Females,30–34 years,no.
2021-06-30,FEMALE,AGE_30_34,PROPORTION,prisoner-proportion,percent,20,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_4,R11C6,sha256:a4ed5e27e729e06de90147afae6b681e04403fddb34d5f45d562467e47d5d324,prisoners-in-australia,sha256:b2b2be883a0b4b47f62409ae4d93454ba15c528c22fd8aede6c18b0735a5c830,tidy.table-family-acceptance/v1,sha256:1b293c89ad3e0c39f0179d05895d42663270b80c7235cff2ba33280e94257d29,sha256:b2c096cac5dc301af278104ce1c8214caefecfa28f2296c882dae84f20303d81,sha256:109259366160c64698a44c5b70fac950083327a3d724f3aa8280f322758123a1,human-authored/deterministic-geometry-v1,replay:sha256:876aab2dcb65ed81b25f508234c3f207a75822cf66944cfd756568965465298c,Females,30–34 years,%
2021-06-30,FEMALE,AGE_30_34,RATE,imprisonment-rate,persons-per-100000-adult-population,67.8,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_4,R11C7,sha256:a4ed5e27e729e06de90147afae6b681e04403fddb34d5f45d562467e47d5d324,prisoners-in-australia,sha256:b2b2be883a0b4b47f62409ae4d93454ba15c528c22fd8aede6c18b0735a5c830,tidy.table-family-acceptance/v1,sha256:1b293c89ad3e0c39f0179d05895d42663270b80c7235cff2ba33280e94257d29,sha256:b2c096cac5dc301af278104ce1c8214caefecfa28f2296c882dae84f20303d81,sha256:109259366160c64698a44c5b70fac950083327a3d724f3aa8280f322758123a1,human-authored/deterministic-geometry-v1,replay:sha256:876aab2dcb65ed81b25f508234c3f207a75822cf66944cfd756568965465298c,Females,30–34 years,Imprisonment rate
2021-06-30,FEMALE,AGE_35_39,NUMBER,prisoner-count,person,603,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_4,R12C5,sha256:a4ed5e27e729e06de90147afae6b681e04403fddb34d5f45d562467e47d5d324,prisoners-in-australia,sha256:b2b2be883a0b4b47f62409ae4d93454ba15c528c22fd8aede6c18b0735a5c830,tidy.table-family-acceptance/v1,sha256:1b293c89ad3e0c39f0179d05895d42663270b80c7235cff2ba33280e94257d29,sha256:b2c096cac5dc301af278104ce1c8214caefecfa28f2296c882dae84f20303d81,sha256:109259366160c64698a44c5b70fac950083327a3d724f3aa8280f322758123a1,human-authored/deterministic-geometry-v1,replay:sha256:876aab2dcb65ed81b25f508234c3f207a75822cf66944cfd756568965465298c,Females,35–39 years,no.
2021-06-30,FEMALE,AGE_35_39,PROPORTION,prisoner-proportion,percent,18.3,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_4,R12C6,sha256:a4ed5e27e729e06de90147afae6b681e04403fddb34d5f45d562467e47d5d324,prisoners-in-australia,sha256:b2b2be883a0b4b47f62409ae4d93454ba15c528c22fd8aede6c18b0735a5c830,tidy.table-family-acceptance/v1,sha256:1b293c89ad3e0c39f0179d05895d42663270b80c7235cff2ba33280e94257d29,sha256:b2c096cac5dc301af278104ce1c8214caefecfa28f2296c882dae84f20303d81,sha256:109259366160c64698a44c5b70fac950083327a3d724f3aa8280f322758123a1,human-authored/deterministic-geometry-v1,replay:sha256:876aab2dcb65ed81b25f508234c3f207a75822cf66944cfd756568965465298c,Females,35–39 years,%
2021-06-30,FEMALE,AGE_35_39,RATE,imprisonment-rate,persons-per-100000-adult-population,64.3,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_4,R12C7,sha256:a4ed5e27e729e06de90147afae6b681e04403fddb34d5f45d562467e47d5d324,prisoners-in-australia,sha256:b2b2be883a0b4b47f62409ae4d93454ba15c528c22fd8aede6c18b0735a5c830,tidy.table-family-acceptance/v1,sha256:1b293c89ad3e0c39f0179d05895d42663270b80c7235cff2ba33280e94257d29,sha256:b2c096cac5dc301af278104ce1c8214caefecfa28f2296c882dae84f20303d81,sha256:109259366160c64698a44c5b70fac950083327a3d724f3aa8280f322758123a1,human-authored/deterministic-geometry-v1,replay:sha256:876aab2dcb65ed81b25f508234c3f207a75822cf66944cfd756568965465298c,Females,35–39 years,Imprisonment rate
2021-06-30,FEMALE,AGE_40_44,NUMBER,prisoner-count,person,428,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_4,R13C5,sha256:a4ed5e27e729e06de90147afae6b681e04403fddb34d5f45d562467e47d5d324,prisoners-in-australia,sha256:b2b2be883a0b4b47f62409ae4d93454ba15c528c22fd8aede6c18b0735a5c830,tidy.table-family-acceptance/v1,sha256:1b293c89ad3e0c39f0179d05895d42663270b80c7235cff2ba33280e94257d29,sha256:b2c096cac5dc301af278104ce1c8214caefecfa28f2296c882dae84f20303d81,sha256:109259366160c64698a44c5b70fac950083327a3d724f3aa8280f322758123a1,human-authored/deterministic-geometry-v1,replay:sha256:876aab2dcb65ed81b25f508234c3f207a75822cf66944cfd756568965465298c,Females,40–44 years,no.
2021-06-30,FEMALE,AGE_40_44,PROPORTION,prisoner-proportion,percent,13,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_4,R13C6,sha256:a4ed5e27e729e06de90147afae6b681e04403fddb34d5f45d562467e47d5d324,prisoners-in-australia,sha256:b2b2be883a0b4b47f62409ae4d93454ba15c528c22fd8aede6c18b0735a5c830,tidy.table-family-acceptance/v1,sha256:1b293c89ad3e0c39f0179d05895d42663270b80c7235cff2ba33280e94257d29,sha256:b2c096cac5dc301af278104ce1c8214caefecfa28f2296c882dae84f20303d81,sha256:109259366160c64698a44c5b70fac950083327a3d724f3aa8280f322758123a1,human-authored/deterministic-geometry-v1,replay:sha256:876aab2dcb65ed81b25f508234c3f207a75822cf66944cfd756568965465298c,Females,40–44 years,%
2021-06-30,FEMALE,AGE_40_44,RATE,imprisonment-rate,persons-per-100000-adult-population,51.8,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_4,R13C7,sha256:a4ed5e27e729e06de90147afae6b681e04403fddb34d5f45d562467e47d5d324,prisoners-in-australia,sha256:b2b2be883a0b4b47f62409ae4d93454ba15c528c22fd8aede6c18b0735a5c830,tidy.table-family-acceptance/v1,sha256:1b293c89ad3e0c39f0179d05895d42663270b80c7235cff2ba33280e94257d29,sha256:b2c096cac5dc301af278104ce1c8214caefecfa28f2296c882dae84f20303d81,sha256:109259366160c64698a44c5b70fac950083327a3d724f3aa8280f322758123a1,human-authored/deterministic-geometry-v1,replay:sha256:876aab2dcb65ed81b25f508234c3f207a75822cf66944cfd756568965465298c,Females,40–44 years,Imprisonment rate
2021-06-30,FEMALE,AGE_45_49,NUMBER,prisoner-count,person,289,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_4,R14C5,sha256:a4ed5e27e729e06de90147afae6b681e04403fddb34d5f45d562467e47d5d324,prisoners-in-australia,sha256:b2b2be883a0b4b47f62409ae4d93454ba15c528c22fd8aede6c18b0735a5c830,tidy.table-family-acceptance/v1,sha256:1b293c89ad3e0c39f0179d05895d42663270b80c7235cff2ba33280e94257d29,sha256:b2c096cac5dc301af278104ce1c8214caefecfa28f2296c882dae84f20303d81,sha256:109259366160c64698a44c5b70fac950083327a3d724f3aa8280f322758123a1,human-authored/deterministic-geometry-v1,replay:sha256:876aab2dcb65ed81b25f508234c3f207a75822cf66944cfd756568965465298c,Females,45–49 years,no.
