publication_vintage_date,reference_date,sentence_statistic_id,aggregate_sentence_length_id,jurisdiction_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_sentence_statistic,raw_aggregate_sentence_length,raw_jurisdiction
2023-06-30,2023-06-30,SENTENCE_FULLY_SUSPENDED_JUVENILE_SENTENCE,LENGTH_MEAN,AUS,sentence-mean-duration,month,3.5,observed,3.5,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 80 ,R13C11,sha256:1467a5a0b77b6abf2d45966dc187f78017181ac1a56a29fd330b8db8f73352a7,criminal-courts-australia,sha256:7064cb4f60d8a8bce28ce5b00bc7609338c78874e23577207bc550cdee89a646,tidy.table-family-acceptance/v1,sha256:c1b77755a72baa46632f160ed953b6a076c32ca3fb86e9a49e4b7fc4088ed510,sha256:7812671fbdfe3c81855dfad7dfdbe4c43aaf035b7b18e717371ec0a0e38359a6,sha256:21ac17e69b62d61e0a615d68140ea66af22a4216c50722d9e6300be08070d443,human-authored/deterministic-map-v1,replay:sha256:c76dc4710464635c29ccf86f7caf0e6cbd690e4119ba8ee02cf2f3c14cfc7bc4,Fully suspended juvenile sentence,Mean (months),Aust.
2023-06-30,2023-06-30,SENTENCE_FULLY_SUSPENDED_JUVENILE_SENTENCE,LENGTH_MEAN,NSW,sentence-mean-duration,month,9.6,observed,9.6,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 80 ,R13C3,sha256:1467a5a0b77b6abf2d45966dc187f78017181ac1a56a29fd330b8db8f73352a7,criminal-courts-australia,sha256:7064cb4f60d8a8bce28ce5b00bc7609338c78874e23577207bc550cdee89a646,tidy.table-family-acceptance/v1,sha256:c1b77755a72baa46632f160ed953b6a076c32ca3fb86e9a49e4b7fc4088ed510,sha256:7812671fbdfe3c81855dfad7dfdbe4c43aaf035b7b18e717371ec0a0e38359a6,sha256:21ac17e69b62d61e0a615d68140ea66af22a4216c50722d9e6300be08070d443,human-authored/deterministic-map-v1,replay:sha256:c76dc4710464635c29ccf86f7caf0e6cbd690e4119ba8ee02cf2f3c14cfc7bc4,Fully suspended juvenile sentence,Mean (months),NSW
2023-06-30,2023-06-30,SENTENCE_FULLY_SUSPENDED_JUVENILE_SENTENCE,LENGTH_MEAN,NT,sentence-mean-duration,month,5.9,observed,5.9,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 80 ,R13C9,sha256:1467a5a0b77b6abf2d45966dc187f78017181ac1a56a29fd330b8db8f73352a7,criminal-courts-australia,sha256:7064cb4f60d8a8bce28ce5b00bc7609338c78874e23577207bc550cdee89a646,tidy.table-family-acceptance/v1,sha256:c1b77755a72baa46632f160ed953b6a076c32ca3fb86e9a49e4b7fc4088ed510,sha256:7812671fbdfe3c81855dfad7dfdbe4c43aaf035b7b18e717371ec0a0e38359a6,sha256:21ac17e69b62d61e0a615d68140ea66af22a4216c50722d9e6300be08070d443,human-authored/deterministic-map-v1,replay:sha256:c76dc4710464635c29ccf86f7caf0e6cbd690e4119ba8ee02cf2f3c14cfc7bc4,Fully suspended juvenile sentence,Mean (months),NT
2023-06-30,2023-06-30,SENTENCE_FULLY_SUSPENDED_JUVENILE_SENTENCE,LENGTH_MEAN,QLD,sentence-mean-duration,month,3.1,observed,3.1,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 80 ,R13C5,sha256:1467a5a0b77b6abf2d45966dc187f78017181ac1a56a29fd330b8db8f73352a7,criminal-courts-australia,sha256:7064cb4f60d8a8bce28ce5b00bc7609338c78874e23577207bc550cdee89a646,tidy.table-family-acceptance/v1,sha256:c1b77755a72baa46632f160ed953b6a076c32ca3fb86e9a49e4b7fc4088ed510,sha256:7812671fbdfe3c81855dfad7dfdbe4c43aaf035b7b18e717371ec0a0e38359a6,sha256:21ac17e69b62d61e0a615d68140ea66af22a4216c50722d9e6300be08070d443,human-authored/deterministic-map-v1,replay:sha256:c76dc4710464635c29ccf86f7caf0e6cbd690e4119ba8ee02cf2f3c14cfc7bc4,Fully suspended juvenile sentence,Mean (months),Qld
2023-06-30,2023-06-30,SENTENCE_FULLY_SUSPENDED_JUVENILE_SENTENCE,LENGTH_MEAN,SA,sentence-mean-duration,month,4.1,observed,4.1,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 80 ,R13C6,sha256:1467a5a0b77b6abf2d45966dc187f78017181ac1a56a29fd330b8db8f73352a7,criminal-courts-australia,sha256:7064cb4f60d8a8bce28ce5b00bc7609338c78874e23577207bc550cdee89a646,tidy.table-family-acceptance/v1,sha256:c1b77755a72baa46632f160ed953b6a076c32ca3fb86e9a49e4b7fc4088ed510,sha256:7812671fbdfe3c81855dfad7dfdbe4c43aaf035b7b18e717371ec0a0e38359a6,sha256:21ac17e69b62d61e0a615d68140ea66af22a4216c50722d9e6300be08070d443,human-authored/deterministic-map-v1,replay:sha256:c76dc4710464635c29ccf86f7caf0e6cbd690e4119ba8ee02cf2f3c14cfc7bc4,Fully suspended juvenile sentence,Mean (months),SA
2023-06-30,2023-06-30,SENTENCE_FULLY_SUSPENDED_JUVENILE_SENTENCE,LENGTH_MEAN,TAS,sentence-mean-duration,month,2.8,observed,2.8,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 80 ,R13C8,sha256:1467a5a0b77b6abf2d45966dc187f78017181ac1a56a29fd330b8db8f73352a7,criminal-courts-australia,sha256:7064cb4f60d8a8bce28ce5b00bc7609338c78874e23577207bc550cdee89a646,tidy.table-family-acceptance/v1,sha256:c1b77755a72baa46632f160ed953b6a076c32ca3fb86e9a49e4b7fc4088ed510,sha256:7812671fbdfe3c81855dfad7dfdbe4c43aaf035b7b18e717371ec0a0e38359a6,sha256:21ac17e69b62d61e0a615d68140ea66af22a4216c50722d9e6300be08070d443,human-authored/deterministic-map-v1,replay:sha256:c76dc4710464635c29ccf86f7caf0e6cbd690e4119ba8ee02cf2f3c14cfc7bc4,Fully suspended juvenile sentence,Mean (months),Tas.
2023-06-30,2023-06-30,SENTENCE_FULLY_SUSPENDED_JUVENILE_SENTENCE,LENGTH_MEAN,VIC,sentence-mean-duration,month,0,observed,0,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 80 ,R13C4,sha256:1467a5a0b77b6abf2d45966dc187f78017181ac1a56a29fd330b8db8f73352a7,criminal-courts-australia,sha256:7064cb4f60d8a8bce28ce5b00bc7609338c78874e23577207bc550cdee89a646,tidy.table-family-acceptance/v1,sha256:c1b77755a72baa46632f160ed953b6a076c32ca3fb86e9a49e4b7fc4088ed510,sha256:7812671fbdfe3c81855dfad7dfdbe4c43aaf035b7b18e717371ec0a0e38359a6,sha256:21ac17e69b62d61e0a615d68140ea66af22a4216c50722d9e6300be08070d443,human-authored/deterministic-map-v1,replay:sha256:c76dc4710464635c29ccf86f7caf0e6cbd690e4119ba8ee02cf2f3c14cfc7bc4,Fully suspended juvenile sentence,Mean (months),Vic.
2023-06-30,2023-06-30,SENTENCE_FULLY_SUSPENDED_JUVENILE_SENTENCE,LENGTH_MEAN,WA,sentence-mean-duration,month,0,observed,0,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 80 ,R13C7,sha256:1467a5a0b77b6abf2d45966dc187f78017181ac1a56a29fd330b8db8f73352a7,criminal-courts-australia,sha256:7064cb4f60d8a8bce28ce5b00bc7609338c78874e23577207bc550cdee89a646,tidy.table-family-acceptance/v1,sha256:c1b77755a72baa46632f160ed953b6a076c32ca3fb86e9a49e4b7fc4088ed510,sha256:7812671fbdfe3c81855dfad7dfdbe4c43aaf035b7b18e717371ec0a0e38359a6,sha256:21ac17e69b62d61e0a615d68140ea66af22a4216c50722d9e6300be08070d443,human-authored/deterministic-map-v1,replay:sha256:c76dc4710464635c29ccf86f7caf0e6cbd690e4119ba8ee02cf2f3c14cfc7bc4,Fully suspended juvenile sentence,Mean (months),WA
2023-06-30,2023-06-30,SENTENCE_FULLY_SUSPENDED_JUVENILE_SENTENCE,LENGTH_MEDIAN,ACT,sentence-median-duration,month,2,observed,2,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 80 ,R14C10,sha256:1467a5a0b77b6abf2d45966dc187f78017181ac1a56a29fd330b8db8f73352a7,criminal-courts-australia,sha256:7064cb4f60d8a8bce28ce5b00bc7609338c78874e23577207bc550cdee89a646,tidy.table-family-acceptance/v1,sha256:c1b77755a72baa46632f160ed953b6a076c32ca3fb86e9a49e4b7fc4088ed510,sha256:7812671fbdfe3c81855dfad7dfdbe4c43aaf035b7b18e717371ec0a0e38359a6,sha256:21ac17e69b62d61e0a615d68140ea66af22a4216c50722d9e6300be08070d443,human-authored/deterministic-map-v1,replay:sha256:c76dc4710464635c29ccf86f7caf0e6cbd690e4119ba8ee02cf2f3c14cfc7bc4,Fully suspended juvenile sentence,Median (months),ACT
2023-06-30,2023-06-30,SENTENCE_FULLY_SUSPENDED_JUVENILE_SENTENCE,LENGTH_MEDIAN,AUS,sentence-median-duration,month,3,observed,3,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 80 ,R14C11,sha256:1467a5a0b77b6abf2d45966dc187f78017181ac1a56a29fd330b8db8f73352a7,criminal-courts-australia,sha256:7064cb4f60d8a8bce28ce5b00bc7609338c78874e23577207bc550cdee89a646,tidy.table-family-acceptance/v1,sha256:c1b77755a72baa46632f160ed953b6a076c32ca3fb86e9a49e4b7fc4088ed510,sha256:7812671fbdfe3c81855dfad7dfdbe4c43aaf035b7b18e717371ec0a0e38359a6,sha256:21ac17e69b62d61e0a615d68140ea66af22a4216c50722d9e6300be08070d443,human-authored/deterministic-map-v1,replay:sha256:c76dc4710464635c29ccf86f7caf0e6cbd690e4119ba8ee02cf2f3c14cfc7bc4,Fully suspended juvenile sentence,Median (months),Aust.
