reference_date,most_serious_offence_or_charge_id,statistic_basis_id,characteristic_group_id,characteristic_category_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_most_serious_offence_or_charge,raw_statistic_basis,raw_characteristic_group,raw_characteristic_category
2021-06-30,ANZSOC_01,NUMBER,PRIOR_IMPRISONMENT_STATUS,NO_PRIOR_IMPRISONMENT,prisoner-count,person,2037,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_1,R21C2,sha256:c5bcd941e60f71512e68457321c142c404388960c46415da805d5589ab9e19d9,prisoners-in-australia,sha256:af50f023426db3332eaa7986697c3cc5d0cccb71fc5b603fb31825fb49e88f92,tidy.table-family-acceptance/v1,sha256:821b05570d6465ef59cf7b285808010fa4ebaa8264e459687a9d8f353da11dd2,sha256:6ccd08e8cfa657ceff8ff32778f1242125bbc109f8b5fdd1895433deb7bbaac9,sha256:7cd0453159fb018193037db8308ec9578e59e0fa3e85495265943600a9347fda,human-authored/deterministic-geometry-v1,replay:sha256:2ae81fdbf1bdc13dd51b937cb1058e4019f2989faeeebd61331012458a04fbec,01 Homicide and related offences,NUMBER,Prior imprisonment status,No prior imprisonment
2021-06-30,ANZSOC_01,NUMBER,PRIOR_IMPRISONMENT_STATUS,PRIOR_IMPRISONMENT,prisoner-count,person,1247,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_1,R20C2,sha256:c5bcd941e60f71512e68457321c142c404388960c46415da805d5589ab9e19d9,prisoners-in-australia,sha256:af50f023426db3332eaa7986697c3cc5d0cccb71fc5b603fb31825fb49e88f92,tidy.table-family-acceptance/v1,sha256:821b05570d6465ef59cf7b285808010fa4ebaa8264e459687a9d8f353da11dd2,sha256:6ccd08e8cfa657ceff8ff32778f1242125bbc109f8b5fdd1895433deb7bbaac9,sha256:7cd0453159fb018193037db8308ec9578e59e0fa3e85495265943600a9347fda,human-authored/deterministic-geometry-v1,replay:sha256:2ae81fdbf1bdc13dd51b937cb1058e4019f2989faeeebd61331012458a04fbec,01 Homicide and related offences,NUMBER,Prior imprisonment status,Prior imprisonment
2021-06-30,ANZSOC_01,NUMBER,SEX,FEMALE,prisoner-count,person,288,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_1,R10C2,sha256:c5bcd941e60f71512e68457321c142c404388960c46415da805d5589ab9e19d9,prisoners-in-australia,sha256:af50f023426db3332eaa7986697c3cc5d0cccb71fc5b603fb31825fb49e88f92,tidy.table-family-acceptance/v1,sha256:821b05570d6465ef59cf7b285808010fa4ebaa8264e459687a9d8f353da11dd2,sha256:6ccd08e8cfa657ceff8ff32778f1242125bbc109f8b5fdd1895433deb7bbaac9,sha256:7cd0453159fb018193037db8308ec9578e59e0fa3e85495265943600a9347fda,human-authored/deterministic-geometry-v1,replay:sha256:2ae81fdbf1bdc13dd51b937cb1058e4019f2989faeeebd61331012458a04fbec,01 Homicide and related offences,NUMBER,Sex,Females
2021-06-30,ANZSOC_01,NUMBER,SEX,MALE,prisoner-count,person,2996,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_1,R9C2,sha256:c5bcd941e60f71512e68457321c142c404388960c46415da805d5589ab9e19d9,prisoners-in-australia,sha256:af50f023426db3332eaa7986697c3cc5d0cccb71fc5b603fb31825fb49e88f92,tidy.table-family-acceptance/v1,sha256:821b05570d6465ef59cf7b285808010fa4ebaa8264e459687a9d8f353da11dd2,sha256:6ccd08e8cfa657ceff8ff32778f1242125bbc109f8b5fdd1895433deb7bbaac9,sha256:7cd0453159fb018193037db8308ec9578e59e0fa3e85495265943600a9347fda,human-authored/deterministic-geometry-v1,replay:sha256:2ae81fdbf1bdc13dd51b937cb1058e4019f2989faeeebd61331012458a04fbec,01 Homicide and related offences,NUMBER,Sex,Males
2021-06-30,ANZSOC_01,NUMBER,TOTAL,TOTAL_PRISONERS,prisoner-count,person,3292,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_1,R7C2,sha256:c5bcd941e60f71512e68457321c142c404388960c46415da805d5589ab9e19d9,prisoners-in-australia,sha256:af50f023426db3332eaa7986697c3cc5d0cccb71fc5b603fb31825fb49e88f92,tidy.table-family-acceptance/v1,sha256:821b05570d6465ef59cf7b285808010fa4ebaa8264e459687a9d8f353da11dd2,sha256:6ccd08e8cfa657ceff8ff32778f1242125bbc109f8b5fdd1895433deb7bbaac9,sha256:7cd0453159fb018193037db8308ec9578e59e0fa3e85495265943600a9347fda,human-authored/deterministic-geometry-v1,replay:sha256:2ae81fdbf1bdc13dd51b937cb1058e4019f2989faeeebd61331012458a04fbec,01 Homicide and related offences,NUMBER,Total prisoners,Total prisoners
2021-06-30,ANZSOC_01,PROPORTION,INDIGENOUS_STATUS,INDIGENOUS,prisoner-proportion,percent,20.3,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_1,R33C2,sha256:c5bcd941e60f71512e68457321c142c404388960c46415da805d5589ab9e19d9,prisoners-in-australia,sha256:af50f023426db3332eaa7986697c3cc5d0cccb71fc5b603fb31825fb49e88f92,tidy.table-family-acceptance/v1,sha256:821b05570d6465ef59cf7b285808010fa4ebaa8264e459687a9d8f353da11dd2,sha256:6ccd08e8cfa657ceff8ff32778f1242125bbc109f8b5fdd1895433deb7bbaac9,sha256:7cd0453159fb018193037db8308ec9578e59e0fa3e85495265943600a9347fda,human-authored/deterministic-geometry-v1,replay:sha256:2ae81fdbf1bdc13dd51b937cb1058e4019f2989faeeebd61331012458a04fbec,01 Homicide and related offences,PROPORTION (%),Indigenous status,Aboriginal and Torres Strait Islander
2021-06-30,ANZSOC_01,PROPORTION,INDIGENOUS_STATUS,NON_INDIGENOUS,prisoner-proportion,percent,79.3,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_1,R34C2,sha256:c5bcd941e60f71512e68457321c142c404388960c46415da805d5589ab9e19d9,prisoners-in-australia,sha256:af50f023426db3332eaa7986697c3cc5d0cccb71fc5b603fb31825fb49e88f92,tidy.table-family-acceptance/v1,sha256:821b05570d6465ef59cf7b285808010fa4ebaa8264e459687a9d8f353da11dd2,sha256:6ccd08e8cfa657ceff8ff32778f1242125bbc109f8b5fdd1895433deb7bbaac9,sha256:7cd0453159fb018193037db8308ec9578e59e0fa3e85495265943600a9347fda,human-authored/deterministic-geometry-v1,replay:sha256:2ae81fdbf1bdc13dd51b937cb1058e4019f2989faeeebd61331012458a04fbec,01 Homicide and related offences,PROPORTION (%),Indigenous status,Non-Indigenous
2021-06-30,ANZSOC_01,PROPORTION,INDIGENOUS_STATUS,UNKNOWN,prisoner-proportion,percent,0.4,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_1,R35C2,sha256:c5bcd941e60f71512e68457321c142c404388960c46415da805d5589ab9e19d9,prisoners-in-australia,sha256:af50f023426db3332eaa7986697c3cc5d0cccb71fc5b603fb31825fb49e88f92,tidy.table-family-acceptance/v1,sha256:821b05570d6465ef59cf7b285808010fa4ebaa8264e459687a9d8f353da11dd2,sha256:6ccd08e8cfa657ceff8ff32778f1242125bbc109f8b5fdd1895433deb7bbaac9,sha256:7cd0453159fb018193037db8308ec9578e59e0fa3e85495265943600a9347fda,human-authored/deterministic-geometry-v1,replay:sha256:2ae81fdbf1bdc13dd51b937cb1058e4019f2989faeeebd61331012458a04fbec,01 Homicide and related offences,PROPORTION (%),Indigenous status,Unknown
2021-06-30,ANZSOC_01,PROPORTION,LEGAL_STATUS,SENTENCED,prisoner-proportion,percent,76.3,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_1,R37C2,sha256:c5bcd941e60f71512e68457321c142c404388960c46415da805d5589ab9e19d9,prisoners-in-australia,sha256:af50f023426db3332eaa7986697c3cc5d0cccb71fc5b603fb31825fb49e88f92,tidy.table-family-acceptance/v1,sha256:821b05570d6465ef59cf7b285808010fa4ebaa8264e459687a9d8f353da11dd2,sha256:6ccd08e8cfa657ceff8ff32778f1242125bbc109f8b5fdd1895433deb7bbaac9,sha256:7cd0453159fb018193037db8308ec9578e59e0fa3e85495265943600a9347fda,human-authored/deterministic-geometry-v1,replay:sha256:2ae81fdbf1bdc13dd51b937cb1058e4019f2989faeeebd61331012458a04fbec,01 Homicide and related offences,PROPORTION (%),Legal status,Sentenced
2021-06-30,ANZSOC_01,PROPORTION,LEGAL_STATUS,UNSENTENCED,prisoner-proportion,percent,23.6,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_1,R38C2,sha256:c5bcd941e60f71512e68457321c142c404388960c46415da805d5589ab9e19d9,prisoners-in-australia,sha256:af50f023426db3332eaa7986697c3cc5d0cccb71fc5b603fb31825fb49e88f92,tidy.table-family-acceptance/v1,sha256:821b05570d6465ef59cf7b285808010fa4ebaa8264e459687a9d8f353da11dd2,sha256:6ccd08e8cfa657ceff8ff32778f1242125bbc109f8b5fdd1895433deb7bbaac9,sha256:7cd0453159fb018193037db8308ec9578e59e0fa3e85495265943600a9347fda,human-authored/deterministic-geometry-v1,replay:sha256:2ae81fdbf1bdc13dd51b937cb1058e4019f2989faeeebd61331012458a04fbec,01 Homicide and related offences,PROPORTION (%),Legal status,Unsentenced
2021-06-30,ANZSOC_01,PROPORTION,PRIOR_IMPRISONMENT_STATUS,NO_PRIOR_IMPRISONMENT,prisoner-proportion,percent,61.9,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_1,R42C2,sha256:c5bcd941e60f71512e68457321c142c404388960c46415da805d5589ab9e19d9,prisoners-in-australia,sha256:af50f023426db3332eaa7986697c3cc5d0cccb71fc5b603fb31825fb49e88f92,tidy.table-family-acceptance/v1,sha256:821b05570d6465ef59cf7b285808010fa4ebaa8264e459687a9d8f353da11dd2,sha256:6ccd08e8cfa657ceff8ff32778f1242125bbc109f8b5fdd1895433deb7bbaac9,sha256:7cd0453159fb018193037db8308ec9578e59e0fa3e85495265943600a9347fda,human-authored/deterministic-geometry-v1,replay:sha256:2ae81fdbf1bdc13dd51b937cb1058e4019f2989faeeebd61331012458a04fbec,01 Homicide and related offences,PROPORTION (%),Prior imprisonment status,No prior imprisonment
