publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,court_level_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_court_level,raw_jurisdiction,raw_classification_context
2023-06-30,2015-06-30,CHAR_06_ROBBERY_EXTORTION,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2015-06-30,CHILDRENS_COURTS,QLD,ANZSOC_2011,defendant-count,person,113,observed,113,sha256:39d7962c96333d487c918e60c65341b242ef6e5ccbebf3fb76d2fdab8ace39da,Table 26,R190C6,sha256:349ffcffda94270a8bce2c9373ef4609ece60055f4ea34ada553183cbd36c9a8,criminal-courts-australia,sha256:b86129b89bbd646efef9c842390a2670dc14e82d51da98301ad9d60e3bafc220,tidy.table-family-acceptance/v1,sha256:1f79c52870bb763c4e2889717e29734a82e7f847a73fbf01f1eaffb6cfa112d4,sha256:91a70870786d0506a967b744696e24009abfb7c48f6d6b9f109d092aab77e7ec,sha256:80f8ad2ee68727eb1a4a410ae05f00ed627e7277472e0cf6c749997614d31324,human-authored/deterministic-map-v1,replay:sha256:4044a6974d121a219ec341bb5da4a1e19fce61e3cfa87682a693132eaf6edde9,06 Robbery/extortion,Principal offence,2014–15,Children's Courts,"Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2022–23","Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2022–23"
2023-06-30,2015-06-30,CHAR_06_ROBBERY_EXTORTION,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2015-06-30,HIGHER_COURTS,QLD,ANZSOC_2011,defendant-count,person,437,observed,437,sha256:39d7962c96333d487c918e60c65341b242ef6e5ccbebf3fb76d2fdab8ace39da,Table 26,R79C6,sha256:349ffcffda94270a8bce2c9373ef4609ece60055f4ea34ada553183cbd36c9a8,criminal-courts-australia,sha256:b86129b89bbd646efef9c842390a2670dc14e82d51da98301ad9d60e3bafc220,tidy.table-family-acceptance/v1,sha256:1f79c52870bb763c4e2889717e29734a82e7f847a73fbf01f1eaffb6cfa112d4,sha256:91a70870786d0506a967b744696e24009abfb7c48f6d6b9f109d092aab77e7ec,sha256:80f8ad2ee68727eb1a4a410ae05f00ed627e7277472e0cf6c749997614d31324,human-authored/deterministic-map-v1,replay:sha256:4044a6974d121a219ec341bb5da4a1e19fce61e3cfa87682a693132eaf6edde9,06 Robbery/extortion,Principal offence,2014–15,Higher Courts,"Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2022–23","Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2022–23"
2023-06-30,2015-06-30,CHAR_06_ROBBERY_EXTORTION,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2015-06-30,MAGISTRATES_COURTS,QLD,ANZSOC_2011,defendant-count,person,87,observed,87,sha256:39d7962c96333d487c918e60c65341b242ef6e5ccbebf3fb76d2fdab8ace39da,Table 26,R135C6,sha256:349ffcffda94270a8bce2c9373ef4609ece60055f4ea34ada553183cbd36c9a8,criminal-courts-australia,sha256:b86129b89bbd646efef9c842390a2670dc14e82d51da98301ad9d60e3bafc220,tidy.table-family-acceptance/v1,sha256:1f79c52870bb763c4e2889717e29734a82e7f847a73fbf01f1eaffb6cfa112d4,sha256:91a70870786d0506a967b744696e24009abfb7c48f6d6b9f109d092aab77e7ec,sha256:80f8ad2ee68727eb1a4a410ae05f00ed627e7277472e0cf6c749997614d31324,human-authored/deterministic-map-v1,replay:sha256:4044a6974d121a219ec341bb5da4a1e19fce61e3cfa87682a693132eaf6edde9,06 Robbery/extortion,Principal offence,2014–15,Magistrates' Courts,"Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2022–23","Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2022–23"
2023-06-30,2015-06-30,CHAR_07_UNLAWFUL_ENTRY_WITH_INTENT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2015-06-30,ALL_COURTS,QLD,ANZSOC_2011,defendant-count,person,3935,observed,3935,sha256:39d7962c96333d487c918e60c65341b242ef6e5ccbebf3fb76d2fdab8ace39da,Table 26,R24C6,sha256:349ffcffda94270a8bce2c9373ef4609ece60055f4ea34ada553183cbd36c9a8,criminal-courts-australia,sha256:b86129b89bbd646efef9c842390a2670dc14e82d51da98301ad9d60e3bafc220,tidy.table-family-acceptance/v1,sha256:1f79c52870bb763c4e2889717e29734a82e7f847a73fbf01f1eaffb6cfa112d4,sha256:91a70870786d0506a967b744696e24009abfb7c48f6d6b9f109d092aab77e7ec,sha256:80f8ad2ee68727eb1a4a410ae05f00ed627e7277472e0cf6c749997614d31324,human-authored/deterministic-map-v1,replay:sha256:4044a6974d121a219ec341bb5da4a1e19fce61e3cfa87682a693132eaf6edde9,07 Unlawful entry with intent,Principal offence,2014–15,All Courts,"Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2022–23","Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2022–23"
2023-06-30,2015-06-30,CHAR_07_UNLAWFUL_ENTRY_WITH_INTENT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2015-06-30,CHILDRENS_COURTS,QLD,ANZSOC_2011,defendant-count,person,1203,observed,1203,sha256:39d7962c96333d487c918e60c65341b242ef6e5ccbebf3fb76d2fdab8ace39da,Table 26,R191C6,sha256:349ffcffda94270a8bce2c9373ef4609ece60055f4ea34ada553183cbd36c9a8,criminal-courts-australia,sha256:b86129b89bbd646efef9c842390a2670dc14e82d51da98301ad9d60e3bafc220,tidy.table-family-acceptance/v1,sha256:1f79c52870bb763c4e2889717e29734a82e7f847a73fbf01f1eaffb6cfa112d4,sha256:91a70870786d0506a967b744696e24009abfb7c48f6d6b9f109d092aab77e7ec,sha256:80f8ad2ee68727eb1a4a410ae05f00ed627e7277472e0cf6c749997614d31324,human-authored/deterministic-map-v1,replay:sha256:4044a6974d121a219ec341bb5da4a1e19fce61e3cfa87682a693132eaf6edde9,07 Unlawful entry with intent,Principal offence,2014–15,Children's Courts,"Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2022–23","Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2022–23"
2023-06-30,2015-06-30,CHAR_07_UNLAWFUL_ENTRY_WITH_INTENT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2015-06-30,HIGHER_COURTS,QLD,ANZSOC_2011,defendant-count,person,127,observed,127,sha256:39d7962c96333d487c918e60c65341b242ef6e5ccbebf3fb76d2fdab8ace39da,Table 26,R80C6,sha256:349ffcffda94270a8bce2c9373ef4609ece60055f4ea34ada553183cbd36c9a8,criminal-courts-australia,sha256:b86129b89bbd646efef9c842390a2670dc14e82d51da98301ad9d60e3bafc220,tidy.table-family-acceptance/v1,sha256:1f79c52870bb763c4e2889717e29734a82e7f847a73fbf01f1eaffb6cfa112d4,sha256:91a70870786d0506a967b744696e24009abfb7c48f6d6b9f109d092aab77e7ec,sha256:80f8ad2ee68727eb1a4a410ae05f00ed627e7277472e0cf6c749997614d31324,human-authored/deterministic-map-v1,replay:sha256:4044a6974d121a219ec341bb5da4a1e19fce61e3cfa87682a693132eaf6edde9,07 Unlawful entry with intent,Principal offence,2014–15,Higher Courts,"Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2022–23","Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2022–23"
2023-06-30,2015-06-30,CHAR_07_UNLAWFUL_ENTRY_WITH_INTENT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2015-06-30,MAGISTRATES_COURTS,QLD,ANZSOC_2011,defendant-count,person,2609,observed,2609,sha256:39d7962c96333d487c918e60c65341b242ef6e5ccbebf3fb76d2fdab8ace39da,Table 26,R136C6,sha256:349ffcffda94270a8bce2c9373ef4609ece60055f4ea34ada553183cbd36c9a8,criminal-courts-australia,sha256:b86129b89bbd646efef9c842390a2670dc14e82d51da98301ad9d60e3bafc220,tidy.table-family-acceptance/v1,sha256:1f79c52870bb763c4e2889717e29734a82e7f847a73fbf01f1eaffb6cfa112d4,sha256:91a70870786d0506a967b744696e24009abfb7c48f6d6b9f109d092aab77e7ec,sha256:80f8ad2ee68727eb1a4a410ae05f00ed627e7277472e0cf6c749997614d31324,human-authored/deterministic-map-v1,replay:sha256:4044a6974d121a219ec341bb5da4a1e19fce61e3cfa87682a693132eaf6edde9,07 Unlawful entry with intent,Principal offence,2014–15,Magistrates' Courts,"Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2022–23","Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2022–23"
2023-06-30,2015-06-30,CHAR_08_THEFT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2015-06-30,ALL_COURTS,QLD,ANZSOC_2011,defendant-count,person,15377,observed,15377,sha256:39d7962c96333d487c918e60c65341b242ef6e5ccbebf3fb76d2fdab8ace39da,Table 26,R25C6,sha256:349ffcffda94270a8bce2c9373ef4609ece60055f4ea34ada553183cbd36c9a8,criminal-courts-australia,sha256:b86129b89bbd646efef9c842390a2670dc14e82d51da98301ad9d60e3bafc220,tidy.table-family-acceptance/v1,sha256:1f79c52870bb763c4e2889717e29734a82e7f847a73fbf01f1eaffb6cfa112d4,sha256:91a70870786d0506a967b744696e24009abfb7c48f6d6b9f109d092aab77e7ec,sha256:80f8ad2ee68727eb1a4a410ae05f00ed627e7277472e0cf6c749997614d31324,human-authored/deterministic-map-v1,replay:sha256:4044a6974d121a219ec341bb5da4a1e19fce61e3cfa87682a693132eaf6edde9,08 Theft,Principal offence,2014–15,All Courts,"Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2022–23","Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2022–23"
2023-06-30,2015-06-30,CHAR_08_THEFT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2015-06-30,CHILDRENS_COURTS,QLD,ANZSOC_2011,defendant-count,person,1753,observed,1753,sha256:39d7962c96333d487c918e60c65341b242ef6e5ccbebf3fb76d2fdab8ace39da,Table 26,R192C6,sha256:349ffcffda94270a8bce2c9373ef4609ece60055f4ea34ada553183cbd36c9a8,criminal-courts-australia,sha256:b86129b89bbd646efef9c842390a2670dc14e82d51da98301ad9d60e3bafc220,tidy.table-family-acceptance/v1,sha256:1f79c52870bb763c4e2889717e29734a82e7f847a73fbf01f1eaffb6cfa112d4,sha256:91a70870786d0506a967b744696e24009abfb7c48f6d6b9f109d092aab77e7ec,sha256:80f8ad2ee68727eb1a4a410ae05f00ed627e7277472e0cf6c749997614d31324,human-authored/deterministic-map-v1,replay:sha256:4044a6974d121a219ec341bb5da4a1e19fce61e3cfa87682a693132eaf6edde9,08 Theft,Principal offence,2014–15,Children's Courts,"Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2022–23","Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2022–23"
2023-06-30,2015-06-30,CHAR_08_THEFT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2015-06-30,HIGHER_COURTS,QLD,ANZSOC_2011,defendant-count,person,80,observed,80,sha256:39d7962c96333d487c918e60c65341b242ef6e5ccbebf3fb76d2fdab8ace39da,Table 26,R81C6,sha256:349ffcffda94270a8bce2c9373ef4609ece60055f4ea34ada553183cbd36c9a8,criminal-courts-australia,sha256:b86129b89bbd646efef9c842390a2670dc14e82d51da98301ad9d60e3bafc220,tidy.table-family-acceptance/v1,sha256:1f79c52870bb763c4e2889717e29734a82e7f847a73fbf01f1eaffb6cfa112d4,sha256:91a70870786d0506a967b744696e24009abfb7c48f6d6b9f109d092aab77e7ec,sha256:80f8ad2ee68727eb1a4a410ae05f00ed627e7277472e0cf6c749997614d31324,human-authored/deterministic-map-v1,replay:sha256:4044a6974d121a219ec341bb5da4a1e19fce61e3cfa87682a693132eaf6edde9,08 Theft,Principal offence,2014–15,Higher Courts,"Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2022–23","Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2022–23"
