publication_vintage_date,reference_date,sentence_statistic_id,characteristic_category_id,sex_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_sentence_statistic,raw_characteristic_category,raw_sex
2023-06-30,2023-06-30,SENTENCE_COMMUNITY_SERVICE_WORK,CHAR_14_YEARS,MALES,defendant-count,person,93,observed,93,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 77,R10C5,sha256:8361450e308b130f588730f7f54867285e3142bdb283f39271e6fc2db628a2a2,criminal-courts-australia,sha256:3fa6afa60198b05644b88f7aa88c708e74cb377a06246b0cba884e7bb4fd901b,tidy.table-family-acceptance/v1,sha256:54b12d3f555044bd1d414b35ab2941f125a79bcd911ec87f9198fcbdee32452f,sha256:e11cadc5064e4d44ca1aba59693c1310dcfcfa1d7fd571f2931e136305346bf0,sha256:f757c6e6af7f9b291354bd4f320e802b196393b887712435e9f30ba229564743,human-authored/deterministic-map-v1,replay:sha256:8dbb181d49b7e4c3ec80c42b40d491fff48894d60924e0274a186d3aab28aad4,Community service / work,14 years,Males
2023-06-30,2023-06-30,SENTENCE_COMMUNITY_SERVICE_WORK,CHAR_14_YEARS,PERSONS,defendant-count,person,113,observed,113,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 77,R10C21,sha256:8361450e308b130f588730f7f54867285e3142bdb283f39271e6fc2db628a2a2,criminal-courts-australia,sha256:3fa6afa60198b05644b88f7aa88c708e74cb377a06246b0cba884e7bb4fd901b,tidy.table-family-acceptance/v1,sha256:54b12d3f555044bd1d414b35ab2941f125a79bcd911ec87f9198fcbdee32452f,sha256:e11cadc5064e4d44ca1aba59693c1310dcfcfa1d7fd571f2931e136305346bf0,sha256:f757c6e6af7f9b291354bd4f320e802b196393b887712435e9f30ba229564743,human-authored/deterministic-map-v1,replay:sha256:8dbb181d49b7e4c3ec80c42b40d491fff48894d60924e0274a186d3aab28aad4,Community service / work,14 years,Persons
2023-06-30,2023-06-30,SENTENCE_COMMUNITY_SERVICE_WORK,CHAR_15_YEARS,FEMALES,defendant-count,person,45,observed,45,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 77,R10C14,sha256:8361450e308b130f588730f7f54867285e3142bdb283f39271e6fc2db628a2a2,criminal-courts-australia,sha256:3fa6afa60198b05644b88f7aa88c708e74cb377a06246b0cba884e7bb4fd901b,tidy.table-family-acceptance/v1,sha256:54b12d3f555044bd1d414b35ab2941f125a79bcd911ec87f9198fcbdee32452f,sha256:e11cadc5064e4d44ca1aba59693c1310dcfcfa1d7fd571f2931e136305346bf0,sha256:f757c6e6af7f9b291354bd4f320e802b196393b887712435e9f30ba229564743,human-authored/deterministic-map-v1,replay:sha256:8dbb181d49b7e4c3ec80c42b40d491fff48894d60924e0274a186d3aab28aad4,Community service / work,15 years,Females
2023-06-30,2023-06-30,SENTENCE_COMMUNITY_SERVICE_WORK,CHAR_15_YEARS,MALES,defendant-count,person,118,observed,118,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 77,R10C6,sha256:8361450e308b130f588730f7f54867285e3142bdb283f39271e6fc2db628a2a2,criminal-courts-australia,sha256:3fa6afa60198b05644b88f7aa88c708e74cb377a06246b0cba884e7bb4fd901b,tidy.table-family-acceptance/v1,sha256:54b12d3f555044bd1d414b35ab2941f125a79bcd911ec87f9198fcbdee32452f,sha256:e11cadc5064e4d44ca1aba59693c1310dcfcfa1d7fd571f2931e136305346bf0,sha256:f757c6e6af7f9b291354bd4f320e802b196393b887712435e9f30ba229564743,human-authored/deterministic-map-v1,replay:sha256:8dbb181d49b7e4c3ec80c42b40d491fff48894d60924e0274a186d3aab28aad4,Community service / work,15 years,Males
2023-06-30,2023-06-30,SENTENCE_COMMUNITY_SERVICE_WORK,CHAR_15_YEARS,PERSONS,defendant-count,person,160,observed,160,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 77,R10C22,sha256:8361450e308b130f588730f7f54867285e3142bdb283f39271e6fc2db628a2a2,criminal-courts-australia,sha256:3fa6afa60198b05644b88f7aa88c708e74cb377a06246b0cba884e7bb4fd901b,tidy.table-family-acceptance/v1,sha256:54b12d3f555044bd1d414b35ab2941f125a79bcd911ec87f9198fcbdee32452f,sha256:e11cadc5064e4d44ca1aba59693c1310dcfcfa1d7fd571f2931e136305346bf0,sha256:f757c6e6af7f9b291354bd4f320e802b196393b887712435e9f30ba229564743,human-authored/deterministic-map-v1,replay:sha256:8dbb181d49b7e4c3ec80c42b40d491fff48894d60924e0274a186d3aab28aad4,Community service / work,15 years,Persons
2023-06-30,2023-06-30,SENTENCE_COMMUNITY_SERVICE_WORK,CHAR_16_YEARS,FEMALES,defendant-count,person,23,observed,23,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 77,R10C15,sha256:8361450e308b130f588730f7f54867285e3142bdb283f39271e6fc2db628a2a2,criminal-courts-australia,sha256:3fa6afa60198b05644b88f7aa88c708e74cb377a06246b0cba884e7bb4fd901b,tidy.table-family-acceptance/v1,sha256:54b12d3f555044bd1d414b35ab2941f125a79bcd911ec87f9198fcbdee32452f,sha256:e11cadc5064e4d44ca1aba59693c1310dcfcfa1d7fd571f2931e136305346bf0,sha256:f757c6e6af7f9b291354bd4f320e802b196393b887712435e9f30ba229564743,human-authored/deterministic-map-v1,replay:sha256:8dbb181d49b7e4c3ec80c42b40d491fff48894d60924e0274a186d3aab28aad4,Community service / work,16 years,Females
2023-06-30,2023-06-30,SENTENCE_COMMUNITY_SERVICE_WORK,CHAR_16_YEARS,MALES,defendant-count,person,145,observed,145,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 77,R10C7,sha256:8361450e308b130f588730f7f54867285e3142bdb283f39271e6fc2db628a2a2,criminal-courts-australia,sha256:3fa6afa60198b05644b88f7aa88c708e74cb377a06246b0cba884e7bb4fd901b,tidy.table-family-acceptance/v1,sha256:54b12d3f555044bd1d414b35ab2941f125a79bcd911ec87f9198fcbdee32452f,sha256:e11cadc5064e4d44ca1aba59693c1310dcfcfa1d7fd571f2931e136305346bf0,sha256:f757c6e6af7f9b291354bd4f320e802b196393b887712435e9f30ba229564743,human-authored/deterministic-map-v1,replay:sha256:8dbb181d49b7e4c3ec80c42b40d491fff48894d60924e0274a186d3aab28aad4,Community service / work,16 years,Males
2023-06-30,2023-06-30,SENTENCE_COMMUNITY_SERVICE_WORK,CHAR_16_YEARS,PERSONS,defendant-count,person,168,observed,168,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 77,R10C23,sha256:8361450e308b130f588730f7f54867285e3142bdb283f39271e6fc2db628a2a2,criminal-courts-australia,sha256:3fa6afa60198b05644b88f7aa88c708e74cb377a06246b0cba884e7bb4fd901b,tidy.table-family-acceptance/v1,sha256:54b12d3f555044bd1d414b35ab2941f125a79bcd911ec87f9198fcbdee32452f,sha256:e11cadc5064e4d44ca1aba59693c1310dcfcfa1d7fd571f2931e136305346bf0,sha256:f757c6e6af7f9b291354bd4f320e802b196393b887712435e9f30ba229564743,human-authored/deterministic-map-v1,replay:sha256:8dbb181d49b7e4c3ec80c42b40d491fff48894d60924e0274a186d3aab28aad4,Community service / work,16 years,Persons
2023-06-30,2023-06-30,SENTENCE_COMMUNITY_SERVICE_WORK,CHAR_17_YEARS,FEMALES,defendant-count,person,30,observed,30,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 77,R10C16,sha256:8361450e308b130f588730f7f54867285e3142bdb283f39271e6fc2db628a2a2,criminal-courts-australia,sha256:3fa6afa60198b05644b88f7aa88c708e74cb377a06246b0cba884e7bb4fd901b,tidy.table-family-acceptance/v1,sha256:54b12d3f555044bd1d414b35ab2941f125a79bcd911ec87f9198fcbdee32452f,sha256:e11cadc5064e4d44ca1aba59693c1310dcfcfa1d7fd571f2931e136305346bf0,sha256:f757c6e6af7f9b291354bd4f320e802b196393b887712435e9f30ba229564743,human-authored/deterministic-map-v1,replay:sha256:8dbb181d49b7e4c3ec80c42b40d491fff48894d60924e0274a186d3aab28aad4,Community service / work,17 years,Females
2023-06-30,2023-06-30,SENTENCE_COMMUNITY_SERVICE_WORK,CHAR_17_YEARS,MALES,defendant-count,person,165,observed,165,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 77,R10C8,sha256:8361450e308b130f588730f7f54867285e3142bdb283f39271e6fc2db628a2a2,criminal-courts-australia,sha256:3fa6afa60198b05644b88f7aa88c708e74cb377a06246b0cba884e7bb4fd901b,tidy.table-family-acceptance/v1,sha256:54b12d3f555044bd1d414b35ab2941f125a79bcd911ec87f9198fcbdee32452f,sha256:e11cadc5064e4d44ca1aba59693c1310dcfcfa1d7fd571f2931e136305346bf0,sha256:f757c6e6af7f9b291354bd4f320e802b196393b887712435e9f30ba229564743,human-authored/deterministic-map-v1,replay:sha256:8dbb181d49b7e4c3ec80c42b40d491fff48894d60924e0274a186d3aab28aad4,Community service / work,17 years,Males
