publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,indigenous_status_id,jurisdiction_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_indigenous_status,raw_jurisdiction
2023-06-30,2022-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2022-06-30,INDIGENOUS,ACT,defendant-count,person,0,observed,0,sha256:c73793e4be698a9d8b45418fd9e4b02f6f690ad6a1f6cabdd970bf089e172bc6,Table 13,R67C22,sha256:6f476a7f1782c46cfd778ea5bc5ff9fd0b2a0ff119f71f1515fb19cfeca54fa1,criminal-courts-australia,sha256:b7205eb19f876024652516414031e9b9032e1256a5c427f001b4a305496d007b,tidy.table-family-acceptance/v1,sha256:e3ab7bad8969b2af268797418ca36ab74b0c86725fc5a880ec1eb56b4b76eda4,sha256:e5d5497ad502c54f4b3dc994bab6d165700569e3d39f7c914f79fe6c3217d28b,sha256:6677b7ab013e05004034f5317e615dc715da96efae9836da819ad2b89bcae521,human-authored/deterministic-map-v1,replay:sha256:0d9ff20874526f964bd3f29dc0466c62a78a19209cfc8381943daf725258fd9c,01 Homicide and related offences,Principal offence,2021–22,Aboriginal and Torres Strait Islander,Australian Capital Territory
2023-06-30,2022-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2022-06-30,INDIGENOUS,NSW,defendant-count,person,30,observed,30,sha256:c73793e4be698a9d8b45418fd9e4b02f6f690ad6a1f6cabdd970bf089e172bc6,Table 13,R67C2,sha256:6f476a7f1782c46cfd778ea5bc5ff9fd0b2a0ff119f71f1515fb19cfeca54fa1,criminal-courts-australia,sha256:b7205eb19f876024652516414031e9b9032e1256a5c427f001b4a305496d007b,tidy.table-family-acceptance/v1,sha256:e3ab7bad8969b2af268797418ca36ab74b0c86725fc5a880ec1eb56b4b76eda4,sha256:e5d5497ad502c54f4b3dc994bab6d165700569e3d39f7c914f79fe6c3217d28b,sha256:6677b7ab013e05004034f5317e615dc715da96efae9836da819ad2b89bcae521,human-authored/deterministic-map-v1,replay:sha256:0d9ff20874526f964bd3f29dc0466c62a78a19209cfc8381943daf725258fd9c,01 Homicide and related offences,Principal offence,2021–22,Aboriginal and Torres Strait Islander,New South Wales
2023-06-30,2022-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2022-06-30,INDIGENOUS,NT,defendant-count,person,8,observed,8,sha256:c73793e4be698a9d8b45418fd9e4b02f6f690ad6a1f6cabdd970bf089e172bc6,Table 13,R67C18,sha256:6f476a7f1782c46cfd778ea5bc5ff9fd0b2a0ff119f71f1515fb19cfeca54fa1,criminal-courts-australia,sha256:b7205eb19f876024652516414031e9b9032e1256a5c427f001b4a305496d007b,tidy.table-family-acceptance/v1,sha256:e3ab7bad8969b2af268797418ca36ab74b0c86725fc5a880ec1eb56b4b76eda4,sha256:e5d5497ad502c54f4b3dc994bab6d165700569e3d39f7c914f79fe6c3217d28b,sha256:6677b7ab013e05004034f5317e615dc715da96efae9836da819ad2b89bcae521,human-authored/deterministic-map-v1,replay:sha256:0d9ff20874526f964bd3f29dc0466c62a78a19209cfc8381943daf725258fd9c,01 Homicide and related offences,Principal offence,2021–22,Aboriginal and Torres Strait Islander,Northern Territory
2023-06-30,2022-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2022-06-30,INDIGENOUS,QLD,defendant-count,person,34,observed,34,sha256:c73793e4be698a9d8b45418fd9e4b02f6f690ad6a1f6cabdd970bf089e172bc6,Table 13,R67C6,sha256:6f476a7f1782c46cfd778ea5bc5ff9fd0b2a0ff119f71f1515fb19cfeca54fa1,criminal-courts-australia,sha256:b7205eb19f876024652516414031e9b9032e1256a5c427f001b4a305496d007b,tidy.table-family-acceptance/v1,sha256:e3ab7bad8969b2af268797418ca36ab74b0c86725fc5a880ec1eb56b4b76eda4,sha256:e5d5497ad502c54f4b3dc994bab6d165700569e3d39f7c914f79fe6c3217d28b,sha256:6677b7ab013e05004034f5317e615dc715da96efae9836da819ad2b89bcae521,human-authored/deterministic-map-v1,replay:sha256:0d9ff20874526f964bd3f29dc0466c62a78a19209cfc8381943daf725258fd9c,01 Homicide and related offences,Principal offence,2021–22,Aboriginal and Torres Strait Islander,Queensland
2023-06-30,2022-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2022-06-30,INDIGENOUS,SA,defendant-count,person,7,observed,7,sha256:c73793e4be698a9d8b45418fd9e4b02f6f690ad6a1f6cabdd970bf089e172bc6,Table 13,R67C10,sha256:6f476a7f1782c46cfd778ea5bc5ff9fd0b2a0ff119f71f1515fb19cfeca54fa1,criminal-courts-australia,sha256:b7205eb19f876024652516414031e9b9032e1256a5c427f001b4a305496d007b,tidy.table-family-acceptance/v1,sha256:e3ab7bad8969b2af268797418ca36ab74b0c86725fc5a880ec1eb56b4b76eda4,sha256:e5d5497ad502c54f4b3dc994bab6d165700569e3d39f7c914f79fe6c3217d28b,sha256:6677b7ab013e05004034f5317e615dc715da96efae9836da819ad2b89bcae521,human-authored/deterministic-map-v1,replay:sha256:0d9ff20874526f964bd3f29dc0466c62a78a19209cfc8381943daf725258fd9c,01 Homicide and related offences,Principal offence,2021–22,Aboriginal and Torres Strait Islander,South Australia
2023-06-30,2022-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2022-06-30,INDIGENOUS,TAS,defendant-count,person,0,observed,0,sha256:c73793e4be698a9d8b45418fd9e4b02f6f690ad6a1f6cabdd970bf089e172bc6,Table 13,R67C14,sha256:6f476a7f1782c46cfd778ea5bc5ff9fd0b2a0ff119f71f1515fb19cfeca54fa1,criminal-courts-australia,sha256:b7205eb19f876024652516414031e9b9032e1256a5c427f001b4a305496d007b,tidy.table-family-acceptance/v1,sha256:e3ab7bad8969b2af268797418ca36ab74b0c86725fc5a880ec1eb56b4b76eda4,sha256:e5d5497ad502c54f4b3dc994bab6d165700569e3d39f7c914f79fe6c3217d28b,sha256:6677b7ab013e05004034f5317e615dc715da96efae9836da819ad2b89bcae521,human-authored/deterministic-map-v1,replay:sha256:0d9ff20874526f964bd3f29dc0466c62a78a19209cfc8381943daf725258fd9c,01 Homicide and related offences,Principal offence,2021–22,Aboriginal and Torres Strait Islander,Tasmania
2023-06-30,2022-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2022-06-30,NON_INDIGENOUS,NSW,defendant-count,person,119,observed,119,sha256:c73793e4be698a9d8b45418fd9e4b02f6f690ad6a1f6cabdd970bf089e172bc6,Table 13,R67C3,sha256:6f476a7f1782c46cfd778ea5bc5ff9fd0b2a0ff119f71f1515fb19cfeca54fa1,criminal-courts-australia,sha256:b7205eb19f876024652516414031e9b9032e1256a5c427f001b4a305496d007b,tidy.table-family-acceptance/v1,sha256:e3ab7bad8969b2af268797418ca36ab74b0c86725fc5a880ec1eb56b4b76eda4,sha256:e5d5497ad502c54f4b3dc994bab6d165700569e3d39f7c914f79fe6c3217d28b,sha256:6677b7ab013e05004034f5317e615dc715da96efae9836da819ad2b89bcae521,human-authored/deterministic-map-v1,replay:sha256:0d9ff20874526f964bd3f29dc0466c62a78a19209cfc8381943daf725258fd9c,01 Homicide and related offences,Principal offence,2021–22,Non-Indigenous,New South Wales
2023-06-30,2022-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2022-06-30,NON_INDIGENOUS,NT,defendant-count,person,0,observed,0,sha256:c73793e4be698a9d8b45418fd9e4b02f6f690ad6a1f6cabdd970bf089e172bc6,Table 13,R67C19,sha256:6f476a7f1782c46cfd778ea5bc5ff9fd0b2a0ff119f71f1515fb19cfeca54fa1,criminal-courts-australia,sha256:b7205eb19f876024652516414031e9b9032e1256a5c427f001b4a305496d007b,tidy.table-family-acceptance/v1,sha256:e3ab7bad8969b2af268797418ca36ab74b0c86725fc5a880ec1eb56b4b76eda4,sha256:e5d5497ad502c54f4b3dc994bab6d165700569e3d39f7c914f79fe6c3217d28b,sha256:6677b7ab013e05004034f5317e615dc715da96efae9836da819ad2b89bcae521,human-authored/deterministic-map-v1,replay:sha256:0d9ff20874526f964bd3f29dc0466c62a78a19209cfc8381943daf725258fd9c,01 Homicide and related offences,Principal offence,2021–22,Non-Indigenous,Northern Territory
2023-06-30,2022-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2022-06-30,NON_INDIGENOUS,QLD,defendant-count,person,68,observed,68,sha256:c73793e4be698a9d8b45418fd9e4b02f6f690ad6a1f6cabdd970bf089e172bc6,Table 13,R67C7,sha256:6f476a7f1782c46cfd778ea5bc5ff9fd0b2a0ff119f71f1515fb19cfeca54fa1,criminal-courts-australia,sha256:b7205eb19f876024652516414031e9b9032e1256a5c427f001b4a305496d007b,tidy.table-family-acceptance/v1,sha256:e3ab7bad8969b2af268797418ca36ab74b0c86725fc5a880ec1eb56b4b76eda4,sha256:e5d5497ad502c54f4b3dc994bab6d165700569e3d39f7c914f79fe6c3217d28b,sha256:6677b7ab013e05004034f5317e615dc715da96efae9836da819ad2b89bcae521,human-authored/deterministic-map-v1,replay:sha256:0d9ff20874526f964bd3f29dc0466c62a78a19209cfc8381943daf725258fd9c,01 Homicide and related offences,Principal offence,2021–22,Non-Indigenous,Queensland
2023-06-30,2022-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2022-06-30,NON_INDIGENOUS,SA,defendant-count,person,57,observed,57,sha256:c73793e4be698a9d8b45418fd9e4b02f6f690ad6a1f6cabdd970bf089e172bc6,Table 13,R67C11,sha256:6f476a7f1782c46cfd778ea5bc5ff9fd0b2a0ff119f71f1515fb19cfeca54fa1,criminal-courts-australia,sha256:b7205eb19f876024652516414031e9b9032e1256a5c427f001b4a305496d007b,tidy.table-family-acceptance/v1,sha256:e3ab7bad8969b2af268797418ca36ab74b0c86725fc5a880ec1eb56b4b76eda4,sha256:e5d5497ad502c54f4b3dc994bab6d165700569e3d39f7c914f79fe6c3217d28b,sha256:6677b7ab013e05004034f5317e615dc715da96efae9836da819ad2b89bcae521,human-authored/deterministic-map-v1,replay:sha256:0d9ff20874526f964bd3f29dc0466c62a78a19209cfc8381943daf725258fd9c,01 Homicide and related offences,Principal offence,2021–22,Non-Indigenous,South Australia
