publication_vintage_date,reference_date,characteristic_category_id,statistic_basis_id,observation_period_id,sentence_statistic_id,characteristic_group_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_statistic_basis,raw_observation_period,raw_sentence_statistic,raw_characteristic_group,raw_jurisdiction,raw_classification_context
2022-06-30,2021-06-30,CHAR_011_MURDER,COUNT,2021-06-30,SENTENCE_COMMUNITY_SUPERVISION_WORK_ORDERS,GROUP_PRINCIPAL_FDV_OFFENCE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,0,observed,0,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 3,R59C4,sha256:491555a074a654e9795ccc7a993b83cbc0f81e3f6fef0455c8b7a089a3c06dbf,criminal-courts-australia,sha256:343cd3c03fc96ba7c91d1d67dae67c895188662416340bad3a32c331fc9029db,tidy.table-family-acceptance/v2,sha256:dc0c7209d6c4d99c0ce2672ab61f5d53ca75f2596de9b622fb28aa461d9bff2c,sha256:659625ef0a09355367ee10256f80d3e9d4aff5cf5e4e3e1407c4c72c50007698,sha256:cb734fc12ec11dda55620b4a9297a60ee8a140eb23cf524ef703caf9317b6d33,human-authored/deterministic-map-v1,replay:sha256:9ecb3c249fb0e0eb4e389dee90cd84160690fe60030537d79d391634dd3c6460,011 Murder,011 Murder,2020–21,Community supervision/ work orders,Principal FDV offence,"FDV Table 3 – Experimental data – Family and domestic violence defendants with a guilty outcome, Summary characteristics by sentence, Australia, 2020–21 to 2021–22","FDV Table 3 – Experimental data – Family and domestic violence defendants with a guilty outcome, Summary characteristics by sentence, Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_011_MURDER,COUNT,2021-06-30,SENTENCE_CUSTODIAL_ORDERS,GROUP_PRINCIPAL_FDV_OFFENCE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,16,observed,16,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 3,R59C3,sha256:491555a074a654e9795ccc7a993b83cbc0f81e3f6fef0455c8b7a089a3c06dbf,criminal-courts-australia,sha256:343cd3c03fc96ba7c91d1d67dae67c895188662416340bad3a32c331fc9029db,tidy.table-family-acceptance/v2,sha256:dc0c7209d6c4d99c0ce2672ab61f5d53ca75f2596de9b622fb28aa461d9bff2c,sha256:659625ef0a09355367ee10256f80d3e9d4aff5cf5e4e3e1407c4c72c50007698,sha256:cb734fc12ec11dda55620b4a9297a60ee8a140eb23cf524ef703caf9317b6d33,human-authored/deterministic-map-v1,replay:sha256:9ecb3c249fb0e0eb4e389dee90cd84160690fe60030537d79d391634dd3c6460,011 Murder,011 Murder,2020–21,Custodial orders,Principal FDV offence,"FDV Table 3 – Experimental data – Family and domestic violence defendants with a guilty outcome, Summary characteristics by sentence, Australia, 2020–21 to 2021–22","FDV Table 3 – Experimental data – Family and domestic violence defendants with a guilty outcome, Summary characteristics by sentence, Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_011_MURDER,COUNT,2021-06-30,SENTENCE_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,GROUP_PRINCIPAL_FDV_OFFENCE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,16,observed,16,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 3,R59C2,sha256:491555a074a654e9795ccc7a993b83cbc0f81e3f6fef0455c8b7a089a3c06dbf,criminal-courts-australia,sha256:343cd3c03fc96ba7c91d1d67dae67c895188662416340bad3a32c331fc9029db,tidy.table-family-acceptance/v2,sha256:dc0c7209d6c4d99c0ce2672ab61f5d53ca75f2596de9b622fb28aa461d9bff2c,sha256:659625ef0a09355367ee10256f80d3e9d4aff5cf5e4e3e1407c4c72c50007698,sha256:cb734fc12ec11dda55620b4a9297a60ee8a140eb23cf524ef703caf9317b6d33,human-authored/deterministic-map-v1,replay:sha256:9ecb3c249fb0e0eb4e389dee90cd84160690fe60030537d79d391634dd3c6460,011 Murder,011 Murder,2020–21,Custody in a correctional institution,Principal FDV offence,"FDV Table 3 – Experimental data – Family and domestic violence defendants with a guilty outcome, Summary characteristics by sentence, Australia, 2020–21 to 2021–22","FDV Table 3 – Experimental data – Family and domestic violence defendants with a guilty outcome, Summary characteristics by sentence, Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_011_MURDER,COUNT,2021-06-30,SENTENCE_NON_CUSTODIAL_ORDERS,GROUP_PRINCIPAL_FDV_OFFENCE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,3,observed,3,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 3,R59C6,sha256:491555a074a654e9795ccc7a993b83cbc0f81e3f6fef0455c8b7a089a3c06dbf,criminal-courts-australia,sha256:343cd3c03fc96ba7c91d1d67dae67c895188662416340bad3a32c331fc9029db,tidy.table-family-acceptance/v2,sha256:dc0c7209d6c4d99c0ce2672ab61f5d53ca75f2596de9b622fb28aa461d9bff2c,sha256:659625ef0a09355367ee10256f80d3e9d4aff5cf5e4e3e1407c4c72c50007698,sha256:cb734fc12ec11dda55620b4a9297a60ee8a140eb23cf524ef703caf9317b6d33,human-authored/deterministic-map-v1,replay:sha256:9ecb3c249fb0e0eb4e389dee90cd84160690fe60030537d79d391634dd3c6460,011 Murder,011 Murder,2020–21,Non-custodial orders,Principal FDV offence,"FDV Table 3 – Experimental data – Family and domestic violence defendants with a guilty outcome, Summary characteristics by sentence, Australia, 2020–21 to 2021–22","FDV Table 3 – Experimental data – Family and domestic violence defendants with a guilty outcome, Summary characteristics by sentence, Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_011_MURDER,COUNT,2021-06-30,SENTENCE_OTHER_NON_CUSTODIAL_ORDERS,GROUP_PRINCIPAL_FDV_OFFENCE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,3,observed,3,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 3,R59C5,sha256:491555a074a654e9795ccc7a993b83cbc0f81e3f6fef0455c8b7a089a3c06dbf,criminal-courts-australia,sha256:343cd3c03fc96ba7c91d1d67dae67c895188662416340bad3a32c331fc9029db,tidy.table-family-acceptance/v2,sha256:dc0c7209d6c4d99c0ce2672ab61f5d53ca75f2596de9b622fb28aa461d9bff2c,sha256:659625ef0a09355367ee10256f80d3e9d4aff5cf5e4e3e1407c4c72c50007698,sha256:cb734fc12ec11dda55620b4a9297a60ee8a140eb23cf524ef703caf9317b6d33,human-authored/deterministic-map-v1,replay:sha256:9ecb3c249fb0e0eb4e389dee90cd84160690fe60030537d79d391634dd3c6460,011 Murder,011 Murder,2020–21,Other non-custodial orders,Principal FDV offence,"FDV Table 3 – Experimental data – Family and domestic violence defendants with a guilty outcome, Summary characteristics by sentence, Australia, 2020–21 to 2021–22","FDV Table 3 – Experimental data – Family and domestic violence defendants with a guilty outcome, Summary characteristics by sentence, Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_011_MURDER,COUNT,2021-06-30,SENTENCE_TOTAL,GROUP_PRINCIPAL_FDV_OFFENCE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,18,observed,18,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 3,R59C7,sha256:491555a074a654e9795ccc7a993b83cbc0f81e3f6fef0455c8b7a089a3c06dbf,criminal-courts-australia,sha256:343cd3c03fc96ba7c91d1d67dae67c895188662416340bad3a32c331fc9029db,tidy.table-family-acceptance/v2,sha256:dc0c7209d6c4d99c0ce2672ab61f5d53ca75f2596de9b622fb28aa461d9bff2c,sha256:659625ef0a09355367ee10256f80d3e9d4aff5cf5e4e3e1407c4c72c50007698,sha256:cb734fc12ec11dda55620b4a9297a60ee8a140eb23cf524ef703caf9317b6d33,human-authored/deterministic-map-v1,replay:sha256:9ecb3c249fb0e0eb4e389dee90cd84160690fe60030537d79d391634dd3c6460,011 Murder,011 Murder,2020–21,Total,Principal FDV offence,"FDV Table 3 – Experimental data – Family and domestic violence defendants with a guilty outcome, Summary characteristics by sentence, Australia, 2020–21 to 2021–22","FDV Table 3 – Experimental data – Family and domestic violence defendants with a guilty outcome, Summary characteristics by sentence, Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_012_ATTEMPTED_MURDER,COUNT,2021-06-30,SENTENCE_COMMUNITY_SUPERVISION_WORK_ORDERS,GROUP_PRINCIPAL_FDV_OFFENCE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,0,observed,0,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 3,R60C4,sha256:491555a074a654e9795ccc7a993b83cbc0f81e3f6fef0455c8b7a089a3c06dbf,criminal-courts-australia,sha256:343cd3c03fc96ba7c91d1d67dae67c895188662416340bad3a32c331fc9029db,tidy.table-family-acceptance/v2,sha256:dc0c7209d6c4d99c0ce2672ab61f5d53ca75f2596de9b622fb28aa461d9bff2c,sha256:659625ef0a09355367ee10256f80d3e9d4aff5cf5e4e3e1407c4c72c50007698,sha256:cb734fc12ec11dda55620b4a9297a60ee8a140eb23cf524ef703caf9317b6d33,human-authored/deterministic-map-v1,replay:sha256:9ecb3c249fb0e0eb4e389dee90cd84160690fe60030537d79d391634dd3c6460,012 Attempted murder,012 Attempted murder,2020–21,Community supervision/ work orders,Principal FDV offence,"FDV Table 3 – Experimental data – Family and domestic violence defendants with a guilty outcome, Summary characteristics by sentence, Australia, 2020–21 to 2021–22","FDV Table 3 – Experimental data – Family and domestic violence defendants with a guilty outcome, Summary characteristics by sentence, Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_012_ATTEMPTED_MURDER,COUNT,2021-06-30,SENTENCE_CUSTODIAL_ORDERS,GROUP_PRINCIPAL_FDV_OFFENCE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,4,observed,4,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 3,R60C3,sha256:491555a074a654e9795ccc7a993b83cbc0f81e3f6fef0455c8b7a089a3c06dbf,criminal-courts-australia,sha256:343cd3c03fc96ba7c91d1d67dae67c895188662416340bad3a32c331fc9029db,tidy.table-family-acceptance/v2,sha256:dc0c7209d6c4d99c0ce2672ab61f5d53ca75f2596de9b622fb28aa461d9bff2c,sha256:659625ef0a09355367ee10256f80d3e9d4aff5cf5e4e3e1407c4c72c50007698,sha256:cb734fc12ec11dda55620b4a9297a60ee8a140eb23cf524ef703caf9317b6d33,human-authored/deterministic-map-v1,replay:sha256:9ecb3c249fb0e0eb4e389dee90cd84160690fe60030537d79d391634dd3c6460,012 Attempted murder,012 Attempted murder,2020–21,Custodial orders,Principal FDV offence,"FDV Table 3 – Experimental data – Family and domestic violence defendants with a guilty outcome, Summary characteristics by sentence, Australia, 2020–21 to 2021–22","FDV Table 3 – Experimental data – Family and domestic violence defendants with a guilty outcome, Summary characteristics by sentence, Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_012_ATTEMPTED_MURDER,COUNT,2021-06-30,SENTENCE_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,GROUP_PRINCIPAL_FDV_OFFENCE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,4,observed,4,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 3,R60C2,sha256:491555a074a654e9795ccc7a993b83cbc0f81e3f6fef0455c8b7a089a3c06dbf,criminal-courts-australia,sha256:343cd3c03fc96ba7c91d1d67dae67c895188662416340bad3a32c331fc9029db,tidy.table-family-acceptance/v2,sha256:dc0c7209d6c4d99c0ce2672ab61f5d53ca75f2596de9b622fb28aa461d9bff2c,sha256:659625ef0a09355367ee10256f80d3e9d4aff5cf5e4e3e1407c4c72c50007698,sha256:cb734fc12ec11dda55620b4a9297a60ee8a140eb23cf524ef703caf9317b6d33,human-authored/deterministic-map-v1,replay:sha256:9ecb3c249fb0e0eb4e389dee90cd84160690fe60030537d79d391634dd3c6460,012 Attempted murder,012 Attempted murder,2020–21,Custody in a correctional institution,Principal FDV offence,"FDV Table 3 – Experimental data – Family and domestic violence defendants with a guilty outcome, Summary characteristics by sentence, Australia, 2020–21 to 2021–22","FDV Table 3 – Experimental data – Family and domestic violence defendants with a guilty outcome, Summary characteristics by sentence, Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_012_ATTEMPTED_MURDER,COUNT,2021-06-30,SENTENCE_NON_CUSTODIAL_ORDERS,GROUP_PRINCIPAL_FDV_OFFENCE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,0,observed,0,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 3,R60C6,sha256:491555a074a654e9795ccc7a993b83cbc0f81e3f6fef0455c8b7a089a3c06dbf,criminal-courts-australia,sha256:343cd3c03fc96ba7c91d1d67dae67c895188662416340bad3a32c331fc9029db,tidy.table-family-acceptance/v2,sha256:dc0c7209d6c4d99c0ce2672ab61f5d53ca75f2596de9b622fb28aa461d9bff2c,sha256:659625ef0a09355367ee10256f80d3e9d4aff5cf5e4e3e1407c4c72c50007698,sha256:cb734fc12ec11dda55620b4a9297a60ee8a140eb23cf524ef703caf9317b6d33,human-authored/deterministic-map-v1,replay:sha256:9ecb3c249fb0e0eb4e389dee90cd84160690fe60030537d79d391634dd3c6460,012 Attempted murder,012 Attempted murder,2020–21,Non-custodial orders,Principal FDV offence,"FDV Table 3 – Experimental data – Family and domestic violence defendants with a guilty outcome, Summary characteristics by sentence, Australia, 2020–21 to 2021–22","FDV Table 3 – Experimental data – Family and domestic violence defendants with a guilty outcome, Summary characteristics by sentence, Australia, 2020–21 to 2021–22"
