publication_vintage_date,reference_date,age_group_id,observation_period_id,sex_id,statistic_basis_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_age_group,raw_observation_period,raw_sex,raw_statistic_basis
2022-06-30,2009-06-30,AGE_10_14,2009-06-30,FEMALE,COUNT,offender-count,person,7109,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R25C2,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,10–14 years,2008–09,Females,Number
2022-06-30,2009-06-30,AGE_10_14,2009-06-30,FEMALE,RATE,offender-rate,per-100000-persons-aged-10-plus,1055.2,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R25C16,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,10–14 years,2008–09,Females,Offender rate(a)
2022-06-30,2009-06-30,AGE_10_14,2009-06-30,MALE,COUNT,offender-count,person,14951,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R8C2,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,10–14 years,2008–09,Males,Number
2022-06-30,2009-06-30,AGE_10_14,2009-06-30,MALE,RATE,offender-rate,per-100000-persons-aged-10-plus,2103.6,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R8C16,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,10–14 years,2008–09,Males,Offender rate(a)
2022-06-30,2009-06-30,AGE_10_14,2009-06-30,PERSONS,COUNT,offender-count,person,22108,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R42C2,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,10–14 years,2008–09,Persons(c),Number
2022-06-30,2009-06-30,AGE_10_14,2009-06-30,PERSONS,RATE,offender-rate,per-100000-persons-aged-10-plus,1596.9,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R42C16,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,10–14 years,2008–09,Persons(c),Offender rate(a)
2022-06-30,2009-06-30,AGE_15_19,2009-06-30,FEMALE,COUNT,offender-count,person,20767,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R26C2,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,15–19 years,2008–09,Females,Number
2022-06-30,2009-06-30,AGE_15_19,2009-06-30,FEMALE,RATE,offender-rate,per-100000-persons-aged-10-plus,2936.2,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R26C16,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,15–19 years,2008–09,Females,Offender rate(a)
2022-06-30,2009-06-30,AGE_15_19,2009-06-30,MALE,COUNT,offender-count,person,66852,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R9C2,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,15–19 years,2008–09,Males,Number
2022-06-30,2009-06-30,AGE_15_19,2009-06-30,MALE,RATE,offender-rate,per-100000-persons-aged-10-plus,8942.3,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R9C16,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,15–19 years,2008–09,Males,Offender rate(a)
