publication_vintage_date,reference_date,age_group_id,observation_period_id,sex_id,statistic_basis_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_age_group,raw_observation_period,raw_sex,raw_statistic_basis
2022-06-30,2009-06-30,AGE_15_19,2009-06-30,PERSONS,COUNT,offender-count,person,87736,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R43C2,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,15–19 years,2008–09,Persons(c),Number
2022-06-30,2009-06-30,AGE_15_19,2009-06-30,PERSONS,RATE,offender-rate,per-100000-persons-aged-10-plus,6030.5,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R43C16,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,15–19 years,2008–09,Persons(c),Offender rate(a)
2022-06-30,2009-06-30,AGE_20_24,2009-06-30,FEMALE,COUNT,offender-count,person,13196,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R27C2,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,20–24 years,2008–09,Females,Number
2022-06-30,2009-06-30,AGE_20_24,2009-06-30,FEMALE,RATE,offender-rate,per-100000-persons-aged-10-plus,1747.9,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R27C16,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,20–24 years,2008–09,Females,Offender rate(a)
2022-06-30,2009-06-30,AGE_20_24,2009-06-30,MALE,COUNT,offender-count,person,59424,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R10C2,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,20–24 years,2008–09,Males,Number
2022-06-30,2009-06-30,AGE_20_24,2009-06-30,MALE,RATE,offender-rate,per-100000-persons-aged-10-plus,7453.7,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R10C16,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,20–24 years,2008–09,Males,Offender rate(a)
2022-06-30,2009-06-30,AGE_20_24,2009-06-30,PERSONS,COUNT,offender-count,person,72736,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R44C2,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,20–24 years,2008–09,Persons(c),Number
2022-06-30,2009-06-30,AGE_20_24,2009-06-30,PERSONS,RATE,offender-rate,per-100000-persons-aged-10-plus,4686,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R44C16,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,20–24 years,2008–09,Persons(c),Offender rate(a)
2022-06-30,2009-06-30,AGE_25_29,2009-06-30,FEMALE,COUNT,offender-count,person,9971,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R28C2,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,25–29 years,2008–09,Females,Number
2022-06-30,2009-06-30,AGE_25_29,2009-06-30,FEMALE,RATE,offender-rate,per-100000-persons-aged-10-plus,1314.4,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R28C16,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,25–29 years,2008–09,Females,Offender rate(a)
2022-06-30,2009-06-30,AGE_25_29,2009-06-30,MALE,COUNT,offender-count,person,41710,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R11C2,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,25–29 years,2008–09,Males,Number
2022-06-30,2009-06-30,AGE_25_29,2009-06-30,MALE,RATE,offender-rate,per-100000-persons-aged-10-plus,5342.2,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R11C16,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,25–29 years,2008–09,Males,Offender rate(a)
2022-06-30,2009-06-30,AGE_25_29,2009-06-30,PERSONS,COUNT,offender-count,person,51761,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R45C2,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,25–29 years,2008–09,Persons(c),Number
2022-06-30,2009-06-30,AGE_25_29,2009-06-30,PERSONS,RATE,offender-rate,per-100000-persons-aged-10-plus,3362.4,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R45C16,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,25–29 years,2008–09,Persons(c),Offender rate(a)
2022-06-30,2009-06-30,AGE_30_34,2009-06-30,FEMALE,COUNT,offender-count,person,8212,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R29C2,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,30–34 years,2008–09,Females,Number
2022-06-30,2009-06-30,AGE_30_34,2009-06-30,FEMALE,RATE,offender-rate,per-100000-persons-aged-10-plus,1117.7,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R29C16,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,30–34 years,2008–09,Females,Offender rate(a)
2022-06-30,2009-06-30,AGE_30_34,2009-06-30,MALE,COUNT,offender-count,person,30942,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R12C2,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,30–34 years,2008–09,Males,Number
2022-06-30,2009-06-30,AGE_30_34,2009-06-30,MALE,RATE,offender-rate,per-100000-persons-aged-10-plus,4217.3,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R12C16,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,30–34 years,2008–09,Males,Offender rate(a)
2022-06-30,2009-06-30,AGE_30_34,2009-06-30,PERSONS,COUNT,offender-count,person,39224,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R46C2,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,30–34 years,2008–09,Persons(c),Number
2022-06-30,2009-06-30,AGE_30_34,2009-06-30,PERSONS,RATE,offender-rate,per-100000-persons-aged-10-plus,2671.2,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 5,R46C16,sha256:2378034d29541714f7e8deacacb5d0e09145b8d1dc3a88059955232df11f5afc,recorded-crime-offenders,sha256:20d80007faa099eb731c8077d80f8659e6f290c1e13c4ded17df62e8c13c44b0,tidy.table-family-acceptance/v1,sha256:2b08b5b44a606cd542b961d60af82812c089283b4539c9207fb874d44ef6ac3d,sha256:c451e555b987f60a95bb11182191b550afd3f0951855d8b05457dd317649deef,sha256:b1a22e9eced6af64e67fb8800014ad3641f6f1a070fe6dc4edfacac592f271e9,human-authored/deterministic-map-v1,replay:sha256:8ead92e0f50677d69f712cd78e8f29ed0e13514b52863f013ce0cd66919876e0,30–34 years,2008–09,Persons(c),Offender rate(a)
