publication_vintage_date,reference_date,principal_offence_id,sentence_statistic_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_sentence_statistic
2023-06-30,2023-06-30,ANZSOC_2011_021_ASSAULT,SENTENCE_FINES,defendant-count,person,28,observed,28,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 76,R8C7,sha256:87cf68631c4d9c451274bb82126030f7d5fa443e853aa431dadef1a654b06924,criminal-courts-australia,sha256:41e1e7da9b6b043c1d5f4a7cdae22d0715c74cbc3e86ed517dcfe1690acbcaea,tidy.table-family-acceptance/v1,sha256:710211ec74cf5212486e9150d6374298802ad1db3ac21e153d2f22a8196465ca,sha256:dfef7892e37146fe435b4e26805363f14e5436d57bfb8936d232a29f8c0d6be0,sha256:0a15a6dd5d1dd5e6524740a3cd7048c140cd356d7de2f25427a5e2fc8472a711,human-authored/deterministic-map-v1,replay:sha256:c1da17118486b455473083c4b77a4ae36c3e124d9cb089692c0f9a59055b507f,021 Assault,Fines
2023-06-30,2023-06-30,ANZSOC_2011_021_ASSAULT,SENTENCE_FULLY_SUSPENDED_JUVENILE_SENTENCE,defendant-count,person,63,observed,63,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 76,R8C4,sha256:87cf68631c4d9c451274bb82126030f7d5fa443e853aa431dadef1a654b06924,criminal-courts-australia,sha256:41e1e7da9b6b043c1d5f4a7cdae22d0715c74cbc3e86ed517dcfe1690acbcaea,tidy.table-family-acceptance/v1,sha256:710211ec74cf5212486e9150d6374298802ad1db3ac21e153d2f22a8196465ca,sha256:dfef7892e37146fe435b4e26805363f14e5436d57bfb8936d232a29f8c0d6be0,sha256:0a15a6dd5d1dd5e6524740a3cd7048c140cd356d7de2f25427a5e2fc8472a711,human-authored/deterministic-map-v1,replay:sha256:c1da17118486b455473083c4b77a4ae36c3e124d9cb089692c0f9a59055b507f,021 Assault,Fully suspended juvenile sentence
2023-06-30,2023-06-30,ANZSOC_2011_021_ASSAULT,SENTENCE_GOOD_BEHAVIOUR_INCL_BONDS,defendant-count,person,589,observed,589,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 76,R8C8,sha256:87cf68631c4d9c451274bb82126030f7d5fa443e853aa431dadef1a654b06924,criminal-courts-australia,sha256:41e1e7da9b6b043c1d5f4a7cdae22d0715c74cbc3e86ed517dcfe1690acbcaea,tidy.table-family-acceptance/v1,sha256:710211ec74cf5212486e9150d6374298802ad1db3ac21e153d2f22a8196465ca,sha256:dfef7892e37146fe435b4e26805363f14e5436d57bfb8936d232a29f8c0d6be0,sha256:0a15a6dd5d1dd5e6524740a3cd7048c140cd356d7de2f25427a5e2fc8472a711,human-authored/deterministic-map-v1,replay:sha256:c1da17118486b455473083c4b77a4ae36c3e124d9cb089692c0f9a59055b507f,021 Assault,Good behaviour (incl. bonds)
2023-06-30,2023-06-30,ANZSOC_2011_021_ASSAULT,SENTENCE_INTENSIVE_PENALTY_IN_THE_COMMUNITY,defendant-count,person,171,observed,171,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 76,R8C3,sha256:87cf68631c4d9c451274bb82126030f7d5fa443e853aa431dadef1a654b06924,criminal-courts-australia,sha256:41e1e7da9b6b043c1d5f4a7cdae22d0715c74cbc3e86ed517dcfe1690acbcaea,tidy.table-family-acceptance/v1,sha256:710211ec74cf5212486e9150d6374298802ad1db3ac21e153d2f22a8196465ca,sha256:dfef7892e37146fe435b4e26805363f14e5436d57bfb8936d232a29f8c0d6be0,sha256:0a15a6dd5d1dd5e6524740a3cd7048c140cd356d7de2f25427a5e2fc8472a711,human-authored/deterministic-map-v1,replay:sha256:c1da17118486b455473083c4b77a4ae36c3e124d9cb089692c0f9a59055b507f,021 Assault,Intensive penalty in the community
2023-06-30,2023-06-30,ANZSOC_2011_021_ASSAULT,SENTENCE_JUVENILE_DETENTION,defendant-count,person,130,observed,130,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 76,R8C2,sha256:87cf68631c4d9c451274bb82126030f7d5fa443e853aa431dadef1a654b06924,criminal-courts-australia,sha256:41e1e7da9b6b043c1d5f4a7cdae22d0715c74cbc3e86ed517dcfe1690acbcaea,tidy.table-family-acceptance/v1,sha256:710211ec74cf5212486e9150d6374298802ad1db3ac21e153d2f22a8196465ca,sha256:dfef7892e37146fe435b4e26805363f14e5436d57bfb8936d232a29f8c0d6be0,sha256:0a15a6dd5d1dd5e6524740a3cd7048c140cd356d7de2f25427a5e2fc8472a711,human-authored/deterministic-map-v1,replay:sha256:c1da17118486b455473083c4b77a4ae36c3e124d9cb089692c0f9a59055b507f,021 Assault,Juvenile detention
2023-06-30,2023-06-30,ANZSOC_2011_021_ASSAULT,SENTENCE_MODERATE_PENALTY_IN_THE_COMMUNITY,defendant-count,person,952,observed,952,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 76,R8C6,sha256:87cf68631c4d9c451274bb82126030f7d5fa443e853aa431dadef1a654b06924,criminal-courts-australia,sha256:41e1e7da9b6b043c1d5f4a7cdae22d0715c74cbc3e86ed517dcfe1690acbcaea,tidy.table-family-acceptance/v1,sha256:710211ec74cf5212486e9150d6374298802ad1db3ac21e153d2f22a8196465ca,sha256:dfef7892e37146fe435b4e26805363f14e5436d57bfb8936d232a29f8c0d6be0,sha256:0a15a6dd5d1dd5e6524740a3cd7048c140cd356d7de2f25427a5e2fc8472a711,human-authored/deterministic-map-v1,replay:sha256:c1da17118486b455473083c4b77a4ae36c3e124d9cb089692c0f9a59055b507f,021 Assault, Moderate penalty in the community
2023-06-30,2023-06-30,ANZSOC_2011_021_ASSAULT,SENTENCE_NOMINAL_AND_OTHER_PENALTIES,defendant-count,person,1526,observed,1526,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 76,R8C9,sha256:87cf68631c4d9c451274bb82126030f7d5fa443e853aa431dadef1a654b06924,criminal-courts-australia,sha256:41e1e7da9b6b043c1d5f4a7cdae22d0715c74cbc3e86ed517dcfe1690acbcaea,tidy.table-family-acceptance/v1,sha256:710211ec74cf5212486e9150d6374298802ad1db3ac21e153d2f22a8196465ca,sha256:dfef7892e37146fe435b4e26805363f14e5436d57bfb8936d232a29f8c0d6be0,sha256:0a15a6dd5d1dd5e6524740a3cd7048c140cd356d7de2f25427a5e2fc8472a711,human-authored/deterministic-map-v1,replay:sha256:c1da17118486b455473083c4b77a4ae36c3e124d9cb089692c0f9a59055b507f,021 Assault,Nominal and other penalties
2023-06-30,2023-06-30,ANZSOC_2011_021_ASSAULT,SENTENCE_TOTAL,defendant-count,person,3590,observed,3590,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 76,R8C10,sha256:87cf68631c4d9c451274bb82126030f7d5fa443e853aa431dadef1a654b06924,criminal-courts-australia,sha256:41e1e7da9b6b043c1d5f4a7cdae22d0715c74cbc3e86ed517dcfe1690acbcaea,tidy.table-family-acceptance/v1,sha256:710211ec74cf5212486e9150d6374298802ad1db3ac21e153d2f22a8196465ca,sha256:dfef7892e37146fe435b4e26805363f14e5436d57bfb8936d232a29f8c0d6be0,sha256:0a15a6dd5d1dd5e6524740a3cd7048c140cd356d7de2f25427a5e2fc8472a711,human-authored/deterministic-map-v1,replay:sha256:c1da17118486b455473083c4b77a4ae36c3e124d9cb089692c0f9a59055b507f,021 Assault,Total
2023-06-30,2023-06-30,ANZSOC_2011_029_OTHER_ACTS_INTENDED_TO_CAUSE_INJURY,SENTENCE_COMMUNITY_SERVICE_WORK,defendant-count,person,3,observed,3,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 76,R9C5,sha256:87cf68631c4d9c451274bb82126030f7d5fa443e853aa431dadef1a654b06924,criminal-courts-australia,sha256:41e1e7da9b6b043c1d5f4a7cdae22d0715c74cbc3e86ed517dcfe1690acbcaea,tidy.table-family-acceptance/v1,sha256:710211ec74cf5212486e9150d6374298802ad1db3ac21e153d2f22a8196465ca,sha256:dfef7892e37146fe435b4e26805363f14e5436d57bfb8936d232a29f8c0d6be0,sha256:0a15a6dd5d1dd5e6524740a3cd7048c140cd356d7de2f25427a5e2fc8472a711,human-authored/deterministic-map-v1,replay:sha256:c1da17118486b455473083c4b77a4ae36c3e124d9cb089692c0f9a59055b507f,029 Other acts intended to cause injury,Community service / work
2023-06-30,2023-06-30,ANZSOC_2011_029_OTHER_ACTS_INTENDED_TO_CAUSE_INJURY,SENTENCE_FINES,defendant-count,person,4,observed,4,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 76,R9C7,sha256:87cf68631c4d9c451274bb82126030f7d5fa443e853aa431dadef1a654b06924,criminal-courts-australia,sha256:41e1e7da9b6b043c1d5f4a7cdae22d0715c74cbc3e86ed517dcfe1690acbcaea,tidy.table-family-acceptance/v1,sha256:710211ec74cf5212486e9150d6374298802ad1db3ac21e153d2f22a8196465ca,sha256:dfef7892e37146fe435b4e26805363f14e5436d57bfb8936d232a29f8c0d6be0,sha256:0a15a6dd5d1dd5e6524740a3cd7048c140cd356d7de2f25427a5e2fc8472a711,human-authored/deterministic-map-v1,replay:sha256:c1da17118486b455473083c4b77a4ae36c3e124d9cb089692c0f9a59055b507f,029 Other acts intended to cause injury,Fines
