reference_date,jurisdiction_id,indigenous_status_id,expected_time_to_serve_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_jurisdiction,raw_indigenous_status,raw_expected_time_to_serve
2021-06-30,ACT,INDIGENOUS,YEARS_1_TO_UNDER_2,prisoner-count,person,10,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_28,R10C9,sha256:f9a2187c7ddad23dbe878a828871981b3dd59ceb4ef293d9951f4da1c7ed6442,prisoners-in-australia,sha256:719b7986f58e7076f8cd568c5e61ecf2ca97fc9c83afd9e3d2390e7ebb990305,tidy.table-family-acceptance/v1,sha256:7e063f9cd4b9d03bb1ca3b6c6ebb6d2817359967fda869da3b6cd8df65ba8bce,sha256:20f6acc0ca5647bbf70753baab8ef9266d663e4a2576262d9dd861a15b3f2eb8,sha256:6c1f4001e3a6fd3a669668cecb2749c7a6b8c89f57e3806a0613c857f42e62df,openai-codex/gpt-5.6-sol,replay:sha256:f5b0fa26cf64f9e1e2f37c5cf68dc24762bda64cbc3bd7e705dcb24fdadd83ca,ACT,ABORIGINAL AND TORRES STRAIT ISLANDER,1 & under 2 years
2021-06-30,ACT,INDIGENOUS,YEARS_20_PLUS,prisoner-count,person,0,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_28,R15C9,sha256:f9a2187c7ddad23dbe878a828871981b3dd59ceb4ef293d9951f4da1c7ed6442,prisoners-in-australia,sha256:719b7986f58e7076f8cd568c5e61ecf2ca97fc9c83afd9e3d2390e7ebb990305,tidy.table-family-acceptance/v1,sha256:7e063f9cd4b9d03bb1ca3b6c6ebb6d2817359967fda869da3b6cd8df65ba8bce,sha256:20f6acc0ca5647bbf70753baab8ef9266d663e4a2576262d9dd861a15b3f2eb8,sha256:6c1f4001e3a6fd3a669668cecb2749c7a6b8c89f57e3806a0613c857f42e62df,openai-codex/gpt-5.6-sol,replay:sha256:f5b0fa26cf64f9e1e2f37c5cf68dc24762bda64cbc3bd7e705dcb24fdadd83ca,ACT,ABORIGINAL AND TORRES STRAIT ISLANDER,20 years & over
2021-06-30,ACT,INDIGENOUS,YEARS_2_TO_UNDER_5,prisoner-count,person,17,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_28,R11C9,sha256:f9a2187c7ddad23dbe878a828871981b3dd59ceb4ef293d9951f4da1c7ed6442,prisoners-in-australia,sha256:719b7986f58e7076f8cd568c5e61ecf2ca97fc9c83afd9e3d2390e7ebb990305,tidy.table-family-acceptance/v1,sha256:7e063f9cd4b9d03bb1ca3b6c6ebb6d2817359967fda869da3b6cd8df65ba8bce,sha256:20f6acc0ca5647bbf70753baab8ef9266d663e4a2576262d9dd861a15b3f2eb8,sha256:6c1f4001e3a6fd3a669668cecb2749c7a6b8c89f57e3806a0613c857f42e62df,openai-codex/gpt-5.6-sol,replay:sha256:f5b0fa26cf64f9e1e2f37c5cf68dc24762bda64cbc3bd7e705dcb24fdadd83ca,ACT,ABORIGINAL AND TORRES STRAIT ISLANDER,2 & under 5 years
2021-06-30,ACT,INDIGENOUS,YEARS_5_TO_UNDER_10,prisoner-count,person,9,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_28,R12C9,sha256:f9a2187c7ddad23dbe878a828871981b3dd59ceb4ef293d9951f4da1c7ed6442,prisoners-in-australia,sha256:719b7986f58e7076f8cd568c5e61ecf2ca97fc9c83afd9e3d2390e7ebb990305,tidy.table-family-acceptance/v1,sha256:7e063f9cd4b9d03bb1ca3b6c6ebb6d2817359967fda869da3b6cd8df65ba8bce,sha256:20f6acc0ca5647bbf70753baab8ef9266d663e4a2576262d9dd861a15b3f2eb8,sha256:6c1f4001e3a6fd3a669668cecb2749c7a6b8c89f57e3806a0613c857f42e62df,openai-codex/gpt-5.6-sol,replay:sha256:f5b0fa26cf64f9e1e2f37c5cf68dc24762bda64cbc3bd7e705dcb24fdadd83ca,ACT,ABORIGINAL AND TORRES STRAIT ISLANDER,5 & under 10 years
2021-06-30,ACT,NON_INDIGENOUS,LIFE,prisoner-count,person,3,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_28,R32C9,sha256:f9a2187c7ddad23dbe878a828871981b3dd59ceb4ef293d9951f4da1c7ed6442,prisoners-in-australia,sha256:719b7986f58e7076f8cd568c5e61ecf2ca97fc9c83afd9e3d2390e7ebb990305,tidy.table-family-acceptance/v1,sha256:7e063f9cd4b9d03bb1ca3b6c6ebb6d2817359967fda869da3b6cd8df65ba8bce,sha256:20f6acc0ca5647bbf70753baab8ef9266d663e4a2576262d9dd861a15b3f2eb8,sha256:6c1f4001e3a6fd3a669668cecb2749c7a6b8c89f57e3806a0613c857f42e62df,openai-codex/gpt-5.6-sol,replay:sha256:f5b0fa26cf64f9e1e2f37c5cf68dc24762bda64cbc3bd7e705dcb24fdadd83ca,ACT,NON-INDIGENOUS,Life
2021-06-30,ACT,NON_INDIGENOUS,MEAN,mean-years,year,3.9,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_28,R36C9,sha256:f9a2187c7ddad23dbe878a828871981b3dd59ceb4ef293d9951f4da1c7ed6442,prisoners-in-australia,sha256:719b7986f58e7076f8cd568c5e61ecf2ca97fc9c83afd9e3d2390e7ebb990305,tidy.table-family-acceptance/v1,sha256:7e063f9cd4b9d03bb1ca3b6c6ebb6d2817359967fda869da3b6cd8df65ba8bce,sha256:20f6acc0ca5647bbf70753baab8ef9266d663e4a2576262d9dd861a15b3f2eb8,sha256:6c1f4001e3a6fd3a669668cecb2749c7a6b8c89f57e3806a0613c857f42e62df,openai-codex/gpt-5.6-sol,replay:sha256:f5b0fa26cf64f9e1e2f37c5cf68dc24762bda64cbc3bd7e705dcb24fdadd83ca,ACT,NON-INDIGENOUS,Mean (years)
2021-06-30,ACT,NON_INDIGENOUS,MEDIAN,median-years,year,2.3,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_28,R37C9,sha256:f9a2187c7ddad23dbe878a828871981b3dd59ceb4ef293d9951f4da1c7ed6442,prisoners-in-australia,sha256:719b7986f58e7076f8cd568c5e61ecf2ca97fc9c83afd9e3d2390e7ebb990305,tidy.table-family-acceptance/v1,sha256:7e063f9cd4b9d03bb1ca3b6c6ebb6d2817359967fda869da3b6cd8df65ba8bce,sha256:20f6acc0ca5647bbf70753baab8ef9266d663e4a2576262d9dd861a15b3f2eb8,sha256:6c1f4001e3a6fd3a669668cecb2749c7a6b8c89f57e3806a0613c857f42e62df,openai-codex/gpt-5.6-sol,replay:sha256:f5b0fa26cf64f9e1e2f37c5cf68dc24762bda64cbc3bd7e705dcb24fdadd83ca,ACT,NON-INDIGENOUS,Median (years)
2021-06-30,ACT,NON_INDIGENOUS,MONTHS_3_TO_UNDER_6,prisoner-count,person,13,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_28,R24C9,sha256:f9a2187c7ddad23dbe878a828871981b3dd59ceb4ef293d9951f4da1c7ed6442,prisoners-in-australia,sha256:719b7986f58e7076f8cd568c5e61ecf2ca97fc9c83afd9e3d2390e7ebb990305,tidy.table-family-acceptance/v1,sha256:7e063f9cd4b9d03bb1ca3b6c6ebb6d2817359967fda869da3b6cd8df65ba8bce,sha256:20f6acc0ca5647bbf70753baab8ef9266d663e4a2576262d9dd861a15b3f2eb8,sha256:6c1f4001e3a6fd3a669668cecb2749c7a6b8c89f57e3806a0613c857f42e62df,openai-codex/gpt-5.6-sol,replay:sha256:f5b0fa26cf64f9e1e2f37c5cf68dc24762bda64cbc3bd7e705dcb24fdadd83ca,ACT,NON-INDIGENOUS,3 & under 6 months
2021-06-30,ACT,NON_INDIGENOUS,MONTHS_6_TO_UNDER_12,prisoner-count,person,27,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_28,R25C9,sha256:f9a2187c7ddad23dbe878a828871981b3dd59ceb4ef293d9951f4da1c7ed6442,prisoners-in-australia,sha256:719b7986f58e7076f8cd568c5e61ecf2ca97fc9c83afd9e3d2390e7ebb990305,tidy.table-family-acceptance/v1,sha256:7e063f9cd4b9d03bb1ca3b6c6ebb6d2817359967fda869da3b6cd8df65ba8bce,sha256:20f6acc0ca5647bbf70753baab8ef9266d663e4a2576262d9dd861a15b3f2eb8,sha256:6c1f4001e3a6fd3a669668cecb2749c7a6b8c89f57e3806a0613c857f42e62df,openai-codex/gpt-5.6-sol,replay:sha256:f5b0fa26cf64f9e1e2f37c5cf68dc24762bda64cbc3bd7e705dcb24fdadd83ca,ACT,NON-INDIGENOUS,6 & under 12 months
2021-06-30,ACT,NON_INDIGENOUS,OTHER,prisoner-count,person,0,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_28,R33C9,sha256:f9a2187c7ddad23dbe878a828871981b3dd59ceb4ef293d9951f4da1c7ed6442,prisoners-in-australia,sha256:719b7986f58e7076f8cd568c5e61ecf2ca97fc9c83afd9e3d2390e7ebb990305,tidy.table-family-acceptance/v1,sha256:7e063f9cd4b9d03bb1ca3b6c6ebb6d2817359967fda869da3b6cd8df65ba8bce,sha256:20f6acc0ca5647bbf70753baab8ef9266d663e4a2576262d9dd861a15b3f2eb8,sha256:6c1f4001e3a6fd3a669668cecb2749c7a6b8c89f57e3806a0613c857f42e62df,openai-codex/gpt-5.6-sol,replay:sha256:f5b0fa26cf64f9e1e2f37c5cf68dc24762bda64cbc3bd7e705dcb24fdadd83ca,ACT,NON-INDIGENOUS,Other
