reference_date,most_serious_offence_id,indigenous_status_id,expected_time_to_serve_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_most_serious_offence,raw_indigenous_status,raw_expected_time_to_serve
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,MEDIAN_YEARS_51edc4af,published-value,published-unit,14.1,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_12,R7C16,sha256:7e74cf05eb8d9ea03608f9978657492182c26b5149854d86a0e558dad677466d,prisoners-in-australia,sha256:1f8ae7322d5cc459229d70339c05bec77a9027338d9821166c0398dbc618b02b,tidy.table-family-acceptance/v2,sha256:9da10e6d2ce737bba7ac279ff246973a88be6c0390a318eeb6d94f88a1a0158e,sha256:d57296e4f0c7c6077fbff5760b4063d6e0f246503a0c3d470d18d8bed67e9b9b,sha256:7275d8e376139a6226d929a2afb9ca9988fa90dd3c080442f6c1e6e4654931a7,human-authored/deterministic-geometry-v1,replay:sha256:37fd35540a4acc64472256713f567094b136b23f51d75410a20bcc8bd9b4248f,01 Homicide and related offences,ABORIGINAL AND TORRES STRAIT ISLANDER,Median (years)
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,OTHER_1c55d9b8,published-value,published-unit,12,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_12,R7C12,sha256:7e74cf05eb8d9ea03608f9978657492182c26b5149854d86a0e558dad677466d,prisoners-in-australia,sha256:1f8ae7322d5cc459229d70339c05bec77a9027338d9821166c0398dbc618b02b,tidy.table-family-acceptance/v2,sha256:9da10e6d2ce737bba7ac279ff246973a88be6c0390a318eeb6d94f88a1a0158e,sha256:d57296e4f0c7c6077fbff5760b4063d6e0f246503a0c3d470d18d8bed67e9b9b,sha256:7275d8e376139a6226d929a2afb9ca9988fa90dd3c080442f6c1e6e4654931a7,human-authored/deterministic-geometry-v1,replay:sha256:37fd35540a4acc64472256713f567094b136b23f51d75410a20bcc8bd9b4248f,01 Homicide and related offences,ABORIGINAL AND TORRES STRAIT ISLANDER,Other
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,TOTAL_1d7c16e5,published-value,published-unit,5.8,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_12,R7C14,sha256:7e74cf05eb8d9ea03608f9978657492182c26b5149854d86a0e558dad677466d,prisoners-in-australia,sha256:1f8ae7322d5cc459229d70339c05bec77a9027338d9821166c0398dbc618b02b,tidy.table-family-acceptance/v2,sha256:9da10e6d2ce737bba7ac279ff246973a88be6c0390a318eeb6d94f88a1a0158e,sha256:d57296e4f0c7c6077fbff5760b4063d6e0f246503a0c3d470d18d8bed67e9b9b,sha256:7275d8e376139a6226d929a2afb9ca9988fa90dd3c080442f6c1e6e4654931a7,human-authored/deterministic-geometry-v1,replay:sha256:37fd35540a4acc64472256713f567094b136b23f51d75410a20bcc8bd9b4248f,01 Homicide and related offences,ABORIGINAL AND TORRES STRAIT ISLANDER,Total (%)
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,TOTAL_ab2882c8,published-value,published-unit,481,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_12,R7C13,sha256:7e74cf05eb8d9ea03608f9978657492182c26b5149854d86a0e558dad677466d,prisoners-in-australia,sha256:1f8ae7322d5cc459229d70339c05bec77a9027338d9821166c0398dbc618b02b,tidy.table-family-acceptance/v2,sha256:9da10e6d2ce737bba7ac279ff246973a88be6c0390a318eeb6d94f88a1a0158e,sha256:d57296e4f0c7c6077fbff5760b4063d6e0f246503a0c3d470d18d8bed67e9b9b,sha256:7275d8e376139a6226d929a2afb9ca9988fa90dd3c080442f6c1e6e4654931a7,human-authored/deterministic-geometry-v1,replay:sha256:37fd35540a4acc64472256713f567094b136b23f51d75410a20bcc8bd9b4248f,01 Homicide and related offences,ABORIGINAL AND TORRES STRAIT ISLANDER,Total
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,UNDER_3_MONTHS_51315264,published-value,published-unit,0,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_12,R7C2,sha256:7e74cf05eb8d9ea03608f9978657492182c26b5149854d86a0e558dad677466d,prisoners-in-australia,sha256:1f8ae7322d5cc459229d70339c05bec77a9027338d9821166c0398dbc618b02b,tidy.table-family-acceptance/v2,sha256:9da10e6d2ce737bba7ac279ff246973a88be6c0390a318eeb6d94f88a1a0158e,sha256:d57296e4f0c7c6077fbff5760b4063d6e0f246503a0c3d470d18d8bed67e9b9b,sha256:7275d8e376139a6226d929a2afb9ca9988fa90dd3c080442f6c1e6e4654931a7,human-authored/deterministic-geometry-v1,replay:sha256:37fd35540a4acc64472256713f567094b136b23f51d75410a20bcc8bd9b4248f,01 Homicide and related offences,ABORIGINAL AND TORRES STRAIT ISLANDER,Under 3 months
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,NON_INDIGENOUS_2f231fea,10_UNDER_15_YEARS_c3f4adc6,published-value,published-unit,255,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_12,R25C8,sha256:7e74cf05eb8d9ea03608f9978657492182c26b5149854d86a0e558dad677466d,prisoners-in-australia,sha256:1f8ae7322d5cc459229d70339c05bec77a9027338d9821166c0398dbc618b02b,tidy.table-family-acceptance/v2,sha256:9da10e6d2ce737bba7ac279ff246973a88be6c0390a318eeb6d94f88a1a0158e,sha256:d57296e4f0c7c6077fbff5760b4063d6e0f246503a0c3d470d18d8bed67e9b9b,sha256:7275d8e376139a6226d929a2afb9ca9988fa90dd3c080442f6c1e6e4654931a7,human-authored/deterministic-geometry-v1,replay:sha256:37fd35540a4acc64472256713f567094b136b23f51d75410a20bcc8bd9b4248f,01 Homicide and related offences,NON-INDIGENOUS,10 & under 15 years
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,NON_INDIGENOUS_2f231fea,15_UNDER_20_YEARS_52a374dc,published-value,published-unit,403,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_12,R25C9,sha256:7e74cf05eb8d9ea03608f9978657492182c26b5149854d86a0e558dad677466d,prisoners-in-australia,sha256:1f8ae7322d5cc459229d70339c05bec77a9027338d9821166c0398dbc618b02b,tidy.table-family-acceptance/v2,sha256:9da10e6d2ce737bba7ac279ff246973a88be6c0390a318eeb6d94f88a1a0158e,sha256:d57296e4f0c7c6077fbff5760b4063d6e0f246503a0c3d470d18d8bed67e9b9b,sha256:7275d8e376139a6226d929a2afb9ca9988fa90dd3c080442f6c1e6e4654931a7,human-authored/deterministic-geometry-v1,replay:sha256:37fd35540a4acc64472256713f567094b136b23f51d75410a20bcc8bd9b4248f,01 Homicide and related offences,NON-INDIGENOUS,15 & under 20 years
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,NON_INDIGENOUS_2f231fea,1_UNDER_2_YEARS_ada57682,published-value,published-unit,34,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_12,R25C5,sha256:7e74cf05eb8d9ea03608f9978657492182c26b5149854d86a0e558dad677466d,prisoners-in-australia,sha256:1f8ae7322d5cc459229d70339c05bec77a9027338d9821166c0398dbc618b02b,tidy.table-family-acceptance/v2,sha256:9da10e6d2ce737bba7ac279ff246973a88be6c0390a318eeb6d94f88a1a0158e,sha256:d57296e4f0c7c6077fbff5760b4063d6e0f246503a0c3d470d18d8bed67e9b9b,sha256:7275d8e376139a6226d929a2afb9ca9988fa90dd3c080442f6c1e6e4654931a7,human-authored/deterministic-geometry-v1,replay:sha256:37fd35540a4acc64472256713f567094b136b23f51d75410a20bcc8bd9b4248f,01 Homicide and related offences,NON-INDIGENOUS,1 & under 2 years
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,NON_INDIGENOUS_2f231fea,20_YEARS_OVER_d9ed9a94,published-value,published-unit,490,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_12,R25C10,sha256:7e74cf05eb8d9ea03608f9978657492182c26b5149854d86a0e558dad677466d,prisoners-in-australia,sha256:1f8ae7322d5cc459229d70339c05bec77a9027338d9821166c0398dbc618b02b,tidy.table-family-acceptance/v2,sha256:9da10e6d2ce737bba7ac279ff246973a88be6c0390a318eeb6d94f88a1a0158e,sha256:d57296e4f0c7c6077fbff5760b4063d6e0f246503a0c3d470d18d8bed67e9b9b,sha256:7275d8e376139a6226d929a2afb9ca9988fa90dd3c080442f6c1e6e4654931a7,human-authored/deterministic-geometry-v1,replay:sha256:37fd35540a4acc64472256713f567094b136b23f51d75410a20bcc8bd9b4248f,01 Homicide and related offences,NON-INDIGENOUS,20 years & over
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,NON_INDIGENOUS_2f231fea,2_UNDER_5_YEARS_c6777906,published-value,published-unit,157,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_12,R25C6,sha256:7e74cf05eb8d9ea03608f9978657492182c26b5149854d86a0e558dad677466d,prisoners-in-australia,sha256:1f8ae7322d5cc459229d70339c05bec77a9027338d9821166c0398dbc618b02b,tidy.table-family-acceptance/v2,sha256:9da10e6d2ce737bba7ac279ff246973a88be6c0390a318eeb6d94f88a1a0158e,sha256:d57296e4f0c7c6077fbff5760b4063d6e0f246503a0c3d470d18d8bed67e9b9b,sha256:7275d8e376139a6226d929a2afb9ca9988fa90dd3c080442f6c1e6e4654931a7,human-authored/deterministic-geometry-v1,replay:sha256:37fd35540a4acc64472256713f567094b136b23f51d75410a20bcc8bd9b4248f,01 Homicide and related offences,NON-INDIGENOUS,2 & under 5 years
