publication_vintage_date,reference_date,sentence_statistic_id,aggregate_sentence_length_id,court_level_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_sentence_statistic,raw_aggregate_sentence_length,raw_court_level
2022-06-30,2022-06-30,SENTENCE_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,LENGTH_MEDIAN,ALL_COURTS,sentence-median-duration,month,8,observed,8,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 65,R9C11,sha256:7c248868a87107ae4d4f9b152d2b1d02bc921a91a87a53da6e08fabf899ca776,criminal-courts-australia,sha256:754eb8aff45e54ebb6b1dc3d361b60ccb7a217a77c687e29957ebb9cf523931e,tidy.table-family-acceptance/v1,sha256:4b98f6e150dcc343a2ccc3791729198037e415caa2a15417c125de992e24d664,sha256:731a4174ed3fc05362bed9fd782c42496ab8f36f2bcfde8cf2cabe5944a5028e,sha256:2253bcb3c5e944e899b3c1a99fdcf1ea9b6bc73aa4d90b93f1e009e84e4ca4c4,human-authored/deterministic-map-v1,replay:sha256:91465c3104eb0e8e8c6921e0b69e25e6cab73342b534dcb3233b486c84816f41,Custody in a correctional institution,Median,All Courts
2022-06-30,2022-06-30,SENTENCE_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,LENGTH_MEDIAN,CHILDRENS_COURTS,sentence-median-duration,month,5,observed,5,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 65,R9C17,sha256:7c248868a87107ae4d4f9b152d2b1d02bc921a91a87a53da6e08fabf899ca776,criminal-courts-australia,sha256:754eb8aff45e54ebb6b1dc3d361b60ccb7a217a77c687e29957ebb9cf523931e,tidy.table-family-acceptance/v1,sha256:4b98f6e150dcc343a2ccc3791729198037e415caa2a15417c125de992e24d664,sha256:731a4174ed3fc05362bed9fd782c42496ab8f36f2bcfde8cf2cabe5944a5028e,sha256:2253bcb3c5e944e899b3c1a99fdcf1ea9b6bc73aa4d90b93f1e009e84e4ca4c4,human-authored/deterministic-map-v1,replay:sha256:91465c3104eb0e8e8c6921e0b69e25e6cab73342b534dcb3233b486c84816f41,Custody in a correctional institution,Median,Children's Courts
2022-06-30,2022-06-30,SENTENCE_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,LENGTH_MEDIAN,HIGHER_COURTS,sentence-median-duration,month,30,observed,30,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 65,R9C13,sha256:7c248868a87107ae4d4f9b152d2b1d02bc921a91a87a53da6e08fabf899ca776,criminal-courts-australia,sha256:754eb8aff45e54ebb6b1dc3d361b60ccb7a217a77c687e29957ebb9cf523931e,tidy.table-family-acceptance/v1,sha256:4b98f6e150dcc343a2ccc3791729198037e415caa2a15417c125de992e24d664,sha256:731a4174ed3fc05362bed9fd782c42496ab8f36f2bcfde8cf2cabe5944a5028e,sha256:2253bcb3c5e944e899b3c1a99fdcf1ea9b6bc73aa4d90b93f1e009e84e4ca4c4,human-authored/deterministic-map-v1,replay:sha256:91465c3104eb0e8e8c6921e0b69e25e6cab73342b534dcb3233b486c84816f41,Custody in a correctional institution,Median,Higher Courts
2022-06-30,2022-06-30,SENTENCE_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,LENGTH_MEDIAN,MAGISTRATES_COURTS,sentence-median-duration,month,6,observed,6,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 65,R9C15,sha256:7c248868a87107ae4d4f9b152d2b1d02bc921a91a87a53da6e08fabf899ca776,criminal-courts-australia,sha256:754eb8aff45e54ebb6b1dc3d361b60ccb7a217a77c687e29957ebb9cf523931e,tidy.table-family-acceptance/v1,sha256:4b98f6e150dcc343a2ccc3791729198037e415caa2a15417c125de992e24d664,sha256:731a4174ed3fc05362bed9fd782c42496ab8f36f2bcfde8cf2cabe5944a5028e,sha256:2253bcb3c5e944e899b3c1a99fdcf1ea9b6bc73aa4d90b93f1e009e84e4ca4c4,human-authored/deterministic-map-v1,replay:sha256:91465c3104eb0e8e8c6921e0b69e25e6cab73342b534dcb3233b486c84816f41,Custody in a correctional institution,Median,Magistrates' Courts
2022-06-30,2022-06-30,SENTENCE_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,LENGTH_TOTAL,ALL_COURTS,defendant-count,person,41242,observed,41242,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 65,R9C9,sha256:7c248868a87107ae4d4f9b152d2b1d02bc921a91a87a53da6e08fabf899ca776,criminal-courts-australia,sha256:754eb8aff45e54ebb6b1dc3d361b60ccb7a217a77c687e29957ebb9cf523931e,tidy.table-family-acceptance/v1,sha256:4b98f6e150dcc343a2ccc3791729198037e415caa2a15417c125de992e24d664,sha256:731a4174ed3fc05362bed9fd782c42496ab8f36f2bcfde8cf2cabe5944a5028e,sha256:2253bcb3c5e944e899b3c1a99fdcf1ea9b6bc73aa4d90b93f1e009e84e4ca4c4,human-authored/deterministic-map-v1,replay:sha256:91465c3104eb0e8e8c6921e0b69e25e6cab73342b534dcb3233b486c84816f41,Custody in a correctional institution,Total,All Courts
2022-06-30,2022-06-30,SENTENCE_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,LENGTH_UNDER_3_MONTHS,ALL_COURTS,defendant-count,person,6937,observed,6937,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 65,R9C2,sha256:7c248868a87107ae4d4f9b152d2b1d02bc921a91a87a53da6e08fabf899ca776,criminal-courts-australia,sha256:754eb8aff45e54ebb6b1dc3d361b60ccb7a217a77c687e29957ebb9cf523931e,tidy.table-family-acceptance/v1,sha256:4b98f6e150dcc343a2ccc3791729198037e415caa2a15417c125de992e24d664,sha256:731a4174ed3fc05362bed9fd782c42496ab8f36f2bcfde8cf2cabe5944a5028e,sha256:2253bcb3c5e944e899b3c1a99fdcf1ea9b6bc73aa4d90b93f1e009e84e4ca4c4,human-authored/deterministic-map-v1,replay:sha256:91465c3104eb0e8e8c6921e0b69e25e6cab73342b534dcb3233b486c84816f41,Custody in a correctional institution,Under 3 months,All Courts
2022-06-30,2022-06-30,SENTENCE_CUSTODY_IN_THE_COMMUNITY,LENGTH_10_YEARS_AND_OVER,ALL_COURTS,defendant-count,person,0,observed,0,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 65,R18C8,sha256:7c248868a87107ae4d4f9b152d2b1d02bc921a91a87a53da6e08fabf899ca776,criminal-courts-australia,sha256:754eb8aff45e54ebb6b1dc3d361b60ccb7a217a77c687e29957ebb9cf523931e,tidy.table-family-acceptance/v1,sha256:4b98f6e150dcc343a2ccc3791729198037e415caa2a15417c125de992e24d664,sha256:731a4174ed3fc05362bed9fd782c42496ab8f36f2bcfde8cf2cabe5944a5028e,sha256:2253bcb3c5e944e899b3c1a99fdcf1ea9b6bc73aa4d90b93f1e009e84e4ca4c4,human-authored/deterministic-map-v1,replay:sha256:91465c3104eb0e8e8c6921e0b69e25e6cab73342b534dcb3233b486c84816f41,Custody in the community,10 years & over,All Courts
2022-06-30,2022-06-30,SENTENCE_CUSTODY_IN_THE_COMMUNITY,LENGTH_1_TO_UNDER_2_YEARS,ALL_COURTS,defendant-count,person,2789,observed,2789,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 65,R18C5,sha256:7c248868a87107ae4d4f9b152d2b1d02bc921a91a87a53da6e08fabf899ca776,criminal-courts-australia,sha256:754eb8aff45e54ebb6b1dc3d361b60ccb7a217a77c687e29957ebb9cf523931e,tidy.table-family-acceptance/v1,sha256:4b98f6e150dcc343a2ccc3791729198037e415caa2a15417c125de992e24d664,sha256:731a4174ed3fc05362bed9fd782c42496ab8f36f2bcfde8cf2cabe5944a5028e,sha256:2253bcb3c5e944e899b3c1a99fdcf1ea9b6bc73aa4d90b93f1e009e84e4ca4c4,human-authored/deterministic-map-v1,replay:sha256:91465c3104eb0e8e8c6921e0b69e25e6cab73342b534dcb3233b486c84816f41,Custody in the community,1 to under 2 years,All Courts
2022-06-30,2022-06-30,SENTENCE_CUSTODY_IN_THE_COMMUNITY,LENGTH_2_TO_UNDER_5_YEARS,ALL_COURTS,defendant-count,person,524,observed,524,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 65,R18C6,sha256:7c248868a87107ae4d4f9b152d2b1d02bc921a91a87a53da6e08fabf899ca776,criminal-courts-australia,sha256:754eb8aff45e54ebb6b1dc3d361b60ccb7a217a77c687e29957ebb9cf523931e,tidy.table-family-acceptance/v1,sha256:4b98f6e150dcc343a2ccc3791729198037e415caa2a15417c125de992e24d664,sha256:731a4174ed3fc05362bed9fd782c42496ab8f36f2bcfde8cf2cabe5944a5028e,sha256:2253bcb3c5e944e899b3c1a99fdcf1ea9b6bc73aa4d90b93f1e009e84e4ca4c4,human-authored/deterministic-map-v1,replay:sha256:91465c3104eb0e8e8c6921e0b69e25e6cab73342b534dcb3233b486c84816f41,Custody in the community,2 to under 5 years,All Courts
2022-06-30,2022-06-30,SENTENCE_CUSTODY_IN_THE_COMMUNITY,LENGTH_3_TO_UNDER_6_MONTHS,ALL_COURTS,defendant-count,person,876,observed,876,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 65,R18C3,sha256:7c248868a87107ae4d4f9b152d2b1d02bc921a91a87a53da6e08fabf899ca776,criminal-courts-australia,sha256:754eb8aff45e54ebb6b1dc3d361b60ccb7a217a77c687e29957ebb9cf523931e,tidy.table-family-acceptance/v1,sha256:4b98f6e150dcc343a2ccc3791729198037e415caa2a15417c125de992e24d664,sha256:731a4174ed3fc05362bed9fd782c42496ab8f36f2bcfde8cf2cabe5944a5028e,sha256:2253bcb3c5e944e899b3c1a99fdcf1ea9b6bc73aa4d90b93f1e009e84e4ca4c4,human-authored/deterministic-map-v1,replay:sha256:91465c3104eb0e8e8c6921e0b69e25e6cab73342b534dcb3233b486c84816f41,Custody in the community,3 to under 6 months,All Courts
