publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period
2024-06-30,2018-06-30,CHAR_142_VEHICLE_REGISTRATION_AND_ROADWORTHINESS_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2018-06-30,defendant-count,person,43,observed,43,sha256:6df72ba46542120e1c948d07b90dcacfe7ebd2d828271e9ff844a6cdb4334e01,Table 81,R56C9,sha256:965ec49f34c8a9171a4863cfe8b2c9e11f388e8f39dd1a0436523baa0a705ae8,criminal-courts-australia,sha256:068d675afc5d613a700b202d643811ca47c415a1fbfdd2b874fcf33e18e1e34c,tidy.table-family-acceptance/v1,sha256:d6032ccce42603c465c2e1ebd2038b5d06ba71939ab73ae6621bd80bdc7f0c3a,sha256:be445d3a0e768d5c7060889495346648b3344f7f90abc8bcd8089af41ee48af0,sha256:8e130223fb4c21525dee535ec07bba76f560e10433023e1d5ccac014c2858ed1,human-authored/deterministic-map-v1,replay:sha256:7c50ebe66f8ce53ca4cc47d6ab8d37ce73dbdd9888e8ec914b4a711e9c335c7e,142 Vehicle registration and roadworthiness offences,Principal offence(c),2017–18
2024-06-30,2018-06-30,CHAR_1431_EXCEED_THE_PRESCRIBED_CONTENT_OF_ALCOHOL_OR_OTHER_SUBSTANCE_LIMIT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2018-06-30,defendant-count,person,517,observed,517,sha256:6df72ba46542120e1c948d07b90dcacfe7ebd2d828271e9ff844a6cdb4334e01,Table 81,R58C9,sha256:965ec49f34c8a9171a4863cfe8b2c9e11f388e8f39dd1a0436523baa0a705ae8,criminal-courts-australia,sha256:068d675afc5d613a700b202d643811ca47c415a1fbfdd2b874fcf33e18e1e34c,tidy.table-family-acceptance/v1,sha256:d6032ccce42603c465c2e1ebd2038b5d06ba71939ab73ae6621bd80bdc7f0c3a,sha256:be445d3a0e768d5c7060889495346648b3344f7f90abc8bcd8089af41ee48af0,sha256:8e130223fb4c21525dee535ec07bba76f560e10433023e1d5ccac014c2858ed1,human-authored/deterministic-map-v1,replay:sha256:7c50ebe66f8ce53ca4cc47d6ab8d37ce73dbdd9888e8ec914b4a711e9c335c7e,1431 Exceed the prescribed content of alcohol or other substance limit,Principal offence(c),2017–18
2024-06-30,2018-06-30,CHAR_1432_EXCEED_LEGAL_SPEED_LIMIT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2018-06-30,defendant-count,person,185,observed,185,sha256:6df72ba46542120e1c948d07b90dcacfe7ebd2d828271e9ff844a6cdb4334e01,Table 81,R59C9,sha256:965ec49f34c8a9171a4863cfe8b2c9e11f388e8f39dd1a0436523baa0a705ae8,criminal-courts-australia,sha256:068d675afc5d613a700b202d643811ca47c415a1fbfdd2b874fcf33e18e1e34c,tidy.table-family-acceptance/v1,sha256:d6032ccce42603c465c2e1ebd2038b5d06ba71939ab73ae6621bd80bdc7f0c3a,sha256:be445d3a0e768d5c7060889495346648b3344f7f90abc8bcd8089af41ee48af0,sha256:8e130223fb4c21525dee535ec07bba76f560e10433023e1d5ccac014c2858ed1,human-authored/deterministic-map-v1,replay:sha256:7c50ebe66f8ce53ca4cc47d6ab8d37ce73dbdd9888e8ec914b4a711e9c335c7e,1432 Exceed legal speed limit,Principal offence(c),2017–18
2024-06-30,2018-06-30,CHAR_143_REGULATORY_DRIVING_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2018-06-30,defendant-count,person,876,observed,876,sha256:6df72ba46542120e1c948d07b90dcacfe7ebd2d828271e9ff844a6cdb4334e01,Table 81,R57C9,sha256:965ec49f34c8a9171a4863cfe8b2c9e11f388e8f39dd1a0436523baa0a705ae8,criminal-courts-australia,sha256:068d675afc5d613a700b202d643811ca47c415a1fbfdd2b874fcf33e18e1e34c,tidy.table-family-acceptance/v1,sha256:d6032ccce42603c465c2e1ebd2038b5d06ba71939ab73ae6621bd80bdc7f0c3a,sha256:be445d3a0e768d5c7060889495346648b3344f7f90abc8bcd8089af41ee48af0,sha256:8e130223fb4c21525dee535ec07bba76f560e10433023e1d5ccac014c2858ed1,human-authored/deterministic-map-v1,replay:sha256:7c50ebe66f8ce53ca4cc47d6ab8d37ce73dbdd9888e8ec914b4a711e9c335c7e,143 Regulatory driving offences,Principal offence(c),2017–18
2024-06-30,2018-06-30,CHAR_14_TRAFFIC_AND_VEHICLE_REGULATORY_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2018-06-30,defendant-count,person,2190,observed,2190,sha256:6df72ba46542120e1c948d07b90dcacfe7ebd2d828271e9ff844a6cdb4334e01,Table 81,R54C9,sha256:965ec49f34c8a9171a4863cfe8b2c9e11f388e8f39dd1a0436523baa0a705ae8,criminal-courts-australia,sha256:068d675afc5d613a700b202d643811ca47c415a1fbfdd2b874fcf33e18e1e34c,tidy.table-family-acceptance/v1,sha256:d6032ccce42603c465c2e1ebd2038b5d06ba71939ab73ae6621bd80bdc7f0c3a,sha256:be445d3a0e768d5c7060889495346648b3344f7f90abc8bcd8089af41ee48af0,sha256:8e130223fb4c21525dee535ec07bba76f560e10433023e1d5ccac014c2858ed1,human-authored/deterministic-map-v1,replay:sha256:7c50ebe66f8ce53ca4cc47d6ab8d37ce73dbdd9888e8ec914b4a711e9c335c7e,14 Traffic and vehicle regulatory offences(e),Principal offence(c),2017–18
2024-06-30,2018-06-30,CHAR_14_YEARS,GROUP_AGE,2018-06-30,defendant-count,person,3472,observed,3472,sha256:6df72ba46542120e1c948d07b90dcacfe7ebd2d828271e9ff844a6cdb4334e01,Table 81,R14C9,sha256:965ec49f34c8a9171a4863cfe8b2c9e11f388e8f39dd1a0436523baa0a705ae8,criminal-courts-australia,sha256:068d675afc5d613a700b202d643811ca47c415a1fbfdd2b874fcf33e18e1e34c,tidy.table-family-acceptance/v1,sha256:d6032ccce42603c465c2e1ebd2038b5d06ba71939ab73ae6621bd80bdc7f0c3a,sha256:be445d3a0e768d5c7060889495346648b3344f7f90abc8bcd8089af41ee48af0,sha256:8e130223fb4c21525dee535ec07bba76f560e10433023e1d5ccac014c2858ed1,human-authored/deterministic-map-v1,replay:sha256:7c50ebe66f8ce53ca4cc47d6ab8d37ce73dbdd9888e8ec914b4a711e9c335c7e,14 years,Age(a),2017–18
2024-06-30,2018-06-30,CHAR_153_BREACH_OF_VIOLENCE_AND_NON_VIOLENCE_ORDERS,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2018-06-30,defendant-count,person,231,observed,231,sha256:6df72ba46542120e1c948d07b90dcacfe7ebd2d828271e9ff844a6cdb4334e01,Table 81,R61C9,sha256:965ec49f34c8a9171a4863cfe8b2c9e11f388e8f39dd1a0436523baa0a705ae8,criminal-courts-australia,sha256:068d675afc5d613a700b202d643811ca47c415a1fbfdd2b874fcf33e18e1e34c,tidy.table-family-acceptance/v1,sha256:d6032ccce42603c465c2e1ebd2038b5d06ba71939ab73ae6621bd80bdc7f0c3a,sha256:be445d3a0e768d5c7060889495346648b3344f7f90abc8bcd8089af41ee48af0,sha256:8e130223fb4c21525dee535ec07bba76f560e10433023e1d5ccac014c2858ed1,human-authored/deterministic-map-v1,replay:sha256:7c50ebe66f8ce53ca4cc47d6ab8d37ce73dbdd9888e8ec914b4a711e9c335c7e,153 Breach of violence and non-violence orders,Principal offence(c),2017–18
2024-06-30,2018-06-30,CHAR_15_OFFENCES_AGAINST_JUSTICE,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2018-06-30,defendant-count,person,884,observed,884,sha256:6df72ba46542120e1c948d07b90dcacfe7ebd2d828271e9ff844a6cdb4334e01,Table 81,R60C9,sha256:965ec49f34c8a9171a4863cfe8b2c9e11f388e8f39dd1a0436523baa0a705ae8,criminal-courts-australia,sha256:068d675afc5d613a700b202d643811ca47c415a1fbfdd2b874fcf33e18e1e34c,tidy.table-family-acceptance/v1,sha256:d6032ccce42603c465c2e1ebd2038b5d06ba71939ab73ae6621bd80bdc7f0c3a,sha256:be445d3a0e768d5c7060889495346648b3344f7f90abc8bcd8089af41ee48af0,sha256:8e130223fb4c21525dee535ec07bba76f560e10433023e1d5ccac014c2858ed1,human-authored/deterministic-map-v1,replay:sha256:7c50ebe66f8ce53ca4cc47d6ab8d37ce73dbdd9888e8ec914b4a711e9c335c7e,15 Offences against justice(f),Principal offence(c),2017–18
2024-06-30,2018-06-30,CHAR_15_YEARS,GROUP_AGE,2018-06-30,defendant-count,person,5243,observed,5243,sha256:6df72ba46542120e1c948d07b90dcacfe7ebd2d828271e9ff844a6cdb4334e01,Table 81,R15C9,sha256:965ec49f34c8a9171a4863cfe8b2c9e11f388e8f39dd1a0436523baa0a705ae8,criminal-courts-australia,sha256:068d675afc5d613a700b202d643811ca47c415a1fbfdd2b874fcf33e18e1e34c,tidy.table-family-acceptance/v1,sha256:d6032ccce42603c465c2e1ebd2038b5d06ba71939ab73ae6621bd80bdc7f0c3a,sha256:be445d3a0e768d5c7060889495346648b3344f7f90abc8bcd8089af41ee48af0,sha256:8e130223fb4c21525dee535ec07bba76f560e10433023e1d5ccac014c2858ed1,human-authored/deterministic-map-v1,replay:sha256:7c50ebe66f8ce53ca4cc47d6ab8d37ce73dbdd9888e8ec914b4a711e9c335c7e,15 years,Age(a),2017–18
2024-06-30,2018-06-30,CHAR_16_MISCELLANEOUS_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2018-06-30,defendant-count,person,80,observed,80,sha256:6df72ba46542120e1c948d07b90dcacfe7ebd2d828271e9ff844a6cdb4334e01,Table 81,R62C9,sha256:965ec49f34c8a9171a4863cfe8b2c9e11f388e8f39dd1a0436523baa0a705ae8,criminal-courts-australia,sha256:068d675afc5d613a700b202d643811ca47c415a1fbfdd2b874fcf33e18e1e34c,tidy.table-family-acceptance/v1,sha256:d6032ccce42603c465c2e1ebd2038b5d06ba71939ab73ae6621bd80bdc7f0c3a,sha256:be445d3a0e768d5c7060889495346648b3344f7f90abc8bcd8089af41ee48af0,sha256:8e130223fb4c21525dee535ec07bba76f560e10433023e1d5ccac014c2858ed1,human-authored/deterministic-map-v1,replay:sha256:7c50ebe66f8ce53ca4cc47d6ab8d37ce73dbdd9888e8ec914b4a711e9c335c7e,16 Miscellaneous offences,Principal offence(c),2017–18
