publication_vintage_date,reference_date,principal_offence_id,aggregate_sentence_length_id,indigenous_status_id,jurisdiction_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_aggregate_sentence_length,raw_indigenous_status,raw_jurisdiction
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_1_TO_UNDER_5_YEARS,INDIGENOUS,ACT,defendant-count,person,0,observed,0,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R99C4,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,1 to under 5 years,Aboriginal & Torres Strait Islander,Australian Capital Territory
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_1_TO_UNDER_5_YEARS,INDIGENOUS,NSW,defendant-count,person,6,observed,6,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R9C4,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,1 to under 5 years,Aboriginal & Torres Strait Islander,New South Wales
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_1_TO_UNDER_5_YEARS,INDIGENOUS,NT,defendant-count,person,3,observed,3,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R81C4,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,1 to under 5 years,Aboriginal & Torres Strait Islander,Northern Territory
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_1_TO_UNDER_5_YEARS,INDIGENOUS,QLD,defendant-count,person,0,observed,0,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R27C4,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,1 to under 5 years,Aboriginal & Torres Strait Islander,Queensland
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_1_TO_UNDER_5_YEARS,INDIGENOUS,SA,defendant-count,person,0,observed,0,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R45C4,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,1 to under 5 years,Aboriginal & Torres Strait Islander,South Australia
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_1_TO_UNDER_5_YEARS,INDIGENOUS,TAS,defendant-count,person,0,observed,0,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R63C4,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,1 to under 5 years,Aboriginal & Torres Strait Islander,Tasmania
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_1_TO_UNDER_5_YEARS,NON_INDIGENOUS,NSW,defendant-count,person,19,observed,19,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R9C11,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,1 to under 5 years,Non-Indigenous,New South Wales
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_1_TO_UNDER_5_YEARS,NON_INDIGENOUS,NT,defendant-count,person,0,observed,0,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R81C11,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,1 to under 5 years,Non-Indigenous,Northern Territory
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_1_TO_UNDER_5_YEARS,NON_INDIGENOUS,QLD,defendant-count,person,0,observed,0,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R27C11,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,1 to under 5 years,Non-Indigenous,Queensland
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_1_TO_UNDER_5_YEARS,NON_INDIGENOUS,SA,defendant-count,person,3,observed,3,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R45C11,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,1 to under 5 years,Non-Indigenous,South Australia
