publication_vintage_date,reference_date,principal_offence_id,method_of_finalisation_id,court_level_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_method_of_finalisation,raw_court_level
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,METHOD_GUILTY_OUTCOME,HIGHER_COURTS,defendant-count,person,335,observed,335,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 1,R44C2,sha256:9ce37c06f59e46c7dc3be2f217d340bd0782bc8e616e59615ba72a0c8d11067f,criminal-courts-australia,sha256:8a02cc1e2b945432bdc24f9784a46c94e832dbd4ae10e8330e2a057f5f2cb995,tidy.table-family-acceptance/v1,sha256:274b51e161f142bc5cae46f8cd3f7e46737651b362f6cfc0f58d5401d618e401,sha256:fe4a5cab9a47701bcc12639414c43d3d83dca11f377df24d67a75d4ac8e13256,sha256:da21b21ad02912ecb8e8da4d69b99818b83ceb78c92fa3be81cfc95020e8f9e8,human-authored/deterministic-map-v1,replay:sha256:6e63a4b73a28bb6ddd5a49a19f8d330aac025ef935749fd99a5a4c5e13ec98c9,01 Homicide,Guilty outcome,Higher Courts
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,METHOD_GUILTY_OUTCOME,MAGISTRATES_COURTS,defendant-count,person,51,observed,51,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 1,R44C3,sha256:9ce37c06f59e46c7dc3be2f217d340bd0782bc8e616e59615ba72a0c8d11067f,criminal-courts-australia,sha256:8a02cc1e2b945432bdc24f9784a46c94e832dbd4ae10e8330e2a057f5f2cb995,tidy.table-family-acceptance/v1,sha256:274b51e161f142bc5cae46f8cd3f7e46737651b362f6cfc0f58d5401d618e401,sha256:fe4a5cab9a47701bcc12639414c43d3d83dca11f377df24d67a75d4ac8e13256,sha256:da21b21ad02912ecb8e8da4d69b99818b83ceb78c92fa3be81cfc95020e8f9e8,human-authored/deterministic-map-v1,replay:sha256:6e63a4b73a28bb6ddd5a49a19f8d330aac025ef935749fd99a5a4c5e13ec98c9,01 Homicide,Guilty outcome,Magistrates' Courts
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,METHOD_TOTAL_DEFENDANTS_FINALISED,ALL_COURTS,defendant-count,person,946,observed,946,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 1,R101C5,sha256:9ce37c06f59e46c7dc3be2f217d340bd0782bc8e616e59615ba72a0c8d11067f,criminal-courts-australia,sha256:8a02cc1e2b945432bdc24f9784a46c94e832dbd4ae10e8330e2a057f5f2cb995,tidy.table-family-acceptance/v1,sha256:274b51e161f142bc5cae46f8cd3f7e46737651b362f6cfc0f58d5401d618e401,sha256:fe4a5cab9a47701bcc12639414c43d3d83dca11f377df24d67a75d4ac8e13256,sha256:da21b21ad02912ecb8e8da4d69b99818b83ceb78c92fa3be81cfc95020e8f9e8,human-authored/deterministic-map-v1,replay:sha256:6e63a4b73a28bb6ddd5a49a19f8d330aac025ef935749fd99a5a4c5e13ec98c9,01 Homicide,Total defendants finalised,All Courts
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,METHOD_TOTAL_DEFENDANTS_FINALISED,CHILDRENS_COURTS,defendant-count,person,60,observed,60,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 1,R101C4,sha256:9ce37c06f59e46c7dc3be2f217d340bd0782bc8e616e59615ba72a0c8d11067f,criminal-courts-australia,sha256:8a02cc1e2b945432bdc24f9784a46c94e832dbd4ae10e8330e2a057f5f2cb995,tidy.table-family-acceptance/v1,sha256:274b51e161f142bc5cae46f8cd3f7e46737651b362f6cfc0f58d5401d618e401,sha256:fe4a5cab9a47701bcc12639414c43d3d83dca11f377df24d67a75d4ac8e13256,sha256:da21b21ad02912ecb8e8da4d69b99818b83ceb78c92fa3be81cfc95020e8f9e8,human-authored/deterministic-map-v1,replay:sha256:6e63a4b73a28bb6ddd5a49a19f8d330aac025ef935749fd99a5a4c5e13ec98c9,01 Homicide,Total defendants finalised,Children's Courts
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,METHOD_TOTAL_DEFENDANTS_FINALISED,HIGHER_COURTS,defendant-count,person,447,observed,447,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 1,R101C2,sha256:9ce37c06f59e46c7dc3be2f217d340bd0782bc8e616e59615ba72a0c8d11067f,criminal-courts-australia,sha256:8a02cc1e2b945432bdc24f9784a46c94e832dbd4ae10e8330e2a057f5f2cb995,tidy.table-family-acceptance/v1,sha256:274b51e161f142bc5cae46f8cd3f7e46737651b362f6cfc0f58d5401d618e401,sha256:fe4a5cab9a47701bcc12639414c43d3d83dca11f377df24d67a75d4ac8e13256,sha256:da21b21ad02912ecb8e8da4d69b99818b83ceb78c92fa3be81cfc95020e8f9e8,human-authored/deterministic-map-v1,replay:sha256:6e63a4b73a28bb6ddd5a49a19f8d330aac025ef935749fd99a5a4c5e13ec98c9,01 Homicide,Total defendants finalised,Higher Courts
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,METHOD_TOTAL_DEFENDANTS_FINALISED,MAGISTRATES_COURTS,defendant-count,person,442,observed,442,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 1,R101C3,sha256:9ce37c06f59e46c7dc3be2f217d340bd0782bc8e616e59615ba72a0c8d11067f,criminal-courts-australia,sha256:8a02cc1e2b945432bdc24f9784a46c94e832dbd4ae10e8330e2a057f5f2cb995,tidy.table-family-acceptance/v1,sha256:274b51e161f142bc5cae46f8cd3f7e46737651b362f6cfc0f58d5401d618e401,sha256:fe4a5cab9a47701bcc12639414c43d3d83dca11f377df24d67a75d4ac8e13256,sha256:da21b21ad02912ecb8e8da4d69b99818b83ceb78c92fa3be81cfc95020e8f9e8,human-authored/deterministic-map-v1,replay:sha256:6e63a4b73a28bb6ddd5a49a19f8d330aac025ef935749fd99a5a4c5e13ec98c9,01 Homicide,Total defendants finalised,Magistrates' Courts
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,METHOD_TRANSFER_TO_OTHER_COURT_LEVEL,ALL_COURTS,defendant-count,person,367,observed,367,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 1,R63C5,sha256:9ce37c06f59e46c7dc3be2f217d340bd0782bc8e616e59615ba72a0c8d11067f,criminal-courts-australia,sha256:8a02cc1e2b945432bdc24f9784a46c94e832dbd4ae10e8330e2a057f5f2cb995,tidy.table-family-acceptance/v1,sha256:274b51e161f142bc5cae46f8cd3f7e46737651b362f6cfc0f58d5401d618e401,sha256:fe4a5cab9a47701bcc12639414c43d3d83dca11f377df24d67a75d4ac8e13256,sha256:da21b21ad02912ecb8e8da4d69b99818b83ceb78c92fa3be81cfc95020e8f9e8,human-authored/deterministic-map-v1,replay:sha256:6e63a4b73a28bb6ddd5a49a19f8d330aac025ef935749fd99a5a4c5e13ec98c9,01 Homicide,Transfer to other court level,All Courts
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,METHOD_TRANSFER_TO_OTHER_COURT_LEVEL,CHILDRENS_COURTS,defendant-count,person,48,observed,48,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 1,R63C4,sha256:9ce37c06f59e46c7dc3be2f217d340bd0782bc8e616e59615ba72a0c8d11067f,criminal-courts-australia,sha256:8a02cc1e2b945432bdc24f9784a46c94e832dbd4ae10e8330e2a057f5f2cb995,tidy.table-family-acceptance/v1,sha256:274b51e161f142bc5cae46f8cd3f7e46737651b362f6cfc0f58d5401d618e401,sha256:fe4a5cab9a47701bcc12639414c43d3d83dca11f377df24d67a75d4ac8e13256,sha256:da21b21ad02912ecb8e8da4d69b99818b83ceb78c92fa3be81cfc95020e8f9e8,human-authored/deterministic-map-v1,replay:sha256:6e63a4b73a28bb6ddd5a49a19f8d330aac025ef935749fd99a5a4c5e13ec98c9,01 Homicide,Transfer to other court level,Children's Courts
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,METHOD_TRANSFER_TO_OTHER_COURT_LEVEL,HIGHER_COURTS,defendant-count,person,0,observed,0,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 1,R63C2,sha256:9ce37c06f59e46c7dc3be2f217d340bd0782bc8e616e59615ba72a0c8d11067f,criminal-courts-australia,sha256:8a02cc1e2b945432bdc24f9784a46c94e832dbd4ae10e8330e2a057f5f2cb995,tidy.table-family-acceptance/v1,sha256:274b51e161f142bc5cae46f8cd3f7e46737651b362f6cfc0f58d5401d618e401,sha256:fe4a5cab9a47701bcc12639414c43d3d83dca11f377df24d67a75d4ac8e13256,sha256:da21b21ad02912ecb8e8da4d69b99818b83ceb78c92fa3be81cfc95020e8f9e8,human-authored/deterministic-map-v1,replay:sha256:6e63a4b73a28bb6ddd5a49a19f8d330aac025ef935749fd99a5a4c5e13ec98c9,01 Homicide,Transfer to other court level,Higher Courts
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,METHOD_TRANSFER_TO_OTHER_COURT_LEVEL,MAGISTRATES_COURTS,defendant-count,person,318,observed,318,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 1,R63C3,sha256:9ce37c06f59e46c7dc3be2f217d340bd0782bc8e616e59615ba72a0c8d11067f,criminal-courts-australia,sha256:8a02cc1e2b945432bdc24f9784a46c94e832dbd4ae10e8330e2a057f5f2cb995,tidy.table-family-acceptance/v1,sha256:274b51e161f142bc5cae46f8cd3f7e46737651b362f6cfc0f58d5401d618e401,sha256:fe4a5cab9a47701bcc12639414c43d3d83dca11f377df24d67a75d4ac8e13256,sha256:da21b21ad02912ecb8e8da4d69b99818b83ceb78c92fa3be81cfc95020e8f9e8,human-authored/deterministic-map-v1,replay:sha256:6e63a4b73a28bb6ddd5a49a19f8d330aac025ef935749fd99a5a4c5e13ec98c9,01 Homicide,Transfer to other court level,Magistrates' Courts
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,METHOD_WITHDRAWN_BY_PROSECUTION,ALL_COURTS,defendant-count,person,103,observed,103,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 1,R82C5,sha256:9ce37c06f59e46c7dc3be2f217d340bd0782bc8e616e59615ba72a0c8d11067f,criminal-courts-australia,sha256:8a02cc1e2b945432bdc24f9784a46c94e832dbd4ae10e8330e2a057f5f2cb995,tidy.table-family-acceptance/v1,sha256:274b51e161f142bc5cae46f8cd3f7e46737651b362f6cfc0f58d5401d618e401,sha256:fe4a5cab9a47701bcc12639414c43d3d83dca11f377df24d67a75d4ac8e13256,sha256:da21b21ad02912ecb8e8da4d69b99818b83ceb78c92fa3be81cfc95020e8f9e8,human-authored/deterministic-map-v1,replay:sha256:6e63a4b73a28bb6ddd5a49a19f8d330aac025ef935749fd99a5a4c5e13ec98c9,01 Homicide,Withdrawn by prosecution,All Courts
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,METHOD_WITHDRAWN_BY_PROSECUTION,CHILDRENS_COURTS,defendant-count,person,6,observed,6,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 1,R82C4,sha256:9ce37c06f59e46c7dc3be2f217d340bd0782bc8e616e59615ba72a0c8d11067f,criminal-courts-australia,sha256:8a02cc1e2b945432bdc24f9784a46c94e832dbd4ae10e8330e2a057f5f2cb995,tidy.table-family-acceptance/v1,sha256:274b51e161f142bc5cae46f8cd3f7e46737651b362f6cfc0f58d5401d618e401,sha256:fe4a5cab9a47701bcc12639414c43d3d83dca11f377df24d67a75d4ac8e13256,sha256:da21b21ad02912ecb8e8da4d69b99818b83ceb78c92fa3be81cfc95020e8f9e8,human-authored/deterministic-map-v1,replay:sha256:6e63a4b73a28bb6ddd5a49a19f8d330aac025ef935749fd99a5a4c5e13ec98c9,01 Homicide,Withdrawn by prosecution,Children's Courts
2024-06-30,2024-06-30,PRELIM_ANZSOC_2023_01_HOMICIDE,METHOD_WITHDRAWN_BY_PROSECUTION,HIGHER_COURTS,defendant-count,person,44,observed,44,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 1,R82C2,sha256:9ce37c06f59e46c7dc3be2f217d340bd0782bc8e616e59615ba72a0c8d11067f,criminal-courts-australia,sha256:8a02cc1e2b945432bdc24f9784a46c94e832dbd4ae10e8330e2a057f5f2cb995,tidy.table-family-acceptance/v1,sha256:274b51e161f142bc5cae46f8cd3f7e46737651b362f6cfc0f58d5401d618e401,sha256:fe4a5cab9a47701bcc12639414c43d3d83dca11f377df24d67a75d4ac8e13256,sha256:da21b21ad02912ecb8e8da4d69b99818b83ceb78c92fa3be81cfc95020e8f9e8,human-authored/deterministic-map-v1,replay:sha256:6e63a4b73a28bb6ddd5a49a19f8d330aac025ef935749fd99a5a4c5e13ec98c9,01 Homicide,Withdrawn by prosecution,Higher Courts
