publication_vintage_date,reference_date,principal_offence_id,age_group_id,jurisdiction_id,statistic_basis_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,recipe_protocol,replay_map_digest,c3_row_trace_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_age_group,raw_jurisdiction,raw_statistic_basis
2023-06-30,2023-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,10_11_YEARS_ee891258,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,NUMBER_a081e07b,published-value,published-unit,0,observed,0,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 21,R132C2,sha256:64eeaa3235bddcf2da8787d8d67cd7fac6b2d4d78ac92c1cb6978de9a8c5ccda,RecipeV01,sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,sha256:a9841d7e3cb6fd4210ac910109c97ec9db054b3112bcbe4b8954a850ac450f40,recorded-crime-offenders,sha256:2afb734004641619c092953800539c08f002b3384c478b0b50c062ae3b8ce001,tidy.table-family-acceptance/v2,sha256:3aa5455684b3227f8ea93bdff75cb8597371f509a8e3fd67211f5482c0e16cb0,sha256:dc0994a6a0793534510196518298cdc3c9620d189591042c57d3cb58f3bc8a0f,sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,01 Homicide and related offences,10–11 years,Australian Capital Territory,Number
2023-06-30,2023-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,10_11_YEARS_ee891258,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,OFFENDER_RATE_bf190e83,published-value,published-unit,0,observed,0,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 21,R132C7,sha256:64eeaa3235bddcf2da8787d8d67cd7fac6b2d4d78ac92c1cb6978de9a8c5ccda,RecipeV01,sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,sha256:a9841d7e3cb6fd4210ac910109c97ec9db054b3112bcbe4b8954a850ac450f40,recorded-crime-offenders,sha256:2afb734004641619c092953800539c08f002b3384c478b0b50c062ae3b8ce001,tidy.table-family-acceptance/v2,sha256:3aa5455684b3227f8ea93bdff75cb8597371f509a8e3fd67211f5482c0e16cb0,sha256:dc0994a6a0793534510196518298cdc3c9620d189591042c57d3cb58f3bc8a0f,sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,01 Homicide and related offences,10–11 years,Australian Capital Territory,Offender rate(a)
2023-06-30,2023-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,10_11_YEARS_ee891258,NEW_SOUTH_WALES_92f089b8,NUMBER_a081e07b,published-value,published-unit,0,observed,0,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 21,R9C2,sha256:64eeaa3235bddcf2da8787d8d67cd7fac6b2d4d78ac92c1cb6978de9a8c5ccda,RecipeV01,sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,sha256:a9841d7e3cb6fd4210ac910109c97ec9db054b3112bcbe4b8954a850ac450f40,recorded-crime-offenders,sha256:2afb734004641619c092953800539c08f002b3384c478b0b50c062ae3b8ce001,tidy.table-family-acceptance/v2,sha256:3aa5455684b3227f8ea93bdff75cb8597371f509a8e3fd67211f5482c0e16cb0,sha256:dc0994a6a0793534510196518298cdc3c9620d189591042c57d3cb58f3bc8a0f,sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,01 Homicide and related offences,10–11 years,New South Wales,Number
2023-06-30,2023-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,10_11_YEARS_ee891258,NEW_SOUTH_WALES_92f089b8,OFFENDER_RATE_bf190e83,published-value,published-unit,0,observed,0,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 21,R9C7,sha256:64eeaa3235bddcf2da8787d8d67cd7fac6b2d4d78ac92c1cb6978de9a8c5ccda,RecipeV01,sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,sha256:a9841d7e3cb6fd4210ac910109c97ec9db054b3112bcbe4b8954a850ac450f40,recorded-crime-offenders,sha256:2afb734004641619c092953800539c08f002b3384c478b0b50c062ae3b8ce001,tidy.table-family-acceptance/v2,sha256:3aa5455684b3227f8ea93bdff75cb8597371f509a8e3fd67211f5482c0e16cb0,sha256:dc0994a6a0793534510196518298cdc3c9620d189591042c57d3cb58f3bc8a0f,sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,01 Homicide and related offences,10–11 years,New South Wales,Offender rate(a)
2023-06-30,2023-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,10_11_YEARS_ee891258,NORTHERN_TERRITORY_a1d418fe,NUMBER_a081e07b,published-value,published-unit,0,observed,0,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 21,R115C2,sha256:64eeaa3235bddcf2da8787d8d67cd7fac6b2d4d78ac92c1cb6978de9a8c5ccda,RecipeV01,sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,sha256:a9841d7e3cb6fd4210ac910109c97ec9db054b3112bcbe4b8954a850ac450f40,recorded-crime-offenders,sha256:2afb734004641619c092953800539c08f002b3384c478b0b50c062ae3b8ce001,tidy.table-family-acceptance/v2,sha256:3aa5455684b3227f8ea93bdff75cb8597371f509a8e3fd67211f5482c0e16cb0,sha256:dc0994a6a0793534510196518298cdc3c9620d189591042c57d3cb58f3bc8a0f,sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,01 Homicide and related offences,10–11 years,Northern Territory,Number
2023-06-30,2023-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,10_11_YEARS_ee891258,NORTHERN_TERRITORY_a1d418fe,OFFENDER_RATE_bf190e83,published-value,published-unit,0,observed,0,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 21,R115C7,sha256:64eeaa3235bddcf2da8787d8d67cd7fac6b2d4d78ac92c1cb6978de9a8c5ccda,RecipeV01,sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,sha256:a9841d7e3cb6fd4210ac910109c97ec9db054b3112bcbe4b8954a850ac450f40,recorded-crime-offenders,sha256:2afb734004641619c092953800539c08f002b3384c478b0b50c062ae3b8ce001,tidy.table-family-acceptance/v2,sha256:3aa5455684b3227f8ea93bdff75cb8597371f509a8e3fd67211f5482c0e16cb0,sha256:dc0994a6a0793534510196518298cdc3c9620d189591042c57d3cb58f3bc8a0f,sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,01 Homicide and related offences,10–11 years,Northern Territory,Offender rate(a)
2023-06-30,2023-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,10_11_YEARS_ee891258,QUEENSLAND_8f0791ed,NUMBER_a081e07b,published-value,published-unit,0,observed,0,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 21,R45C2,sha256:64eeaa3235bddcf2da8787d8d67cd7fac6b2d4d78ac92c1cb6978de9a8c5ccda,RecipeV01,sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,sha256:a9841d7e3cb6fd4210ac910109c97ec9db054b3112bcbe4b8954a850ac450f40,recorded-crime-offenders,sha256:2afb734004641619c092953800539c08f002b3384c478b0b50c062ae3b8ce001,tidy.table-family-acceptance/v2,sha256:3aa5455684b3227f8ea93bdff75cb8597371f509a8e3fd67211f5482c0e16cb0,sha256:dc0994a6a0793534510196518298cdc3c9620d189591042c57d3cb58f3bc8a0f,sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,01 Homicide and related offences,10–11 years,Queensland,Number
2023-06-30,2023-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,10_11_YEARS_ee891258,QUEENSLAND_8f0791ed,OFFENDER_RATE_bf190e83,published-value,published-unit,0,observed,0,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 21,R45C7,sha256:64eeaa3235bddcf2da8787d8d67cd7fac6b2d4d78ac92c1cb6978de9a8c5ccda,RecipeV01,sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,sha256:a9841d7e3cb6fd4210ac910109c97ec9db054b3112bcbe4b8954a850ac450f40,recorded-crime-offenders,sha256:2afb734004641619c092953800539c08f002b3384c478b0b50c062ae3b8ce001,tidy.table-family-acceptance/v2,sha256:3aa5455684b3227f8ea93bdff75cb8597371f509a8e3fd67211f5482c0e16cb0,sha256:dc0994a6a0793534510196518298cdc3c9620d189591042c57d3cb58f3bc8a0f,sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,01 Homicide and related offences,10–11 years,Queensland,Offender rate(a)
2023-06-30,2023-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,10_11_YEARS_ee891258,SOUTH_AUSTRALIA_0abd141a,NUMBER_a081e07b,published-value,published-unit,0,observed,0,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 21,R63C2,sha256:64eeaa3235bddcf2da8787d8d67cd7fac6b2d4d78ac92c1cb6978de9a8c5ccda,RecipeV01,sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,sha256:a9841d7e3cb6fd4210ac910109c97ec9db054b3112bcbe4b8954a850ac450f40,recorded-crime-offenders,sha256:2afb734004641619c092953800539c08f002b3384c478b0b50c062ae3b8ce001,tidy.table-family-acceptance/v2,sha256:3aa5455684b3227f8ea93bdff75cb8597371f509a8e3fd67211f5482c0e16cb0,sha256:dc0994a6a0793534510196518298cdc3c9620d189591042c57d3cb58f3bc8a0f,sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,01 Homicide and related offences,10–11 years,South Australia,Number
2023-06-30,2023-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,10_11_YEARS_ee891258,SOUTH_AUSTRALIA_0abd141a,OFFENDER_RATE_bf190e83,published-value,published-unit,0,observed,0,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 21,R63C7,sha256:64eeaa3235bddcf2da8787d8d67cd7fac6b2d4d78ac92c1cb6978de9a8c5ccda,RecipeV01,sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,sha256:a9841d7e3cb6fd4210ac910109c97ec9db054b3112bcbe4b8954a850ac450f40,recorded-crime-offenders,sha256:2afb734004641619c092953800539c08f002b3384c478b0b50c062ae3b8ce001,tidy.table-family-acceptance/v2,sha256:3aa5455684b3227f8ea93bdff75cb8597371f509a8e3fd67211f5482c0e16cb0,sha256:dc0994a6a0793534510196518298cdc3c9620d189591042c57d3cb58f3bc8a0f,sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:f001a23daf63494a80ca0ded775f2c204d35397c8b994d6a96f2c50bdc7d3805,01 Homicide and related offences,10–11 years,South Australia,Offender rate(a)
