reference_date,jurisdiction_id,most_serious_offence_id,sentence_statistic_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_jurisdiction,raw_most_serious_offence,raw_sentence_statistic
2021-06-30,ACT,ANZSOC_04,MEAN,mean-years,year,0,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_25,R137C3,sha256:f66d1b0b060cfe002ff7cde8b481fb648897256eabbccafbacbd24c9e63247b5,prisoners-in-australia,sha256:20e99bbfb2001ea169364cdfeaa01ae218315bea97d43955d4b780c30bba4e24,tidy.table-family-acceptance/v1,sha256:625f84c2e4dd727f2081c13824defe68a8d9cd5e2cff3d5d780ad59158decdec,sha256:e5ca0567d223a3192ae8ec4ee2798e80332c43c24cfbac8e22b80e85edab0eb7,sha256:3124e954add6f836773ccd7d8ab4aa19cd9476fd50760f363c68dcb00479e43d,openai-codex/gpt-5.6-sol,replay:sha256:9e02e35b791ed8527207e9925c19ae84c89c80aff908bc5bcac0e8f3dad93614,AUSTRALIAN CAPITAL TERRITORY,04 Dangerous/negligent acts,Mean (years)
2021-06-30,ACT,ANZSOC_04,MEDIAN,median-years,year,0,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_25,R137C4,sha256:f66d1b0b060cfe002ff7cde8b481fb648897256eabbccafbacbd24c9e63247b5,prisoners-in-australia,sha256:20e99bbfb2001ea169364cdfeaa01ae218315bea97d43955d4b780c30bba4e24,tidy.table-family-acceptance/v1,sha256:625f84c2e4dd727f2081c13824defe68a8d9cd5e2cff3d5d780ad59158decdec,sha256:e5ca0567d223a3192ae8ec4ee2798e80332c43c24cfbac8e22b80e85edab0eb7,sha256:3124e954add6f836773ccd7d8ab4aa19cd9476fd50760f363c68dcb00479e43d,openai-codex/gpt-5.6-sol,replay:sha256:9e02e35b791ed8527207e9925c19ae84c89c80aff908bc5bcac0e8f3dad93614,AUSTRALIAN CAPITAL TERRITORY,04 Dangerous/negligent acts,Median (years)
2021-06-30,ACT,ANZSOC_05,COUNT,prisoner-count,person,6,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_25,R138C2,sha256:f66d1b0b060cfe002ff7cde8b481fb648897256eabbccafbacbd24c9e63247b5,prisoners-in-australia,sha256:20e99bbfb2001ea169364cdfeaa01ae218315bea97d43955d4b780c30bba4e24,tidy.table-family-acceptance/v1,sha256:625f84c2e4dd727f2081c13824defe68a8d9cd5e2cff3d5d780ad59158decdec,sha256:e5ca0567d223a3192ae8ec4ee2798e80332c43c24cfbac8e22b80e85edab0eb7,sha256:3124e954add6f836773ccd7d8ab4aa19cd9476fd50760f363c68dcb00479e43d,openai-codex/gpt-5.6-sol,replay:sha256:9e02e35b791ed8527207e9925c19ae84c89c80aff908bc5bcac0e8f3dad93614,AUSTRALIAN CAPITAL TERRITORY,05 Abduction/harassment,No.
2021-06-30,ACT,ANZSOC_05,MEAN,mean-years,year,3.5,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_25,R138C3,sha256:f66d1b0b060cfe002ff7cde8b481fb648897256eabbccafbacbd24c9e63247b5,prisoners-in-australia,sha256:20e99bbfb2001ea169364cdfeaa01ae218315bea97d43955d4b780c30bba4e24,tidy.table-family-acceptance/v1,sha256:625f84c2e4dd727f2081c13824defe68a8d9cd5e2cff3d5d780ad59158decdec,sha256:e5ca0567d223a3192ae8ec4ee2798e80332c43c24cfbac8e22b80e85edab0eb7,sha256:3124e954add6f836773ccd7d8ab4aa19cd9476fd50760f363c68dcb00479e43d,openai-codex/gpt-5.6-sol,replay:sha256:9e02e35b791ed8527207e9925c19ae84c89c80aff908bc5bcac0e8f3dad93614,AUSTRALIAN CAPITAL TERRITORY,05 Abduction/harassment,Mean (years)
2021-06-30,ACT,ANZSOC_05,MEDIAN,median-years,year,2.9,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_25,R138C4,sha256:f66d1b0b060cfe002ff7cde8b481fb648897256eabbccafbacbd24c9e63247b5,prisoners-in-australia,sha256:20e99bbfb2001ea169364cdfeaa01ae218315bea97d43955d4b780c30bba4e24,tidy.table-family-acceptance/v1,sha256:625f84c2e4dd727f2081c13824defe68a8d9cd5e2cff3d5d780ad59158decdec,sha256:e5ca0567d223a3192ae8ec4ee2798e80332c43c24cfbac8e22b80e85edab0eb7,sha256:3124e954add6f836773ccd7d8ab4aa19cd9476fd50760f363c68dcb00479e43d,openai-codex/gpt-5.6-sol,replay:sha256:9e02e35b791ed8527207e9925c19ae84c89c80aff908bc5bcac0e8f3dad93614,AUSTRALIAN CAPITAL TERRITORY,05 Abduction/harassment,Median (years)
2021-06-30,ACT,ANZSOC_06,COUNT,prisoner-count,person,17,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_25,R139C2,sha256:f66d1b0b060cfe002ff7cde8b481fb648897256eabbccafbacbd24c9e63247b5,prisoners-in-australia,sha256:20e99bbfb2001ea169364cdfeaa01ae218315bea97d43955d4b780c30bba4e24,tidy.table-family-acceptance/v1,sha256:625f84c2e4dd727f2081c13824defe68a8d9cd5e2cff3d5d780ad59158decdec,sha256:e5ca0567d223a3192ae8ec4ee2798e80332c43c24cfbac8e22b80e85edab0eb7,sha256:3124e954add6f836773ccd7d8ab4aa19cd9476fd50760f363c68dcb00479e43d,openai-codex/gpt-5.6-sol,replay:sha256:9e02e35b791ed8527207e9925c19ae84c89c80aff908bc5bcac0e8f3dad93614,AUSTRALIAN CAPITAL TERRITORY,06 Robbery/extortion,No.
2021-06-30,ACT,ANZSOC_06,MEAN,mean-years,year,3.9,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_25,R139C3,sha256:f66d1b0b060cfe002ff7cde8b481fb648897256eabbccafbacbd24c9e63247b5,prisoners-in-australia,sha256:20e99bbfb2001ea169364cdfeaa01ae218315bea97d43955d4b780c30bba4e24,tidy.table-family-acceptance/v1,sha256:625f84c2e4dd727f2081c13824defe68a8d9cd5e2cff3d5d780ad59158decdec,sha256:e5ca0567d223a3192ae8ec4ee2798e80332c43c24cfbac8e22b80e85edab0eb7,sha256:3124e954add6f836773ccd7d8ab4aa19cd9476fd50760f363c68dcb00479e43d,openai-codex/gpt-5.6-sol,replay:sha256:9e02e35b791ed8527207e9925c19ae84c89c80aff908bc5bcac0e8f3dad93614,AUSTRALIAN CAPITAL TERRITORY,06 Robbery/extortion,Mean (years)
2021-06-30,ACT,ANZSOC_06,MEDIAN,median-years,year,3.8,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_25,R139C4,sha256:f66d1b0b060cfe002ff7cde8b481fb648897256eabbccafbacbd24c9e63247b5,prisoners-in-australia,sha256:20e99bbfb2001ea169364cdfeaa01ae218315bea97d43955d4b780c30bba4e24,tidy.table-family-acceptance/v1,sha256:625f84c2e4dd727f2081c13824defe68a8d9cd5e2cff3d5d780ad59158decdec,sha256:e5ca0567d223a3192ae8ec4ee2798e80332c43c24cfbac8e22b80e85edab0eb7,sha256:3124e954add6f836773ccd7d8ab4aa19cd9476fd50760f363c68dcb00479e43d,openai-codex/gpt-5.6-sol,replay:sha256:9e02e35b791ed8527207e9925c19ae84c89c80aff908bc5bcac0e8f3dad93614,AUSTRALIAN CAPITAL TERRITORY,06 Robbery/extortion,Median (years)
2021-06-30,ACT,ANZSOC_07,COUNT,prisoner-count,person,9,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_25,R140C2,sha256:f66d1b0b060cfe002ff7cde8b481fb648897256eabbccafbacbd24c9e63247b5,prisoners-in-australia,sha256:20e99bbfb2001ea169364cdfeaa01ae218315bea97d43955d4b780c30bba4e24,tidy.table-family-acceptance/v1,sha256:625f84c2e4dd727f2081c13824defe68a8d9cd5e2cff3d5d780ad59158decdec,sha256:e5ca0567d223a3192ae8ec4ee2798e80332c43c24cfbac8e22b80e85edab0eb7,sha256:3124e954add6f836773ccd7d8ab4aa19cd9476fd50760f363c68dcb00479e43d,openai-codex/gpt-5.6-sol,replay:sha256:9e02e35b791ed8527207e9925c19ae84c89c80aff908bc5bcac0e8f3dad93614,AUSTRALIAN CAPITAL TERRITORY,07 Unlawful entry with intent,No.
2021-06-30,ACT,ANZSOC_07,MEAN,mean-years,year,2.9,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_25,R140C3,sha256:f66d1b0b060cfe002ff7cde8b481fb648897256eabbccafbacbd24c9e63247b5,prisoners-in-australia,sha256:20e99bbfb2001ea169364cdfeaa01ae218315bea97d43955d4b780c30bba4e24,tidy.table-family-acceptance/v1,sha256:625f84c2e4dd727f2081c13824defe68a8d9cd5e2cff3d5d780ad59158decdec,sha256:e5ca0567d223a3192ae8ec4ee2798e80332c43c24cfbac8e22b80e85edab0eb7,sha256:3124e954add6f836773ccd7d8ab4aa19cd9476fd50760f363c68dcb00479e43d,openai-codex/gpt-5.6-sol,replay:sha256:9e02e35b791ed8527207e9925c19ae84c89c80aff908bc5bcac0e8f3dad93614,AUSTRALIAN CAPITAL TERRITORY,07 Unlawful entry with intent,Mean (years)
