publication_vintage_date,reference_date,characteristic_category_id,sex_id,sentence_statistic_id,observation_period_id,court_level_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_sex,raw_sentence_statistic,raw_observation_period,raw_court_level
2024-06-30,2023-06-30,CHAR_45_49_YEARS,FEMALES,SENTENCE_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,2023-06-30,ALL_COURTS,defendant-count,person,417,observed,417,sha256:b4b6a79b420d846d87dfd030bc0edd70f845d17d2c33d7353f5161b17cdbd289,Table 9,R26C2,sha256:0767a117460e90a4d96c55d512891951bb82c78215ab3d28f256df50be0293f1,criminal-courts-australia,sha256:9a24dc3e111c9275503ce7a775f36c5429a649211c1bebece9bf789bf5221464,tidy.table-family-acceptance/v1,sha256:57ec931f978204a1823ec279f2d460efdbb75132edfbe1a10952813ab677a040,sha256:a165172706ecfdbc3b72443abee447bfcdc36ecc855e4f7db3da67388d151a7b,sha256:f103b720c7c4f0ed329f70c661f9a81db67c0ddd2dc05df997f2ed71c9ad9a8b,human-authored/deterministic-map-v1,replay:sha256:30140af210e13c564023c41d25ac98a404e3b74fc2b49509053bfc08522cd2e6,45–49 years,Females,Custody in a correctional institution,2022–23,All Courts
2024-06-30,2023-06-30,CHAR_45_49_YEARS,FEMALES,SENTENCE_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,2023-06-30,HIGHER_COURTS,defendant-count,person,89,observed,89,sha256:b4b6a79b420d846d87dfd030bc0edd70f845d17d2c33d7353f5161b17cdbd289,Table 9,R65C2,sha256:0767a117460e90a4d96c55d512891951bb82c78215ab3d28f256df50be0293f1,criminal-courts-australia,sha256:9a24dc3e111c9275503ce7a775f36c5429a649211c1bebece9bf789bf5221464,tidy.table-family-acceptance/v1,sha256:57ec931f978204a1823ec279f2d460efdbb75132edfbe1a10952813ab677a040,sha256:a165172706ecfdbc3b72443abee447bfcdc36ecc855e4f7db3da67388d151a7b,sha256:f103b720c7c4f0ed329f70c661f9a81db67c0ddd2dc05df997f2ed71c9ad9a8b,human-authored/deterministic-map-v1,replay:sha256:30140af210e13c564023c41d25ac98a404e3b74fc2b49509053bfc08522cd2e6,45–49 years,Females,Custody in a correctional institution,2022–23,Higher Courts
2024-06-30,2023-06-30,CHAR_45_49_YEARS,FEMALES,SENTENCE_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,2023-06-30,MAGISTRATES_COURTS,defendant-count,person,324,observed,324,sha256:b4b6a79b420d846d87dfd030bc0edd70f845d17d2c33d7353f5161b17cdbd289,Table 9,R104C2,sha256:0767a117460e90a4d96c55d512891951bb82c78215ab3d28f256df50be0293f1,criminal-courts-australia,sha256:9a24dc3e111c9275503ce7a775f36c5429a649211c1bebece9bf789bf5221464,tidy.table-family-acceptance/v1,sha256:57ec931f978204a1823ec279f2d460efdbb75132edfbe1a10952813ab677a040,sha256:a165172706ecfdbc3b72443abee447bfcdc36ecc855e4f7db3da67388d151a7b,sha256:f103b720c7c4f0ed329f70c661f9a81db67c0ddd2dc05df997f2ed71c9ad9a8b,human-authored/deterministic-map-v1,replay:sha256:30140af210e13c564023c41d25ac98a404e3b74fc2b49509053bfc08522cd2e6,45–49 years,Females,Custody in a correctional institution,2022–23,Magistrates' Courts
2024-06-30,2023-06-30,CHAR_45_49_YEARS,FEMALES,SENTENCE_FINES,2023-06-30,ALL_COURTS,defendant-count,person,5358,observed,5358,sha256:b4b6a79b420d846d87dfd030bc0edd70f845d17d2c33d7353f5161b17cdbd289,Table 9,R26C7,sha256:0767a117460e90a4d96c55d512891951bb82c78215ab3d28f256df50be0293f1,criminal-courts-australia,sha256:9a24dc3e111c9275503ce7a775f36c5429a649211c1bebece9bf789bf5221464,tidy.table-family-acceptance/v1,sha256:57ec931f978204a1823ec279f2d460efdbb75132edfbe1a10952813ab677a040,sha256:a165172706ecfdbc3b72443abee447bfcdc36ecc855e4f7db3da67388d151a7b,sha256:f103b720c7c4f0ed329f70c661f9a81db67c0ddd2dc05df997f2ed71c9ad9a8b,human-authored/deterministic-map-v1,replay:sha256:30140af210e13c564023c41d25ac98a404e3b74fc2b49509053bfc08522cd2e6,45–49 years,Females,Fines(a),2022–23,All Courts
2024-06-30,2023-06-30,CHAR_45_49_YEARS,FEMALES,SENTENCE_FINES,2023-06-30,HIGHER_COURTS,defendant-count,person,5,observed,5,sha256:b4b6a79b420d846d87dfd030bc0edd70f845d17d2c33d7353f5161b17cdbd289,Table 9,R65C7,sha256:0767a117460e90a4d96c55d512891951bb82c78215ab3d28f256df50be0293f1,criminal-courts-australia,sha256:9a24dc3e111c9275503ce7a775f36c5429a649211c1bebece9bf789bf5221464,tidy.table-family-acceptance/v1,sha256:57ec931f978204a1823ec279f2d460efdbb75132edfbe1a10952813ab677a040,sha256:a165172706ecfdbc3b72443abee447bfcdc36ecc855e4f7db3da67388d151a7b,sha256:f103b720c7c4f0ed329f70c661f9a81db67c0ddd2dc05df997f2ed71c9ad9a8b,human-authored/deterministic-map-v1,replay:sha256:30140af210e13c564023c41d25ac98a404e3b74fc2b49509053bfc08522cd2e6,45–49 years,Females,Fines(a),2022–23,Higher Courts
2024-06-30,2023-06-30,CHAR_45_49_YEARS,FEMALES,SENTENCE_FINES,2023-06-30,MAGISTRATES_COURTS,defendant-count,person,5360,observed,5360,sha256:b4b6a79b420d846d87dfd030bc0edd70f845d17d2c33d7353f5161b17cdbd289,Table 9,R104C7,sha256:0767a117460e90a4d96c55d512891951bb82c78215ab3d28f256df50be0293f1,criminal-courts-australia,sha256:9a24dc3e111c9275503ce7a775f36c5429a649211c1bebece9bf789bf5221464,tidy.table-family-acceptance/v1,sha256:57ec931f978204a1823ec279f2d460efdbb75132edfbe1a10952813ab677a040,sha256:a165172706ecfdbc3b72443abee447bfcdc36ecc855e4f7db3da67388d151a7b,sha256:f103b720c7c4f0ed329f70c661f9a81db67c0ddd2dc05df997f2ed71c9ad9a8b,human-authored/deterministic-map-v1,replay:sha256:30140af210e13c564023c41d25ac98a404e3b74fc2b49509053bfc08522cd2e6,45–49 years,Females,Fines(a),2022–23,Magistrates' Courts
2024-06-30,2023-06-30,CHAR_45_49_YEARS,FEMALES,SENTENCE_FULLY_SUSPENDED_SENTENCE_OF_IMPRISONMENT,2023-06-30,ALL_COURTS,defendant-count,person,240,observed,240,sha256:b4b6a79b420d846d87dfd030bc0edd70f845d17d2c33d7353f5161b17cdbd289,Table 9,R26C4,sha256:0767a117460e90a4d96c55d512891951bb82c78215ab3d28f256df50be0293f1,criminal-courts-australia,sha256:9a24dc3e111c9275503ce7a775f36c5429a649211c1bebece9bf789bf5221464,tidy.table-family-acceptance/v1,sha256:57ec931f978204a1823ec279f2d460efdbb75132edfbe1a10952813ab677a040,sha256:a165172706ecfdbc3b72443abee447bfcdc36ecc855e4f7db3da67388d151a7b,sha256:f103b720c7c4f0ed329f70c661f9a81db67c0ddd2dc05df997f2ed71c9ad9a8b,human-authored/deterministic-map-v1,replay:sha256:30140af210e13c564023c41d25ac98a404e3b74fc2b49509053bfc08522cd2e6,45–49 years,Females,Fully suspended sentence of imprisonment,2022–23,All Courts
2024-06-30,2023-06-30,CHAR_45_49_YEARS,FEMALES,SENTENCE_FULLY_SUSPENDED_SENTENCE_OF_IMPRISONMENT,2023-06-30,HIGHER_COURTS,defendant-count,person,25,observed,25,sha256:b4b6a79b420d846d87dfd030bc0edd70f845d17d2c33d7353f5161b17cdbd289,Table 9,R65C4,sha256:0767a117460e90a4d96c55d512891951bb82c78215ab3d28f256df50be0293f1,criminal-courts-australia,sha256:9a24dc3e111c9275503ce7a775f36c5429a649211c1bebece9bf789bf5221464,tidy.table-family-acceptance/v1,sha256:57ec931f978204a1823ec279f2d460efdbb75132edfbe1a10952813ab677a040,sha256:a165172706ecfdbc3b72443abee447bfcdc36ecc855e4f7db3da67388d151a7b,sha256:f103b720c7c4f0ed329f70c661f9a81db67c0ddd2dc05df997f2ed71c9ad9a8b,human-authored/deterministic-map-v1,replay:sha256:30140af210e13c564023c41d25ac98a404e3b74fc2b49509053bfc08522cd2e6,45–49 years,Females,Fully suspended sentence of imprisonment,2022–23,Higher Courts
2024-06-30,2023-06-30,CHAR_45_49_YEARS,FEMALES,SENTENCE_FULLY_SUSPENDED_SENTENCE_OF_IMPRISONMENT,2023-06-30,MAGISTRATES_COURTS,defendant-count,person,214,observed,214,sha256:b4b6a79b420d846d87dfd030bc0edd70f845d17d2c33d7353f5161b17cdbd289,Table 9,R104C4,sha256:0767a117460e90a4d96c55d512891951bb82c78215ab3d28f256df50be0293f1,criminal-courts-australia,sha256:9a24dc3e111c9275503ce7a775f36c5429a649211c1bebece9bf789bf5221464,tidy.table-family-acceptance/v1,sha256:57ec931f978204a1823ec279f2d460efdbb75132edfbe1a10952813ab677a040,sha256:a165172706ecfdbc3b72443abee447bfcdc36ecc855e4f7db3da67388d151a7b,sha256:f103b720c7c4f0ed329f70c661f9a81db67c0ddd2dc05df997f2ed71c9ad9a8b,human-authored/deterministic-map-v1,replay:sha256:30140af210e13c564023c41d25ac98a404e3b74fc2b49509053bfc08522cd2e6,45–49 years,Females,Fully suspended sentence of imprisonment,2022–23,Magistrates' Courts
2024-06-30,2023-06-30,CHAR_45_49_YEARS,FEMALES,SENTENCE_GOOD_BEHAVIOUR_INCL_BONDS,2023-06-30,ALL_COURTS,defendant-count,person,1310,observed,1310,sha256:b4b6a79b420d846d87dfd030bc0edd70f845d17d2c33d7353f5161b17cdbd289,Table 9,R26C8,sha256:0767a117460e90a4d96c55d512891951bb82c78215ab3d28f256df50be0293f1,criminal-courts-australia,sha256:9a24dc3e111c9275503ce7a775f36c5429a649211c1bebece9bf789bf5221464,tidy.table-family-acceptance/v1,sha256:57ec931f978204a1823ec279f2d460efdbb75132edfbe1a10952813ab677a040,sha256:a165172706ecfdbc3b72443abee447bfcdc36ecc855e4f7db3da67388d151a7b,sha256:f103b720c7c4f0ed329f70c661f9a81db67c0ddd2dc05df997f2ed71c9ad9a8b,human-authored/deterministic-map-v1,replay:sha256:30140af210e13c564023c41d25ac98a404e3b74fc2b49509053bfc08522cd2e6,45–49 years,Females,Good behaviour (incl. bonds),2022–23,All Courts
